"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,145.854780336,106.17780944,99.471842528,1540474.77486005,1498,17.5,1
"result.4066",1,14,15,146.413610912,105.618978864,99.471842528,1538238.15086751,1500,17.5,0.98590303718272
"result.3826",1,15,14,146.413610912,106.17780944,98.913011952,1537689.46595548,1500,17.5,0.982444793495334
"result.4065",0,14,15,145.854780336,105.618978864,99.471842528,1532367.0128871,1495,17.5,0.948898509787358
"result.3825",0,15,14,145.854780336,106.17780944,98.913011952,1531820.4221923,1494,17.5,0.945453465503359
"result.4050",1,13,15,146.413610912,105.060148288,99.471842528,1530099.32467244,1496,17.5,0.934605755819837
"result.3810",1,14,14,146.413610912,105.618978864,98.913011952,1529596.36350309,1496,17.5,0.931435699106401
"result.3570",1,15,13,146.413610912,106.17780944,98.354181376,1529001.95484839,1496,17.5,0.927689268445067
"result.4035",2,12,15,146.972441488,104.501317712,99.471842528,1527769.50801355,1498,17.5,0.919921419551837
"result.3795",2,13,14,146.972441488,105.060148288,98.913011952,1527310.52540584,1498,17.5,0.917028550309527
"result.3555",2,14,13,146.972441488,105.618978864,98.354181376,1526759.7462766,1497,17.5,0.913557107218754
"result.3315",2,15,12,146.972441488,106.17780944,97.7953508,1526117.17062581,1497,17.5,0.90950709027952
"result.4020",3,11,15,147.531272064,103.942487136,99.471842528,1525377.56291042,1500,17.5,0.904845500983356
"result.3780",3,12,14,147.531272064,104.501317712,98.913011952,1524962.90790057,1499,17.5,0.902232019112737
"result.3540",3,13,13,147.531272064,105.060148288,98.354181376,1524456.10733297,1499,17.5,0.899037763493091
"result.4049",0,13,15,145.854780336,105.060148288,99.471842528,1524259.25091415,1491,17.5,0.897797019574715
"result.3300",3,14,12,147.531272064,105.618978864,97.7953508,1523857.16120763,1499,17.5,0.895262734124417
"result.3809",0,14,14,145.854780336,105.618978864,98.913011952,1523758.20944391,1490,17.5,0.894639062314384
"result.3060",3,15,11,147.531272064,106.17780944,97.236520224,1523166.06952454,1499,17.5,0.890906931006719
"result.3569",0,15,13,145.854780336,106.17780944,98.354181376,1523166.06952454,1490,17.5,0.890906931006719
"result.3921",0,5,15,147.92292972,102.0158136,100.88230456,1522362.2001226,1500,18,0.885840314039863
"result.3681",0,6,14,147.92292972,102.58256812,100.31555004,1522219.65684544,1500,18,0.884941894240759
"result.3441",0,7,13,147.92292972,103.14932264,99.74879552,1521982.08471683,1500,18,0.883444527908916
"result.4034",1,12,15,146.413610912,104.501317712,99.471842528,1521960.49847738,1492,17.5,0.883308474456955
"result.3201",0,8,12,147.92292972,103.71607716,99.182041,1521649.48373678,1500,18,0.881348215044339
"result.3794",1,13,14,146.413610912,105.060148288,98.913011952,1521503.26105069,1492,17.5,0.880426604717467
"result.2961",0,9,11,147.92292972,104.28283168,98.61528648,1521221.85390528,1500,18,0.878652955647023
"result.3554",1,14,13,146.413610912,105.618978864,98.354181376,1520954.57613866,1492,17.5,0.876968361030082
"result.3045",4,14,11,148.09010264,105.618978864,97.236520224,1520888.60829619,1500,17.5,0.876552579823392
"result.2721",0,10,10,147.92292972,104.8495862,98.04853196,1520699.19522235,1499,18,0.875358749716971
"result.3314",1,15,12,146.413610912,106.17780944,97.7953508,1520314.4437413,1491,17.5,0.872933743394799
"result.4089",8,15,15,148.16323361,104.6506111,98.04109882,1520163.80063567,1500,17,0.871984272108674
"result.2805",4,15,10,148.09010264,106.17780944,96.677689648,1520148.6515446,1500,17.5,0.871888790626664
"result.2481",0,11,9,147.92292972,105.41634072,97.48177744,1520081.50768796,1499,18,0.871465597254182
"result.4019",2,11,15,146.972441488,103.942487136,99.471842528,1519599.61759637,1494,17.5,0.868428347038715
"result.2241",0,12,8,147.92292972,105.98309524,96.91502292,1519368.79130214,1499,18,0.866973498258658
"result.3779",2,12,14,146.972441488,104.501317712,98.913011952,1519186.53324943,1494,17.5,0.865824764720636
"result.3539",2,13,13,146.972441488,105.060148288,98.354181376,1518681.65238095,1494,17.5,0.862642608554094
"result.2001",0,13,7,147.92292972,106.54984976,96.3482684,1518561.04606487,1498,18,0.861882452730395
"result.3299",2,14,12,146.972441488,105.618978864,97.7953508,1518084.97499093,1493,17.5,0.85888187853909
"result.1761",0,14,6,147.92292972,107.11660428,95.78151388,1517658.27197616,1498,18,0.856192460669396
"result.3059",2,15,11,146.972441488,106.17780944,97.236520224,1517396.50107937,1493,17.5,0.854542574675624
"result.4004",3,10,15,147.531272064,103.38365656,99.471842528,1517176.60827112,1496,17.5,0.853156637319993
"result.2226",1,11,8,148.48968424,105.41634072,96.91502292,1517034.03072788,1500,18,0.852258001549177
"result.3764",3,11,14,147.531272064,103.942487136,98.913011952,1516808.02604014,1495,17.5,0.850833542323888
"result.1521",0,15,5,147.92292972,107.6833588,95.21475936,1516660.469036,1497,18,0.849903522075661
"result.3524",3,12,13,147.531272064,104.501317712,98.354181376,1516347.29825141,1495,17.5,0.847929673578755
"result.1986",1,12,7,148.48968424,105.98309524,96.3482684,1516270.88715461,1500,18,0.84744807077287
"result.4033",0,12,15,145.854780336,104.501317712,99.471842528,1516151.48894121,1487,17.5,0.846695529362073
"result.3284",3,13,12,147.531272064,105.060148288,97.7953508,1515794.42490494,1495,17.5,0.844445031084596
"result.3793",0,13,14,145.854780336,105.060148288,98.913011952,1515695.99669553,1486,17.5,0.843824659125407
"result.1746",1,13,6,148.48968424,106.54984976,95.78151388,1515412.35063467,1500,18,0.842036898649525
"result.3044",3,14,11,147.531272064,105.618978864,97.236520224,1515149.40600073,1495,17.5,0.84037961484141
"result.3553",0,14,13,145.854780336,105.618978864,98.354181376,1515149.40600073,1486,17.5,0.84037961484141
"result.3989",4,9,15,148.09010264,102.824825984,99.471842528,1514691.47050163,1497,17.5,0.837493345300793
"result.4088",7,15,15,147.61244092,104.6506111,98.04109882,1514512.63409055,1495,17,0.836366177638374
"result.3313",0,15,12,145.854780336,106.17780944,97.7953508,1514511.71685679,1486,17.5,0.836360396510078
"result.1506",1,14,5,148.48968424,107.11660428,95.21475936,1514458.42116807,1499,18,0.836024485179142
"result.2804",3,15,10,147.531272064,106.17780944,96.677689648,1514412.24153877,1494,17.5,0.835733424849197
"result.3749",4,10,14,148.09010264,103.38365656,98.913011952,1514367.73942281,1497,17.5,0.835452937527225
"result.3509",4,11,13,148.09010264,103.942487136,98.354181376,1513951.51375004,1497,17.5,0.832829556104064
