"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4088",7,15,15,143.83460182,80.61060102,134.3510017,1557745.27792404,1496,40,1
"result.3833",8,15,14,144.62490183,80.61060102,133.56070169,1557090.76310138,1500,40,0.998334181317956
"result.4073",8,14,15,144.62490183,79.82030101,134.3510017,1550948.39322722,1497,40,0.982701113686472
"result.4091",10,15,15,145.15783945,80.03297094,133.3882849,1549626.81457501,1499,39,0.979337537595575
"result.4089",8,15,15,144.107664774,80.322304956,133.87050826,1549559.1380939,1494,39.5,0.979165292838583
"result.4087",6,15,15,143.04430181,80.61060102,134.3510017,1549186.23793545,1488,40,0.978216217234816
"result.3834",9,15,14,144.895138352,80.322304956,133.083034682,1548861.81157724,1498,39.5,0.977390513263352
"result.3832",7,15,14,143.83460182,80.61060102,133.56070169,1548582.07040684,1492,40,0.976678538451392
"result.3577",8,15,13,144.62490183,80.61060102,132.77040168,1547877.20829013,1496,40,0.97488457987073
"result.3322",9,15,12,145.41520184,80.61060102,131.98010167,1547071.65158532,1499,40,0.97283434149283
"result.4058",9,13,15,145.41520184,79.030001,134.3510017,1543983.68421689,1498,40,0.964975094377548
"result.4074",9,14,15,144.895138352,79.534831378,133.87050826,1542751.90305031,1495,39.5,0.961840063651807
"result.4076",11,14,15,145.94247642,79.24833397,133.3882849,1542728.6347963,1500,39,0.961780843156139
"result.4072",7,14,15,143.83460182,79.82030101,134.3510017,1542473.26539537,1489,40,0.961130897418986
"result.3819",10,14,14,145.68261193,79.534831378,133.083034682,1542012.09235511,1498,39.5,0.959957156749514
"result.3817",8,14,14,144.62490183,79.82030101,133.56070169,1541825.1673847,1493,40,0.959481410292649
"result.4090",9,15,15,144.37320248,80.03297094,133.3882849,1541250.45341515,1491,39,0.958018694347688
"result.4092",11,15,15,145.41295023,79.74258561,132.90430935,1541105.82518052,1496,38.5,0.957650598153608
"result.3562",9,14,13,145.41520184,79.82030101,132.77040168,1541077.36198778,1496,40,0.957578155916106
"result.4086",5,15,15,142.2540018,80.61060102,134.3510017,1540627.19794685,1480,40,0.956432434469633
"result.3835",10,15,14,145.15783945,80.03297094,132.60364793,1540511.36272457,1495,39,0.956137619943463
"result.3837",12,15,14,146.194740285,79.74258561,132.122519295,1540277.27366161,1500,38.5,0.955541835217362
"result.3307",10,14,12,146.20550185,79.82030101,131.98010167,1540229.84920459,1500,40,0.955421134289358
"result.3831",6,15,14,143.04430181,80.61060102,133.56070169,1540073.3777123,1484,40,0.955022895584827
"result.3578",9,15,13,144.895138352,80.322304956,132.295561104,1539696.94878684,1493,39.5,0.954064838846034
"result.3580",11,15,13,145.94247642,80.03297094,131.81901096,1539673.72660859,1499,39,0.954005735618674
"result.3576",7,15,13,143.83460182,80.61060102,132.77040168,1539418.86288964,1488,40,0.953357076902783
