"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,112.155082341,122.293394869,146.371887123,2007611.30159445,1500,22.5,1
"result.3313",0,15,12,112.155082341,123.560683935,144.470953524,2002072.50451718,1498,22.5,0.971934076691218
"result.3553",0,14,13,112.155082341,122.927039402,145.104598057,2000541.45491858,1497,22.5,0.964176016589604
"result.3793",0,13,14,112.155082341,122.293394869,145.73824259,1998920.34357889,1497,22.5,0.955961600011425
"result.4033",0,12,15,112.155082341,121.659750336,146.371887123,1997209.17049811,1496,22.5,0.947290826956679
"result.2802",1,15,10,112.788726874,123.560683935,143.203664458,1995722.38853496,1500,22.5,0.939757077665581
"result.4084",3,15,15,112.7820834,122.18059035,144.73700703,1994444.33628295,1499,22,0.933280993420361
"result.3042",1,14,11,112.788726874,122.927039402,143.837308991,1994273.25950313,1499,22.5,0.932414121477678
"result.3057",0,15,11,112.155082341,123.560683935,143.837308991,1993291.48476052,1495,22.5,0.927439320226077
"result.3282",1,13,12,112.788726874,122.293394869,144.470953524,1992733.5599068,1499,22.5,0.924612230528032
"result.3297",0,14,12,112.155082341,122.927039402,144.470953524,1991805.46603247,1494,22.5,0.919909438362747
"result.3522",1,12,13,112.788726874,121.659750336,145.104598057,1991103.28974598,1498,22.5,0.916351404816642
"result.3537",0,13,13,112.155082341,122.293394869,145.104598057,1990229.38556333,1494,22.5,0.91192320002285
"result.3762",1,11,14,112.788726874,121.026105803,145.73824259,1989382.44902067,1497,22.5,0.907631644343509
"result.3777",0,12,14,112.155082341,121.659750336,145.73824259,1988563.24335309,1493,22.5,0.903480605206387
"result.4002",1,10,15,112.788726874,120.39246127,146.371887123,1987571.03773087,1497,22.5,0.898452949108631
"result.2546",1,15,9,112.788726874,123.560683935,142.570019925,1986891.7584972,1496,22.5,0.895010938395551
"result.4017",0,11,15,112.155082341,121.026105803,146.371887123,1986807.03940176,1492,22.5,0.894581653913359
"result.3813",4,14,14,113.40865053,121.55402322,144.1104399,1986602.4392367,1500,22,0.893544913902582
"result.1249",0,14,4,113.39557215,124.2866723,140.943649,1986397.53646234,1500,23,0.892506640524655
"result.2771",2,13,10,113.422371407,122.293394869,143.203664458,1986350.37040384,1500,22.5,0.892267642965802
"result.2945",0,8,11,113.39557215,120.4427546,145.42821965,1986211.36987035,1500,23,0.891563306219324
"result.3828",3,15,14,112.7820834,122.18059035,144.1104399,1985810.37811722,1496,22,0.889531420300097
"result.2786",1,14,10,112.788726874,122.927039402,143.203664458,1985487.91474761,1496,22.5,0.887897449588521
"result.1489",0,13,5,113.39557215,123.64601935,141.58430195,1985140.91196645,1500,23,0.886139133963669
"result.4053",4,13,15,113.40865053,120.92745609,144.73700703,1984955.09969722,1500,22,0.885197595065362
"result.3011",2,12,11,113.422371407,121.659750336,143.837308991,1984802.02080978,1500,22.5,0.884421921168124
"result.2801",0,15,10,112.155082341,123.560683935,143.203664458,1984510.46500387,1491,22.5,0.882944563760937
"result.3185",0,7,12,113.39557215,119.80210165,146.0688726,1984349.70395052,1500,23,0.882129963166011
"result.4068",3,14,15,112.7820834,121.55402322,144.73700703,1984216.41660971,1495,22,0.881454576031739
"result.3026",1,13,11,112.788726874,122.293394869,143.837308991,1983993.50043352,1495,22.5,0.880325026019748
