"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,105.10990133,99.57780126,113.01290143,1182862.28802917,1115,40,1
"result.3840",15,15,14,105.10990133,99.57780126,112.22260142,1174590.52377722,1111,40,0.976720150031256
"result.4095",14,15,15,104.31960132,99.57780126,113.01290143,1173968.58661542,1106,40,0.974969785371952
"result.4080",15,14,15,105.10990133,98.78750125,113.01290143,1173474.49209243,1110,40,0.973579217892616
"result.3584",15,15,13,105.10990133,99.57780126,111.43230141,1166318.75952527,1107,40,0.953440300062513
"result.3839",14,15,14,104.31960132,99.57780126,112.22260142,1165759.01607965,1102,40,0.951864971869139
"result.3824",15,14,14,105.10990133,98.78750125,112.22260142,1165268.37676311,1106,40,0.95048412863791
"result.4094",13,15,15,103.52930131,99.57780126,113.01290143,1165074.88520167,1098,40,0.949939570743905
"result.4079",14,14,15,104.31960132,98.78750125,113.01290143,1164651.37561053,1102,40,0.948747655761616
"result.4064",15,13,15,105.10990133,97.99720124,113.01290143,1164086.69615569,1106,40,0.947158435785233
"result.3328",15,15,12,105.10990133,99.57780126,110.6420014,1158046.99527331,1103,40,0.930160450093769
"result.3583",14,15,13,104.31960132,99.57780126,111.43230141,1157549.44554387,1098,40,0.928760158366326
"result.3568",15,14,13,105.10990133,98.78750125,111.43230141,1157062.2614338,1102,40,0.927389039383204
"result.3838",13,15,14,103.52930131,99.57780126,112.22260142,1156927.50838207,1094,40,0.927009793707022
"result.3823",14,14,14,104.31960132,98.78750125,112.22260142,1156506.96039647,1098,40,0.92582621379454
"result.4093",12,15,15,102.7390013,99.57780126,113.01290143,1156181.18378791,1089,40,0.924909356115857
"result.3808",15,13,14,105.10990133,97.99720124,112.22260142,1155946.22974901,1102,40,0.924248107244564
"result.4078",13,14,15,103.52930131,98.78750125,113.01290143,1155828.25912864,1093,40,0.923916093630617
"result.4063",14,13,15,104.31960132,97.99720124,113.01290143,1155334.16460565,1097,40,0.922525526151281
"result.4048",15,12,15,105.10990133,97.20690123,113.01290143,1154698.90021895,1101,40,0.92073765367785
"result.3072",15,15,11,105.10990133,99.57780126,109.85170139,1149775.23102136,1099,40,0.906880600125026
"result.3327",14,15,12,104.31960132,99.57780126,110.6420014,1149339.8750081,1094,40,0.905655344863513
"result.3312",15,14,12,105.10990133,98.78750125,110.6420014,1148856.14610448,1098,40,0.904293950128498
"result.3582",13,15,13,103.52930131,99.57780126,111.43230141,1148780.13156248,1090,40,0.904080016670139
"result.3567",14,14,13,104.31960132,98.78750125,111.43230141,1148362.54518241,1094,40,0.902904771827464
"result.3837",12,15,14,102.7390013,99.57780126,112.22260142,1148096.0006845,1086,40,0.902154615544905
"result.3552",15,13,13,105.10990133,97.99720124,111.43230141,1147805.76334233,1098,40,0.901337778703897
"result.3822",13,14,14,103.52930131,98.78750125,112.22260142,1147745.54402983,1090,40,0.90116829895117
"result.4092",11,15,15,101.94870129,99.57780126,113.01290143,1147287.48237416,1081,40,0.89987914148781
"result.3807",14,13,14,104.31960132,97.99720124,112.22260142,1147254.9047133,1093,40,0.899787455719941
"result.4077",12,14,15,102.7390013,98.78750125,113.01290143,1147005.14264674,1085,40,0.899084531499618
"result.3792",15,12,14,105.10990133,97.20690123,112.22260142,1146624.0827349,1097,40,0.898012085851219
"result.4062",13,13,15,103.52930131,97.99720124,113.01290143,1146581.63305561,1089,40,0.89789261651733
