"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,121.896020736,122.621592288,123.34716384,1843680.43834746,1499,29.5,1
"result.2545",0,15,9,122.701748503,124.171230521,120.497525476,1835903.56347812,1500,30.5,0.957786913355549
"result.3745",0,10,14,122.701748503,120.497525476,124.171230521,1835903.56347812,1500,30.5,0.957786913355549
"result.3985",0,9,15,122.701748503,119.762784467,124.90597153,1835506.12440391,1500,30.5,0.955629603336102
"result.3297",0,14,12,122.1939,122.9256,122.1939,1835445.05887656,1497,30,0.955298138005831
"result.3537",0,13,13,122.1939,122.1939,122.9256,1835445.05887656,1497,30,0.955298138005831
"result.3057",0,15,11,122.1939,123.6573,121.4622,1835314.21734114,1497,30,0.954587926620899
"result.3777",0,12,14,122.1939,121.4622,123.6573,1835314.21734114,1497,30,0.954587926620899
"result.4017",0,11,15,122.1939,120.7305,124.389,1835052.5342703,1497,30,0.953167503851037
"result.3571",2,15,13,122.621592288,122.621592288,121.896020736,1832835.25929836,1499,29.5,0.941132075471699
"result.3811",2,14,14,122.621592288,121.896020736,122.621592288,1832835.25929836,1499,29.5,0.941132075471699
"result.3826",1,15,14,121.896020736,122.621592288,122.621592288,1832835.25929836,1494,29.5,0.941132075471699
"result.4066",1,14,15,121.896020736,121.896020736,123.34716384,1832771.08664126,1494,29.5,0.94078374455733
"result.4051",2,13,15,122.621592288,121.170449184,123.34716384,1832706.15002396,1499,29.5,0.940431266846362
"result.4081",0,15,15,121.170449184,122.621592288,123.34716384,1832706.15002396,1490,29.5,0.940431266846362
"result.4085",4,15,15,123.01724439,121.57844621,122.2978453,1829116.58986355,1500,29,0.920947037433812
"result.2737",0,11,10,123.20750316,121.7319642,121.7319642,1825771.46736469,1499,31,0.902789622244125
"result.2497",0,12,9,123.20750316,122.46973368,120.99419472,1825704.40505184,1499,31,0.902425606200339
"result.2977",0,10,11,123.20750316,120.99419472,122.46973368,1825704.40505184,1499,31,0.902425606200339
"result.2257",0,13,8,123.20750316,123.20750316,120.25642524,1825503.21811329,1499,31,0.901333558068983
"result.3217",0,9,12,123.20750316,120.25642524,123.20750316,1825503.21811329,1499,31,0.901333558068983
"result.3009",0,12,11,122.701748503,121.967007494,121.967007494,1825305.18816579,1496,30.5,0.900258646170288
"result.2769",0,13,10,122.701748503,122.701748503,121.232266485,1825238.94832009,1496,30.5,0.89989909450038
"result.3249",0,11,12,122.701748503,121.232266485,122.701748503,1825238.94832009,1496,30.5,0.89989909450038
"result.2754",1,12,10,123.436489512,121.967007494,121.232266485,1825173.50176595,1500,30.5,0.899543848838494
"result.2994",1,11,11,123.436489512,121.232266485,121.967007494,1825173.50176595,1500,30.5,0.899543848838494
"result.2017",0,14,7,123.20750316,123.94527264,119.51865576,1825167.90654903,1499,31,0.899513477850056
"result.3457",0,8,13,123.20750316,119.51865576,123.94527264,1825167.90654903,1499,31,0.899513477850056
"result.2514",1,13,9,123.436489512,122.701748503,120.497525476,1825040.22878298,1500,30.5,0.898820439490657
"result.2529",0,14,9,122.701748503,123.436489512,120.497525476,1825040.22878298,1496,30.5,0.898820439490657
"result.3234",1,10,12,123.436489512,120.497525476,122.701748503,1825040.22878298,1500,30.5,0.898820439490657
"result.3489",0,10,13,122.701748503,120.497525476,123.436489512,1825040.22878298,1496,30.5,0.898820439490657
"result.2274",1,14,8,123.436489512,123.436489512,119.762784467,1824773.68281705,1500,30.5,0.897373620794979
"result.3474",1,9,13,123.436489512,119.762784467,123.436489512,1824773.68281705,1500,30.5,0.897373620794979
