"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,119.33530151,83.77180106,117.75470149,1177185.87742543,1185,40,1
"result.4095",14,15,15,118.5450015,83.77180106,117.75470149,1169389.94446235,1177,40,0.978260450647617
"result.3840",15,15,14,119.33530151,83.77180106,116.96440148,1169285.30106687,1181,40,0.977968644616041
"result.4080",15,14,15,119.33530151,82.98150105,117.75470149,1166080.35027991,1179,40,0.969031396677265
"result.4094",13,15,15,117.75470149,83.77180106,117.75470149,1161594.01149927,1169,40,0.956520901295233
"result.3839",14,15,14,118.5450015,83.77180106,116.96440148,1161541.68980153,1173,40,0.956374998279445
"result.3584",15,15,13,119.33530151,83.77180106,116.17410147,1161384.72470831,1177,40,0.955937289232082
"result.4079",14,14,15,118.5450015,82.98150105,117.75470149,1158357.96385422,1171,40,0.947496937413112
"result.3824",15,14,14,119.33530151,82.98150105,116.96440148,1158254.30766058,1175,40,0.947207884268626
"result.4064",15,13,15,119.33530151,82.19120104,117.75470149,1154974.82313439,1174,40,0.93806279335453
"result.3838",13,15,14,117.75470149,83.77180106,116.96440148,1153798.07853619,1165,40,0.93478135194285
"result.4093",12,15,15,116.96440148,83.77180106,117.75470149,1153798.07853619,1161,40,0.93478135194285
"result.3583",14,15,13,118.5450015,83.77180106,116.17410147,1153693.43514071,1169,40,0.934489545911274
"result.3328",15,15,12,119.33530151,83.77180106,115.38380146,1153484.14834975,1173,40,0.933905933848123
"result.4078",13,14,15,117.75470149,82.98150105,117.75470149,1150635.57742852,1164,40,0.925962478148959
"result.3823",14,14,14,118.5450015,82.98150105,116.96440148,1150583.7493317,1167,40,0.925817951576716
"result.3568",15,14,13,119.33530151,82.98150105,116.17410147,1150428.26504125,1171,40,0.925384371859988
"result.4063",14,13,15,118.5450015,82.19120104,117.75470149,1147325.98324608,1166,40,0.916733424178607
"result.3808",15,13,14,119.33530151,82.19120104,116.96440148,1147223.31425429,1170,40,0.916447123921212
"result.3837",12,15,14,116.96440148,83.77180106,116.96440148,1146054.46727084,1157,40,0.913187705606254
"result.3582",13,15,13,117.75470149,83.77180106,116.17410147,1146002.1455731,1161,40,0.913041802590467
"result.4092",11,15,15,116.17410147,83.77180106,117.75470149,1146002.1455731,1153,40,0.913041802590467
"result.3327",14,15,12,118.5450015,83.77180106,115.38380146,1145845.18047989,1165,40,0.912604093543103
"result.3072",15,15,11,119.33530151,83.77180106,114.59350145,1145583.57199119,1169,40,0.911874578464164
"result.4048",15,12,15,119.33530151,81.40090103,117.75470149,1143869.29598886,1168,40,0.907094190031796
"result.3822",13,14,14,117.75470149,82.98150105,116.96440148,1142913.19100283,1160,40,0.904428018884805
"result.4077",12,14,15,116.96440148,82.98150105,117.75470149,1142913.19100283,1156,40,0.904428018884805
"result.3567",14,14,13,118.5450015,82.98150105,116.17410147,1142809.53480919,1163,40,0.90413896574032
"result.3312",15,14,12,119.33530151,82.98150105,115.38380146,1142602.22242193,1167,40,0.903560859451349
"result.4062",13,13,15,117.75470149,82.19120104,117.75470149,1139677.14335777,1158,40,0.895404055002684
"result.3807",14,13,14,118.5450015,82.19120104,116.96440148,1139625.80886188,1162,40,0.895260904873986
"result.3552",15,13,13,119.33530151,82.19120104,116.17410147,1139471.80537419,1166,40,0.894831454487894
"result.3581",12,15,13,116.96440148,83.77180106,116.17410147,1138310.8560055,1153,40,0.891594059269659
"result.3836",11,15,14,116.17410147,83.77180106,116.96440148,1138310.8560055,1149,40,0.891594059269659
"result.3326",13,15,12,117.75470149,83.77180106,115.38380146,1138206.21261002,1157,40,0.891302253238084
"result.4091",10,15,15,115.38380146,83.77180106,117.75470149,1138206.21261002,1145,40,0.891302253238084
"result.3071",14,15,11,118.5450015,83.77180106,114.59350145,1137996.92581907,1161,40,0.890718641174932
"result.2816",15,15,10,119.33530151,83.77180106,113.80320144,1137682.99563263,1165,40,0.889843223080205
"result.4047",14,12,15,118.5450015,81.40090103,117.75470149,1136294.00263794,1160,40,0.885969910944103
"result.3792",15,12,14,119.33530151,81.40090103,116.96440148,1136192.320848,1164,40,0.885686363573798
"result.3821",12,14,14,116.96440148,82.98150105,116.96440148,1135242.63267395,1152,40,0.883038086192895
"result.3566",13,14,13,117.75470149,82.98150105,116.17410147,1135190.80457713,1156,40,0.882893559620652
"result.4076",11,14,15,116.17410147,82.98150105,117.75470149,1135190.80457713,1148,40,0.882893559620652
"result.3311",14,14,12,118.5450015,82.98150105,115.38380146,1135035.32028668,1159,40,0.882459979903924
"result.3056",15,14,11,119.33530151,82.98150105,114.59350145,1134776.1798026,1163,40,0.881737347042711
"result.4032",15,11,15,119.33530151,80.61060102,117.75470149,1132763.76884334,1162,40,0.876125586709061
"result.3806",13,13,14,117.75470149,82.19120104,116.96440148,1132028.30346947,1154,40,0.874074685826761
"result.4061",12,13,15,116.96440148,82.19120104,117.75470149,1132028.30346947,1150,40,0.874074685826761
"result.3551",14,13,13,118.5450015,82.19120104,116.17410147,1131925.63447768,1158,40,0.873788385569365
"result.3296",15,13,12,119.33530151,82.19120104,115.38380146,1131720.2964941,1162,40,0.873215785054576
"result.3580",11,15,13,116.17410147,83.77180106,116.17410147,1130619.56643789,1146,40,0.870146315948851
"result.3325",12,15,12,116.96440148,83.77180106,115.38380146,1130567.24474016,1149,40,0.870000412933064
