"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,59.27250075,95.62630121,313.74910397,1778333.06198993,1026,40,1
"result.3840",15,15,14,59.27250075,95.62630121,312.95880396,1773853.6336222,1025,40,0.992265108608103
"result.3584",15,15,13,59.27250075,95.62630121,312.16850395,1769374.20525447,1024,40,0.984530217216206
"result.3328",15,15,12,59.27250075,95.62630121,311.37820394,1764894.77688673,1022,40,0.976795325824309
"result.4080",15,14,15,59.27250075,94.8360012,313.74910397,1763636.09453547,1022,40,0.974621885267908
"result.3072",15,15,11,59.27250075,95.62630121,310.58790393,1760415.348519,1021,40,0.969060434432412
"result.3824",15,14,14,59.27250075,94.8360012,312.95880396,1759193.68623689,1021,40,0.966950918598258
"result.2816",15,15,10,59.27250075,95.62630121,309.79760392,1755935.92015127,1020,40,0.961325543040515
"result.3568",15,14,13,59.27250075,94.8360012,312.16850395,1754751.27793831,1019,40,0.959279951928609
"result.4095",14,15,15,58.48220074,95.62630121,313.74910397,1754621.95449673,1012,40,0.959056641565559
"result.2560",15,15,9,59.27250075,95.62630121,309.00730391,1751456.49178353,1018,40,0.953590651648619
"result.3312",15,14,12,59.27250075,94.8360012,311.37820394,1750308.86963973,1018,40,0.951608985258959
"result.3839",14,15,14,58.48220074,95.62630121,312.95880396,1750202.25184057,1011,40,0.951424882058887
"result.4064",15,13,15,59.27250075,94.04570119,313.74910397,1748939.12708101,1018,40,0.949243770535817
"result.2304",15,15,8,59.27250075,95.62630121,308.2170039,1746977.0634158,1017,40,0.945855760256722
"result.3056",15,14,11,59.27250075,94.8360012,310.58790393,1745866.46134116,1017,40,0.943938018589309
"result.3583",14,15,13,58.48220074,95.62630121,312.16850395,1745782.54918441,1010,40,0.943793122552216
"result.3808",15,13,14,59.27250075,94.04570119,312.95880396,1744533.73885158,1016,40,0.941636728588414
"result.2048",15,15,7,59.27250075,95.62630121,307.42670389,1742497.63504807,1016,40,0.938120868864824
"result.2800",15,14,10,59.27250075,94.8360012,309.79760392,1741424.05304258,1015,40,0.936267051919659
"result.3327",14,15,12,58.48220074,95.62630121,311.37820394,1741362.84652824,1009,40,0.936161363045544
