"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,128.65292622,104.61886308,130.06669464,1750635.65152929,1500,28,1
"result.3553",0,14,13,128.65292622,103.91197887,130.77357885,1748257.07048101,1499,28,0.986352509523469
"result.3793",0,13,14,128.65292622,103.20509466,131.48046306,1745749.91748419,1498,28,0.971967316859018
"result.4033",0,12,15,128.65292622,102.49821045,132.18734727,1743114.1925388,1497,28,0.956844422006646
"result.3827",2,15,14,128.899115832,103.679723604,130.300193178,1741361.0603789,1498,27.5,0.946785544898519
"result.4082",1,15,15,128.198577159,103.679723604,131.000731851,1741208.41652719,1494,27.5,0.945909726303181
"result.2802",1,15,10,129.35981043,104.61886308,128.65292622,1741121.32733619,1500,28,0.945410038093876
"result.3057",0,15,11,128.65292622,104.61886308,129.35981043,1741121.32733619,1496,28,0.945410038093876
"result.4018",1,11,15,129.35981043,101.79132624,132.18734727,1740604.21378486,1500,28,0.942443016107295
"result.4067",2,14,15,128.899115832,102.979184931,131.000731851,1738894.00569441,1497,27.5,0.932630422736016
"result.3042",1,14,11,129.35981043,103.91197887,129.35981043,1738858.95554911,1499,28,0.932429316902582
"result.3297",0,14,12,128.65292622,103.91197887,130.06669464,1738807.0322622,1495,28,0.932131398711306
"result.3282",1,13,12,129.35981043,103.20509466,130.06669464,1736467.3053742,1498,28,0.91870684021464
"result.4052",3,13,15,129.599654505,102.278646258,131.000731851,1736451.01648203,1500,27.5,0.918613380081788
"result.3537",0,13,13,128.65292622,103.20509466,130.77357885,1736364.16523965,1494,28,0.918115057140815
"result.2257",0,13,8,129.796029272,104.122089416,128.36969928,1734869.47238236,1500,28.5,0.909539017005492
"result.3473",0,9,13,129.796029272,101.269429432,131.93552426,1734209.3241813,1500,28.5,0.905751310762062
"result.3522",1,12,13,129.35981043,102.49821045,130.77357885,1733946.37681146,1497,28,0.904242608030055
"result.3777",0,12,14,128.65292622,102.49821045,131.48046306,1733792.72626854,1493,28,0.903361013382403
"result.2497",0,12,9,129.796029272,103.40892442,129.082864276,1732558.95367866,1499,28.5,0.896282045153489
"result.3316",3,15,12,129.599654505,103.679723604,128.899115832,1731998.90414031,1498,27.5,0.893068671051072
"result.3571",2,15,13,128.899115832,103.679723604,129.599654505,1731998.90414031,1494,27.5,0.893068671051072
"result.3826",1,15,14,128.198577159,103.679723604,130.300193178,1731897.1415725,1490,27.5,0.892484791987513
"result.4081",0,15,15,127.498038486,103.679723604,131.000731851,1731693.61643688,1485,27.5,0.891317033860395
"result.2801",0,15,10,128.65292622,104.61886308,128.65292622,1731607.0031431,1492,28,0.890820076187753
"result.2546",1,15,9,129.35981043,104.61886308,127.94604201,1731554.72663654,1496,28,0.890520131342114
"result.2291",2,15,8,130.06669464,104.61886308,127.2391578,1731397.89711688,1500,28,0.889620296805201
"result.3507",2,11,13,130.06669464,101.79132624,130.77357885,1731397.89711688,1500,28,0.889620296805201
"result.3713",0,8,14,129.796029272,100.556264436,132.648689256,1731304.67209665,1499,28.5,0.889085403290973
"result.3762",1,11,14,129.35981043,101.79132624,131.48046306,1731296.16986088,1496,28,0.889036620348824
"result.4017",0,11,15,128.65292622,101.79132624,132.18734727,1731092.71534888,1492,28,0.887869267436071
"result.4086",5,15,15,129.80486255,102.7332602,129.80486255,1730983.76165057,1498,27,0.887244128107244
"result.2737",0,11,10,129.796029272,102.695759424,129.796029272,1730116.40533474,1498,28.5,0.8822675320528
"result.3556",3,14,13,129.599654505,102.979184931,129.599654505,1729645.64475968,1497,27.5,0.879566467706265
"result.3811",2,14,14,128.899115832,102.979184931,130.300193178,1729595.10726824,1493,27.5,0.87927650073889
"result.4066",1,14,15,128.198577159,102.979184931,131.000731851,1729443.4947939,1489,27.5,0.878406599836763
"result.2786",1,14,10,129.35981043,103.91197887,128.65292622,1729356.99404338,1495,28,0.877910287899142
"result.3041",0,14,11,128.65292622,103.91197887,129.35981043,1729356.99404338,1491,28,0.877910287899142
"result.1521",0,15,5,129.796029272,105.548419408,126.230204292,1729324.22749347,1498,28.5,0.877722284560686
"result.2531",2,14,9,130.06669464,103.91197887,127.94604201,1729253.14746955,1499,28,0.877314451516591
"result.3747",2,10,14,130.06669464,101.08444203,131.48046306,1728668.21574755,1499,28,0.873958311892425
"result.4002",1,10,15,129.35981043,101.08444203,132.18734727,1728516.68452247,1495,28,0.873088877170947
"result.3953",0,7,15,129.796029272,99.84309944,133.361854252,1728267.99037178,1497,28.5,0.871661954571199
"result.2977",0,10,11,129.796029272,101.982594428,130.509194268,1727541.82735061,1497,28.5,0.867495477703426
"result.1761",0,14,6,129.796029272,104.835254412,126.943369288,1727343.78289029,1497,28.5,0.866359165830397
"result.3541",4,13,13,130.300193178,102.278646258,129.599654505,1727165.18216929,1500,27.5,0.865334415532009
"result.3796",3,13,14,129.599654505,102.278646258,130.300193178,1727165.18216929,1496,27.5,0.865334415532009
"result.4051",2,13,15,128.899115832,102.278646258,131.000731851,1727064.79477132,1492,27.5,0.864758426726065
"result.3026",1,13,11,129.35981043,103.20509466,129.35981043,1727029.98306239,1494,28,0.864558688959524
"result.2771",2,13,10,130.06669464,103.20509466,128.65292622,1726978.41299511,1498,28,0.864262797422611
"result.3281",0,13,12,128.65292622,103.20509466,130.06669464,1726978.41299511,1490,28,0.864262797422611
"result.3987",2,9,15,130.06669464,100.37755782,132.18734727,1725808.54955111,1498,28,0.857550518174279
"result.3938",1,6,15,130.509194268,99.129934444,133.361854252,1725351.36856699,1500,28.5,0.854927368909982
"result.2001",0,13,7,129.796029272,104.122089416,127.656534284,1725231.30864691,1496,28.5,0.854238505851423
"result.1746",1,13,6,130.509194268,104.122089416,126.943369288,1725019.4808725,1500,28.5,0.853023110001884
"result.2962",1,9,11,130.509194268,101.269429432,130.509194268,1724886.72579471,1500,28.5,0.852261406438645
"result.3217",0,9,12,129.796029272,101.269429432,131.222359264,1724835.21972627,1496,28.5,0.851965882105366
"result.3781",4,12,14,130.300193178,101.578107585,130.300193178,1724607.36627567,1499,27.5,0.850658536366872
"result.3011",2,12,11,130.06669464,102.49821045,129.35981043,1724573.69369356,1497,28,0.850465334523262
"result.3266",1,12,12,129.35981043,102.49821045,130.06669464,1724573.69369356,1493,28,0.850465334523262
"result.4036",3,12,15,129.599654505,101.578107585,131.000731851,1724557.51636914,1494,27.5,0.850372514528304
"result.3521",0,12,13,128.65292622,102.49821045,130.77357885,1724471.25999828,1489,28,0.84987760475816
"result.2241",0,12,8,129.796029272,103.40892442,128.36969928,1722986.80476331,1495,28.5,0.841360304623764
"result.1986",1,12,7,130.509194268,103.40892442,127.656534284,1722829.02208888,1499,28.5,0.840455001208439
