"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,97.20690123,108.27110137,120.12560152,1264285.70893104,1108,40,1
"result.3840",15,15,14,97.20690123,108.27110137,119.33530151,1255968.03979334,1104,40,0.977717391304348
"result.4080",15,14,15,97.20690123,107.48080136,120.12560152,1255057.34609213,1104,40,0.975277689622343
"result.4095",14,15,15,96.41660122,108.27110137,120.12560152,1254006.96332998,1099,40,0.972463768115942
"result.3584",15,15,13,97.20690123,108.27110137,118.5450015,1247650.37065563,1101,40,0.955434782608696
"result.3824",15,14,14,97.20690123,107.48080136,119.33530151,1246800.38986784,1100,40,0.953157727705491
"result.4064",15,13,15,97.20690123,106.69050135,120.12560152,1245828.98325322,1100,40,0.950555379244685
"result.3839",14,15,14,96.41660122,108.27110137,119.33530151,1245756.9175186,1095,40,0.95036231884058
"result.4079",14,14,15,96.41660122,107.48080136,120.12560152,1244853.62783122,1095,40,0.947942452131599
"result.4094",13,15,15,95.62630121,108.27110137,120.12560152,1243728.21772891,1090,40,0.944927536231884
"result.3328",15,15,12,97.20690123,108.27110137,117.75470149,1239332.70151793,1097,40,0.933152173913044
"result.3568",15,14,13,97.20690123,107.48080136,118.5450015,1238543.43364355,1097,40,0.931037765788639
"result.3808",15,13,14,97.20690123,106.69050135,119.33530151,1237632.73994234,1096,40,0.928598064106633
"result.3583",14,15,13,96.41660122,108.27110137,118.5450015,1237506.87170721,1092,40,0.928260869565218
"result.3823",14,14,14,96.41660122,107.48080136,119.33530151,1236663.80133233,1091,40,0.926002327303502
"result.4048",15,12,15,97.20690123,105.90020134,120.12560152,1236600.6204143,1096,40,0.925833068867027
"result.4063",14,13,15,96.41660122,106.69050135,120.12560152,1235700.29233246,1091,40,0.923421136147255
"result.3838",13,15,14,95.62630121,108.27110137,119.33530151,1235545.79524385,1086,40,0.923007246376812
"result.4078",13,14,15,95.62630121,107.48080136,120.12560152,1234649.90957031,1086,40,0.920607214640855
"result.4093",12,15,15,94.8360012,108.27110137,120.12560152,1233449.47212785,1081,40,0.917391304347826
"result.3072",15,15,11,97.20690123,108.27110137,116.96440148,1231015.03238022,1093,40,0.910869565217392
"result.3312",15,14,12,97.20690123,107.48080136,117.75470149,1230286.47741926,1093,40,0.908917803871787
"result.3552",15,13,13,97.20690123,106.69050135,118.5450015,1229436.49663146,1093,40,0.906640748968582
"result.3327",14,15,12,96.41660122,108.27110137,117.75470149,1229256.82589583,1088,40,0.906159420289855
"result.3567",14,14,13,96.41660122,107.48080136,118.5450015,1228473.97483344,1088,40,0.904062202475405
"result.3792",15,12,14,97.20690123,105.90020134,119.33530151,1228465.09001684,1092,40,0.904038400507776
"result.3807",14,13,14,96.41660122,106.69050135,119.33530151,1227570.68514606,1087,40,0.901642335766424
"result.4032",15,11,15,97.20690123,105.10990133,120.12560152,1227372.25757539,1092,40,0.901110758489369
"result.3582",13,15,13,95.62630121,108.27110137,118.5450015,1227363.37275879,1083,40,0.901086956521739
"result.4047",14,12,15,96.41660122,105.90020134,120.12560152,1226546.9568337,1087,40,0.898899820162911
"result.3822",13,14,14,95.62630121,107.48080136,119.33530151,1226527.21279682,1082,40,0.898846926901513
"result.4062",13,13,15,95.62630121,106.69050135,120.12560152,1225571.6014117,1082,40,0.896286893049826
"result.3837",12,15,14,94.8360012,108.27110137,119.33530151,1225334.67296911,1077,40,0.895652173913044
"result.4077",12,14,15,94.8360012,107.48080136,120.12560152,1224446.19130939,1077,40,0.893271977150111
"result.4092",11,15,15,94.04570119,108.27110137,120.12560152,1223170.72652678,1072,40,0.889855072463768
"result.2816",15,15,10,97.20690123,108.27110137,116.17410147,1222697.36324252,1090,40,0.88858695652174
"result.3056",15,14,11,97.20690123,107.48080136,116.96440148,1222029.52119497,1089,40,0.886797841954935
"result.3296",15,13,12,97.20690123,106.69050135,117.75470149,1221240.25332059,1089,40,0.88468343383053
"result.3071",14,15,11,96.41660122,108.27110137,116.96440148,1221006.78008445,1085,40,0.884057971014493
"result.3536",15,12,13,97.20690123,105.90020134,118.5450015,1220329.55961938,1089,40,0.882243732148524
"result.3311",14,14,12,96.41660122,107.48080136,117.75470149,1220284.14833455,1084,40,0.882122077647308
"result.3551",14,13,13,96.41660122,106.69050135,118.5450015,1219441.07795966,1084,40,0.879863535385592
"result.3776",15,11,14,97.20690123,105.10990133,119.33530151,1219297.44009134,1088,40,0.879478736908918
"result.3326",13,15,12,95.62630121,108.27110137,117.75470149,1219180.95027374,1079,40,0.879166666666667
"result.3791",14,12,14,96.41660122,105.90020134,119.33530151,1218477.56895979,1083,40,0.877282344229345
"result.3566",13,14,13,95.62630121,107.48080136,118.5450015,1218404.51602333,1079,40,0.877086639162171
"result.4016",15,10,15,97.20690123,104.31960132,120.12560152,1218143.89473648,1088,40,0.876388448111711
"result.3806",13,13,14,95.62630121,106.69050135,119.33530151,1217508.63034978,1079,40,0.874686607426214
"result.4031",14,11,15,96.41660122,105.10990133,120.12560152,1217393.62133494,1083,40,0.874378504178568
"result.3581",12,15,13,94.8360012,108.27110137,118.5450015,1217219.87381037,1074,40,0.873913043478261
"result.4046",13,12,15,95.62630121,105.90020134,120.12560152,1216493.2932531,1078,40,0.871966571458796
"result.3821",12,14,14,94.8360012,107.48080136,119.33530151,1216390.62426131,1074,40,0.871691526499524
