"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,103.159038718,111.821248076,188.99365872,2180112.24586932,1499,39.5,1
"result.3569",0,15,13,103.159038718,112.608721654,187.418711564,2177169.60610084,1498,39.5,0.990742185382624
"result.3297",0,14,12,103.52930131,112.22260142,187.30110237,2176125.55148057,1500,40,0.987457493784151
"result.4066",1,14,15,103.57208004,111.41844974,188.3128728,2173100.53398628,1500,39,0.97794051128552
"result.2801",0,15,10,103.52930131,113.01290143,185.72050235,2172957.12716184,1499,40,0.977489340262227
"result.4033",0,12,15,103.52930131,110.6420014,189.6720024,2172633.81855788,1499,40,0.976472181739581
"result.4081",0,15,15,102.78744307,112.20308671,188.3128728,2171825.24024567,1494,39,0.973928320204697
"result.3809",0,14,14,103.159038718,111.821248076,188.206185142,2171028.44484487,1496,39.5,0.971421528789844
"result.3570",1,15,13,103.57208004,112.20308671,186.74359886,2170167.35838289,1499,39,0.968712471799627
"result.3537",0,13,13,103.52930131,111.43230141,188.09140238,2169918.02628469,1498,40,0.96792805014936
"result.3313",0,15,12,103.159038718,112.608721654,186.631237986,2168021.83464663,1495,39.5,0.961962457332961
"result.3041",0,14,11,103.52930131,112.22260142,186.51080236,2166943.58712833,1497,40,0.958570191741022
"result.2802",1,15,10,103.946512296,112.608721654,185.05629083,2166136.41610264,1500,39.5,0.956030757658602
"result.4067",2,14,15,103.978077315,111.01418781,187.6296132,2165816.46868024,1500,38.5,0.955024173721425
"result.4034",1,12,15,103.946512296,110.24630092,188.99365872,2165814.12233443,1500,39.5,0.955016791902302
"result.4049",0,13,15,103.159038718,111.033774498,188.99365872,2164759.3427294,1494,39.5,0.951698358518045
"result.4082",1,15,15,103.19628726,111.795977865,187.6296132,2164669.68457101,1494,38.5,0.951416285728118
"result.3810",1,14,14,103.57208004,111.41844974,187.52823583,2164045.948428,1497,39,0.949453954611674
"result.2545",0,15,9,103.52930131,113.01290143,184.93020234,2163710.50108881,1496,40,0.948398606514568
"result.3777",0,12,14,103.52930131,110.6420014,188.88170239,2163581.17764723,1496,40,0.94799174310551
"result.3538",1,13,13,103.946512296,111.033774498,187.418711564,2163106.85468151,1499,39.5,0.946499479549377
"result.3571",2,15,13,103.978077315,111.795977865,186.06603309,2162893.12485514,1499,38.5,0.94582706591182
