"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,106.789713173,148.609460989,132.927055558,2109547.28243488,1500,32.5,1
"result.3553",0,14,13,107.21582872,148.45268592,131.95794304,2100305.66388626,1500,33,0.955814826085407
"result.4065",0,14,15,106.789713173,147.862679778,132.927055558,2098946.54232214,1497,32.5,0.949316719464168
"result.3313",0,15,12,107.21582872,149.20244696,131.208182,2098919.44286154,1500,33,0.949187154023524
"result.4082",1,15,15,107.10567792,148.01409657,132.39451854,2098870.18209319,1499,32,0.94895163298297
"result.3825",0,15,14,106.789713173,148.609460989,132.180274347,2097695.89320772,1496,32.5,0.943337231311065
"result.4034",1,12,15,107.536494384,146.369117356,132.927055558,2092274.74784559,1499,32.5,0.917418151294763
"result.4017",0,11,15,107.21582872,146.2034028,133.45746512,2091988.33773795,1497,33,0.916048793714114
"result.3265",0,12,12,107.640259441,147.534901052,131.727590225,2091925.68685199,1500,33.5,0.915749253078702
"result.3794",1,13,14,107.536494384,147.115898567,132.180274347,2091135.29530578,1499,32.5,0.911970305944484
"result.3777",0,12,14,107.21582872,146.95316384,132.70770408,2090903.46910991,1497,33,0.910861919926555
"result.3025",0,13,11,107.640259441,148.287630139,130.974861138,2090583.92693622,1500,33.5,0.909334154368684
"result.3554",1,14,13,107.536494384,147.862679778,131.433493136,2089875.90039335,1499,32.5,0.905949003188911
"result.3537",0,13,13,107.21582872,147.70292488,131.95794304,2089698.0595232,1496,33,0.905098726829265
"result.2785",0,14,10,107.640259441,149.040359226,130.222132051,2089120.1888463,1499,33.5,0.902335864866846
"result.3314",1,15,12,107.536494384,148.609460989,130.686711925,2088496.56310831,1498,32.5,0.899354243028045
"result.3297",0,14,12,107.21582872,148.45268592,131.208182,2088372.10897782,1496,33,0.898759214422248
"result.4049",0,13,15,106.789713173,147.115898567,132.927055558,2088345.8022094,1493,32.5,0.898633438928337
"result.4066",1,14,15,107.10567792,147.27030714,132.39451854,2088323.09575101,1495,32,0.898524876904512
"result.4083",2,15,15,107.41390823,147.416329226,131.859832172,2087942.95934774,1497,31.5,0.896707403806952
"result.2545",0,15,9,107.640259441,149.793088313,129.469402964,2087534.47258221,1499,33.5,0.89475438457319
"result.3809",0,14,14,106.789713173,147.862679778,132.180274347,2087154.70781471,1492,32.5,0.892938688306333
"result.3826",1,15,14,107.10567792,148.01409657,131.65072911,2087078.77657581,1495,32,0.892575652872784
"result.3057",0,15,11,107.21582872,149.20244696,130.45842096,2086925.61747376,1495,33,0.891843382705501
"result.3569",0,15,13,106.789713173,148.609460989,131.433493136,2085844.50398056,1492,32.5,0.88667446262213
"result.3986",1,9,15,107.96558976,144.70388072,133.45746512,2085011.29217906,1500,33,0.882690787234213
"result.3969",0,8,15,107.640259441,144.523984704,133.985777486,2084363.04005404,1497,33.5,0.879591423985876
"result.3217",0,9,12,108.06302793,145.84730343,132.24496425,2084273.36993224,1500,34,0.87916270147305
"result.3746",1,10,14,107.96558976,145.45364176,132.70770408,2084040.22095956,1500,33,0.878047991116676
"result.3729",0,9,14,107.640259441,145.276713791,133.233048399,2083448.20374783,1497,33.5,0.875217493047227
"result.2977",0,10,11,108.06302793,146.60298894,131.48927874,2083100.86973894,1500,34,0.873556851731111
"result.3506",1,11,13,107.96558976,146.2034028,131.95794304,2082947.76583762,1499,33,0.872824845484448
"result.3489",0,10,13,107.640259441,146.029442878,132.480319312,2082411.38926747,1497,33.5,0.870260371316759
"result.2737",0,11,10,108.06302793,147.35867445,130.73359323,2081804.94847266,1499,34,0.867360912542653
"result.3266",1,12,12,107.96558976,146.95316384,131.208182,2081733.92681323,1499,33,0.867021350337529
"result.4018",1,11,15,107.536494384,145.622336145,132.927055558,2081599.87668312,1496,32.5,0.866380442223717
"result.4035",2,12,15,107.84946735,145.78272828,132.39451854,2081584.67947684,1498,32,0.866307782743273
"result.4001",0,10,15,107.21582872,145.45364176,133.45746512,2081260.19241622,1493,33,0.864756375148245
"result.3249",0,11,12,107.640259441,146.782171965,131.727590225,2081252.59661295,1496,33.5,0.864720058794471
"result.4052",3,13,15,108.154693804,145.934758078,131.859832172,2081213.49494921,1500,31.5,0.864533109527601
"result.3778",1,12,14,107.536494384,146.369117356,132.180274347,2080520.39532961,1495,32.5,0.861219325576083
"result.3043",2,14,11,108.283275595,147.862679778,129.939930714,2080475.41693988,1500,32.5,0.861004279049098
"result.3795",2,13,14,107.84946735,146.52651771,131.65072911,2080451.04874679,1497,32,0.860887772092675
"result.3026",1,13,11,107.96558976,147.70292488,130.45842096,2080398.70388642,1498,33,0.860637505675917
"result.2497",0,12,9,108.06302793,148.11435996,129.97790772,2080385.6061334,1499,34,0.860574883907675
"result.3761",0,11,14,107.21582872,146.2034028,132.70770408,2080235.59426751,1493,33,0.859857661015549
"result.3812",3,14,14,108.154693804,146.675543652,131.119046598,2080026.46848771,1499,31.5,0.858857808132426
"result.3009",0,12,11,107.640259441,147.534901052,130.974861138,2079971.82578426,1496,33.5,0.858596555480364
"result.3538",1,13,13,107.536494384,147.115898567,131.433493136,2079320.97160349,1495,32.5,0.855484751523156
"result.3555",2,14,13,107.84946735,147.27030714,130.90693968,2079198.08846621,1497,32,0.85489723400517
"result.3521",0,12,13,107.21582872,146.95316384,131.95794304,2079090.45516014,1493,33,0.854382627573125
"result.2803",2,15,10,108.283275595,148.609460989,129.193149503,2078965.72561794,1500,32.5,0.853786282194286
"result.2786",1,14,10,107.96558976,148.45268592,129.70865992,2078942.09705716,1498,33,0.853673311499612
"result.2257",0,13,8,108.06302793,148.87004547,129.22222221,2078842.84272116,1498,34,0.853198765826177
"result.3572",3,15,13,108.154693804,147.416329226,130.378261024,2078720.73938006,1499,31.5,0.852614976597736
"result.2769",0,13,10,107.640259441,148.287630139,130.222132051,2078569.07678142,1495,33.5,0.851889861374437
"result.3298",1,14,12,107.536494384,147.862679778,130.686711925,2078001.60550475,1494,32.5,0.849176720064937
"result.3315",2,15,12,107.84946735,148.01409657,130.16315025,2077825.79863509,1496,32,0.848336168480761
"result.3281",0,13,12,107.21582872,147.70292488,131.208182,2077824.77509409,1492,33,0.848331274820972
"result.4050",1,13,15,107.10567792,146.52651771,132.39451854,2077776.00940883,1491,32,0.848098120826053
"result.4033",0,12,15,106.789713173,146.369117356,132.927055558,2077745.06209667,1489,32.5,0.847950158392506
"result.2034",1,15,7,108.392988528,149.793088313,127.96394479,2077689.21323843,1500,33.5,0.847683138984491
"result.4067",2,14,15,107.41390823,146.675543652,131.859832172,2077450.78367262,1493,31.5,0.846543181543447
"result.2546",1,15,9,107.96558976,149.20244696,128.95889888,2077364.10632546,1497,33,0.846128767808617
"result.2017",0,14,7,108.06302793,149.62573098,128.4665367,2077176.65823595,1498,34,0.84523255829816
"result.3938",1,6,15,108.392988528,143.01852653,133.985777486,2077075.05739651,1500,33.5,0.844746793738965
"result.2529",0,14,9,107.640259441,149.040359226,129.469402964,2077044.34960441,1495,33.5,0.844599976476689
"result.4084",3,15,15,107.71434408,146.81612652,131.32296744,2076768.03525309,1495,31,0.843278887794678
"result.3793",0,13,14,106.789713173,147.115898567,132.180274347,2076613.52242171,1489,32.5,0.842540145301602
"result.3810",1,14,14,107.10567792,147.27030714,131.65072911,2076590.94352769,1491,32,0.842432193176787
"result.3058",1,15,11,107.536494384,148.609460989,129.939930714,2076562.29703341,1494,32.5,0.842295231201425
"result.3041",0,14,11,107.21582872,148.45268592,130.45842096,2076438.55406937,1492,33,0.841703602759089
"result.3698",1,7,14,108.392988528,143.771255617,133.233048399,2076276.654802,1500,33.5,0.840929544919781
"result.3827",2,15,14,107.41390823,147.416329226,131.119046598,2076212.94272219,1493,31.5,0.840624930602246
"result.3921",0,5,15,108.06302793,142.82456139,134.51202078,2076065.86857914,1497,34,0.839921753279481
"result.3169",0,6,12,108.484144054,144.13977182,132.76031615,2075957.10186893,1500,34.5,0.839401727920152
"result.2289",0,15,8,107.640259441,149.793088313,128.716673877,2075397.64425324,1494,33.5,0.836726900787122
"result.1777",0,15,6,108.06302793,150.38141649,127.71085119,2075387.05267775,1497,34,0.836676261323622
"result.3458",1,8,13,108.392988528,144.523984704,132.480319312,2075355.42103911,1499,33.5,0.836525027051492
"result.3681",0,6,14,108.06302793,143.5802469,133.75633527,2075325.34214126,1497,34,0.836381216600362
"result.3570",1,15,13,107.10567792,148.01409657,130.90693968,2075287.37105843,1490,32,0.836199672762596
"result.2929",0,7,11,108.484144054,144.898402198,132.001685772,2074958.14506803,1500,34.5,0.834625607833751
"result.2801",0,15,10,107.21582872,149.20244696,129.70865992,2074931.79208598,1491,33,0.834499611387478
"result.1265",0,15,4,108.484144054,150.967445222,126.691273126,2074895.71026797,1500,34.5,0.834327100328352
"result.3987",2,9,15,108.283275595,144.128773723,132.927055558,2074557.42695787,1498,32.5,0.832709731378234
"result.4004",3,10,15,108.59325678,144.29514942,132.39451854,2074553.28858206,1500,32,0.832689945357634
"result.3441",0,7,13,108.06302793,144.33593241,133.00064976,2074461.39463041,1497,34,0.832250590474724
"result.3218",1,9,12,108.392988528,145.276713791,131.727590225,2074311.35610784,1499,33.5,0.831533240134098
"result.3970",1,8,15,107.96558976,143.95411968,133.45746512,2074208.12486207,1496,33,0.831039680426624
"result.2689",0,8,10,108.484144054,145.657032576,131.243055394,2073834.31866702,1499,34.5,0.829252472736552
"result.3747",2,10,14,108.283275595,144.875554934,132.180274347,2073591.22451183,1498,32.5,0.828090213391155
"result.3764",3,11,14,108.59325678,145.03893885,131.65072911,2073531.99222199,1500,32,0.827807017432121
"result.3953",0,7,15,107.640259441,143.771255617,133.985777486,2073506.98255376,1493,33.5,0.827687443513915
"result.3201",0,8,12,108.06302793,145.09161792,132.24496425,2073474.02604658,1496,34,0.827529874902565
"result.3730",1,9,14,107.96558976,144.70388072,132.70770408,2073297.74559379,1496,33,0.826687059066433
"result.2978",1,10,11,108.392988528,146.029442878,130.974861138,2073144.46000817,1499,33.5,0.825954184167598
"result.3713",0,8,14,107.640259441,144.523984704,133.233048399,2072653.13533463,1493,33.5,0.823605107971177
"result.2449",0,9,9,108.484144054,146.415662954,130.484425016,2072585.6226659,1499,34.5,0.823282322628551
"result.3507",2,11,13,108.283275595,145.622336145,131.433493136,2072504.24676003,1498,32.5,0.82289325565569
"result.3524",3,12,13,108.59325678,145.78272828,130.90693968,2072390.54334897,1500,32,0.822349627397726
"result.2961",0,9,11,108.06302793,145.84730343,131.48927874,2072363.23638977,1496,34,0.822219069883887
"result.3490",1,10,13,107.96558976,145.45364176,131.95794304,2072265.98242306,1495,33,0.821754088191552
"result.2755",2,12,10,108.7153508,146.95316384,129.70865992,2072233.95055992,1500,33,0.821600940402952
