"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,96.85647324,187.16859018,128.26938348,2325330.17750671,1500,24,1
"result.3825",0,15,14,96.85647324,187.82302581,127.61494785,2321555.29085491,1499,24,0.983916574171841
"result.4049",0,13,15,96.85647324,186.51415455,128.26938348,2317199.65241053,1498,24,0.965358775139347
"result.3809",0,14,14,96.85647324,187.16859018,127.61494785,2313466.24802963,1496,24,0.949452090254352
"result.3569",0,15,13,96.85647324,187.82302581,126.96051222,2309649.87910694,1495,24,0.933191923483027
"result.4033",0,12,15,96.85647324,185.85971892,128.26938348,2309069.12731435,1495,24,0.930717550278694
"result.3538",1,13,13,97.51090887,186.51415455,126.96051222,2309051.74960627,1500,24,0.930643510153854
"result.4002",1,10,15,97.51090887,184.55084766,128.26938348,2308300.02358904,1500,24,0.92744067765674
"result.3793",0,13,14,96.85647324,186.51415455,127.61494785,2305377.20520435,1494,24,0.914987606336865
"result.3298",1,14,12,97.51090887,187.16859018,126.30607659,2305209.59440707,1499,24,0.914273477390828
"result.3762",1,11,14,97.51090887,185.20528329,127.61494785,2304666.6811724,1499,24,0.911960320587356
"result.3553",0,14,13,96.85647324,187.16859018,126.96051222,2301602.31855256,1493,24,0.898904180508706
"result.3058",1,15,11,97.51090887,187.82302581,125.65164096,2301283.91409485,1497,24,0.897547574350346
"result.3522",1,12,13,97.51090887,185.85971892,126.96051222,2300949.81364274,1497,24,0.896124093240517
"result.4017",0,11,15,96.85647324,185.20528329,128.26938348,2300938.60221818,1492,24,0.896076325418039
"result.2481",0,11,9,97.859791288,187.123790098,125.63081314,2300538.26451329,1500,24.5,0.894370631346481
"result.2017",0,14,7,97.859791288,189.107434516,124.308383528,2300452.69492934,1500,24.5,0.894006050318341
"result.3986",1,9,15,97.51090887,183.89641203,128.26938348,2300114.56251248,1497,24,0.892565390465946
"result.2945",0,8,11,97.859791288,185.14014568,126.953242752,2300110.41659353,1500,24.5,0.89254772620579
"result.3409",0,5,13,97.859791288,183.156501262,128.275672364,2299169.15117008,1499,24.5,0.888537334896271
"result.4068",3,14,15,97.784040326,185.206857836,126.924979496,2298646.26467425,1499,23.5,0.886309504778985
"result.3313",0,15,12,96.85647324,187.82302581,126.30607659,2297744.46735896,1491,24,0.88246727279421
"result.3873",0,2,15,97.859791288,181.172856844,129.598101976,2297714.46824292,1499,24.5,0.882339457417921
"result.3777",0,12,14,96.85647324,185.85971892,127.61494785,2297288.16237908,1491,24,0.880523122419379
"result.3282",1,13,12,97.51090887,186.51415455,126.30607659,2297149.42100006,1496,24,0.87993199561622
"result.3746",1,10,14,97.51090887,184.55084766,127.61494785,2296522.98265236,1496,24,0.877262968535291
"result.2241",0,12,8,97.859791288,187.785004904,124.969598334,2296516.49406761,1499,24.5,0.877235323023989
"result.2705",0,9,10,97.859791288,185.801360486,126.292027946,2296302.57010773,1499,24.5,0.876323870453642
"result.1777",0,15,6,97.859791288,189.768649322,123.647168722,2296217.00052378,1499,24.5,0.875959289425504
"result.3169",0,6,12,97.859791288,183.817716068,127.614457558,2295575.22864415,1498,24.5,0.873224931714469
"result.3828",3,15,14,97.784040326,185.854434262,126.27740307,2294914.69606276,1498,23.5,0.870410641443066
"result.3633",0,3,14,97.859791288,181.83407165,128.93688717,2294334.46967687,1498,24.5,0.867938506806466
"result.3537",0,13,13,96.85647324,186.51415455,126.96051222,2293554.75799818,1490,24,0.864616437534386
"result.3042",1,14,11,97.51090887,187.16859018,125.65164096,2293265.50324434,1495,24,0.863384027714466
