"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,120.12560152,79.030001,134.3510017,1275464.78261395,1237,40,1
"result.3840",15,15,14,120.12560152,79.030001,133.56070169,1267962.04859858,1234,40,0.980488431051635
"result.4095",14,15,15,119.33530151,79.030001,134.3510017,1267073.56693886,1229,40,0.978177850518277
"result.4080",15,14,15,120.12560152,78.23970099,134.3510017,1262710.13478781,1231,40,0.96683033278778
"result.3584",15,15,13,120.12560152,79.030001,132.77040168,1260459.3145832,1230,40,0.96097686210327
"result.3839",14,15,14,119.33530151,79.030001,133.56070169,1259620.19301569,1226,40,0.958794647155098
"result.4094",13,15,15,118.5450015,79.030001,134.3510017,1258682.35126377,1221,40,0.956355701036552
"result.3824",15,14,14,120.12560152,78.23970099,133.56070169,1255282.42811259,1227,40,0.947513879528898
"result.4079",14,14,15,119.33530151,78.23970099,134.3510017,1254402.83126947,1223,40,0.945226404800873
"result.3328",15,15,12,120.12560152,79.030001,131.98010167,1252956.58056782,1226,40,0.941465293154905
"result.3583",14,15,13,119.33530151,79.030001,132.77040168,1252166.81909252,1222,40,0.93941144379192
"result.3838",13,15,14,118.5450015,79.030001,133.56070169,1251278.33743281,1217,40,0.937100863258561
"result.4093",12,15,15,117.75470149,79.030001,134.3510017,1250291.13558868,1213,40,0.934533551554828
"result.4064",15,13,15,120.12560152,77.44940098,134.3510017,1249955.48696167,1225,40,0.933660665575559
"result.3568",15,14,13,120.12560152,78.23970099,132.77040168,1247854.72143737,1224,40,0.928197426270017
"result.3823",14,14,14,119.33530151,78.23970099,133.56070169,1247023.99108553,1219,40,0.926037033471326
"result.4078",13,14,15,118.5450015,78.23970099,134.3510017,1246095.52775113,1215,40,0.923622476813966
"result.3072",15,15,11,120.12560152,79.030001,131.18980166,1245453.84655245,1223,40,0.92195372420654
"result.3327",14,15,12,119.33530151,79.030001,131.98010167,1244713.44516935,1218,40,0.920028240428741
"result.3582",13,15,13,118.5450015,79.030001,132.77040168,1243874.32360184,1214,40,0.917846025480569
"result.3837",12,15,14,117.75470149,79.030001,133.56070169,1242936.48184992,1209,40,0.915407079362023
"result.3808",15,13,14,120.12560152,77.44940098,133.56070169,1242602.8076266,1221,40,0.914539328006162
"result.4092",11,15,15,116.96440148,79.030001,134.3510017,1241899.91991359,1205,40,0.912711402073104
"result.4063",14,13,15,119.33530151,77.44940098,134.3510017,1241732.09560008,1217,40,0.91227495908347
"result.3312",15,14,12,120.12560152,78.23970099,131.98010167,1240427.01476215,1220,40,0.908880973011136
"result.3567",14,14,13,119.33530151,78.23970099,132.77040168,1239645.1509016,1216,40,0.90684766214178
"result.3822",13,14,14,118.5450015,78.23970099,133.56070169,1238765.55405848,1211,40,0.904560187413755
"result.2816",15,15,10,120.12560152,79.030001,130.39950165,1237951.11253707,1219,40,0.902442155258176
"result.4077",12,14,15,117.75470149,78.23970099,134.3510017,1237788.22423279,1207,40,0.90201854882706
"result.3071",14,15,11,119.33530151,79.030001,131.18980166,1237260.07124618,1215,40,0.900645037065563
"result.4048",15,12,15,120.12560152,76.65910097,134.3510017,1237200.83913553,1219,40,0.900490998363339
"result.3326",13,15,12,118.5450015,79.030001,131.98010167,1236470.30977088,1210,40,0.898591187702577
"result.3581",12,15,13,117.75470149,79.030001,132.77040168,1235581.82811116,1206,40,0.896280607169218
"result.3552",15,13,13,120.12560152,77.44940098,132.77040168,1235250.12829154,1218,40,0.895417990436764
"result.3836",11,15,14,116.96440148,79.030001,133.56070169,1234594.62626703,1201,40,0.893713295465486
"result.3807",14,13,14,119.33530151,77.44940098,133.56070169,1234427.78915538,1213,40,0.893279419787555
"result.4062",13,13,15,118.5450015,77.44940098,134.3510017,1233508.70423849,1209,40,0.89088925259138
"result.4091",10,15,15,116.17410147,79.030001,134.3510017,1233508.70423849,1197,40,0.89088925259138
"result.3056",15,14,11,120.12560152,78.23970099,131.18980166,1232999.30808692,1217,40,0.889564519752255
"result.3311",14,14,12,119.33530151,78.23970099,131.98010167,1232266.31071766,1212,40,0.887658290812233
"result.3566",13,14,13,118.5450015,78.23970099,132.77040168,1231435.58036582,1208,40,0.885497898013543
"result.3821",12,14,14,117.75470149,78.23970099,133.56070169,1230507.11703142,1203,40,0.883083341356183
"result.2560",15,15,9,120.12560152,79.030001,129.60920164,1230448.3785217,1215,40,0.88293058630981
"result.3792",15,12,14,120.12560152,76.65910097,133.56070169,1229923.18714062,1215,40,0.881564776483425
"result.2815",14,15,10,119.33530151,79.030001,130.39950165,1229806.69732301,1211,40,0.881261833702385
"result.4076",11,14,15,116.96440148,78.23970099,134.3510017,1229480.92071445,1199,40,0.880414620840153
"result.3070",13,15,11,118.5450015,79.030001,131.18980166,1229066.29593992,1207,40,0.879336349924586
"result.4047",14,12,15,119.33530151,76.65910097,134.3510017,1229061.35993069,1211,40,0.879323513366067
"result.3325",12,15,12,117.75470149,79.030001,131.98010167,1228227.17437241,1202,40,0.877154134976413
"result.3296",15,13,12,120.12560152,77.44940098,131.98010167,1227897.44895647,1214,40,0.876296652867366
"result.3580",11,15,13,116.96440148,79.030001,132.77040168,1227289.33262048,1198,40,0.874715188857867
"result.3551",14,13,13,119.33530151,77.44940098,132.77040168,1227123.48271067,1210,40,0.87428388049164
"result.3806",13,13,14,118.5450015,77.44940098,133.56070169,1226252.77068415,1205,40,0.872019511568948
"result.3835",10,15,14,116.17410147,79.030001,133.56070169,1226252.77068415,1193,40,0.872019511568948
"result.2800",15,14,10,120.12560152,78.23970099,130.39950165,1225571.6014117,1213,40,0.870248066493374
"result.4061",12,13,15,117.75470149,77.44940098,134.3510017,1225285.3128769,1201,40,0.869503546099291
"result.4090",9,15,15,115.38380146,79.030001,134.3510017,1225117.4885634,1188,40,0.869067103109657
"result.3055",14,14,11,119.33530151,78.23970099,131.18980166,1224887.47053372,1209,40,0.868468919482687
"result.4032",15,11,15,120.12560152,75.86880096,134.3510017,1224446.19130939,1212,40,0.867321331151118
"result.3310",13,14,12,118.5450015,78.23970099,131.98010167,1224105.60667317,1204,40,0.866435608613331
"result.3565",12,14,13,117.75470149,78.23970099,132.77040168,1223226.00983005,1200,40,0.864148133885305
"result.2304",15,15,8,120.12560152,79.030001,128.81890163,1222945.64450632,1212,40,0.863419017361446
"result.3536",15,12,13,120.12560152,76.65910097,132.77040168,1222645.5351457,1211,40,0.862638554603511
"result.2559",14,15,9,119.33530151,79.030001,129.60920164,1222353.32339984,1207,40,0.861878630339206
"result.3820",11,14,14,116.96440148,78.23970099,133.56070169,1222248.68000436,1195,40,0.861606495298611
"result.3791",14,12,14,119.33530151,76.65910097,133.56070169,1221831.58722522,1207,40,0.860521806103784
"result.2814",13,15,10,118.5450015,79.030001,130.39950165,1221662.28210895,1203,40,0.860081512146594
"result.4075",10,14,15,116.17410147,78.23970099,134.3510017,1221173.61719611,1191,40,0.858810692853246
"result.4046",13,12,15,118.5450015,76.65910097,134.3510017,1220921.88072586,1203,40,0.858156028368795
"result.3069",12,15,11,117.75470149,79.030001,131.18980166,1220872.52063365,1199,40,0.858027662783608
"result.3040",15,13,11,120.12560152,77.44940098,131.18980166,1220544.7696214,1210,40,0.857175315297969
"result.3324",11,15,12,116.96440148,79.030001,131.98010167,1219984.03897393,1194,40,0.855717082250249
"result.3295",14,13,12,119.33530151,77.44940098,131.98010167,1219819.17626596,1206,40,0.855288341195725
"result.3550",13,13,13,118.5450015,77.44940098,132.77040168,1218996.83712981,1202,40,0.853149770546517
"result.3579",10,15,13,116.17410147,79.030001,132.77040168,1218996.83712981,1190,40,0.853149770546517
"result.2544",15,14,9,120.12560152,78.23970099,129.60920164,1218143.89473648,1209,40,0.850931613234492
"result.3805",12,13,14,117.75470149,77.44940098,133.56070169,1218077.75221292,1197,40,0.850759603350342
"result.3834",9,15,14,115.38380146,79.030001,133.56070169,1217910.91510126,1185,40,0.850325727672411
"result.2799",14,14,10,119.33530151,78.23970099,130.39950165,1217508.63034978,1205,40,0.849279548153141
"result.3776",15,11,14,120.12560152,75.86880096,133.56070169,1217243.56665463,1209,40,0.848590224960688
"result.4060",11,13,15,116.96440148,77.44940098,134.3510017,1217061.92151531,1193,40,0.848117839607202
"result.3054",13,14,11,118.5450015,78.23970099,131.18980166,1216775.63298052,1201,40,0.847373319213119
"result.4089",8,15,15,114.59350145,79.030001,134.3510017,1216726.27288831,1180,40,0.847244953627933
"result.4031",14,11,15,119.33530151,75.86880096,134.3510017,1216390.62426131,1204,40,0.846372067648664
"result.3309",12,14,12,117.75470149,78.23970099,131.98010167,1215944.90262868,1196,40,0.845212926414429
"result.2048",15,15,7,120.12560152,79.030001,128.02860162,1215442.91049094,1208,40,0.84390744841308
"result.3280",15,12,12,120.12560152,76.65910097,131.98010167,1215367.88315079,1208,40,0.843712332723597
"result.3564",11,14,13,116.96440148,78.23970099,132.77040168,1215016.43929428,1192,40,0.842798369757068
"result.2303",14,15,8,119.33530151,79.030001,128.81890163,1214899.94947667,1204,40,0.842495426976028
"result.3535",14,12,13,119.33530151,76.65910097,132.77040168,1214601.81451975,1203,40,0.841720098841501
"result.2558",13,15,9,118.5450015,79.030001,129.60920164,1214258.26827799,1199,40,0.840826674368602
"result.3819",10,14,14,116.17410147,78.23970099,133.56070169,1213990.24297731,1187,40,0.840129649241038
"result.3790",13,12,14,118.5450015,76.65910097,133.56070169,1213739.98730982,1199,40,0.839478835724143
"result.2813",12,15,10,117.75470149,79.030001,130.39950165,1213517.86689489,1195,40,0.838901190590803
"result.2784",15,13,10,120.12560152,77.44940098,130.39950165,1213192.09028633,1207,40,0.838053977728571
"result.4074",9,14,15,115.38380146,78.23970099,134.3510017,1212866.31367777,1182,40,0.83720676486634
"result.4045",12,12,15,117.75470149,76.65910097,134.3510017,1212782.40152102,1195,40,0.836988543371522
"result.3068",11,15,11,116.96440148,79.030001,131.18980166,1212678.74532738,1190,40,0.83671897564263
"result.3039",14,13,11,119.33530151,77.44940098,131.18980166,1212514.86982126,1202,40,0.836292801899811
"result.3294",13,13,12,118.5450015,77.44940098,131.98010167,1211740.90357546,1198,40,0.834280029524085
"result.3323",10,15,12,116.17410147,79.030001,131.98010167,1211740.90357546,1186,40,0.834280029524085
"result.4016",15,10,15,120.12560152,75.07850095,134.3510017,1211691.54348325,1206,40,0.834151663938898
"result.3549",12,13,13,117.75470149,77.44940098,132.77040168,1210870.19154894,1194,40,0.832015660601393
"result.2288",15,14,8,120.12560152,78.23970099,128.81890163,1210716.18806126,1205,40,0.831615159975611
"result.3578",9,15,13,115.38380146,79.030001,132.77040168,1210704.34163913,1181,40,0.831584352235166
"result.2543",14,14,9,119.33530151,78.23970099,129.60920164,1210129.79016584,1201,40,0.830090176823594
"result.3520",15,11,13,120.12560152,75.86880096,132.77040168,1210040.94199987,1205,40,0.829859118770258
"result.3804",11,13,14,116.96440148,77.44940098,133.56070169,1209902.73374169,1189,40,0.829499695131735
"result.3833",8,15,14,114.59350145,79.030001,133.56070169,1209569.05951838,1177,40,0.828631943775874
"result.2798",13,14,10,118.5450015,78.23970099,130.39950165,1209445.65928786,1197,40,0.828311029812907
"result.3775",14,11,14,119.33530151,75.86880096,133.56070169,1209235.38529506,1201,40,0.827764192420012
"result.4059",10,13,15,116.17410147,77.44940098,134.3510017,1208838.53015372,1185,40,0.826732133115112
"result.3053",12,14,11,117.75470149,78.23970099,131.18980166,1208663.79542731,1193,40,0.826277718943551
"result.4030",13,11,15,118.5450015,75.86880096,134.3510017,1208335.05721322,1196,40,0.825422804146209
"result.4088",7,15,15,113.80320144,79.030001,134.3510017,1208335.05721322,1172,40,0.825422804146209
"result.3024",15,12,11,120.12560152,76.65910097,131.18980166,1208090.23115587,1204,40,0.824786110843683
"result.1792",15,15,6,120.12560152,79.030001,127.23830161,1207940.17647557,1204,40,0.824395879464716
"result.3308",11,14,12,116.96440148,78.23970099,131.98010167,1207784.19858419,1188,40,0.823990244215526
"result.2047",14,15,7,119.33530151,79.030001,128.02860162,1207446.5755535,1200,40,0.82311222361285
"result.3279",14,12,12,119.33530151,76.65910097,131.98010167,1207372.04181427,1200,40,0.822918391579218
"result.2302",13,15,8,118.5450015,79.030001,128.81890163,1206854.25444703,1196,40,0.82157183659061
"result.3563",10,14,13,116.17410147,78.23970099,132.77040168,1206806.86875851,1184,40,0.821448605628831
"result.3534",13,12,13,118.5450015,76.65910097,132.77040168,1206558.09389379,1195,40,0.82080164307949
"result.2557",12,15,9,117.75470149,79.030001,129.60920164,1206163.21315614,1191,40,0.819774718397998
"result.2528",15,13,9,120.12560152,77.44940098,129.60920164,1205839.41095126,1203,40,0.818932640159173
"result.3818",9,14,14,115.38380146,78.23970099,133.56070169,1205731.80595025,1179,40,0.818652803183467
"result.3789",12,12,14,117.75470149,76.65910097,133.56070169,1205648.38739442,1191,40,0.818435865344502
"result.2812",11,15,10,116.96440148,79.030001,130.39950165,1205373.45168083,1187,40,0.817720869035012
"result.2783",14,13,10,119.33530151,77.44940098,130.39950165,1205210.56337655,1199,40,0.817297262603896
