"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,105.541657425,132.122519295,152.449060725,2125815.20547037,1497,38.5,1
"result.3553",0,14,13,105.92599095,131.81901096,152.21957218,2125450.92240559,1500,39,0.998642759914886
"result.4065",0,14,15,105.541657425,131.34072924,153.23085078,2124073.52710449,1497,38.5,0.993510882272352
"result.3793",0,13,14,105.92599095,131.03437399,153.00420915,2123690.1475251,1499,39,0.992082492694944
"result.4033",0,12,15,105.92599095,130.24973702,153.78884612,2121798.94487568,1499,39,0.985036279755007
"result.4001",0,10,15,106.30893303,129.145666792,154.344821288,2119052.2265113,1500,39.5,0.97480259988603
"result.3826",1,15,14,105.934854,131.63963475,151.89188625,2118166.60353181,1497,38,0.971502959786679
"result.3554",1,14,13,106.32344748,131.34072924,151.66727067,2117972.63564342,1500,38.5,0.970780277293859
"result.2545",0,15,9,106.30893303,133.083034682,149.61997982,2116810.81985061,1500,39.5,0.966451602375991
"result.4066",1,14,15,105.934854,130.860702,152.670819,2116431.19165818,1497,38,0.96503718965684
"result.3794",1,13,14,106.32344748,130.558939185,152.449060725,2116218.05595631,1500,38.5,0.964243092027488
"result.3057",0,15,11,105.92599095,132.60364793,150.65029824,2116060.12304297,1497,39,0.963654668075198
"result.2785",0,14,10,106.30893303,132.295561104,150.407453398,2115360.49789369,1499,39.5,0.961048015751848
"result.3569",0,15,13,105.541657425,132.122519295,151.66727067,2114913.58903206,1494,38.5,0.959382929778797
"result.3297",0,14,12,105.92599095,131.81901096,151.43493521,2114494.98981587,1496,39,0.95782331943525
"result.4034",1,12,15,106.32344748,129.77714913,153.23085078,2114333.50740348,1499,38.5,0.95722167081546
"result.3025",0,13,11,106.30893303,131.508087526,151.194926976,2113778.32848614,1499,39.5,0.955153193980056
"result.4081",0,15,15,105.15592125,131.63963475,152.670819,2113374.37139712,1490,38,0.953648137042513
"result.3809",0,14,14,105.541657425,131.34072924,152.449060725,2113236.41727232,1493,38.5,0.953134149744766
"result.3537",0,13,13,105.92599095,131.03437399,152.21957218,2112799.42881984,1495,39,0.951506025075306
"result.3265",0,12,12,106.30893303,130.720613948,151.982400554,2112064.31162796,1498,39.5,0.948767137060614
"result.4049",0,13,15,105.541657425,130.558939185,153.23085078,2111430.2323003,1492,38.5,0.946404694323503
"result.2993",0,11,11,106.69050135,130.39950165,151.73760192,2111032.42348427,1500,40,0.944922544524288
"result.3777",0,12,14,105.92599095,130.24973702,153.00420915,2110973.44005489,1495,39,0.944702784995366
"result.3827",2,15,14,106.320899794,131.154978578,151.33266759,2110260.70387641,1497,37.5,0.942047283806681
"result.3555",2,14,13,106.71378675,130.860702,151.1129535,2110238.1532072,1500,38,0.941963264879763
"result.3505",0,11,13,106.30893303,129.93314037,152.769874132,2110218.44731915,1497,39.5,0.941889844993522
"result.2546",1,15,9,106.71062792,132.60364793,149.0810243,2109529.0732805,1500,39,0.939321386096155
"result.3233",0,10,12,106.69050135,129.60920164,152.52790193,2109166.61199887,1500,40,0.937970933581912
"result.4017",0,11,15,105.92599095,129.46510005,153.78884612,2109017.02352101,1494,39,0.937413599195431
"result.3058",1,15,11,106.32344748,132.122519295,150.10369056,2108614.87731215,1497,38.5,0.935915289206547
"result.4067",2,14,15,106.320899794,130.378913616,152.108732552,2108531.76929881,1497,37.5,0.935605646684015
"result.3795",2,13,14,106.71378675,130.08176925,151.89188625,2108489.98095215,1500,38,0.935449952322499
"result.3745",0,10,14,106.30893303,129.145666792,153.55734771,2108240.73555971,1497,39.5,0.934521317778782
"result.2786",1,14,10,106.71062792,131.81901096,149.86566127,2108083.74037448,1499,39,0.933936387599019
"result.3570",1,15,13,105.934854,131.63963475,151.1129535,2107304.21069318,1494,38,0.931032028233238
"result.3473",0,9,13,106.69050135,128.81890163,153.31820194,2107167.52826451,1499,40,0.930522779000796
"result.3298",1,14,12,106.32344748,131.34072924,150.885480615,2107055.25092361,1496,38.5,0.930104457858661
"result.4035",2,12,15,106.71378675,129.3028365,152.670819,2106612.31445599,1499,38,0.928454172168399
"result.3026",1,13,11,106.71062792,131.03437399,150.65029824,2106507.01356792,1499,39,0.92806184378396
"result.3985",0,9,15,106.30893303,128.358193214,154.344821288,2106131.17634965,1496,39.5,0.926661555416393
"result.1777",0,15,6,106.69050135,133.56070169,147.78610187,2105901.44189941,1498,40,0.925805614432755
"result.2289",0,15,8,106.30893303,133.083034682,148.832506242,2105669.71027244,1496,39.5,0.92494223239962
"result.3810",1,14,14,105.934854,130.860702,151.89188625,2105633.07333339,1493,38,0.924805731071169
"result.4082",1,15,15,105.544834832,131.154978578,152.108732552,2105600.19923375,1490,37.5,0.924683249270294
"result.3538",1,13,13,106.32344748,130.558939185,151.66727067,2105365.65566935,1496,38.5,0.923809390565119
"result.2801",0,15,10,105.92599095,132.60364793,149.86566127,2105038.97656879,1493,39,0.922592254735563
"result.3713",0,8,14,106.69050135,128.02860162,154.10850195,2105035.17228119,1498,40,0.922578080780939
"result.3266",1,12,12,106.71062792,130.24973702,151.43493521,2104798.89286081,1498,39,0.921697754650978
"result.2017",0,14,7,106.69050135,132.77040168,148.57640188,2104635.35553432,1498,40,0.921088449864715
"result.2529",0,14,9,106.30893303,132.295561104,149.61997982,2104285.31204084,1495,39.5,0.919784263349301
"result.3313",0,15,12,105.541657425,132.122519295,150.885480615,2104011.97259375,1490,38.5,0.918765859557594
"result.4050",1,13,15,105.934854,130.08176925,152.670819,2103833.38694593,1492,38,0.918100487973558
"result.3778",1,12,14,106.32344748,129.77714913,152.449060725,2103546.09154938,1495,38.5,0.91703008732592
"result.3041",0,14,11,105.92599095,131.81901096,150.65029824,2103539.05722615,1492,39,0.917003878955614
"result.2257",0,13,8,106.69050135,131.98010167,149.36670189,2103235.99692026,1497,40,0.915874741657935
"result.3506",1,11,13,106.71062792,129.46510005,152.21957218,2102959.37825315,1498,39,0.914844120200078
"result.3953",0,7,15,106.69050135,127.23830161,154.89880196,2102769.54404891,1497,40,0.914136838922339
"result.2769",0,13,10,106.30893303,131.508087526,150.407453398,2102769.0663586,1495,39.5,0.914135059151334
