"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,129.599654505,107.182416969,124.695883794,1732126.10735007,1498,27.5,1
"result.3057",0,15,11,130.06669464,108.15328413,122.99785254,1730228.03367288,1500,28,0.988999519919384
"result.3297",0,14,12,130.06669464,107.44639992,123.70473675,1728798.20057466,1499,28,0.980712775993381
"result.3537",0,13,13,130.06669464,106.73951571,124.41162096,1727238.38264933,1498,28,0.971672691710468
"result.3777",0,12,14,130.06669464,106.0326315,125.11850517,1725548.57989689,1498,28,0.961879267070645
"result.4017",0,11,15,130.06669464,105.32574729,125.82538938,1723728.79231734,1497,28,0.951332502073913
"result.4081",0,15,15,128.899115832,107.182416969,124.695883794,1722763.26352656,1490,27.5,0.945736681238369
"result.3826",1,15,14,129.599654505,107.182416969,123.995345121,1722395.06180316,1494,27.5,0.943602730500552
"result.3571",2,15,13,130.300193178,107.182416969,123.294806448,1721921.65958736,1497,27.5,0.940859079551929
"result.4002",1,10,15,130.77357885,104.61886308,125.82538938,1721465.36087134,1500,28,0.938214553685122
"result.4066",1,14,15,129.599654505,106.481878296,124.695883794,1720805.02168112,1493,27.5,0.934387490386263
"result.3811",2,14,14,130.300193178,106.481878296,123.995345121,1720386.97005119,1497,27.5,0.931964629417835
"result.2801",0,15,10,130.06669464,108.15328413,122.29096833,1720284.1943989,1495,28,0.931368982615814
"result.2546",1,15,9,130.77357885,108.15328413,121.58408412,1719635.6831419,1499,28,0.927610469313408
"result.3041",0,14,11,130.06669464,107.44639992,122.99785254,1718919.35371423,1495,28,0.923458908868265
"result.4051",2,13,15,130.300193178,105.781339623,124.695883794,1718724.38972034,1496,27.5,0.922328975105901
"result.2786",1,14,10,130.77357885,107.44639992,122.29096833,1718328.77047801,1499,28,0.920036123333612
"result.3796",3,13,14,131.000731851,105.781339623,123.995345121,1718257.1757688,1500,27.5,0.919621188875561
"result.3281",0,13,12,130.06669464,106.73951571,123.70473675,1717424.52820246,1494,28,0.914795494763807
"result.3217",0,9,12,131.222359264,104.835254412,124.8038743,1716893.12906123,1500,28.5,0.911715716703431
"result.3026",1,13,11,130.77357885,106.73951571,122.99785254,1716891.16654774,1498,28,0.911704342755837
"result.4036",3,12,15,131.000731851,105.08080095,124.695883794,1716521.36764421,1499,27.5,0.90956113539728
"result.3521",0,12,13,130.06669464,106.0326315,124.41162096,1715799.71786357,1493,28,0.90537874030244
"result.1521",0,15,5,131.222359264,109.114244388,119.811719328,1715491.58364975,1500,28.5,0.903592916958447
"result.3266",1,12,12,130.77357885,106.0326315,123.70473675,1715322.87135107,1497,28,0.902615127580082
"result.3457",0,8,13,131.222359264,104.122089416,125.517039296,1714957.66158823,1500,28.5,0.900498517055597
"result.1761",0,14,6,131.222359264,108.401079392,120.524884324,1714423.73952672,1499,28.5,0.897404117152745
"result.3761",0,11,14,130.06669464,105.32574729,125.11850517,1714044.92269758,1493,28,0.895208645484163
"result.3506",1,11,13,130.77357885,105.32574729,124.41162096,1713623.88488802,1496,28,0.892768477806347
"result.2001",0,13,7,131.222359264,107.687914396,121.23804932,1713222.41488831,1499,28.5,0.89044171737133
"result.3251",2,11,12,131.48046306,105.32574729,123.70473675,1713097.58762608,1500,28,0.889718268209079
"result.3825",0,15,14,128.899115832,107.182416969,123.995345121,1713084.81822585,1485,27.5,0.889644261844322
"result.3697",0,7,14,131.222359264,103.40892442,126.230204292,1712888.71359986,1499,28.5,0.888507717432048
"result.3570",1,15,13,129.599654505,107.182416969,123.294806448,1712664.01625625,1489,27.5,0.887205461001104
"result.4085",4,15,15,130.4990062,106.20397845,123.5575697,1712447.82285561,1494,27,0.885952490041206
"result.4001",0,10,15,130.06669464,104.61886308,125.82538938,1712160.14270447,1492,28,0.884285210308976
"result.3315",2,15,12,130.300193178,107.182416969,122.594267775,1712138.01379425,1493,27.5,0.884156959947079
"result.2241",0,12,8,131.222359264,106.9747494,121.951214316,1711887.60973452,1498,28.5,0.882705717614203
"result.3830",5,15,14,131.19314985,106.20397845,122.86342605,1711884.92164681,1498,27,0.88269013852703
"result.3746",1,10,14,130.77357885,104.61886308,125.11850517,1711794.20715858,1496,28,0.882164393434633
"result.3060",3,15,11,131.000731851,107.182416969,121.893729102,1711506.81083986,1497,27.5,0.88049875868225
"result.4065",0,14,15,128.899115832,106.481878296,124.695883794,1711503.37291527,1485,27.5,0.88047883383876
"result.3491",2,10,13,131.48046306,104.61886308,124.41162096,1711323.71859958,1500,28,0.879437628881907
"result.3810",1,14,14,129.599654505,106.481878296,123.995345121,1711137.57773909,1489,27.5,0.878358830491386
"result.3937",0,6,15,131.222359264,102.695759424,126.943369288,1710686.28509611,1498,28.5,0.875743317832788
"result.3555",2,14,13,130.300193178,106.481878296,123.294806448,1710667.26965542,1492,27.5,0.875633111901905
"result.2481",0,11,9,131.222359264,106.261584404,122.664379312,1710419.32406535,1498,28.5,0.874196117881363
"result.2545",0,15,9,130.06669464,108.15328413,121.58408412,1710340.35512492,1491,28,0.873738445312245
"result.4070",5,14,15,131.19314985,105.5098348,123.5575697,1710304.58402851,1497,27,0.873531130265308
"result.3300",3,14,12,131.000731851,106.481878296,122.594267775,1710092.44866427,1496,27.5,0.872301678070319
"result.3986",1,9,15,130.77357885,103.91197887,125.82538938,1709833.83816275,1495,28,0.87080287446494
"result.2290",1,15,8,130.77357885,108.15328413,120.87719991,1709637.80126317,1495,28,0.869666722567971
"result.4050",1,13,15,129.599654505,105.781339623,124.695883794,1709483.93601216,1488,27.5,0.868774980772525
"result.3731",2,9,14,131.48046306,103.91197887,125.11850517,1709418.45186742,1499,28,0.868395460715686
"result.3045",4,14,11,131.701270524,106.481878296,121.893729102,1709413.11476564,1500,27.5,0.868364528996625
"result.3795",2,13,14,130.300193178,105.781339623,123.995345121,1709068.63472191,1492,27.5,0.86636805967889
"result.2785",0,14,10,130.06669464,107.44639992,122.29096833,1709040.50685381,1490,28,0.866205041743151
"result.2035",2,15,7,131.48046306,108.15328413,120.1703157,1708827.16219192,1498,28,0.864968580939962
"result.2721",0,10,10,131.222359264,105.548419408,123.377544308,1708817.5578808,1497,28.5,0.86491291817281
"result.3540",3,13,13,131.000731851,105.781339623,123.294806448,1708549.50810909,1496,27.5,0.863359408311848
"result.2530",1,14,9,130.77357885,107.44639992,121.58408412,1708396.23423248,1494,28,0.862471093887165
"result.4055",6,13,15,131.8872935,104.81569115,123.5575697,1708042.27637768,1500,27,0.860419694946303
"result.3285",4,13,12,131.701270524,105.781339623,122.594267775,1707926.55617371,1499,27.5,0.859749026671395
"result.2275",2,14,8,131.48046306,107.44639992,120.87719991,1707644.58284092,1498,28,0.858114821388515
"result.3025",0,13,11,130.06669464,106.73951571,122.99785254,1707610.67375559,1490,28,0.857918297817147
"result.3971",2,8,15,131.48046306,103.20509466,125.82538938,1707381.78742959,1498,28,0.856591763710415
"result.4035",2,12,15,130.300193178,105.08080095,124.695883794,1707342.10899371,1491,27.5,0.856361803278034
"result.2961",0,9,11,131.222359264,104.835254412,124.090709304,1707082.31118088,1496,28.5,0.854856118488545
"result.2770",1,13,10,130.77357885,106.73951571,122.29096833,1707023.97593539,1494,28,0.854518030608379
"result.3780",3,12,14,131.000731851,105.08080095,123.995345121,1706877.9891743,1495,27.5,0.853671949406837
"result.2706",1,9,10,131.93552426,104.835254412,123.377544308,1706495.79489455,1500,28.5,0.851456903377871
"result.2515",2,13,9,131.48046306,106.73951571,121.58408412,1706330.60578426,1497,28,0.850499532998017
"result.3525",4,12,13,131.701270524,105.08080095,123.294806448,1706310.73161725,1499,27.5,0.850384350230929
"result.3265",0,12,12,130.06669464,106.0326315,123.70473675,1706050.85583026,1489,28,0.848878213534234
"result.3010",1,12,11,130.77357885,106.0326315,122.99785254,1705521.02637192,1493,28,0.845807532731614
"result.1265",0,15,4,131.222359264,109.114244388,119.098554332,1705280.32422326,1495,28.5,0.844412518816423
"result.3201",0,8,12,131.222359264,104.122089416,124.8038743,1705213.58396557,1495,28.5,0.844025718828566
"result.4020",3,11,15,131.000731851,104.380262277,124.695883794,1705077.89185992,1494,27.5,0.843239301355288
"result.2755",2,12,10,131.48046306,106.0326315,122.29096833,1704885.23102193,1497,28,0.84212271576847
"result.2946",1,8,11,131.93552426,104.122089416,124.090709304,1704684.01452956,1499,28.5,0.84095654501188
"result.3765",4,11,14,131.701270524,104.380262277,123.995345121,1704565.64109628,1498,27.5,0.840270499675225
"result.3505",0,11,13,130.06669464,105.32574729,124.41162096,1704361.05307782,1488,28,0.839084788894411
"result.1010",1,15,3,131.93552426,109.114244388,118.385389336,1704281.39667067,1499,28.5,0.83862313204166
"result.1505",0,14,5,131.222359264,108.401079392,119.811719328,1704279.22035792,1495,28.5,0.838610518998576
"result.2500",3,12,9,132.18734727,106.0326315,121.58408412,1704143.46978026,1500,28,0.837823762644803
"result.3250",1,11,12,130.77357885,105.32574729,123.70473675,1703887.38554207,1492,28,0.83633960025687
"result.3569",0,15,13,128.899115832,107.182416969,123.294806448,1703406.37292514,1481,27.5,0.833551842450277
"result.1250",1,14,4,131.93552426,108.401079392,119.098554332,1703341.95499993,1499,28.5,0.833178501777811
"result.4084",3,15,15,129.80486255,106.20397845,123.5575697,1703339.05784042,1486,27,0.833161710993636
"result.2995",2,11,11,131.48046306,105.32574729,122.99785254,1703308.45855393,1496,28,0.832984369699874
"result.3441",0,7,13,131.222359264,103.40892442,125.517039296,1703211.37623489,1494,28.5,0.832421719192875
"result.1745",0,13,6,131.222359264,107.687914396,120.524884324,1703144.6359772,1494,28.5,0.832034919205018
"result.3314",1,15,12,129.599654505,107.182416969,122.594267775,1702932.97070934,1485,27.5,0.830808191501656
"result.3829",4,15,14,130.4990062,106.20397845,122.86342605,1702827.32946878,1490,27,0.830195936889841
"result.3186",1,7,12,131.93552426,103.40892442,124.8038743,1702738.0282116,1498,28.5,0.82967838232248
"result.4005",4,10,15,131.701270524,103.679723604,124.695883794,1702691.28461079,1497,27.5,0.829407475004283
"result.2740",3,11,10,132.18734727,105.32574729,122.29096833,1702624.2721134,1500,28,0.829019097223424
"result.3745",0,10,14,130.06669464,104.61886308,125.11850517,1702541.26549826,1488,28,0.82853802389768
"result.3059",2,15,11,130.300193178,107.182416969,121.893729102,1702354.36800114,1489,27.5,0.827454840342228
"result.1490",1,13,5,131.93552426,107.687914396,119.811719328,1702268.30737623,1498,28.5,0.826956067190556
"result.3574",5,15,13,131.19314985,106.20397845,122.1692824,1702213.25542282,1494,27,0.826637007965286
"result.3490",1,10,13,130.77357885,104.61886308,124.41162096,1702123.05344582,1491,28,0.826114233184146
"result.1681",0,9,6,132.36943256,105.75166623,121.57844621,1701890.11085756,1500,29,0.824764190594739
"result.3809",0,14,14,128.899115832,106.481878296,123.995345121,1701888.18542698,1481,27.5,0.824753031564936
"result.1985",0,12,7,131.222359264,106.9747494,121.23804932,1701876.5710811,1494,28.5,0.824685719435748
"result.2804",3,15,10,131.000731851,107.182416969,121.193190429,1701670.56480055,1493,27.5,0.823491788971997
"result.3235",2,10,12,131.48046306,104.61886308,123.70473675,1701600.28838027,1495,28,0.823084494792227
"result.3319",6,15,12,131.8872935,106.20397845,121.47513875,1701496.83570252,1498,27,0.822484924219971
"result.3554",1,14,13,129.599654505,106.481878296,123.294806448,1701470.13379706,1484,27.5,0.822330170596509
"result.4069",4,14,15,130.4990062,105.5098348,123.5575697,1701255.35342518,1490,27,0.82108538898929
"result.3681",0,6,14,131.222359264,102.695759424,126.230204292,1701075.68798882,1494,28.5,0.820044119581471
"result.1730",1,12,6,131.93552426,106.9747494,120.524884324,1701060.45379957,1498,28.5,0.819955828279895
"result.2980",3,10,11,132.18734727,104.61886308,122.99785254,1700972.9703016,1499,28,0.819448808721925
"result.3299",2,14,12,130.300193178,106.481878296,122.594267775,1700947.56925965,1488,27.5,0.819301594385975
"result.2549",4,15,9,131.701270524,107.182416969,120.492651756,1700881.56110756,1496,27.5,0.818919037390961
"result.3814",5,14,14,131.19314985,105.5098348,122.86342605,1700696.13130925,1493,27,0.817844360034031
"result.3426",1,6,13,131.93552426,102.695759424,125.517039296,1700657.83594068,1497,28.5,0.817622415309674
"result.3985",0,9,15,130.06669464,103.91197887,125.82538938,1700591.4930916,1487,28,0.817237918544039
"result.4089",8,15,15,132.034684416,105.215139144,122.407155344,1700486.03996213,1498,26.5,0.816626754149231
"result.2225",0,11,8,131.222359264,106.261584404,121.951214316,1700475.02566962,1493,28.5,0.816562919690763
"result.2289",0,15,8,130.06669464,108.15328413,120.87719991,1700396.51585093,1487,28,0.816107908008675
"result.3044",3,14,11,131.000731851,106.481878296,121.893729102,1700320.49181476,1492,27.5,0.815667302933336
"result.1921",0,8,7,132.36943256,105.03226714,122.2978453,1700314.47697479,1500,29,0.815632443313234
"result.4049",0,13,15,128.899115832,105.781339623,124.695883794,1700243.48230399,1480,27.5,0.815220986439152
"result.3730",1,9,14,130.77357885,103.91197887,125.11850517,1700228.03008318,1491,28,0.815131431513441
"result.3990",5,9,15,132.401809197,102.979184931,124.695883794,1700182.28724632,1500,27.5,0.814866324225023
"result.3377",0,3,13,132.36943256,101.43527169,126.61423984,1700040.45369083,1500,29,0.814044313351234
"result.3559",6,14,13,131.8872935,105.5098348,122.1692824,1700035.23244496,1497,27,0.814014053086906
"result.2294",5,15,8,132.401809197,107.182416969,119.792113083,1699987.35692217,1500,27.5,0.81373658559912
"result.3794",1,13,14,129.599654505,105.781339623,123.995345121,1699880.09367501,1484,27.5,0.813114930482221
"result.3475",2,9,13,131.48046306,103.91197887,124.41162096,1699760.72050094,1494,28,0.812423091045531
"result.1970",1,11,7,131.93552426,106.261584404,121.23804932,1699718.39426994,1497,28.5,0.812177785045827
"result.2034",1,15,7,130.77357885,108.15328413,120.1703157,1699639.91938444,1490,28,0.811722975822534
"result.2789",4,14,10,131.701270524,106.481878296,121.193190429,1699588.90146239,1496,27.5,0.811427296238587
"result.3539",2,13,13,130.300193178,105.781339623,123.294806448,1699412.87972348,1488,27.5,0.810407144251882
"result.3304",7,14,12,132.58143715,105.5098348,121.47513875,1699272.65683232,1500,27,0.809594468147916
"result.3220",3,9,12,132.18734727,103.91197887,123.70473675,1699189.56434485,1498,28,0.809112897140306
"result.2529",0,14,9,130.06669464,107.44639992,121.58408412,1699161.65999338,1486,28,0.808951174618035
"result.4054",5,13,15,131.19314985,104.81569115,123.5575697,1699052.58018622,1492,27,0.80831899144184
"result.2465",0,10,9,131.222359264,105.548419408,122.664379312,1698939.99974276,1493,28.5,0.807666519970067
"result.3284",3,13,12,131.000731851,105.781339623,122.594267775,1698841.84044938,1491,27.5,0.807097627748134
"result.3921",0,5,15,131.222359264,101.982594428,126.943369288,1698806.51922738,1493,28.5,0.806892919994354
"result.1779",2,15,6,131.48046306,108.15328413,119.46343149,1698775.23770844,1494,28,0.806711624752658
"result.2534",5,14,9,132.401809197,106.481878296,120.492651756,1698752.79820254,1499,27.5,0.806581574301734
"result.2161",0,7,8,132.36943256,104.31286805,123.01724439,1698601.83145004,1499,29,0.805706631050729
"result.2274",1,14,8,130.77357885,107.44639992,120.87719991,1698463.69798694,1490,28,0.804906064440717
"result.3799",6,13,14,131.8872935,104.81569115,122.86342605,1698446.53325196,1496,27,0.804806584464011
"result.3666",1,5,14,131.93552426,101.982594428,126.230204292,1698443.4377168,1496,28.5,0.804788643973462
