"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,25.28960032,324.81330411,79.030001,649183.932698866,405,40,1
"result.4080",15,14,15,25.28960032,324.0230041,79.030001,647604.409748261,404,40,0.995693020000538
"result.4064",15,13,15,25.28960032,323.23270409,79.030001,646024.886797655,404,40,0.991386040001077
"result.4048",15,12,15,25.28960032,322.44240408,79.030001,644445.36384705,403,40,0.987079060001615
"result.4032",15,11,15,25.28960032,321.65210407,79.030001,642865.840896444,403,40,0.982772080002153
"result.3840",15,15,14,25.28960032,324.81330411,78.23970099,642692.093371877,403,40,0.982298312202213
"result.4016",15,10,15,25.28960032,320.86180406,79.030001,641286.317945839,402,40,0.978465100002692
"result.3824",15,14,14,25.28960032,324.0230041,78.23970099,641128.365650778,402,40,0.978034402002745
"result.4000",15,9,15,25.28960032,320.07150405,79.030001,639706.794995233,402,40,0.97415812000323
"result.3808",15,13,14,25.28960032,323.23270409,78.23970099,639564.637929679,402,40,0.973770491803279
"result.3984",15,8,15,25.28960032,319.28120404,79.030001,638127.272044627,401,40,0.969851140003768
"result.3792",15,12,14,25.28960032,322.44240408,78.23970099,638000.910208579,401,40,0.969506581603812
"result.3968",15,7,15,25.28960032,318.49090403,79.030001,636547.749094022,401,40,0.965544160004307
"result.3776",15,11,14,25.28960032,321.65210407,78.23970099,636437.18248748,401,40,0.965242671404345
"result.3584",15,15,13,25.28960032,324.81330411,77.44940098,636200.254044889,401,40,0.964596624404425
"result.3952",15,6,15,25.28960032,317.70060402,79.030001,634968.226143416,400,40,0.961237180004845
"result.3760",15,10,14,25.28960032,320.86180406,78.23970099,634873.45476638,400,40,0.960978761204878
"result.3568",15,14,13,25.28960032,324.0230041,77.44940098,634652.321553295,400,40,0.960375784004953
"result.3936",15,5,15,25.28960032,316.91030401,79.030001,633388.703192811,400,40,0.956930200005384
"result.3744",15,9,14,25.28960032,320.07150405,78.23970099,633309.727045281,400,40,0.956714851005411
"result.3552",15,13,13,25.28960032,323.23270409,77.44940098,633104.389061702,400,40,0.95615494360548
"result.3920",15,4,15,25.28960032,316.120004,79.030001,631809.180242206,399,40,0.952623220005922
"result.3728",15,8,14,25.28960032,319.28120404,78.23970099,631745.999324181,399,40,0.952450940805944
"result.3536",15,12,13,25.28960032,322.44240408,77.44940098,631556.456570109,399,40,0.951934103206008
"result.3904",15,3,15,25.28960032,315.32970399,79.030001,630229.6572916,399,40,0.94831624000646
"result.3712",15,7,14,25.28960032,318.49090403,78.23970099,630182.271603082,399,40,0.948187030606476
