"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,132.62055768,109.95037688,116.1846766,1694167.8098183,1498,18,1
"result.3825",0,15,14,132.62055768,109.95037688,115.61792208,1685903.57659968,1495,18,0.949877996268121
"result.4065",0,14,15,132.62055768,109.38362236,116.1846766,1685434.98605635,1495,18,0.947036026984355
"result.3570",1,15,13,133.1873122,109.95037688,115.05116756,1684808.74228439,1497,18,0.943237901756632
"result.3810",1,14,14,133.1873122,109.38362236,115.61792208,1684380.93040529,1497,18,0.940643252255136
"result.4050",1,13,15,133.1873122,108.81686784,116.1846766,1683867.55615036,1497,18,0.937529672853341
"result.3315",2,15,12,133.75406672,109.95037688,114.48441304,1683643.27349715,1500,18,0.936169414050854
"result.3555",2,14,13,133.75406672,109.38362236,115.05116756,1683256.60437748,1500,18,0.93382429254397
"result.3795",2,13,14,133.75406672,108.81686784,115.61792208,1682784.00878678,1500,18,0.930958032924445
"result.4035",2,12,15,133.75406672,108.25011332,116.1846766,1682225.48672504,1500,18,0.92757063519228
"result.3569",0,15,13,132.62055768,109.95037688,115.05116756,1677639.34338105,1491,18,0.899755992536242
"result.3809",0,14,14,132.62055768,109.38362236,115.61792208,1677213.35197803,1491,18,0.897172384096454
"result.4049",0,13,15,132.62055768,108.81686784,116.1846766,1676702.1622944,1491,18,0.89407205396871
"result.3314",1,15,12,133.1873122,109.95037688,114.48441304,1676509.19182979,1494,18,0.892901701427609
"result.3554",1,14,13,133.1873122,109.38362236,115.05116756,1676124.16113859,1494,18,0.890566516876263
"result.3794",1,13,14,133.1873122,108.81686784,115.61792208,1675653.56807158,1493,18,0.887712402424617
"result.3059",2,15,11,133.75406672,109.95037688,113.91765852,1675308.40580657,1496,18,0.885619017124686
"result.3681",0,6,14,134.449181802,106.295293305,117.212107212,1675115.17109443,1500,18.5,0.884447061940622
"result.4034",1,12,15,133.1873122,108.25011332,116.1846766,1675097.41262875,1493,18,0.884339358072672
"result.3299",2,14,12,133.75406672,109.38362236,114.48441304,1674964.69992242,1496,18,0.883534464674123
"result.3539",2,13,13,133.75406672,108.81686784,115.05116756,1674535.06756724,1496,18,0.880928774110919
"result.3921",0,5,15,134.449181802,105.720724152,117.786676365,1674227.45770222,1500,18.5,0.879063141523571
"result.2804",3,15,10,134.32082124,109.95037688,113.350904,1674036.98531139,1499,18,0.877907939627474
"result.3779",2,12,14,133.75406672,108.25011332,115.61792208,1674019.50874101,1496,18,0.877801945435072
"result.3044",3,14,11,134.32082124,109.38362236,113.91765852,1673734.96832951,1499,18,0.876076227490035
"result.4019",2,11,15,133.75406672,107.6833588,116.1846766,1673418.02344376,1496,18,0.874153978646586
"result.3284",3,13,12,134.32082124,108.81686784,114.48441304,1673346.66078137,1499,18,0.873721169027613
"result.3524",3,12,13,134.32082124,108.25011332,115.05116756,1672872.06266698,1499,18,0.870842764240208
"result.4088",7,15,15,134.678168816,108.413131744,114.56026808,1672680.96287086,1500,17.5,0.869683757174392
"result.3764",3,11,14,134.32082124,107.6833588,115.61792208,1672311.17398633,1498,18,0.867441013127822
"result.4004",3,10,15,134.32082124,107.11660428,116.1846766,1671663.99473943,1498,18,0.863515915690452
"result.1265",0,15,4,134.449181802,111.466415682,111.466415682,1670499.06145495,1498,18.5,0.856450675771955
"result.1505",0,14,5,134.449181802,110.891846529,112.040984835,1670454.67578534,1498,18.5,0.856181479751103
"result.1745",0,13,6,134.449181802,110.317277376,112.615553988,1670321.51877651,1498,18.5,0.855373891688544
"result.1985",0,12,7,134.449181802,109.742708223,113.190123141,1670099.59042846,1498,18.5,0.854027911584282
"result.3989",4,9,15,134.88757576,106.54984976,116.1846766,1669835.32651578,1500,18,0.85242516920427
"result.2225",0,11,8,134.449181802,109.16813907,113.764692294,1669788.89074119,1498,18.5,0.852143539438313
"result.2465",0,10,9,134.449181802,108.593569917,114.339261447,1669389.4197147,1498,18.5,0.849720775250641
"result.3313",0,15,12,132.62055768,109.95037688,114.48441304,1669375.11016243,1487,18,0.849633988804363
"result.3553",0,14,13,132.62055768,109.38362236,115.05116756,1668991.71789971,1487,18,0.847308741208554
"result.2705",0,9,10,134.449181802,108.019000764,114.9138306,1668901.17734898,1497,18.5,0.846759619021263
"result.3793",0,13,14,132.62055768,108.81686784,115.61792208,1668523.12735638,1487,18,0.844466771924788
"result.1970",1,11,7,135.023750955,109.16813907,113.190123141,1668455.42382939,1500,18.5,0.844056154709282
"result.2945",0,8,11,134.449181802,107.444431611,115.488399753,1668324.16364405,1497,18.5,0.843260070750179
"result.3058",1,15,11,133.1873122,109.95037688,113.91765852,1668209.64137518,1490,18,0.842565501098585
"result.2210",1,10,8,135.023750955,108.593569917,113.764692294,1668098.82101372,1500,18.5,0.841893383259698
"result.4033",0,12,15,132.62055768,108.25011332,116.1846766,1667969.33853245,1487,18,0.841108080953065
"result.3298",1,14,12,133.1873122,109.38362236,114.48441304,1667867.3918719,1490,18,0.840489781497388
"result.3185",0,7,12,134.449181802,106.869862458,116.062968906,1667658.37859989,1497,18.5,0.839222130437391
"result.2450",1,9,9,135.023750955,108.019000764,114.339261447,1667653.06749413,1500,18.5,0.839189918947716
"result.3538",1,13,13,133.1873122,108.81686784,115.05116756,1667439.5799928,1490,18,0.837895131995892
"result.2690",1,8,10,135.023750955,107.444431611,114.9138306,1667118.16327062,1500,18.5,0.835945761773339
"result.2803",2,15,10,133.75406672,109.95037688,113.350904,1666973.53811599,1493,18,0.835068620198519
"result.3778",1,12,14,133.1873122,108.25011332,115.61792208,1666926.20573787,1490,18,0.834781552594097
"result.3425",0,6,13,134.449181802,106.295293305,116.637538059,1666903.82221652,1497,18.5,0.834645798082897
"result.3043",2,14,11,133.75406672,109.38362236,113.91765852,1666672.79546736,1493,18,0.833244636804275
"result.2930",1,7,11,135.023750955,106.869862458,115.488399753,1666494.10834319,1500,18.5,0.832160911736567
"result.4018",1,11,15,133.1873122,107.6833588,116.1846766,1666327.26910713,1489,18,0.831149043292003
"result.3283",2,13,12,133.75406672,108.81686784,114.48441304,1666286.12634769,1492,18,0.830899515297391
"result.3665",0,5,14,134.449181802,105.720724152,117.212107212,1666060.49449392,1496,18.5,0.829531073686699
"result.3523",2,12,13,133.75406672,108.25011332,115.05116756,1665813.53075699,1492,18,0.828033255677866
"result.3170",1,6,12,135.023750955,106.295293305,116.062968906,1665780.90271184,1499,18.5,0.827835368837397
"result.4087",6,15,15,134.11933824,108.413131744,114.56026808,1665740.37796269,1494,17.5,0.827589589032444
"result.2548",3,15,9,134.32082124,109.95037688,112.78414948,1665666.80038484,1495,18,0.827143346104161
