"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,132.401809197,112.786726353,112.786726353,1684262.97744064,1493,27.5,1
"result.3826",1,15,14,133.10234787,112.786726353,112.08618768,1682657.81045041,1496,27.5,0.989877572611993
"result.4066",1,14,15,133.10234787,112.08618768,112.786726353,1682657.81045041,1496,27.5,0.989877572611993
"result.3811",2,14,14,133.802886543,112.08618768,112.08618768,1681007.60664807,1499,27.5,0.979471136231092
"result.3571",2,15,13,133.802886543,112.786726353,111.385649007,1680941.94228844,1499,27.5,0.979057046783435
"result.4051",2,13,15,133.802886543,111.385649007,112.786726353,1680941.94228844,1499,27.5,0.979057046783435
"result.3281",0,13,12,133.60111569,112.39458939,111.68770518,1677107.33218048,1496,28,0.954875411716592
"result.3521",0,12,13,133.60111569,111.68770518,112.39458939,1677107.33218048,1496,28,0.954875411716592
"result.3041",0,14,11,133.60111569,113.1014736,110.98082097,1676973.81515698,1496,28,0.954033433041686
"result.3761",0,11,14,133.60111569,110.98082097,113.1014736,1676973.81515698,1496,28,0.954033433041686
"result.2801",0,15,10,133.60111569,113.80835781,110.27393676,1676706.78110998,1496,28,0.952349475691873
"result.4001",0,10,15,133.60111569,110.27393676,113.80835781,1676706.78110998,1496,28,0.952349475691873
"result.3266",1,12,12,134.3079999,111.68770518,111.68770518,1675377.2623892,1500,28,0.943965328251801
"result.3026",1,13,11,134.3079999,112.39458939,110.98082097,1675310.15065781,1500,28,0.943542111457536
"result.3506",1,11,13,134.3079999,110.98082097,112.39458939,1675310.15065781,1500,28,0.943542111457536
"result.2786",1,14,10,134.3079999,113.1014736,110.27393676,1675108.81546365,1499,28,0.942272461074741
"result.3746",1,10,14,134.3079999,110.27393676,113.1014736,1675108.81546365,1499,28,0.942272461074741
"result.2546",1,15,9,134.3079999,113.80835781,109.56705255,1674773.2568067,1499,28,0.940156377103416
"result.3986",1,9,15,134.3079999,109.56705255,113.80835781,1674773.2568067,1499,28,0.940156377103416
"result.3825",0,15,14,132.401809197,112.786726353,112.08618768,1673801.7167112,1488,27.5,0.934029697367821
"result.4065",0,14,15,132.401809197,112.08618768,112.786726353,1673801.7167112,1488,27.5,0.934029697367821
"result.4085",4,15,15,133.96972445,111.75712765,111.75712765,1673235.71660549,1497,27,0.930460414541516
"result.3810",1,14,14,133.10234787,112.08618768,112.08618768,1672206.51970227,1491,27.5,0.923970142199617
"result.3570",1,15,13,133.10234787,112.786726353,111.385649007,1672141.19913509,1491,27.5,0.923558220759539
"result.4050",1,13,15,133.10234787,111.385649007,112.786726353,1672141.19913509,1491,27.5,0.923558220759539
"result.3830",5,15,14,134.6638681,111.75712765,111.062984,1671458.71475025,1500,27,0.919254370337074
"result.4070",5,14,15,134.6638681,111.062984,111.75712765,1671458.71475025,1500,27,0.919254370337074
"result.3555",2,14,13,133.802886543,112.08618768,111.385649007,1670501.30910652,1495,27.5,0.913216824606018
"result.3795",2,13,14,133.802886543,111.385649007,112.08618768,1670501.30910652,1495,27.5,0.913216824606018
"result.3315",2,15,12,133.802886543,112.786726353,110.685110334,1670369.98038725,1494,27.5,0.912388645710705
"result.4035",2,12,15,133.802886543,110.685110334,112.786726353,1670369.98038725,1494,27.5,0.912388645710705
"result.3540",3,13,13,134.503425216,111.385649007,111.385649007,1668752.09307604,1498,27.5,0.902186002042262
"result.3300",3,14,12,134.503425216,112.08618768,110.685110334,1668686.08492395,1498,27.5,0.901769744587026
"result.3780",3,12,14,134.503425216,110.685110334,112.08618768,1668686.08492395,1498,27.5,0.901769744587026
"result.3060",3,15,11,134.503425216,112.786726353,109.984571661,1668488.06046767,1498,27.5,0.900520972221318
"result.4020",3,11,15,134.503425216,109.984571661,112.786726353,1668488.06046767,1498,27.5,0.900520972221318
"result.2721",0,10,10,134.788184244,111.253739376,111.253739376,1668326.53371564,1499,28.5,0.89950235993453
"result.2481",0,11,9,134.788184244,111.966904372,110.54057438,1668257.97986399,1499,28.5,0.899070048910381
"result.2961",0,9,11,134.788184244,110.54057438,111.966904372,1668257.97986399,1499,28.5,0.899070048910381
"result.2241",0,12,8,134.788184244,112.680069368,109.827409384,1668052.31830905,1499,28.5,0.89777311583793
"result.3201",0,8,12,134.788184244,109.827409384,112.680069368,1668052.31830905,1499,28.5,0.89777311583793
"result.2001",0,13,7,134.788184244,113.393234364,109.114244388,1667709.54905081,1499,28.5,0.895611560717181
"result.3441",0,7,13,134.788184244,109.114244388,113.393234364,1667709.54905081,1499,28.5,0.895611560717181
"result.1761",0,14,6,134.788184244,114.10639936,108.401079392,1667229.67208927,1499,28.5,0.89258538354813
"result.3681",0,6,14,134.788184244,108.401079392,114.10639936,1667229.67208927,1499,28.5,0.89258538354813
"result.1521",0,15,5,134.788184244,114.819564356,107.687914396,1666612.68742443,1498,28.5,0.88869458433078
"result.3921",0,5,15,134.788184244,107.687914396,114.819564356,1666612.68742443,1498,28.5,0.88869458433078
"result.3265",0,12,12,133.60111569,111.68770518,111.68770518,1666559.48732399,1492,28,0.888359096399
"result.3025",0,13,11,133.60111569,112.39458939,110.98082097,1666492.72881224,1492,28,0.887938107061546
"result.3505",0,11,13,133.60111569,110.98082097,112.39458939,1666492.72881224,1492,28,0.887938107061546
"result.2785",0,14,10,133.60111569,113.1014736,110.27393676,1666292.453277,1492,28,0.886675139049186
