"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,105.10990133,67.96580086,106.69050135,762183.991787029,895,40,1
"result.3840",15,15,14,105.10990133,67.96580086,105.90020134,756538.184440458,891,40,0.978770161664532
"result.4095",14,15,15,104.31960132,67.96580086,106.69050135,756453.285081863,888,40,0.978450915975277
"result.4080",15,14,15,105.10990133,67.17550085,106.69050135,753321.387231366,889,40,0.966674090985021
"result.3584",15,15,13,105.10990133,67.96580086,105.10990133,750892.377093888,888,40,0.957540323329064
"result.3839",14,15,14,104.31960132,67.96580086,105.90020134,750849.92741459,885,40,0.957380700484437
"result.4094",13,15,15,103.52930131,67.96580086,106.69050135,750722.578376697,881,40,0.956901831950554
"result.3824",15,14,14,105.10990133,67.17550085,105.90020134,747741.22880743,886,40,0.94569111123485
"result.4079",14,14,15,104.31960132,67.17550085,106.69050135,747657.316650679,883,40,0.945375577704772
"result.3328",15,15,12,105.10990133,67.96580086,104.31960132,745246.569747317,885,40,0.936310484993596
"result.3583",14,15,13,104.31960132,67.96580086,105.10990133,745246.569747317,881,40,0.936310484993596
"result.3838",13,15,14,103.52930131,67.96580086,105.90020134,745161.670388722,878,40,0.935991239304341
"result.4093",12,15,15,102.7390013,67.96580086,106.69050135,744991.871671532,874,40,0.935352747925831
"result.4064",15,13,15,105.10990133,66.38520084,106.69050135,744458.782675702,884,40,0.933348181970043
"result.3568",15,14,13,105.10990133,67.17550085,105.10990133,742161.070383493,883,40,0.924708131484678
"result.3823",14,14,14,104.31960132,67.17550085,105.90020134,742119.114305118,879,40,0.924550364719639
"result.4078",13,14,15,103.52930131,67.17550085,106.69050135,741993.246069992,876,40,0.924077064424522
"result.3327",14,15,12,104.31960132,67.96580086,104.31960132,739643.212080044,878,40,0.915240269502756
"result.3072",15,15,11,105.10990133,67.96580086,103.52930131,739600.762400746,881,40,0.915080646658128
"result.3582",13,15,13,103.52930131,67.96580086,105.10990133,739600.762400746,875,40,0.915080646658128
"result.3837",12,15,14,102.7390013,67.96580086,105.90020134,739473.413362854,871,40,0.914601778124246
"result.4092",11,15,15,101.94870129,67.96580086,106.69050135,739261.164966366,868,40,0.913803663901108
"result.3808",15,13,14,105.10990133,66.38520084,105.90020134,738944.273174401,881,40,0.912612060805167
"result.4063",14,13,15,104.31960132,66.38520084,106.69050135,738861.348219494,877,40,0.912300239434267
"result.3312",15,14,12,105.10990133,67.17550085,104.31960132,736580.911959557,879,40,0.903725151734506
"result.3567",14,14,13,104.31960132,67.17550085,105.10990133,736580.911959557,876,40,0.903725151734506
"result.3822",13,14,14,103.52930131,67.17550085,105.90020134,736496.999802807,873,40,0.903409618204428
"result.4077",12,14,15,102.7390013,67.17550085,106.69050135,736329.175489305,869,40,0.902778551144273
