"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,108.668817645,160.266961275,118.83208836,2069582.16884787,1499,38.5,1
"result.3825",0,15,14,108.668817645,161.04875133,118.050298305,2065995.60154627,1498,38.5,0.986922293358324
"result.3553",0,14,13,109.06453883,160.85057885,117.6955455,2064744.04195806,1500,39,0.982358729436934
"result.4066",1,14,15,109.050585,159.68121375,118.397778,2061699.55269823,1499,38,0.971257602909633
"result.4017",0,11,15,109.06453883,158.49666794,119.26481944,2061655.31916358,1499,39,0.971096314094667
"result.3313",0,15,12,109.06453883,161.63521582,116.91090853,2060983.85768652,1499,39,0.968647962933305
"result.4049",0,13,15,108.668817645,159.48517122,118.83208836,2059486.646073,1496,38.5,0.963188677601208
"result.3777",0,12,14,109.06453883,159.28130491,118.48018247,2058230.86563058,1498,39,0.958609723171719
"result.3826",1,15,14,109.050585,160.4601465,117.61884525,2058126.64589959,1498,38,0.958229706583839
"result.3554",1,14,13,109.4506077,160.266961275,117.26850825,2057043.99592035,1500,38.5,0.954282038065869
"result.4081",0,15,15,108.27165225,160.4601465,118.397778,2056958.36208924,1492,38,0.953969791277309
"result.3505",0,11,13,109.458827342,159.069662756,118.1210367,2056673.73264699,1500,39.5,0.95293194644286
"result.3809",0,14,14,108.668817645,160.266961275,118.050298305,2055966.49668439,1494,38.5,0.950353150712154
"result.2801",0,15,10,109.458827342,162.219557068,115.758615966,2055451.94627116,1499,39.5,0.948476944637991
"result.3537",0,13,13,109.06453883,160.06594188,117.6955455,2054672.11980216,1496,39,0.945633462016498
"result.4018",1,11,15,109.4506077,157.92159111,118.83208836,2053966.79189393,1499,38.5,0.943061623627766
"result.4067",2,14,15,109.425159642,159.09331721,117.961874224,2053576.04832142,1499,37.5,0.941636854654049
"result.3314",1,15,12,109.4506077,161.04875133,116.486718195,2053297.83449689,1499,38.5,0.940622403097744
"result.3969",0,8,15,109.458827342,156.707242022,119.695983856,2053144.12756126,1499,39.5,0.940061941228796
"result.3265",0,12,12,109.458827342,159.857136334,117.333563122,2053076.25054038,1499,39.5,0.939814441128524
"result.3569",0,15,13,108.668817645,161.04875133,117.26850825,2052313.5114698,1493,38.5,0.937033264317854
"result.4050",1,13,15,109.050585,158.902281,118.397778,2051642.48170946,1495,38,0.934586487325915
"result.4001",0,10,15,109.06453883,157.71203097,119.26481944,2051449.10471228,1495,39,0.933881376441958
"result.3297",0,14,12,109.06453883,160.85057885,116.91090853,2050979.08167834,1495,39,0.932167530629004
"result.3778",1,12,14,109.4506077,158.703381165,118.050298305,2050555.10916899,1498,38.5,0.930621598924652
"result.3827",2,15,14,109.425159642,159.869382172,117.185809262,2050017.21948287,1497,37.5,0.928660290818813
"result.3729",0,9,14,109.458827342,157.4947156,118.908510278,2049886.03055904,1497,39.5,0.928181936415812
"result.2289",0,15,8,109.85170139,162.80180206,114.59350145,2049396.47634611,1500,40,0.926396874030644
"result.4033",0,12,15,108.668817645,158.703381165,118.83208836,2049391.12329813,1492,38.5,0.926377355202414
"result.3025",0,13,11,109.458827342,160.644609912,116.546089544,2049343.01439201,1497,39.5,0.926201935613648
"result.3506",1,11,13,109.8491758,158.49666794,117.6955455,2049165.16955866,1500,39,0.925553459685899
