"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,100.36810127,59.27250075,106.69050135,634709.085659333,798,40,1
"result.3840",15,15,14,100.36810127,59.27250075,105.90020134,630007.536876671,795,40,0.980134522133583
"result.4095",14,15,15,99.57780126,59.27250075,106.69050135,629711.376323433,791,40,0.978883153449085
"result.4080",15,14,15,100.36810127,58.48220074,106.69050135,626246.297850542,792,40,0.96424213984045
"result.3584",15,15,13,100.36810127,59.27250075,105.10990133,625305.988094009,792,40,0.960269044267167
"result.3839",14,15,14,99.57780126,59.27250075,105.90020134,625046.847609926,788,40,0.959174096668231
"result.4094",13,15,15,98.78750125,59.27250075,106.69050135,624713.666987532,785,40,0.95776630689817
"result.3824",15,14,14,100.36810127,58.48220074,105.90020134,621607.436384982,789,40,0.944641535012253
"result.4079",14,14,15,99.57780126,58.48220074,106.69050135,621315.22463912,786,40,0.943406851243547
"result.3328",15,15,12,100.36810127,59.27250075,104.31960132,620604.439311348,789,40,0.940403566400751
"result.3583",14,15,13,99.57780126,59.27250075,105.10990133,620382.318896419,785,40,0.939465039887377
"result.3838",13,15,14,98.78750125,59.27250075,105.90020134,620086.15834318,782,40,0.938213671202878
"result.4093",12,15,15,97.99720124,59.27250075,106.69050135,619715.957651632,779,40,0.936649460347255
"result.4064",15,13,15,100.36810127,57.69190073,106.69050135,617783.510041751,787,40,0.928484279680901
"result.3568",15,14,13,100.36810127,58.48220074,105.10990133,616968.574919423,786,40,0.925040930184055
"result.3823",14,14,14,99.57780126,58.48220074,105.90020134,616712.889641793,783,40,0.923960581886438
"result.4078",13,14,15,98.78750125,58.48220074,106.69050135,616384.151427698,780,40,0.922571562646644
"result.3072",15,15,11,100.36810127,59.27250075,103.52930131,615902.890528686,786,40,0.920538088534334
"result.3327",14,15,12,99.57780126,59.27250075,104.31960132,615717.790182912,783,40,0.919755983106523
"result.3582",13,15,13,98.78750125,59.27250075,105.10990133,615458.649698828,779,40,0.918661035507586
"result.3837",12,15,14,97.99720124,59.27250075,105.90020134,615125.469076435,776,40,0.917253245737525
"result.4092",11,15,15,97.20690123,59.27250075,106.69050135,614718.248315732,773,40,0.91553261379634
"result.3808",15,13,14,100.36810127,57.69190073,105.90020134,613207.335893293,784,40,0.909148547890922
"result.4063",14,13,15,99.57780126,57.69190073,106.69050135,612919.072954808,781,40,0.90793054903801
"result.3312",15,14,12,100.36810127,58.48220074,104.31960132,612329.713453863,783,40,0.905440325355858
"result.3567",14,14,13,99.57780126,58.48220074,105.10990133,612110.554644466,780,40,0.904514312529329
"result.3822",13,14,14,98.78750125,58.48220074,105.90020134,611818.342898604,777,40,0.903279628760624
"result.4077",12,14,15,97.99720124,58.48220074,106.69050135,611453.078216277,774,40,0.901736274049742
"result.2816",15,15,10,100.36810127,59.27250075,102.7390013,611201.341746024,783,40,0.900672610667918
"result.3071",14,15,11,99.57780126,59.27250075,103.52930131,611053.261469405,780,40,0.900046926325669
"result.3326",13,15,12,98.78750125,59.27250075,104.31960132,610831.141054476,776,40,0.899108399812295
"result.3581",12,15,13,97.99720124,59.27250075,105.10990133,610534.980501237,773,40,0.897857031127796
"result.3836",11,15,14,97.20690123,59.27250075,105.90020134,610164.779809689,770,40,0.896292820272172
"result.4091",10,15,15,96.41660122,59.27250075,106.69050135,609720.538979832,766,40,0.894415767245425
"result.4048",15,12,15,100.36810127,56.90160072,106.69050135,609320.722232959,782,40,0.892726419521351
"result.3552",15,13,13,100.36810127,57.69190073,105.10990133,608631.161744836,781,40,0.889812816100944
"result.3807",14,13,14,99.57780126,57.69190073,105.90020134,608378.931673661,778,40,0.888747067104645
"result.4062",13,13,15,98.78750125,57.69190073,106.69050135,608054.635867865,775,40,0.88737681839512
"result.3056",15,14,11,100.36810127,58.48220074,103.52930131,607690.851988303,780,40,0.88583972052766
"result.3311",14,14,12,99.57780126,58.48220074,104.31960132,607508.21964714,777,40,0.88506804317222
"result.3566",13,14,13,98.78750125,58.48220074,105.10990133,607252.53436951,774,40,0.883987694874602
"result.3821",12,14,14,97.99720124,58.48220074,105.90020134,606923.796155416,771,40,0.882598675634809
"result.4076",11,14,15,97.20690123,58.48220074,106.69050135,606522.005004855,767,40,0.880900985452839
"result.2560",15,15,9,100.36810127,59.27250075,101.94870129,606499.792963362,780,40,0.880807132801501
"result.2815",14,15,10,99.57780126,59.27250075,102.7390013,606388.732755898,777,40,0.880337869544814
"result.3070",13,15,11,98.78750125,59.27250075,103.52930131,606203.632410124,773,40,0.879555764117003
"result.3325",12,15,12,97.99720124,59.27250075,104.31960132,605944.49192604,770,40,0.878460816518066
"result.3580",11,15,13,97.20690123,59.27250075,105.10990133,605611.311303647,767,40,0.877053026748005
"result.3835",10,15,14,96.41660122,59.27250075,105.90020134,605204.090542944,763,40,0.87533239480682
"result.3792",15,12,14,100.36810127,56.90160072,105.90020134,604807.235401604,779,40,0.873655560769592
"result.4090",9,15,15,95.62630121,59.27250075,106.69050135,604722.829643931,760,40,0.87329892069451
"result.4047",14,12,15,99.57780126,56.90160072,106.69050135,604522.921270495,775,40,0.872454246832473
"result.3296",15,13,12,100.36810127,57.69190073,104.31960132,604054.987596378,778,40,0.870477084310965
"result.3551",14,13,13,99.57780126,57.69190073,105.10990133,603838.790392514,775,40,0.869563585171281
"result.3806",13,13,14,98.78750125,57.69190073,105.90020134,603550.527454029,772,40,0.868345586318369
"result.4061",12,13,15,97.99720124,57.69190073,106.69050135,603190.198780922,768,40,0.866823087752229
"result.2800",15,14,10,100.36810127,58.48220074,102.7390013,603051.990522744,777,40,0.866239115699463
"result.3055",14,14,11,99.57780126,58.48220074,103.52930131,602905.884649813,774,40,0.86562177381511
"result.3310",13,14,12,98.78750125,58.48220074,104.31960132,602686.725840416,771,40,0.864695760988581
"result.3565",12,14,13,97.99720124,58.48220074,105.10990133,602394.514094554,768,40,0.863461077219876
"result.3820",11,14,14,97.20690123,58.48220074,105.90020134,602029.249412227,764,40,0.861917722508994
"result.2304",15,15,8,100.36810127,59.27250075,101.15840128,601798.244180701,777,40,0.860941654935085
"result.2559",14,15,9,99.57780126,59.27250075,101.94870129,601724.204042391,774,40,0.86062881276396
"result.4075",10,14,15,96.41660122,58.48220074,106.69050135,601590.931793434,761,40,0.860065696855936
"result.2814",13,15,10,98.78750125,59.27250075,102.7390013,601576.123765772,770,40,0.860003128421711
"result.3069",12,15,11,97.99720124,59.27250075,103.52930131,601354.003350843,767,40,0.859064601908337
"result.3324",11,15,12,97.20690123,59.27250075,104.31960132,601057.842797604,764,40,0.857813233223839
"result.4032",15,11,15,100.36810127,56.11130071,106.69050135,600857.934424168,776,40,0.856968559361802
"result.3579",10,15,13,96.41660122,59.27250075,105.10990133,600687.642106056,761,40,0.856249022368215
"result.3536",15,12,13,100.36810127,56.90160072,105.10990133,600293.748570249,776,40,0.854584702017832
"result.3834",9,15,14,95.62630121,59.27250075,105.90020134,600243.401276198,757,40,0.854371969341467
"result.3791",14,12,14,99.57780126,56.90160072,105.90020134,600044.973705529,772,40,0.853533552322853
"result.4046",13,12,15,98.78750125,56.90160072,106.69050135,599725.120308031,769,40,0.852182074143594
"result.4089",8,15,15,94.8360012,59.27250075,106.69050135,599725.120308031,754,40,0.852182074143594
"result.3040",15,13,11,100.36810127,57.69190073,103.52930131,599478.813447921,775,40,0.851141352520987
"result.3295",14,13,12,99.57780126,57.69190073,104.31960132,599298.649111368,772,40,0.850380103237917
"result.3550",13,13,13,98.78750125,57.69190073,105.10990133,599046.419040193,769,40,0.849314354241618
"result.3805",12,13,14,97.99720124,57.69190073,105.90020134,598722.123234396,765,40,0.847944105532092
"result.2544",15,14,9,100.36810127,58.48220074,101.94870129,598413.129057184,774,40,0.846638510871265
"result.4060",11,13,15,97.20690123,57.69190073,106.69050135,598325.761693979,762,40,0.846269357109338
"result.2799",14,14,10,99.57780126,58.48220074,102.7390013,598303.549652486,771,40,0.846175504458001
"result.3054",13,14,11,98.78750125,58.48220074,103.52930131,598120.917311322,768,40,0.84540382710256
"result.3309",12,14,12,97.99720124,58.48220074,104.31960132,597865.232033693,765,40,0.844323478804943
"result.3564",11,14,13,97.20690123,58.48220074,105.10990133,597536.493819598,762,40,0.842934459565149
"result.3819",10,14,14,96.41660122,58.48220074,105.90020134,597134.702669038,758,40,0.84123676938318
"result.2048",15,15,7,100.36810127,59.27250075,100.36810127,597096.695398039,774,40,0.841076177068669
