"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,82.98150105,66.38520084,120.12560152,661741.14015618,741,40,1
"result.3840",15,15,14,82.98150105,66.38520084,119.33530151,657387.580023573,738,40,0.981995223222488
"result.4095",14,15,15,82.19120104,66.38520084,120.12560152,655438.843583264,733,40,0.973935942188744
"result.4080",15,14,15,82.98150105,65.59490083,120.12560152,653863.269440035,736,40,0.96741992773593
"result.3584",15,15,13,82.98150105,66.38520084,118.5450015,653034.019890967,736,40,0.963990446444975
"result.3839",14,15,14,82.19120104,66.38520084,119.33530151,651126.745928111,731,40,0.95610263947578
"result.3824",15,14,14,82.98150105,65.59490083,119.33530151,649561.537404245,734,40,0.949629493539102
"result.4094",13,15,15,81.40090103,66.38520084,120.12560152,649136.547010348,726,40,0.947871884377488
"result.3328",15,15,12,82.98150105,66.38520084,117.75470149,648680.459758361,733,40,0.945985669667463
"result.4079",14,14,15,82.19120104,65.59490083,120.12560152,647636.000207273,729,40,0.941666156327189
"result.3583",14,15,13,82.19120104,66.38520084,118.5450015,646814.648272958,729,40,0.938269336762815
"result.4064",15,13,15,82.98150105,64.80460082,120.12560152,645985.39872389,732,40,0.93483985547186
"result.3568",15,14,13,82.98150105,65.59490083,118.5450015,645259.805368455,731,40,0.931839059342274
"result.3838",13,15,14,81.40090103,66.38520084,119.33530151,644865.911832648,724,40,0.930210055729071
"result.3072",15,15,11,82.98150105,66.38520084,116.96440148,644326.899625754,731,40,0.92798089288995
"result.3823",14,14,14,82.19120104,65.59490083,119.33530151,643375.237048014,727,40,0.924045154836998
"result.4093",12,15,15,80.61060102,66.38520084,120.12560152,642834.250437432,719,40,0.921807826566232
"result.3327",14,15,12,82.19120104,66.38520084,117.75470149,642502.550617805,726,40,0.92043603404985
"result.3808",15,13,14,82.98150105,64.80460082,119.33530151,641735.494784917,729,40,0.917263763855717
"result.4078",13,14,15,81.40090103,65.59490083,120.12560152,641408.73097451,722,40,0.915912384918448
"result.3312",15,14,12,82.98150105,65.59490083,117.75470149,640958.073332666,729,40,0.914048625145447
"result.3582",13,15,13,81.40090103,66.38520084,118.5450015,640595.276654949,722,40,0.912548227080654
"result.2816",15,15,10,82.98150105,66.38520084,116.17410147,639973.339493148,728,40,0.909976116112438
"result.4063",14,13,15,82.19120104,64.80460082,120.12560152,639833.156831281,725,40,0.909396370465634
"result.3567",14,14,13,82.19120104,65.59490083,118.5450015,639114.473888756,724,40,0.906424153346807
"result.3837",12,15,14,80.61060102,66.38520084,119.33530151,638605.077737186,717,40,0.904317471982363
"result.3071",14,15,11,82.19120104,66.38520084,116.96440148,638190.452962652,724,40,0.902602731336885
"result.4048",15,12,15,82.98150105,64.01430081,120.12560152,638107.528007745,727,40,0.90225978320779
"result.3552",15,13,13,82.98150105,64.80460082,118.5450015,637485.590845944,727,40,0.899687672239574
"result.3822",13,14,14,81.40090103,65.59490083,119.33530151,637188.936691783,720,40,0.898460816134893
"result.3056",15,14,11,82.98150105,65.59490083,116.96440148,636656.341296876,726,40,0.896258190948619
"result.4092",11,15,15,79.82030101,66.38520084,120.12560152,636531.953864516,712,40,0.895743768754976
"result.3326",13,15,12,81.40090103,66.38520084,117.75470149,636324.641477249,719,40,0.894886398432237
"result.3807",14,13,14,82.19120104,64.80460082,119.33530151,635623.728167918,722,40,0.891987670198216
"result.2560",15,15,9,82.98150105,66.38520084,115.38380146,635619.779360541,726,40,0.891971339334926
"result.4077",12,14,15,80.61060102,65.59490083,120.12560152,635181.461741748,715,40,0.890158613509707
"result.3311",14,14,12,82.19120104,65.59490083,117.75470149,634853.710729498,722,40,0.888803151856615
"result.3581",12,15,13,80.61060102,66.38520084,118.5450015,634375.905036939,715,40,0.886827117398494
"result.3792",15,12,14,82.98150105,64.01430081,119.33530151,633909.452165589,725,40,0.884898034172332
"result.2815",14,15,10,82.19120104,66.38520084,116.17410147,633878.355307499,721,40,0.884769428623921
"result.4062",13,13,15,81.40090103,64.80460082,120.12560152,633680.914938673,718,40,0.883952885459408
"result.3296",15,13,12,82.98150105,64.80460082,117.75470149,633235.686906971,724,40,0.882111580623431
"result.3566",13,14,13,81.40090103,65.59490083,118.5450015,632969.142409056,717,40,0.881009247351338
"result.2800",15,14,10,82.98150105,65.59490083,116.17410147,632354.609261086,724,40,0.878467756751792
"result.3836",11,15,14,79.82030101,66.38520084,119.33530151,632344.243641723,710,40,0.878424888235654
"result.3070",13,15,11,81.40090103,66.38520084,116.96440148,632054.006299549,717,40,0.877224569783821
"result.4047",14,12,15,82.19120104,64.01430081,120.12560152,632030.31345529,720,40,0.877126584604079
"result.3551",14,13,13,82.19120104,64.80460082,118.5450015,631414.299504554,720,40,0.874578969930798
"result.2304",15,15,8,82.98150105,66.38520084,114.59350145,631266.219227935,723,40,0.873966562557413
"result.3821",12,14,14,80.61060102,65.59490083,119.33530151,631002.636335553,713,40,0.872876477432789
"result.3055",14,14,11,82.19120104,65.59490083,116.96440148,630592.947570239,719,40,0.871182150366424
"result.4032",15,11,15,82.98150105,63.2240008,120.12560152,630229.6572916,723,40,0.86967971094372
"result.4091",10,15,15,79.030001,66.38520084,120.12560152,630229.6572916,705,40,0.86967971094372
"result.3325",12,15,12,80.61060102,66.38520084,117.75470149,630146.732336693,712,40,0.869336762814625
"result.3536",15,12,13,82.98150105,64.01430081,118.5450015,629711.376323433,722,40,0.867536285136873
"result.2559",14,15,9,82.19120104,66.38520084,115.38380146,629566.257652346,719,40,0.866936125910956
"result.3806",13,13,14,81.40090103,64.80460082,119.33530151,629511.961550919,715,40,0.866711576540715
"result.3040",15,13,11,82.98150105,64.80460082,116.96440148,628985.782967998,722,40,0.864535489007288
"result.4076",11,14,15,79.82030101,65.59490083,120.12560152,628954.192508986,708,40,0.864404842100966
"result.3310",13,14,12,81.40090103,65.59490083,117.75470149,628749.348126329,715,40,0.863557678567784
"result.3580",11,15,13,79.82030101,66.38520084,118.5450015,628156.53341893,708,40,0.861106007716333
"result.2544",15,14,9,82.98150105,65.59490083,115.38380146,628052.877225297,721,40,0.860677322554964
"result.3791",14,12,14,82.19120104,64.01430081,119.33530151,627872.219287821,718,40,0.859930185559434
"result.2814",13,15,10,81.40090103,66.38520084,116.17410147,627783.37112185,714,40,0.859562741135403
"result.4061",12,13,15,80.61060102,64.80460082,120.12560152,627528.673046065,711,40,0.858509400453182
"result.3295",14,13,12,82.19120104,64.80460082,117.75470149,627204.87084119,717,40,0.85717026966338
"result.2048",15,15,7,82.98150105,66.38520084,113.80320144,626912.659095328,721,40,0.855961785779901
"result.3565",12,14,13,80.61060102,65.59490083,118.5450015,626823.810929357,710,40,0.85559434135587
"result.2799",14,14,10,82.19120104,65.59490083,116.17410147,626332.184410981,717,40,0.853561148876232
"result.3776",15,11,14,82.98150105,63.2240008,119.33530151,626083.40954626,720,40,0.852532304488946
"result.3835",10,15,14,79.030001,66.38520084,119.33530151,626083.40954626,703,40,0.852532304488946
"result.4046",13,12,15,81.40090103,64.01430081,120.12560152,625953.098902836,713,40,0.851993386000368
"result.3069",12,15,11,80.61060102,66.38520084,116.96440148,625917.559636447,710,40,0.851846408230755
