"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,130.259316782,103.149509736,128.275672364,1723535.62185967,1498,24.5,1
"result.3809",0,14,14,130.259316782,102.48829493,128.93688717,1721314.57080057,1497,24.5,0.986686352081265
"result.4049",0,13,15,130.259316782,101.827080124,129.598101976,1718979.61968716,1496,24.5,0.972689952987209
"result.3794",1,13,14,130.920531588,101.827080124,128.93688717,1718890.58106602,1500,24.5,0.972156228718177
"result.4034",1,12,15,130.920531588,101.165865318,129.598101976,1716486.5382953,1499,24.5,0.957745673454322
"result.3313",0,15,12,130.259316782,103.149509736,127.614457558,1714651.41762327,1494,24.5,0.946745408325059
"result.3058",1,15,11,130.920531588,103.149509736,126.953242752,1714425.93020611,1498,24.5,0.945393768942446
"result.4084",3,15,15,130.887126,102.09195828,128.26938348,1714002.58784278,1497,24,0.942856127517537
"result.3553",0,14,13,130.259316782,102.48829493,128.275672364,1712487.31659133,1493,24.5,0.933773135993983
"result.3298",1,14,12,130.920531588,102.48829493,127.614457558,1712308.08300333,1497,24.5,0.932698755971905
"result.3043",2,14,11,131.581746394,102.48829493,126.953242752,1712039.23262132,1500,24.5,0.931087185938791
"result.4069",4,14,15,131.54156163,101.43752265,128.26938348,1711530.4687257,1500,24,0.928037502163033
"result.3233",0,10,12,131.582998,100.858034,128.911262,1710807.46074145,1500,25,0.923703574896806
"result.2017",0,14,7,131.582998,103.52977,125.571592,1710631.34907202,1500,25,0.922647908593422
"result.3793",0,13,14,130.259316782,101.827080124,128.93688717,1710209.31550508,1492,24.5,0.920118112487588
"result.3538",1,13,13,130.920531588,101.827080124,128.275672364,1710075.75757337,1496,24.5,0.91931752608404
"result.3283",2,13,12,131.581746394,101.827080124,127.614457558,1709853.16102053,1499,24.5,0.917983215411461
"result.2257",0,13,8,131.582998,102.861836,126.239526,1708635.41681847,1499,25,0.910683690488408
"result.3473",0,9,13,131.582998,100.1901,129.579196,1708283.19347961,1499,25,0.908572357881642
"result.4033",0,12,15,130.259316782,101.165865318,129.598101976,1707817.41436451,1491,24.5,0.905780337805872
"result.3778",1,12,14,130.920531588,101.165865318,128.93688717,1707728.95391624,1495,24.5,0.905250079278848
"result.3523",2,12,13,131.581746394,101.165865318,128.275672364,1707552.03301969,1498,24.5,0.904189562224797
"result.2497",0,12,9,131.582998,102.193902,126.90746,1706522.0767853,1498,25,0.898015694847805
"result.3057",0,15,11,130.259316782,103.149509736,126.953242752,1705767.21338688,1490,24.5,0.893490816650117
"result.3713",0,8,14,131.582998,99.522166,130.24713,1705641.51843815,1498,25,0.892737363330888
"result.2802",1,15,10,130.920531588,103.149509736,126.292027946,1705496.62848628,1494,24.5,0.891868849390981
"result.4083",2,15,15,130.23269037,102.09195828,128.26938348,1705432.57490357,1490,24,0.891484892955257
"result.4018",1,11,15,130.920531588,100.504650512,129.598101976,1705267.67203193,1494,24.5,0.890496415556329
"result.3828",3,15,14,130.887126,102.09195828,127.61494785,1705257.67668032,1493,24,0.89043650041317
"result.2547",2,15,9,131.581746394,103.149509736,125.63081314,1705135.84861882,1497,24.5,0.889706226378802
"result.3763",2,11,14,131.581746394,100.504650512,128.93688717,1705135.84861882,1497,24.5,0.889706226378802
"result.3573",4,15,13,131.54156163,102.09195828,126.96051222,1704995.32934545,1497,24,0.888863911600039
"result.2737",0,11,10,131.582998,101.525968,127.575394,1704291.32897251,1497,25,0.884643921671615
"result.3297",0,14,12,130.259316782,102.48829493,127.614457558,1703660.0623821,1489,24.5,0.880859919906702
"result.3042",1,14,11,130.920531588,102.48829493,126.953242752,1703436.02039709,1493,24.5,0.879516944879105
"result.1521",0,15,5,131.582998,104.197704,124.235724,1703352.06673555,1497,25,0.879013701386902
"result.2787",2,14,10,131.581746394,102.48829493,126.292027946,1703122.36161809,1496,24.5,0.877636779840471
"result.4068",3,14,15,130.887126,101.43752265,128.26938348,1703015.39176687,1492,24,0.876995570386409
"result.3953",0,7,15,131.582998,98.854232,130.915064,1702882.43561706,1496,25,0.876198591244547
"result.3813",4,14,14,131.54156163,101.43752265,127.61494785,1702798.17041588,1496,24,0.875693480290066
"result.1266",1,15,4,132.250932,104.197704,123.56779,1702794.2307877,1500,25,0.875669864974155
"result.3698",1,7,14,132.250932,98.854232,130.24713,1702794.2307877,1500,25,0.875669864974155
"result.2532",3,14,9,132.2429612,102.48829493,125.63081314,1702719.08604508,1500,24.5,0.875219424790799
"result.4003",2,10,15,131.581746394,99.843435706,129.598101976,1702604.6078179,1496,24.5,0.874533207873471
"result.3558",5,14,13,132.19599726,101.43752265,126.96051222,1702494.06052449,1500,24,0.873870554155187
"result.3748",3,10,14,132.2429612,99.843435706,128.93688717,1702429.99961281,1500,24.5,0.873486553787449
"result.2977",0,10,11,131.582998,100.858034,128.243328,1701943.1733801,1496,25,0.870568370959834
"result.2722",1,10,10,132.250932,100.858034,127.575394,1701673.19508483,1500,25,0.868950039875459
"result.1761",0,14,6,131.582998,103.52977,124.903658,1701532.24615143,1496,25,0.868105149585273
"result.3537",0,13,13,130.259316782,101.827080124,128.275672364,1701439.011323,1488,24.5,0.867546271987967
"result.3282",1,13,12,130.920531588,101.827080124,127.614457558,1701260.93408073,1492,24.5,0.866478823449903
"result.1506",1,14,5,132.250932,103.52977,124.235724,1701024.17441474,1499,25,0.86505961481832
"result.3027",2,13,11,131.581746394,101.827080124,126.953242752,1700993.81821731,1496,24.5,0.864877650642808
"result.2772",3,13,10,132.2429612,101.827080124,126.292027946,1700637.66373276,1499,24.5,0.862742753566681
"result.4053",4,13,15,131.54156163,100.78308702,128.26938348,1700488.33666941,1495,24,0.861847642246249
"result.3798",5,13,14,132.19599726,100.78308702,127.61494785,1700229.3527619,1499,24,0.860295214828158
"result.3938",1,6,15,132.250932,98.186298,130.915064,1699962.14059097,1499,25,0.85869346472482
"result.3988",3,9,15,132.2429612,99.1822209,129.598101976,1699828.22172242,1499,24.5,0.857890714757302
"result.2001",0,13,7,131.582998,102.861836,125.571592,1699595.01778769,1495,25,0.856492820248054
"result.3217",0,9,12,131.582998,100.1901,128.911262,1699477.61000807,1495,25,0.855789042712464
"result.2962",1,9,11,132.250932,100.1901,128.243328,1699254.11804178,1499,25,0.854449364662486
"result.1746",1,13,6,132.250932,102.861836,124.903658,1699136.11428359,1499,25,0.853742014652097
"result.3777",0,12,14,130.259316782,101.165865318,128.93688717,1699104.06020959,1487,24.5,0.853549872893911
"result.3522",1,12,13,130.920531588,101.165865318,128.275672364,1698971.36953718,1491,24.5,0.852754485103374
"result.3267",2,12,12,131.581746394,101.165865318,127.614457558,1698750.2184165,1495,24.5,0.851428838785812
"result.3012",3,12,11,132.2429612,101.165865318,126.953242752,1698440.60684754,1498,24.5,0.849572933941224
"result.4038",5,12,15,132.19599726,100.12865139,128.26938348,1697851.40961119,1498,24,0.846041108534778
"result.2241",0,12,8,131.582998,102.193902,126.239526,1697540.38164433,1494,25,0.844176713375247
"result.1986",1,12,7,132.250932,102.193902,125.571592,1697130.05039423,1498,25,0.841717064475484
"result.3457",0,8,13,131.582998,99.522166,129.579196,1696894.63885641,1494,25,0.840305936929506
"result.2801",0,15,10,130.259316782,103.149509736,126.292027946,1696883.00915049,1486,24.5,0.840236224975176
"result.4082",1,15,15,129.57825474,102.09195828,128.26938348,1696862.56196435,1482,24,0.840113658392976
"result.3827",2,15,14,130.23269037,102.09195828,127.61494785,1696731.38829692,1486,24,0.839327363986411
"result.3202",1,8,12,132.250932,99.522166,128.911262,1696717.03724054,1497,25,0.839241339439123
"result.4017",0,11,15,130.259316782,100.504650512,129.598101976,1696655.20904187,1486,24.5,0.838870722624537
"result.2546",1,15,9,130.920531588,103.149509736,125.63081314,1696567.32676646,1490,24.5,0.838343929839518
"result.3762",1,11,14,130.920531588,100.504650512,128.93688717,1696567.32676646,1490,24.5,0.838343929839518
"result.3572",3,15,13,130.887126,102.09195828,126.96051222,1696512.76551786,1490,24,0.838016873308802
"result.3507",2,11,13,131.581746394,100.504650512,128.275672364,1696391.56221564,1494,24.5,0.837290344269481
"result.3317",4,15,12,131.54156163,102.09195828,126.30607659,1696206.69362717,1493,24,0.836182186360149
"result.2291",2,15,8,131.581746394,103.149509736,124.969598334,1696161.44941556,1493,24.5,0.835910978950815
"result.3252",3,11,12,132.2429612,100.504650512,127.614457558,1696127.91538942,1497,24.5,0.835709965914426
"result.3062",5,15,11,132.19599726,102.09195828,125.65164096,1695813.17262486,1497,24,0.833823303140453
"result.2036",3,15,7,132.2429612,103.149509736,124.308383528,1695665.37709779,1497,24.5,0.832937372309067
"result.2481",0,11,9,131.582998,101.525968,126.90746,1695368.33772135,1493,25,0.83115682896685
"result.2807",6,15,10,132.85043289,102.09195828,124.99720533,1695332.20251092,1500,24,0.830940223649712
"result.2897",0,5,11,132.891774789,98.488320402,129.518887104,1695180.45625099,1500,25.5,0.830030610937525
"result.4023",6,11,15,132.85043289,99.47421576,128.26938348,1695104.61059221,1500,24,0.829575969251996
"result.1781",4,15,6,132.904176006,103.149509736,123.647168722,1695079.10981316,1500,24.5,0.829423109914274
"result.2226",1,11,8,132.250932,101.525968,126.239526,1695005.98274668,1497,25,0.828984764288483
"result.465",0,13,1,132.891774789,103.884940698,122.773111734,1694938.5640626,1500,25.5,0.828580636423274
"result.3873",0,2,15,132.891774789,96.464587791,132.217197252,1694938.5640626,1500,25.5,0.828580636423274
"result.3041",0,14,11,130.259316782,102.48829493,126.953242752,1694832.80817287,1485,24.5,0.827946703819421
"result.2786",1,14,10,130.920531588,102.48829493,126.292027946,1694563.95779086,1489,24.5,0.826335133786305
"result.1971",2,11,7,132.918866,101.525968,125.571592,1694553.03902835,1500,25,0.826269683440526
"result.4067",2,14,15,130.23269037,101.43752265,128.26938348,1694500.31480803,1485,24,0.825953638609784
"result.3812",3,14,14,130.887126,101.43752265,127.61494785,1694326.53772724,1489,24,0.82491196653271
"result.2531",2,14,9,131.581746394,102.48829493,125.63081314,1694205.49061485,1493,24.5,0.824186373742152
"result.1265",0,15,4,131.582998,104.197704,123.56779,1694194.25992514,1493,25,0.82411905361096
"result.3697",0,7,14,131.582998,98.854232,130.24713,1694194.25992514,1493,25,0.82411905361096
"result.3557",4,14,13,131.54156163,101.43752265,126.96051222,1694065.87210605,1492,24,0.823349458417098
"result.3442",1,7,13,132.250932,98.854232,129.579196,1694061.9526811,1496,25,0.823325964205371
"result.4002",1,10,15,130.920531588,99.843435706,129.598101976,1694048.80576856,1489,24.5,0.823247157658336
"result.1921",0,8,7,132.891774789,100.512053013,126.820576956,1693970.99530903,1500,25.5,0.822780738366266
"result.3747",2,10,14,131.581746394,99.843435706,128.93688717,1693917.84961475,1492,24.5,0.822462167093819
"result.4088",7,15,15,132.105590904,101.021922456,126.924979496,1693885.02586471,1495,23.5,0.822265411665988
"result.3187",2,7,12,132.918866,98.854232,128.911262,1693841.4406077,1500,25,0.822004148529392
"result.2276",3,14,8,132.2429612,102.48829493,124.969598334,1693757.40664484,1496,24.5,0.82150042368696
"result.3302",5,14,12,132.19599726,101.43752265,126.30607659,1693718.31794447,1496,24,0.821266114262951
"result.3492",3,10,13,132.2429612,99.843435706,128.275672364,1693699.58935838,1496,24.5,0.82115384948629
"result.1010",1,15,3,132.250932,104.197704,122.899856,1693589.93764831,1496,25,0.820496564163816
"result.3833",8,15,14,132.75316733,101.021922456,126.27740307,1693503.74922323,1499,23.5,0.819979924827016
"result.3237",4,10,12,132.904176006,99.843435706,127.614457558,1693394.02499948,1500,24.5,0.81932220483575
"result.3047",6,14,11,132.85043289,101.43752265,125.65164096,1693283.87524248,1499,24,0.818661934070266
"result.2021",4,14,7,132.904176006,102.48829493,124.308383528,1693219.70588082,1500,24.5,0.81827728362073
"result.705",0,12,2,132.891774789,103.210363161,123.447689271,1693184.84569675,1500,25.5,0.818068321194949
"result.2721",0,10,10,131.582998,100.858034,127.575394,1693078.88601874,1492,25,0.817433167022864
"result.755",2,15,2,132.918866,104.197704,122.231922,1692892.64271351,1500,25,0.81631676864788
"result.2466",1,10,9,132.250932,100.858034,126.90746,1692763.91134093,1496,25,0.815545114091093
"result.3281",0,13,12,130.259316782,101.827080124,127.614457558,1692668.70714093,1484,24.5,0.814974431488344
"result.3026",1,13,11,130.920531588,101.827080124,126.953242752,1692446.11058808,1488,24.5,0.813640120815766
"result.1505",0,14,5,131.582998,103.52977,124.235724,1692433.14323083,1492,25,0.813562390577123
"result.2211",2,10,8,132.918866,100.858034,126.239526,1692358.94389802,1499,25,0.813117617464531
"result.3137",0,4,12,132.891774789,97.813742865,130.193464641,1692338.22303738,1499,25.5,0.812993410395068
"result.2771",2,13,10,131.581746394,101.827080124,126.292027946,1692134.4754141,1492,24.5,0.811772085874155
"result.4052",3,13,15,130.887126,100.78308702,128.26938348,1692028.19569095,1488,24,0.81113501325528
"result.1250",1,14,4,132.250932,103.52977,123.56779,1691878.88315445,1495,25,0.810239989013176
"result.3797",4,13,14,131.54156163,100.78308702,127.61494785,1691812.37576803,1491,24,0.809841323740203
"result.2516",3,13,9,132.2429612,101.827080124,125.63081314,1691733.80161898,1495,24.5,0.809370326663512
"result.2161",0,7,8,132.891774789,99.837475476,127.495154493,1691552.07342511,1499,25.5,0.808280993223749
"result.3542",5,13,13,132.19599726,100.78308702,126.96051222,1691510.22787594,1495,24,0.808030158419099
"result.3937",0,6,15,131.582998,98.186298,130.915064,1691376.47321425,1491,25,0.807228392756823
"result.3987",2,9,15,131.581746394,99.1822209,129.598101976,1691329.08061381,1491,24.5,0.806944307258823
"result.945",0,11,3,132.891774789,102.535785624,124.122266808,1691310.18123672,1499,25.5,0.806831018709498
"result.3682",1,6,14,132.250932,98.186298,130.24713,1691288.86436346,1495,25,0.806703238961231
"result.4073",8,14,15,132.75316733,100.37434603,126.924979496,1691276.91983569,1498,23.5,0.806631639870059
"result.2261",4,13,8,132.904176006,101.827080124,124.969598334,1691244.08920272,1499,24.5,0.806434843183838
"result.995",2,14,3,132.918866,103.52977,122.899856,1691232.24639867,1499,25,0.806363853855236
"result.3732",3,9,14,132.2429612,99.1822209,128.93688717,1691155.62875445,1495,24.5,0.805904584656813
"result.3287",6,13,12,132.85043289,100.78308702,126.30607659,1691121.75201469,1498,24,0.805701517291961
"result.3427",2,6,13,132.918866,98.186298,129.579196,1691113.6466619,1499,25,0.805652931370048
"result.3477",4,9,13,132.904176006,99.1822209,128.275672364,1690895.45096541,1499,24.5,0.804345000753798
"result.2961",0,9,11,131.582998,100.1901,128.243328,1690672.02653652,1491,25,0.803005727543288
"result.1745",0,13,6,131.582998,102.861836,124.903658,1690554.6187569,1491,25,0.8023019500077
"result.2706",1,9,10,132.250932,100.1901,127.575394,1690403.83617698,1495,25,0.801398113883314
"result.3521",0,12,13,130.259316782,101.165865318,128.275672364,1690390.70605467,1483,24.5,0.80131940798195
"result.3266",1,12,12,130.920531588,101.165865318,127.614457558,1690213.78515812,1487,24.5,0.8002588909279
"result.1490",1,13,5,132.250932,102.861836,124.235724,1690049.82490239,1495,25,0.799276063852147
