"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,113.01290143,82.98150105,113.01290143,1059832.75180559,1094,40,1
"result.3840",15,15,14,113.01290143,82.98150105,112.22260142,1052421.33396079,1090,40,0.977675684114276
"result.4095",14,15,15,112.22260142,82.98150105,113.01290143,1052421.33396079,1086,40,0.977675684114276
"result.4080",15,14,15,113.01290143,82.19120104,113.01290143,1049739.10655029,1089,40,0.969596407888966
"result.3839",14,15,14,112.22260142,82.98150105,112.22260142,1045061.74421281,1082,40,0.955507482325654
"result.3584",15,15,13,113.01290143,82.98150105,111.43230141,1045009.916116,1086,40,0.955351368228551
"result.4094",13,15,15,111.43230141,82.98150105,113.01290143,1045009.916116,1079,40,0.955351368228551
"result.3824",15,14,14,113.01290143,82.19120104,112.22260142,1042398.27363736,1085,40,0.947484704535486
"result.4079",14,14,15,112.22260142,82.19120104,113.01290143,1042398.27363736,1081,40,0.947484704535486
"result.4064",15,13,15,113.01290143,81.40090103,113.01290143,1039645.461295,1083,40,0.939192815777932
"result.3583",14,15,13,112.22260142,82.98150105,111.43230141,1037702.15446484,1079,40,0.933339280537033
"result.3838",13,15,14,111.43230141,82.98150105,112.22260142,1037702.15446484,1075,40,0.933339280537033
"result.3328",15,15,12,113.01290143,82.98150105,110.6420014,1037598.4982712,1082,40,0.933027052342827
"result.4093",12,15,15,110.6420014,82.98150105,113.01290143,1037598.4982712,1071,40,0.933027052342827
"result.3823",14,14,14,112.22260142,82.19120104,112.22260142,1035108.77522031,1077,40,0.925527628478185
"result.3568",15,14,13,113.01290143,82.19120104,111.43230141,1035057.44072442,1081,40,0.925373001182007
"result.4078",13,14,15,111.43230141,82.19120104,113.01290143,1035057.44072442,1073,40,0.925373001182007
"result.3808",15,13,14,113.01290143,81.40090103,112.22260142,1032375.21331392,1080,40,0.917293724956697
"result.4063",14,13,15,112.22260142,81.40090103,113.01290143,1032375.21331392,1076,40,0.917293724956697
"result.3582",13,15,13,111.43230141,82.98150105,111.43230141,1030394.39281368,1071,40,0.911327192845514
"result.3327",14,15,12,112.22260142,82.98150105,110.6420014,1030342.56471686,1075,40,0.911171078748411
"result.3837",12,15,14,110.6420014,82.98150105,112.22260142,1030342.56471686,1067,40,0.911171078748411
"result.3072",15,15,11,113.01290143,82.98150105,109.85170139,1030187.08042641,1079,40,0.910702736457102
"result.4092",11,15,15,109.85170139,82.98150105,113.01290143,1030187.08042641,1063,40,0.910702736457102
"result.4048",15,12,15,113.01290143,80.61060102,113.01290143,1029551.81603971,1078,40,0.908789223666898
"result.3567",14,14,13,112.22260142,82.19120104,111.43230141,1027819.27680327,1073,40,0.903570552420884
"result.3822",13,14,14,111.43230141,82.19120104,112.22260142,1027819.27680327,1070,40,0.903570552420884
"result.3312",15,14,12,113.01290143,82.19120104,110.6420014,1027716.60781148,1077,40,0.903261297828528
"result.4077",12,14,15,110.6420014,82.19120104,113.01290143,1027716.60781148,1066,40,0.903261297828528
"result.3807",14,13,14,112.22260142,81.40090103,112.22260142,1025155.80622781,1072,40,0.895547774630716
"result.3552",15,13,13,113.01290143,81.40090103,111.43230141,1025104.96533284,1076,40,0.895394634135463
"result.4062",13,13,15,111.43230141,81.40090103,113.01290143,1025104.96533284,1068,40,0.895394634135463
"result.3326",13,15,12,111.43230141,82.98150105,110.6420014,1023086.63116252,1067,40,0.889315105153996
"result.3581",12,15,13,110.6420014,82.98150105,111.43230141,1023086.63116252,1063,40,0.889315105153996
"result.3071",14,15,11,112.22260142,82.98150105,109.85170139,1022982.97496888,1071,40,0.88900287695979
"result.3836",11,15,14,109.85170139,82.98150105,112.22260142,1022982.97496888,1060,40,0.88900287695979
"result.2816",15,15,10,113.01290143,82.98150105,109.06140138,1022775.66258161,1075,40,0.888378420571378
"result.4091",10,15,15,109.06140138,82.98150105,113.01290143,1022775.66258161,1056,40,0.888378420571378
"result.3792",15,12,14,113.01290143,80.61060102,112.22260142,1022352.15299048,1074,40,0.887102745377908
"result.4047",14,12,15,112.22260142,80.61060102,113.01290143,1022352.15299048,1071,40,0.887102745377908
"result.3566",13,14,13,111.43230141,82.19120104,111.43230141,1020581.11288212,1066,40,0.881768103659761
"result.3311",14,14,12,112.22260142,82.19120104,110.6420014,1020529.77838622,1070,40,0.881613476363582
"result.3821",12,14,14,110.6420014,82.19120104,112.22260142,1020529.77838622,1062,40,0.881613476363582
"result.3056",15,14,11,113.01290143,82.19120104,109.85170139,1020375.77489854,1073,40,0.881149594475048
"result.4076",11,14,15,109.85170139,82.19120104,113.01290143,1020375.77489854,1058,40,0.881149594475048
"result.4032",15,11,15,113.01290143,79.82030101,113.01290143,1019458.17078442,1073,40,0.878385631555863
"result.3551",14,13,13,112.22260142,81.40090103,111.43230141,1017936.3991417,1068,40,0.873801824304735
"result.3806",13,13,14,111.43230141,81.40090103,112.22260142,1017936.3991417,1065,40,0.873801824304735
"result.3296",15,13,12,113.01290143,81.40090103,110.6420014,1017834.71735175,1072,40,0.873495543314228
"result.4061",12,13,15,110.6420014,81.40090103,113.01290143,1017834.71735175,1061,40,0.873495543314228
"result.3325",12,15,12,110.6420014,82.98150105,110.6420014,1015830.69760817,1060,40,0.86745913155958
"result.3070",13,15,11,111.43230141,82.98150105,109.85170139,1015778.86951135,1063,40,0.867303017462477
"result.3580",11,15,13,109.85170139,82.98150105,111.43230141,1015778.86951135,1056,40,0.867303017462477
"result.2815",14,15,10,112.22260142,82.98150105,109.06140138,1015623.3852209,1067,40,0.866834675171168
"result.3835",10,15,14,109.06140138,82.98150105,112.22260142,1015623.3852209,1052,40,0.866834675171168
