"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,103.679723604,168.829820193,123.995345121,2170442.92755326,1500,27.5,1
"result.4049",0,13,15,103.679723604,167.428742847,124.695883794,2164591.57990414,1498,27.5,0.973534945719572
"result.3809",0,14,14,103.679723604,168.12928152,123.995345121,2161436.94030201,1496,27.5,0.959266829498819
"result.3569",0,15,13,103.679723604,168.829820193,123.294806448,2158180.53813206,1495,27.5,0.944538451464493
"result.3778",1,12,14,104.380262277,166.728204174,123.995345121,2157907.56691976,1500,27.5,0.943303830248356
"result.4033",0,12,15,103.679723604,166.728204174,124.695883794,2155534.71136898,1494,27.5,0.932571644311605
"result.3538",1,13,13,104.380262277,167.428742847,123.294806448,2154731.61218517,1499,27.5,0.928939307836923
"result.3457",0,8,13,104.61886308,165.41090514,124.41162096,2152955.64598012,1500,28,0.920906792109705
"result.2753",0,12,10,104.61886308,168.23844198,122.29096833,2152432.88091456,1500,28,0.918542378530915
"result.3793",0,13,14,103.679723604,167.428742847,123.995345121,2152430.95305075,1493,27.5,0.918533658997637
"result.4083",2,15,15,104.1215475,167.28861965,123.5575697,2152168.98888299,1496,27,0.917348821532004
"result.4002",1,10,15,104.380262277,165.327126828,124.695883794,2151863.00790878,1498,27.5,0.915964900497564
"result.3298",1,14,12,104.380262277,168.12928152,122.594267775,2151453.20729786,1498,27.5,0.914111413734798
"result.3217",0,9,12,104.61886308,166.11778935,123.70473675,2149871.33209335,1499,28,0.906956751994836
"result.3921",0,5,15,104.61886308,163.29025251,125.82538938,2149505.39654746,1499,28,0.905301662489682
"result.3553",0,14,13,103.679723604,168.12928152,123.294806448,2149225.43216471,1492,27.5,0.904035411870098
"result.2513",0,13,9,104.61886308,168.94532619,121.58408412,2148982.6314819,1499,28,0.902937248910891
"result.3762",1,11,14,104.380262277,166.027665501,123.995345121,2148840.72840329,1497,27.5,0.902295435622167
"result.4052",3,13,15,104.81569115,165.90033235,123.5575697,2148537.38975929,1500,27,0.900923465580375
"result.3058",1,15,11,104.380262277,168.829820193,121.893729102,2148072.35225782,1497,27.5,0.898820147941982
"result.2977",0,10,11,104.61886308,166.82467356,122.99785254,2146682.46519346,1498,28,0.89253382916421
"result.3681",0,6,14,104.61886308,163.99713672,125.11850517,2146682.46519346,1498,28,0.89253382916421
"result.4017",0,11,15,103.679723604,166.027665501,124.695883794,2146477.84283381,1491,27.5,0.891608342903637
"result.3313",0,15,12,103.679723604,168.829820193,122.594267775,2145918.14871085,1491,27.5,0.889076902928986
"result.3522",1,12,13,104.380262277,166.728204174,123.294806448,2145715.99874507,1496,27.5,0.888162599056078
"result.2273",0,14,8,104.61886308,169.6522104,120.87719991,2145427.82903613,1498,28,0.88685923657511
"result.3812",3,14,14,104.81569115,166.594476,122.86342605,2145406.14726563,1499,27,0.886761172117571
"result.3441",0,7,13,104.61886308,164.70402093,124.41162096,2143754.98082636,1497,28,0.879293113122977
"result.3777",0,12,14,103.679723604,166.728204174,123.995345121,2143424.96579949,1490,27.5,0.877800488496456
"result.2737",0,11,10,104.61886308,167.53155777,122.29096833,2143389.04528047,1497,28,0.877638023617825
"result.4067",2,14,15,104.1215475,166.594476,123.5575697,2143238.8271034,1493,27,0.876958601978823
"result.3986",1,9,15,104.380262277,164.626588155,124.695883794,2142744.94431594,1495,27.5,0.874724820026028
"result.3282",1,13,12,104.380262277,167.428742847,122.594267775,2142488.81893412,1495,27.5,0.873566390799299
"result.3572",3,15,13,104.81569115,167.28861965,122.1692824,2142173.8969496,1498,27,0.872142030478548
"result.3491",2,10,13,105.08080095,165.327126828,123.294806448,2141964.53543442,1500,27.5,0.871195109496265
"result.2033",0,15,7,104.61886308,170.35909461,120.1703157,2141768.47357725,1496,28,0.870308341523572
"result.2787",2,14,10,105.08080095,168.12928152,121.193190429,2141139.43353325,1499,27.5,0.867463256953784
"result.3201",0,8,12,104.61886308,165.41090514,123.70473675,2140722.94344614,1496,28,0.865579514365988
"result.3537",0,13,13,103.679723604,167.428742847,123.294806448,2140270.32619735,1489,27.5,0.863532372275705
"result.3905",0,4,15,104.61886308,162.5833683,125.82538938,2140200.17838059,1496,28,0.863215100787197
"result.3827",2,15,14,104.1215475,167.28861965,122.86342605,2140078.1518668,1492,27,0.862663187193145
"result.2497",0,12,9,104.61886308,168.23844198,121.58408412,2139991.07235436,1496,28,0.862269335355679
"result.3746",1,10,14,104.380262277,165.327126828,123.995345121,2139773.88988682,1494,27.5,0.861287040995978
"result.4036",3,12,15,104.81569115,165.2061887,123.5575697,2139547.69356783,1497,27,0.860263977896841
"result.3042",1,14,11,104.380262277,168.12928152,121.893729102,2139159.18897045,1494,27.5,0.85850681085183
"result.3251",2,11,12,105.08080095,166.027665501,122.594267775,2138818.83443621,1499,27.5,0.856967421678057
"result.3955",2,7,15,105.08080095,163.225510809,124.695883794,2138767.26556739,1499,27.5,0.85673418089415
"result.2002",1,13,7,105.32574729,168.94532619,120.1703157,2138345.77527642,1500,28,0.854827822889457
"result.4082",1,15,15,103.42740385,167.28861965,123.5575697,2137821.19562377,1486,27,0.852455202116559
"result.2547",2,15,9,105.08080095,168.829820193,120.492651756,2137632.75045328,1498,27.5,0.851602883648239
"result.2961",0,9,11,104.61886308,166.11778935,122.99785254,2137586.35305281,1495,28,0.85139303289324
"result.3665",0,5,14,104.61886308,163.29025251,125.11850517,2137429.52353315,1495,28,0.850683708819603
"result.4001",0,10,15,103.679723604,165.327126828,124.695883794,2137420.97429865,1488,27.5,0.85064504149567
"result.3297",0,14,12,103.679723604,168.12928152,122.594267775,2137013.92402741,1488,27.5,0.848803994241379
"result.3170",1,6,12,105.32574729,163.99713672,123.70473675,2136766.88349059,1500,28,0.847686654850809
"result.3506",1,11,13,104.380262277,166.027665501,123.294806448,2136700.38530496,1493,27.5,0.847385890275236
"result.2257",0,13,8,104.61886308,168.94532619,120.87719991,2136488.54641515,1495,28,0.846427764377777
"result.3796",3,13,14,104.81569115,165.90033235,122.86342605,2136466.95498536,1496,27,0.846330108522146
"result.2466",1,10,9,105.32574729,166.82467356,121.58408412,2136345.84568104,1500,28,0.845782343373838
"result.3874",1,2,15,105.32574729,161.16959988,125.82538938,2135924.80787148,1499,28,0.843878031896865
"result.3715",2,8,14,105.08080095,163.926049482,123.995345121,2135879.4089133,1498,27.5,0.843672696995468
"result.2802",1,15,10,104.380262277,168.829820193,121.193190429,2135727.10885404,1493,27.5,0.842983859213668
"result.3011",2,12,11,105.08080095,166.728204174,121.893729102,2135569.99570036,1498,27.5,0.842273252292038
"result.3301",4,14,12,105.5098348,166.594476,121.47513875,2135211.7153914,1500,27,0.84065278665012
