"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,129.796029272,105.548419408,126.230204292,1729324.22749347,1498,28.5,1
"result.4065",0,14,15,129.796029272,104.835254412,126.943369288,1727343.78289029,1497,28.5,0.989012072633017
"result.4050",1,13,15,130.509194268,104.122089416,126.943369288,1725019.4808725,1500,28.5,0.976116351283635
"result.4084",3,15,15,130.77357885,104.61886308,125.82538938,1721465.36087134,1500,28,0.956397338510617
"result.3569",0,15,13,129.796029272,105.548419408,125.517039296,1719554.0341178,1493,28.5,0.945792891656218
"result.3265",0,12,12,130.93063438,104.31286805,125.89484075,1719440.25971535,1500,29,0.945161647102156
"result.3314",1,15,12,130.509194268,105.548419408,124.8038743,1719178.25744951,1497,28.5,0.943708002873765
"result.3809",0,14,14,129.796029272,104.835254412,126.230204292,1717639.60433473,1493,28.5,0.935171228534802
"result.3505",0,11,13,130.93063438,103.59346896,126.61423984,1717339.66274781,1499,29,0.933507088893585
"result.3554",1,14,13,130.509194268,104.835254412,125.517039296,1717319.68636037,1497,28.5,0.933396255652443
"result.3299",2,14,12,131.222359264,104.835254412,124.8038743,1716893.12906123,1500,28.5,0.931029625142631
"result.4049",0,13,15,129.796029272,104.122089416,126.943369288,1715593.14491145,1492,28.5,0.923817036922253
"result.3794",1,13,14,130.509194268,104.122089416,126.230204292,1715328.36019344,1496,28.5,0.922347955058169
"result.3745",0,10,14,130.93063438,102.87406987,127.33363893,1715103.54339528,1498,29,0.921100623703816
"result.3539",2,13,13,131.222359264,104.122089416,125.517039296,1714957.66158823,1500,28.5,0.920291240448452
"result.2289",0,15,8,130.93063438,106.47106532,123.01724439,1714900.25981777,1498,29,0.919972763232018
"result.2529",0,14,9,130.93063438,105.75166623,123.73664348,1713273.99119775,1497,29,0.91094987945764
"result.4034",1,12,15,130.509194268,103.40892442,126.943369288,1713204.27894872,1495,28.5,0.910563101090944
"result.3779",2,12,14,131.222359264,103.40892442,126.230204292,1712888.71359986,1499,28.5,0.908812277499501
"result.3985",0,9,15,130.93063438,102.15467078,128.05303802,1712731.90165774,1497,29,0.907942251532848
"result.4083",2,15,15,130.06669464,104.61886308,125.82538938,1712160.14270447,1492,28,0.904770011400563
"result.3828",3,15,14,130.77357885,104.61886308,125.11850517,1711794.20715858,1496,28,0.902739723255786
"result.2769",0,13,10,130.93063438,105.03226714,124.45604257,1711512.20019272,1496,29,0.901175088702065
"result.3573",4,15,13,131.48046306,104.61886308,124.41162096,1711323.71859958,1500,28,0.90012935278393
"result.2514",1,13,9,131.65003347,105.03226714,123.73664348,1710968.62139573,1500,29,0.898159198063193
"result.4019",2,11,15,131.222359264,102.695759424,126.943369288,1710686.28509611,1498,28.5,0.89659273629578
"result.3970",1,8,15,131.65003347,101.43527169,128.05303802,1710014.75230129,1500,29,0.89286692969553
"result.4068",3,14,15,130.77357885,103.91197887,125.82538938,1709833.83816275,1495,28,0.89186317962305
"result.3313",0,15,12,129.796029272,105.548419408,124.8038743,1709783.84074213,1489,28.5,0.891585783312436
"result.3009",0,12,11,130.93063438,104.31286805,125.17544166,1709614.88680269,1496,29,0.890648390965291
"result.3813",4,14,14,131.48046306,103.91197887,125.11850517,1709418.45186742,1499,28,0.889558528215465
"result.3058",1,15,11,130.509194268,105.548419408,124.090709304,1709354.38169265,1493,28.5,0.889203053275348
"result.2754",1,12,10,131.65003347,104.31286805,124.45604257,1709129.0167136,1500,29,0.887952680496984
"result.2803",2,15,10,131.222359264,105.548419408,123.377544308,1708817.5578808,1497,28.5,0.886224640728986
"result.3553",0,14,13,129.796029272,104.835254412,125.517039296,1707935.42577917,1488,28.5,0.881330384436587
"result.3249",0,11,12,130.93063438,103.59346896,125.89484075,1707582.05102766,1495,29,0.879369786247319
"result.3298",1,14,12,130.509194268,104.835254412,124.8038743,1707562.18814241,1492,28.5,0.879259582740501
"result.4053",4,13,15,131.48046306,103.20509466,125.82538938,1707381.78742959,1498,28,0.878258681262968
"result.2994",1,11,11,131.65003347,103.59346896,125.17544166,1707153.14501798,1499,29,0.876990124592538
"result.3043",2,14,11,131.222359264,104.835254412,124.090709304,1707082.31118088,1496,28.5,0.876597123416964
"result.2788",3,14,10,131.93552426,104.835254412,123.377544308,1706495.79489455,1500,28.5,0.873343006465972
"result.3793",0,13,14,129.796029272,104.122089416,126.230204292,1705954.98117599,1488,28.5,0.870342457069603
