"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,96.41660122,89.30390113,175.44660222,1510661.67317018,1206,40,1
"result.3840",15,15,14,96.41660122,89.30390113,174.65630221,1503856.8908586,1204,40,0.984508197642405
"result.4095",14,15,15,95.62630121,89.30390113,175.44660222,1498279.20043928,1196,40,0.971809998988639
"result.4080",15,14,15,96.41660122,88.51360112,175.44660222,1497292.98579699,1201,40,0.96956477766915
"result.3584",15,15,13,96.41660122,89.30390113,173.8660022,1497052.10854702,1201,40,0.969016395284811
"result.3839",14,15,14,95.62630121,89.30390113,174.65630221,1491530.19503189,1194,40,0.956445178617582
"result.3824",15,14,14,96.41660122,88.51360112,174.65630221,1490548.42279791,1198,40,0.95421007090764
"result.3328",15,15,12,96.41660122,89.30390113,173.07570219,1490247.32623545,1198,40,0.953524592927216
"result.4094",13,15,15,94.8360012,89.30390113,175.44660222,1485896.72770837,1187,40,0.943619997977278
"result.4079",14,14,15,95.62630121,88.51360112,175.44660222,1485020.09247079,1191,40,0.941624245693288
"result.3583",14,15,13,95.62630121,89.30390113,173.8660022,1484781.18962451,1191,40,0.941080358246525
"result.4064",15,13,15,96.41660122,87.72330111,175.44660222,1483924.2984238,1196,40,0.9391295553383
"result.3568",15,14,13,96.41660122,88.51360112,173.8660022,1483803.85979882,1196,40,0.938855364146131
"result.3072",15,15,11,96.41660122,89.30390113,172.28540218,1483442.54392387,1195,40,0.938032790569621
"result.3838",13,15,14,94.8360012,89.30390113,174.65630221,1479203.49920518,1184,40,0.928382159592759
"result.3823",14,14,14,95.62630121,88.51360112,174.65630221,1478330.81277497,1188,40,0.926395397183922
"result.3327",14,15,12,95.62630121,89.30390113,173.07570219,1478032.18421712,1188,40,0.925715537875468
"result.3808",15,13,14,96.41660122,87.72330111,174.65630221,1477239.95473721,1193,40,0.923911944172875
"result.3312",15,14,12,96.41660122,88.51360112,173.07570219,1477059.29679973,1193,40,0.923500657384621
"result.2816",15,15,10,96.41660122,89.30390113,171.49510217,1476637.76161229,1193,40,0.922540988212027
"result.4093",12,15,15,94.04570119,89.30390113,175.44660222,1473514.25497747,1177,40,0.915429996965917
"result.4078",13,14,15,94.8360012,88.51360112,175.44660222,1472747.19914458,1181,40,0.913683713717426
"result.3582",13,15,13,94.8360012,89.30390113,173.8660022,1472510.27070199,1181,40,0.913144321208239
"result.4063",14,13,15,95.62630121,87.72330111,175.44660222,1471760.9845023,1186,40,0.911438492397937
