"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3827",2,15,14,124.106937048,114.9138306,126.979782813,1810935.32010209,1499,18.5,1
"result.4082",1,15,15,123.532367895,114.9138306,127.554351966,1810707.70128357,1495,18.5,0.998637490562172
"result.4067",2,14,15,124.106937048,114.339261447,127.554351966,1810033.94958077,1498,18.5,0.994604462626199
"result.2273",0,14,8,124.60768674,115.87350309,125.18996565,1807584.00938595,1500,19,0.979939301549715
"result.2513",0,13,9,124.60768674,115.29122418,125.77224456,1806865.79206307,1500,19,0.975640105695758
"result.2753",0,12,10,124.60768674,114.70894527,126.35452347,1806063.07858455,1500,19,0.970835122094275
"result.2993",0,11,11,124.60768674,114.12666636,126.93680238,1805175.8689504,1499,19,0.965524350745269
"result.3233",0,10,12,124.60768674,113.54438745,127.51908129,1804204.16316062,1499,19,0.959707791648739
"result.3473",0,9,13,124.60768674,112.96210854,128.1013602,1803147.9612152,1498,19,0.953385444804684
"result.3316",3,15,12,124.681506201,114.9138306,125.830644507,1802854.85204482,1499,18.5,0.95163091495708
"result.3571",2,15,13,124.106937048,114.9138306,126.40521366,1802741.04263556,1495,18.5,0.950949660238166
"result.3826",1,15,14,123.532367895,114.9138306,126.979782813,1802551.3602868,1492,18.5,0.949814235706642
"result.4081",0,15,15,122.957798742,114.9138306,127.554351966,1802285.80499853,1488,18.5,0.948224641362508
"result.3556",3,14,13,124.681506201,114.339261447,126.40521366,1802031.63065119,1498,18.5,0.946703172490266
"result.3713",0,8,14,124.60768674,112.37982963,128.68363911,1802007.26311415,1498,19,0.946557310213106
"result.3811",2,14,14,124.106937048,114.339261447,126.979782813,1801880.64350158,1495,18.5,0.945799374563174
"result.4066",1,14,15,123.532367895,114.339261447,127.554351966,1801654.16277715,1491,18.5,0.944443677672534
"result.3796",3,13,14,124.681506201,113.764692294,126.979782813,1801126.0871182,1498,18.5,0.94128265577677
"result.4051",2,13,15,124.106937048,113.764692294,127.554351966,1800938.30159293,1495,18.5,0.940158585490562
"result.3953",0,7,15,124.60768674,111.79755072,129.26591802,1800782.06885747,1497,19,0.939223387874002
"result.4036",3,12,15,124.681506201,113.190123141,127.554351966,1800138.22144585,1498,18.5,0.935369364816594
"result.1777",0,15,6,124.60768674,116.455782,124.02540783,1799768.11498987,1497,19,0.93315393490371
"result.2017",0,14,7,124.60768674,115.87350309,124.60768674,1799176.64190044,1497,19,0.929613420671039
"result.1762",1,14,6,125.18996565,115.87350309,124.02540783,1799137.35513648,1500,19,0.929378253003381
"result.2002",1,13,7,125.18996565,115.29122418,124.60768674,1798500.67265537,1500,19,0.925567118690844
"result.2257",0,13,8,124.60768674,115.29122418,125.18996565,1798500.67265537,1497,19,0.925567118690844
"result.2242",1,12,8,125.18996565,114.70894527,125.18996565,1797779.09917677,1500,19,0.921247833136635
"result.2497",0,12,9,124.60768674,114.70894527,125.77224456,1797740.20725467,1496,19,0.921015028963125
"result.2482",1,11,9,125.18996565,114.12666636,125.77224456,1796972.63470069,1499,19,0.916420396340753
"result.2737",0,11,10,124.60768674,114.12666636,126.35452347,1796895.24569834,1496,19,0.91595715148788
"result.2722",1,10,10,125.18996565,113.54438745,126.35452347,1796081.27922713,1499,19,0.911084808303201
"result.2977",0,10,11,124.60768674,113.54438745,126.93680238,1795965.78798637,1495,19,0.910393486265113
"result.2962",1,9,11,125.18996565,112.96210854,126.93680238,1795105.03275609,1499,19,0.905241069023977
"result.3217",0,9,12,124.60768674,112.96210854,127.51908129,1794951.83411877,1495,19,0.90432403329482
"result.2805",4,15,10,125.256075354,114.9138306,124.681506201,1794622.63810854,1499,18.5,0.902353490288941
"result.3060",3,15,11,124.681506201,114.9138306,125.256075354,1794622.63810854,1495,18.5,0.902353490288941
"result.3315",2,15,12,124.106937048,114.9138306,125.830644507,1794546.76516904,1492,18.5,0.901899320476331
"result.3570",1,15,13,123.532367895,114.9138306,126.40521366,1794395.01929003,1488,18.5,0.900990980851111
"result.3825",0,15,14,122.957798742,114.9138306,126.979782813,1794167.40047151,1485,18.5,0.899628471413283
"result.3202",1,8,12,125.18996565,112.37982963,127.51908129,1794043.89528756,1498,19,0.89888917850308
"result.3045",4,14,11,125.256075354,114.339261447,125.256075354,1793878.324572,1498,18.5,0.897898084427241
"result.3457",0,8,13,124.60768674,112.37982963,128.1013602,1793853.38409554,1495,19,0.897748792577003
"result.3300",3,14,12,124.681506201,114.339261447,125.830644507,1793840.5777846,1495,18.5,0.897672134945467
"result.3555",2,14,13,124.106937048,114.339261447,126.40521366,1793727.33742238,1492,18.5,0.896994286500147
"result.3810",1,14,14,123.532367895,114.339261447,126.979782813,1793538.60348537,1488,18.5,0.895864539091281
"result.4065",0,14,15,122.957798742,114.339261447,127.554351966,1793274.37597354,1484,18.5,0.894282892718868
"result.3285",4,13,12,125.256075354,113.764692294,125.830644507,1793051.3095314,1498,18.5,0.892947633469795
"result.3540",3,13,13,124.681506201,113.764692294,126.40521366,1792976.19532129,1495,18.5,0.892498005355313
"result.3442",1,7,13,125.18996565,111.79755072,128.1013602,1792897.86682155,1498,19,0.892029136740512
"result.3795",2,13,14,124.106937048,113.764692294,126.979782813,1792825.96690107,1491,18.5,0.891598749126346
"result.3697",0,7,14,124.60768674,111.79755072,128.68363911,1792670.43791667,1494,19,0.890667764111662
"result.4050",1,13,15,123.532367895,113.764692294,127.554351966,1792600.62427074,1488,18.5,0.890249864782895
"result.3525",4,12,13,125.256075354,113.190123141,126.40521366,1792141.59298673,1498,18.5,0.887502137416606
"result.3780",3,12,14,124.681506201,113.190123141,126.979782813,1792029.49071861,1494,18.5,0.886831101518476
"result.4035",2,12,15,124.106937048,113.190123141,127.554351966,1791842.65360508,1491,18.5,0.885712708354926
"result.3682",1,6,14,125.18996565,111.21527181,128.68363911,1791666.94735806,1497,19,0.884660943736273
"result.3937",0,6,15,124.60768674,111.21527181,129.26591802,1791402.99558217,1494,19,0.883080947898796
"result.1521",0,15,5,124.60768674,116.455782,123.44312892,1791318.49942654,1494,19,0.882575160151272
"result.1266",1,15,4,125.18996565,116.455782,122.86085001,1791200.04687191,1497,19,0.881866111907079
"result.3765",4,11,14,125.256075354,112.615553988,126.979782813,1791149.17493801,1497,18.5,0.881561596267673
"result.1011",2,15,3,125.77224456,116.455782,122.2785711,1791002.62594753,1500,19,0.880684364833424
