"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3793",0,13,14,121.20714342,118.14635697,129.77734548,1858435.26304962,1500,21,1
"result.4033",0,12,15,121.20714342,117.53419968,130.38950277,1857526.84811998,1500,21,0.994921775037287
"result.3057",0,15,11,121.20714342,119.37067155,127.94087361,1851122.52286605,1497,21,0.959120289050159
"result.3297",0,14,12,121.20714342,118.75851426,128.5530309,1850441.21166882,1497,21,0.955311620328125
"result.3537",0,13,13,121.20714342,118.14635697,129.16518819,1849669.05897863,1497,21,0.950995129109819
"result.3522",1,12,13,121.81930071,117.53419968,129.16518819,1849378.6414784,1500,21,0.949371635977799
"result.3777",0,12,14,121.20714342,117.53419968,129.77734548,1848806.06479547,1496,21,0.946170815395242
"result.3762",1,11,14,121.81930071,116.92204239,129.77734548,1848465.63859457,1500,21,0.944267763414265
"result.4017",0,11,15,121.20714342,116.92204239,130.38950277,1847852.22911936,1496,21,0.940838679184393
"result.4002",1,10,15,121.81930071,116.3098851,130.38950277,1847461.33542236,1500,21,0.938653503594376
"result.4084",3,15,15,121.568581614,117.93966873,128.826407382,1847081.88442577,1498,20.5,0.93653229503632
"result.2546",1,15,9,121.81930071,119.37067155,126.71655903,1842668.07028227,1498,21,0.911858172635818
"result.2801",0,15,10,121.20714342,119.37067155,127.32871632,1842265.47730209,1494,21,0.909607595663707
"result.2786",1,14,10,121.81930071,118.75851426,127.32871632,1842074.61840779,1497,21,0.90854065546952
"result.3041",0,14,11,121.20714342,118.75851426,127.94087361,1841629.58685135,1494,21,0.906052838189807
"result.3026",1,13,11,121.81930071,118.14635697,127.94087361,1841389.86624492,1497,21,0.904712751046869
"result.3281",0,13,12,121.20714342,118.14635697,128.5530309,1840902.85490764,1493,21,0.901990258219637
"result.3266",1,12,12,121.81930071,117.53419968,128.5530309,1840613.81379366,1497,21,0.900374459367864
"result.3521",0,12,13,121.20714342,117.53419968,129.16518819,1840085.28147097,1493,21,0.897419855753195
"result.3506",1,11,13,121.81930071,116.92204239,129.16518819,1839746.46105403,1497,21,0.895525780432506
"result.3491",2,10,13,122.431458,116.3098851,129.16518819,1839310.83480368,1500,21,0.893090540734479
"result.3761",0,11,14,121.20714342,116.92204239,129.77734548,1839176.86654133,1493,21,0.892341630790482
"result.3573",4,15,13,122.173400428,117.93966873,127.616769754,1838841.56863558,1498,20.5,0.89046724702667
"result.3746",1,10,14,121.81930071,116.3098851,129.77734548,1838787.80802601,1496,21,0.890166714240795
"result.3828",3,15,14,121.568581614,117.93966873,128.221588568,1838410.1384895,1494,20.5,0.888055464408363
"result.3731",2,9,14,122.431458,115.69772781,129.77734548,1838301.48488186,1500,21,0.887448068553685
"result.4001",0,10,15,121.20714342,116.3098851,130.38950277,1838177.61011873,1492,21,0.886755583331498
"result.3813",4,14,14,122.173400428,117.334849916,128.221588568,1838081.80908602,1498,20.5,0.886220035995252
"result.4083",2,15,15,120.9637628,117.93966873,128.826407382,1837892.4223142,1491,20.5,0.885161325266395
"result.3986",1,9,15,121.81930071,115.69772781,130.38950277,1837737.85470961,1496,21,0.884297260792729
"result.4068",3,14,15,121.568581614,117.334849916,128.826407382,1837609.66963384,1494,20.5,0.883580680042706
"result.4053",4,13,15,122.173400428,116.730031102,128.826407382,1837232.66606004,1498,20.5,0.881473153077785
"result.3971",2,8,15,122.431458,115.08557052,130.38950277,1837200.37587624,1499,21,0.881292644356457
"result.3409",0,5,13,122.64107427,114.588882525,130.693266015,1836672.15261502,1500,21.5,0.878339768458536
"result.3649",0,4,14,122.64107427,113.96948316,131.31266538,1835401.75046001,1500,21.5,0.871237960985146
"result.753",0,15,2,122.64107427,120.782876175,123.879873,1835025.33500668,1500,21.5,0.869133721733771
"result.993",0,14,3,122.64107427,120.16347681,124.499272365,1834743.02341668,1500,21.5,0.86755554229524
"result.1233",0,13,4,122.64107427,119.544077445,125.11867173,1834366.60796334,1499,21.5,0.865451303043866
"result.3889",0,3,15,122.64107427,113.350083795,131.932064745,1834037.24444168,1499,21.5,0.863610093698913
"result.2035",2,15,7,122.431458,119.37067155,125.49224445,1834034.68748509,1498,21,0.863595799789426
"result.1473",0,12,5,122.64107427,118.92467808,125.738071095,1833896.08864668,1499,21.5,0.862821003979647
"result.2290",1,15,8,121.81930071,119.37067155,126.10440174,1833766.29216497,1494,21,0.862095415141352
"result.2275",2,14,8,122.431458,118.75851426,126.10440174,1833530.01252418,1498,21,0.86077456369903
"result.2545",0,15,9,121.20714342,119.37067155,126.71655903,1833408.43173814,1490,21,0.860094902277254
"result.1713",0,11,6,122.64107427,118.305278715,126.35747046,1833331.46546667,1499,21.5,0.859664645102584
"result.2530",1,14,9,121.81930071,118.75851426,126.71655903,1833218.49043467,1494,21,0.859033091603231
"result.2515",2,13,9,122.431458,118.14635697,126.71655903,1832933.57847947,1498,21,0.857440375592199
"result.2785",0,14,10,121.20714342,118.75851426,127.32871632,1832817.96203388,1490,21,0.85679405605149
"result.1953",0,10,7,122.64107427,117.68587935,126.976869825,1832672.73842334,1499,21.5,0.855982226412679
"result.2770",1,13,10,121.81930071,118.14635697,127.32871632,1832579.38841599,1494,21,0.855460380808757
"result.2755",2,12,10,122.431458,117.53419968,127.32871632,1832245.38535095,1497,21,0.853593235468931
"result.3025",0,13,11,121.20714342,118.14635697,127.94087361,1832136.65083665,1490,21,0.852985387329455
"result.2193",0,9,8,122.64107427,117.066479985,127.59626919,1831919.90751667,1498,21.5,0.851773747909928
"result.3010",1,12,11,121.81930071,117.53419968,127.94087361,1831848.98610893,1493,21,0.851377282757929
"result.2995",2,11,11,122.431458,116.92204239,127.94087361,1831465.43313864,1497,21,0.849233143329228
"result.3265",0,12,12,121.20714342,117.53419968,128.5530309,1831364.49814646,1489,21,0.848668896111149
"result.2433",0,8,9,122.64107427,116.44708062,128.215668555,1831072.97274667,1498,21.5,0.847039209594335
"result.3250",1,11,12,121.81930071,116.92204239,128.5530309,1831027.28351349,1493,21,0.846783797450747
"result.2980",3,10,11,123.04361529,116.3098851,127.94087361,1830985.99192578,1500,21,0.846552969043352
"result.3235",2,10,12,122.431458,116.3098851,128.5530309,1830593.72184253,1497,21,0.84436009917309
"result.3505",0,11,13,121.20714342,116.92204239,129.16518819,1830501.5039633,1489,21,0.843844582396571
"result.3062",5,15,11,122.778219242,117.93966873,126.407132126,1830428.68078696,1499,20.5,0.843437485969696
"result.2673",0,7,10,122.64107427,115.827681255,128.83506792,1830131.93411333,1498,21.5,0.841778611465898
"result.3317",4,15,12,122.173400428,117.93966873,127.01195094,1830126.6796847,1495,20.5,0.841749238136881
"result.3490",1,10,13,121.81930071,116.3098851,129.16518819,1830114.28062966,1493,21,0.841679924887213
"result.3220",3,9,12,123.04361529,115.69772781,128.5530309,1830063.81313357,1500,21,0.841397801278174
"result.3302",5,14,12,122.778219242,117.334849916,127.01195094,1829754.98602038,1498,20.5,0.839671394650341
"result.3572",3,15,13,121.568581614,117.93966873,127.616769754,1829738.39255323,1491,20.5,0.839578633780405
"result.3475",2,9,13,122.431458,115.69772781,129.16518819,1829630.25146261,1496,21,0.838974103000515
"result.3745",0,10,14,121.20714342,116.3098851,129.77734548,1829547.66828719,1489,21,0.838512446185723
"result.3557",4,14,13,122.173400428,117.334849916,127.616769754,1829411.61187335,1495,20.5,0.837751863048489
"result.3827",2,15,14,120.9637628,117.93966873,128.221588568,1829263.81939254,1487,20.5,0.836925672900269
"result.3730",1,9,14,121.81930071,115.69772781,129.77734548,1829109.97745745,1492,21,0.836065665067324
"result.2913",0,6,11,122.64107427,115.20828189,129.454467285,1829096.79161666,1497,21.5,0.835991953524618
"result.3460",3,8,13,123.04361529,115.08557052,129.16518819,1829049.41646214,1500,21,0.835727116736476
"result.3542",5,13,13,122.778219242,116.730031102,127.616769754,1828991.46528493,1498,20.5,0.835403157821737
"result.3812",3,14,14,121.568581614,117.334849916,128.221588568,1828982.39418955,1491,20.5,0.835352448546174
"result.4082",1,15,15,120.358943986,117.93966873,128.826407382,1828702.96020263,1483,20.5,0.833790355496471
