"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,131.46482956,99.45007832,130.78366464,1709890.16600453,1499,26,1
"result.3777",0,12,14,132.034684416,98.338332664,131.347003768,1705418.78569015,1500,26.5,0.973663523067923
"result.2801",0,15,10,132.034684416,100.401374608,128.596281176,1704731.94767739,1500,26.5,0.96961803997157
"result.4017",0,11,15,132.034684416,97.650652016,132.034684416,1702359.23454239,1499,26.5,0.955642734729622
"result.3041",0,14,11,132.034684416,99.71369396,129.283961824,1702109.47526502,1499,26.5,0.954171649967312
"result.4081",0,15,15,130.78366464,99.45007832,130.78366464,1701030.63146565,1491,26,0.94781724867784
"result.3826",1,15,14,131.46482956,99.45007832,130.10249972,1700984.48805659,1495,26,0.947545463514703
"result.3571",2,15,13,132.14599448,99.45007832,129.4213348,1700846.05782942,1499,26,0.946730108025295
"result.3281",0,13,12,132.034684416,99.026013312,129.971642472,1699362.12321397,1497,26.5,0.937989717581899
"result.4066",1,14,15,131.46482956,98.7689134,130.78366464,1698178.58952505,1494,26,0.931018691745364
"result.3811",2,14,14,132.14599448,98.7689134,130.10249972,1698086.93480843,1497,26,0.930478844503518
"result.3521",0,12,13,132.034684416,98.338332664,130.65932312,1696489.89152423,1496,26.5,0.921072242815332
"result.3266",1,12,12,132.722365064,98.338332664,129.971642472,1696350.37755289,1500,26.5,0.920250504061385
"result.2545",0,15,9,132.034684416,100.401374608,127.908600528,1695615.73405344,1496,26.5,0.915923446147246
"result.2290",1,15,8,132.722365064,100.401374608,127.22091988,1695283.3720984,1500,26.5,0.9139658307474
"result.4051",2,13,15,132.14599448,98.08774848,130.78366464,1695205.18409762,1496,26,0.913505302602995
"result.4086",5,15,15,132.891774789,98.488320402,129.518887104,1695180.45625099,1500,25.5,0.913359655327089
"result.3796",3,13,14,132.8271594,98.08774848,130.10249972,1695068.65017493,1500,26,0.912701116366866
"result.3761",0,11,14,132.034684416,97.650652016,131.347003768,1693492.78019581,1495,26.5,0.903419225667608
"result.3506",1,11,13,132.722365064,97.650652016,130.65932312,1693400.42129637,1499,26.5,0.902875230781546
"result.2785",0,14,10,132.034684416,99.71369396,128.596281176,1693055.70146042,1495,26.5,0.900844827333566
