"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,62.43370079,62.43370079,99.57780126,388150.982679955,492,40,1
"result.3840",15,15,14,62.43370079,62.43370079,98.78750125,385070.419325352,490,40,0.981185372765368
"result.4080",15,14,15,62.43370079,61.64340078,99.57780126,383237.679101727,489,40,0.969991860359953
"result.4095",14,15,15,61.64340078,62.43370079,99.57780126,383237.679101727,486,40,0.969991860359953
"result.3584",15,15,13,62.43370079,62.43370079,97.99720124,381989.855970749,488,40,0.962370745530735
"result.3824",15,14,14,62.43370079,61.64340078,98.78750125,380196.110219968,487,40,0.951415392963733
"result.3839",14,15,14,61.64340078,62.43370079,98.78750125,380196.110219968,484,40,0.951415392963733
"result.3328",15,15,12,62.43370079,62.43370079,97.20690123,378909.292616146,486,40,0.943556118296102
"result.4079",14,14,15,61.64340078,61.64340078,99.57780126,378386.56923968,482,40,0.940363570588767
"result.4064",15,13,15,62.43370079,60.85310077,99.57780126,378324.3755235,486,40,0.939983720719906
"result.4094",13,15,15,60.85310077,62.43370079,99.57780126,378324.3755235,479,40,0.939983720719906
"result.3568",15,14,13,62.43370079,61.64340078,97.99720124,377154.541338208,485,40,0.932838925567514
"result.3583",14,15,13,61.64340078,62.43370079,97.99720124,377154.541338208,482,40,0.932838925567514
"result.3072",15,15,11,62.43370079,62.43370079,96.41660122,375828.729261544,484,40,0.92474149106147
"result.3823",14,14,14,61.64340078,61.64340078,98.78750125,375383.501229842,481,40,0.922022248349462
"result.3808",15,13,14,62.43370079,60.85310077,98.78750125,375321.801114584,484,40,0.921645413162099
"result.3838",13,15,14,60.85310077,62.43370079,98.78750125,375321.801114584,477,40,0.921645413162099
"result.3312",15,14,12,62.43370079,61.64340078,97.20690123,374112.972456448,483,40,0.914262458171294
"result.3327",14,15,12,61.64340078,62.43370079,97.20690123,374112.972456448,480,40,0.914262458171294
"result.4063",14,13,15,61.64340078,60.85310077,99.57780126,373535.459377633,479,40,0.910735280817582
"result.4078",13,14,15,60.85310077,61.64340078,99.57780126,373535.459377633,476,40,0.910735280817582
"result.4048",15,12,15,62.43370079,60.06280076,99.57780126,373411.071945273,482,40,0.909975581079859
"result.4093",12,15,15,60.06280076,62.43370079,99.57780126,373411.071945273,473,40,0.909975581079859
"result.2816",15,15,10,62.43370079,62.43370079,95.62630121,372748.165906941,482,40,0.905926863826837
"result.3567",14,14,13,61.64340078,61.64340078,97.99720124,372380.433220003,479,40,0.903680926110156
"result.3552",15,13,13,62.43370079,60.85310077,97.99720124,372319.226705667,482,40,0.903307105604293
"result.3582",13,15,13,60.85310077,62.43370079,97.99720124,372319.226705667,475,40,0.903307105604293
"result.3056",15,14,11,62.43370079,61.64340078,96.41660122,371071.403574689,481,40,0.895685990775075
"result.3071",14,15,11,61.64340078,62.43370079,96.41660122,371071.403574689,478,40,0.895685990775075
"result.3807",14,13,14,61.64340078,60.85310077,98.78750125,370570.892239715,477,40,0.89262910373519
"result.3822",13,14,14,60.85310077,61.64340078,98.78750125,370570.892239715,474,40,0.89262910373519
"result.3792",15,12,14,62.43370079,60.06280076,98.78750125,370447.492009199,480,40,0.891875433360466
"result.3837",12,15,14,60.06280076,62.43370079,98.78750125,370447.492009199,471,40,0.891875433360466
"result.2560",15,15,9,62.43370079,62.43370079,94.8360012,369667.602552338,480,40,0.887112236592204
"result.3311",14,14,12,61.64340078,61.64340078,97.20690123,369377.365210164,477,40,0.885339603870851
"result.3296",15,13,12,62.43370079,60.85310077,97.20690123,369316.65229675,480,40,0.884968798046486
"result.3326",13,15,12,60.85310077,62.43370079,97.20690123,369316.65229675,474,40,0.884968798046486
"result.4062",13,13,15,60.85310077,60.85310077,99.57780126,368746.543231766,473,40,0.881486840915257
"result.4047",14,12,15,61.64340078,60.06280076,99.57780126,368684.349515586,476,40,0.881106991046396
"result.4077",12,14,15,60.06280076,61.64340078,99.57780126,368684.349515586,470,40,0.881106991046396
"result.4032",15,11,15,62.43370079,59.27250075,99.57780126,368497.768367046,479,40,0.879967441439812
"result.4092",11,15,15,59.27250075,62.43370079,99.57780126,368497.768367046,467,40,0.879967441439812
"result.2800",15,14,10,62.43370079,61.64340078,95.62630121,368029.834692929,479,40,0.877109523378855
"result.2815",14,15,10,61.64340078,62.43370079,95.62630121,368029.834692929,476,40,0.877109523378855
"result.3551",14,13,13,61.64340078,60.85310077,97.99720124,367606.325101798,476,40,0.874522926652799
"result.3566",13,14,13,60.85310077,61.64340078,97.99720124,367606.325101798,472,40,0.874522926652799
"result.3536",15,12,13,62.43370079,60.06280076,97.99720124,367483.912073126,478,40,0.873775285641072
"result.3581",12,15,13,60.06280076,62.43370079,97.99720124,367483.912073126,469,40,0.873775285641072
"result.2304",15,15,8,62.43370079,62.43370079,94.04570119,366587.039197735,478,40,0.868297609357571
"result.3055",14,14,11,61.64340078,61.64340078,96.41660122,366374.297200325,475,40,0.866998281631546
"result.3040",15,13,11,62.43370079,60.85310077,96.41660122,366314.077887834,478,40,0.86663049048868
"result.3070",13,15,11,60.85310077,62.43370079,96.41660122,366314.077887834,472,40,0.86663049048868
"result.3806",13,13,14,60.85310077,60.85310077,98.78750125,365819.983364847,471,40,0.863612794308281
"result.3791",14,12,14,61.64340078,60.06280076,98.78750125,365758.283249589,474,40,0.863235959120919
"result.3821",12,14,14,60.06280076,61.64340078,98.78750125,365758.283249589,468,40,0.863235959120919
"result.3776",15,11,14,62.43370079,59.27250075,98.78750125,365573.182903815,477,40,0.862105453558832
"result.3836",11,15,14,59.27250075,62.43370079,98.78750125,365573.182903815,465,40,0.862105453558832
"result.2544",15,14,9,62.43370079,61.64340078,94.8360012,364988.265811169,477,40,0.858533055982635
"result.2559",14,15,9,61.64340078,62.43370079,94.8360012,364988.265811169,474,40,0.858533055982635
"result.3295",14,13,12,61.64340078,60.85310077,97.20690123,364641.75796388,474,40,0.856416749570408
"result.3310",13,14,12,60.85310077,61.64340078,97.20690123,364641.75796388,471,40,0.856416749570408
"result.3280",15,12,12,62.43370079,60.06280076,97.20690123,364520.332137052,477,40,0.855675137921679
"result.3325",12,15,12,60.06280076,62.43370079,97.20690123,364520.332137052,467,40,0.855675137921679
"result.4046",13,12,15,60.85310077,60.06280076,99.57780126,363957.627085899,470,40,0.852238401012933
"result.4061",12,13,15,60.06280076,60.85310077,99.57780126,363957.627085899,467,40,0.852238401012933
"result.4031",14,11,15,61.64340078,59.27250075,99.57780126,363833.239653539,473,40,0.85147870127521
"result.4076",11,14,15,59.27250075,61.64340078,99.57780126,363833.239653539,464,40,0.85147870127521
"result.4016",15,10,15,62.43370079,58.48220074,99.57780126,363584.464788818,476,40,0.849959301799765
"result.4091",10,15,15,58.48220074,62.43370079,99.57780126,363584.464788818,461,40,0.849959301799765
"result.2048",15,15,7,62.43370079,62.43370079,93.25540118,363506.475843132,476,40,0.849482982122939
"result.2799",14,14,10,61.64340078,61.64340078,95.62630121,363371.229190487,473,40,0.84865695939224
"result.2784",15,13,10,62.43370079,60.85310077,95.62630121,363311.503478917,476,40,0.848292182930873
"result.2814",13,15,10,60.85310077,62.43370079,95.62630121,363311.503478917,470,40,0.848292182930873
"result.3550",13,13,13,60.85310077,60.85310077,97.99720124,362893.423497928,469,40,0.845738747701305
