"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,118.968752104,151.977423208,104.527458496,1889915.44355029,1499,26.5,1
"result.3825",0,15,14,118.968752104,152.665103856,103.839777848,1885977.18202825,1497,26.5,0.979551482100392
"result.4049",0,13,15,118.968752104,151.28974256,104.527458496,1881363.78995957,1496,26.5,0.955597503989421
"result.3794",1,13,14,119.656432752,151.28974256,103.839777848,1879789.78618032,1499,26.5,0.947424851088174
"result.3809",0,14,14,118.968752104,151.977423208,103.839777848,1877481.78931641,1494,26.5,0.935441107774093
"result.4084",3,15,15,119.88502592,151.21861224,103.53706784,1877007.68737498,1500,26,0.93297944239681
"result.3554",1,14,13,119.656432752,151.977423208,103.1520972,1875828.7601408,1498,26.5,0.926858133663134
"result.2545",0,15,9,120.08685145,154.0998903,101.3449729,1875426.28550016,1500,27,0.924768376584456
"result.3009",0,12,11,120.08685145,152.01745935,102.7332602,1875426.28550016,1500,27,0.924768376584456
"result.4018",1,11,15,119.656432752,149.914381264,104.527458496,1875036.5549329,1497,26.5,0.922744790178126
"result.3473",0,9,13,120.08685145,149.9350284,104.1215475,1874731.94033707,1500,27,0.921163148892889
"result.3569",0,15,13,118.968752104,152.665103856,103.1520972,1873487.26691548,1492,26.5,0.914700468190204
"result.3937",0,6,15,120.08685145,147.85259745,105.5098348,1873343.2500109,1499,27,0.913952693509755
"result.4033",0,12,15,118.968752104,150.602061912,104.527458496,1872812.13636884,1492,26.5,0.911195007978843
"result.3314",1,15,12,119.656432752,152.665103856,102.464416552,1871754.56192873,1496,26.5,0.905703795740236
"result.2769",0,13,10,120.08685145,152.711603,102.03911655,1871260.21452163,1499,27,0.903137010435055
"result.3778",1,12,14,119.656432752,150.602061912,103.839777848,1871245.28715223,1496,26.5,0.903059503499873
"result.3233",0,10,12,120.08685145,150.62917205,103.42740385,1870855.17984316,1498,27,0.901033960948307
"result.3059",2,15,11,120.3441134,152.665103856,101.776735904,1869877.46485976,1500,26.5,0.895957400586104
