"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,118.5450015,91.67480116,113.01290143,1228177.8142802,1206,40,1
"result.4095",14,15,15,117.75470149,91.67480116,113.01290143,1219989.962185,1198,40,0.977671889301675
"result.3840",15,15,14,118.5450015,91.67480116,112.22260142,1219589.15823628,1202,40,0.976578904861896
"result.4080",15,14,15,118.5450015,90.88450115,113.01290143,1217590.07450192,1201,40,0.97112744306251
"result.4094",13,15,15,116.96440148,91.67480116,113.01290143,1211802.1100898,1190,40,0.955343778603349
"result.3839",14,15,14,117.75470149,91.67480116,112.22260142,1211458.56384804,1194,40,0.954406934797825
"result.3584",15,15,13,118.5450015,91.67480116,111.43230141,1211000.50219236,1198,40,0.953157809723793
"result.4079",14,14,15,117.75470149,90.88450115,113.01290143,1209472.80733858,1193,40,0.948991816077102
"result.3824",15,14,14,118.5450015,90.88450115,112.22260142,1209075.45859631,1197,40,0.947908253916977
"result.4064",15,13,15,118.5450015,90.09420114,113.01290143,1207002.33472364,1196,40,0.94225488612502
"result.4093",12,15,15,116.17410147,91.67480116,113.01290143,1203614.2579946,1182,40,0.933015667905024
"result.3838",13,15,14,116.96440148,91.67480116,112.22260142,1203327.9694598,1186,40,0.932234964733753
"result.3583",14,15,13,117.75470149,91.67480116,111.43230141,1202927.16551108,1190,40,0.931141980293976
"result.3328",15,15,12,118.5450015,91.67480116,110.6420014,1202411.84614845,1193,40,0.92973671458569
"result.4078",13,14,15,116.96440148,90.88450115,113.01290143,1201355.54017523,1185,40,0.926856189091692
"result.3823",14,14,14,117.75470149,90.88450115,112.22260142,1201014.95553901,1189,40,0.925927421525871
"result.3568",15,14,13,118.5450015,90.88450115,111.43230141,1200560.84269071,1192,40,0.924689064771443
"result.4063",14,13,15,117.75470149,90.09420114,113.01290143,1198955.65249215,1188,40,0.920311742852528
"result.3808",15,13,14,118.5450015,90.09420114,112.22260142,1198561.75895635,1191,40,0.919237602972057
"result.4048",15,12,15,118.5450015,89.30390113,113.01290143,1196414.59494537,1190,40,0.913382329187531
"result.4092",11,15,15,115.38380146,91.67480116,113.01290143,1195426.40589939,1174,40,0.910687557206698
"result.3837",12,15,14,116.17410147,91.67480116,112.22260142,1195197.37507156,1178,40,0.910062994669682
"result.3582",13,15,13,116.96440148,91.67480116,111.43230141,1194853.8288298,1182,40,0.909126150864158
"result.3327",14,15,12,117.75470149,91.67480116,110.6420014,1194395.76717412,1185,40,0.907877025790126
"result.3072",15,15,11,118.5450015,91.67480116,109.85170139,1193823.19010453,1189,40,0.906315619447585
"result.4077",12,14,15,116.17410147,90.88450115,113.01290143,1193238.27301188,1177,40,0.904720562106284
"result.3822",13,14,14,116.96440148,90.88450115,112.22260142,1192954.4524817,1181,40,0.903946589134766
"result.3567",14,14,13,117.75470149,90.88450115,111.43230141,1192557.10373944,1185,40,0.902863026974641
"result.3312",15,14,12,118.5450015,90.88450115,110.6420014,1192046.2267851,1188,40,0.901469875625909
"result.4062",13,13,15,116.96440148,90.09420114,113.01290143,1190908.97026066,1180,40,0.898368599580035
"result.3807",14,13,14,117.75470149,90.09420114,112.22260142,1190571.34722997,1184,40,0.897447908253917
"result.3552",15,13,13,118.5450015,90.09420114,111.43230141,1190121.18318905,1187,40,0.896220319819093
"result.4047",14,12,15,117.75470149,89.30390113,113.01290143,1188438.49764573,1182,40,0.891631669627955
"result.3792",15,12,14,118.5450015,89.30390113,112.22260142,1188048.05931638,1186,40,0.890566952027136
"result.4091",10,15,15,114.59350145,91.67480116,113.01290143,1187238.55380419,1166,40,0.888359446508373
"result.3836",11,15,14,115.38380146,91.67480116,112.22260142,1187066.78068331,1170,40,0.88789102460561
"result.3581",12,15,13,116.17410147,91.67480116,111.43230141,1186780.49214852,1174,40,0.88711032143434
"result.3326",13,15,12,116.96440148,91.67480116,110.6420014,1186379.6881998,1177,40,0.886017336994562
"result.3071",14,15,11,117.75470149,91.67480116,109.85170139,1185864.36883717,1181,40,0.884612071286276
"result.4032",15,11,15,118.5450015,88.51360112,113.01290143,1185826.85516709,1185,40,0.88450977225004
"result.2816",15,15,10,118.5450015,91.67480116,109.06140138,1185234.53406061,1185,40,0.882894524309482
"result.4076",11,14,15,115.38380146,90.88450115,113.01290143,1185121.00584854,1169,40,0.882584935120874
"result.3821",12,14,14,116.17410147,90.88450115,112.22260142,1184893.94942439,1173,40,0.88196575674366
"result.3566",13,14,13,116.96440148,90.88450115,111.43230141,1184553.36478816,1177,40,0.881036989177839
"result.3311",14,14,12,117.75470149,90.88450115,110.6420014,1184099.25193986,1180,40,0.879798632423411
"result.3056",15,14,11,118.5450015,90.88450115,109.85170139,1183531.61087949,1184,40,0.878250686480375
"result.4061",12,13,15,116.17410147,90.09420114,113.01290143,1182862.28802917,1172,40,0.876425456307544
"result.3806",13,13,14,116.96440148,90.09420114,112.22260142,1182580.9355036,1176,40,0.875658213535778
"result.3551",14,13,13,117.75470149,90.09420114,111.43230141,1182187.04196779,1179,40,0.874584073655306
"result.3296",15,13,12,118.5450015,90.09420114,110.6420014,1181680.60742175,1183,40,0.873203036666129
"result.4046",13,12,15,116.96440148,89.30390113,113.01290143,1180462.4003461,1175,40,0.869881010068379
"result.3791",14,12,14,117.75470149,89.30390113,112.22260142,1180127.73892094,1178,40,0.868968394981963
"result.3536",15,12,13,118.5450015,89.30390113,111.43230141,1179681.52368739,1182,40,0.867751574866742
"result.4090",9,15,15,113.80320144,91.67480116,113.01290143,1179050.70170899,1158,40,0.866031335810047
"result.3835",10,15,14,114.59350145,91.67480116,112.22260142,1178936.18629507,1162,40,0.865719054541539
"result.3580",11,15,13,115.38380146,91.67480116,111.43230141,1178707.15546724,1166,40,0.865094492004523
"result.3325",12,15,12,116.17410147,91.67480116,110.6420014,1178363.60922548,1170,40,0.864157648198999
"result.4031",14,11,15,117.75470149,88.51360112,113.01290143,1177921.34279931,1177,40,0.862951596403381
"result.3070",13,15,11,116.96440148,91.67480116,109.85170139,1177905.5475698,1173,40,0.862908523124967
"result.3776",15,11,14,118.5450015,88.51360112,112.22260142,1177534.35967641,1181,40,0.861896301082216
"result.2815",14,15,10,117.75470149,91.67480116,109.06140138,1177332.97050021,1177,40,0.861347116782426
"result.4075",10,14,15,114.59350145,90.88450115,113.01290143,1177003.73868519,1161,40,0.860449308135466
"result.3820",11,14,14,115.38380146,90.88450115,112.22260142,1176833.44636708,1165,40,0.859984924352555
"result.2560",15,15,9,118.5450015,91.67480116,108.27110137,1176645.87801669,1181,40,0.859473429171378
"result.3565",12,14,13,116.17410147,90.88450115,111.43230141,1176549.62583689,1169,40,0.859210951381037
"result.3310",13,14,12,116.96440148,90.88450115,110.6420014,1176152.27709463,1172,40,0.858127389220912
"result.3055",14,14,11,117.75470149,90.88450115,109.85170139,1175641.40014029,1176,40,0.85673423787218
