"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,98.78750125,88.51360112,99.57780126,870712.026521289,927,40,1
"result.3840",15,15,14,98.78750125,88.51360112,98.78750125,863801.61361239,923,40,0.975846660800856
"result.4095",14,15,15,97.99720124,88.51360112,99.57780126,863746.330309119,920,40,0.975653434087263
"result.4080",15,14,15,98.78750125,87.72330111,99.57780126,862937.811998778,923,40,0.972827493400963
"result.3584",15,15,13,98.78750125,88.51360112,97.99720124,856891.200703491,920,40,0.951693321601711
"result.3839",14,15,14,97.99720124,88.51360112,98.78750125,856891.200703491,916,40,0.951693321601711
"result.4094",13,15,15,97.20690123,88.51360112,99.57780126,856780.634096949,912,40,0.951306868174525
"result.3824",15,14,14,98.78750125,87.72330111,98.78750125,856089.099205137,919,40,0.948889809016096
"result.4079",14,14,15,97.99720124,87.72330111,99.57780126,856034.309502788,915,40,0.948698307541018
"result.4064",15,13,15,98.78750125,86.9330011,99.57780126,855163.597476266,919,40,0.945654986801925
"result.3583",14,15,13,97.99720124,88.51360112,97.99720124,850036.071097863,912,40,0.927733209116161
"result.3328",15,15,12,98.78750125,88.51360112,97.20690123,849980.787794592,916,40,0.927539982402567
"result.3838",13,15,14,97.20690123,88.51360112,98.78750125,849980.787794592,908,40,0.927539982402567
"result.4093",12,15,15,96.41660122,88.51360112,99.57780126,849814.937884778,905,40,0.926960302261788
"result.3568",15,14,13,98.78750125,87.72330111,97.99720124,849240.386411496,915,40,0.92495212463123
"result.3823",14,14,14,97.99720124,87.72330111,98.78750125,849240.386411496,912,40,0.92495212463123
"result.4078",13,14,15,97.20690123,87.72330111,99.57780126,849130.807006797,908,40,0.924569121681072
"result.3808",15,13,14,98.78750125,86.9330011,98.78750125,848376.584797883,915,40,0.921932957231337
"result.4063",14,13,15,97.99720124,86.9330011,99.57780126,848322.288696456,911,40,0.921743180994773
"result.4048",15,12,15,98.78750125,86.14270109,99.57780126,847389.382953755,914,40,0.918482480202888
"result.3327",14,15,12,97.99720124,88.51360112,97.20690123,843180.941492235,909,40,0.903773096630609
"result.3582",13,15,13,97.20690123,88.51360112,97.99720124,843180.941492235,905,40,0.903773096630609
"result.3072",15,15,11,98.78750125,88.51360112,96.41660122,843070.374885693,912,40,0.903386643203423
"result.3837",12,15,14,96.41660122,88.51360112,98.78750125,843070.374885693,901,40,0.903386643203423
"result.4092",11,15,15,95.62630121,88.51360112,99.57780126,842849.241672608,897,40,0.902613736349051
"result.3567",14,14,13,97.99720124,87.72330111,97.99720124,842446.463320204,908,40,0.901205941721443
"result.3312",15,14,12,98.78750125,87.72330111,97.20690123,842391.673617855,912,40,0.901014440246364
"result.3822",13,14,14,97.20690123,87.72330111,98.78750125,842391.673617855,904,40,0.901014440246364
"result.4077",12,14,15,96.41660122,87.72330111,99.57780126,842227.304510807,901,40,0.900439935821128
"result.3552",15,13,13,98.78750125,86.9330011,97.99720124,841589.5721195,911,40,0.898210927660749
"result.3807",14,13,14,97.99720124,86.9330011,98.78750125,841589.5721195,908,40,0.898210927660749
"result.4062",13,13,15,97.20690123,86.9330011,99.57780126,841480.979916646,904,40,0.89783137518762
