"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4017",0,11,15,79.902518085,111.4918857,316.513075515,2819651.16686026,1500,21.5,1
"result.3265",0,12,12,79.902518085,112.111285065,314.65487742,2818670.20537582,1500,21.5,0.99670843251904
"result.2513",0,13,9,79.902518085,112.73068443,312.796679325,2817505.31361303,1500,21.5,0.9927996961354
"result.1761",0,14,6,79.902518085,113.350083795,310.93848123,2816156.49157192,1500,21.5,0.988273790849081
"result.1009",0,15,3,79.902518085,113.96948316,309.080283135,2814623.73925247,1499,21.5,0.983130716660081
"result.3761",0,11,14,79.902518085,111.4918857,315.89367615,2814133.25851024,1499,21.5,0.9814849329196
"result.3009",0,12,11,79.902518085,112.111285065,314.035478055,2813121.64197941,1499,21.5,0.97809050395486
"result.2257",0,13,8,79.902518085,112.73068443,312.17727996,2811926.09517024,1498,21.5,0.974078906087439
"result.1505",0,14,5,79.902518085,113.350083795,310.319081865,2810546.61808273,1498,21.5,0.96945013931734
"result.753",0,15,2,79.902518085,113.96948316,308.46088377,2808983.21071689,1498,21.5,0.96420420364456
"result.3315",2,15,12,80.19260499,112.63694136,310.97590332,2808936.41406221,1500,21,0.964047179796834
"result.3505",0,11,13,79.902518085,111.4918857,315.274276785,2808615.35016022,1498,21.5,0.962969865839199
"result.2753",0,12,10,79.902518085,112.111285065,313.41607869,2807573.078583,1497,21.5,0.959472575390679
"result.2001",0,13,7,79.902518085,112.73068443,311.557880595,2806346.87672744,1497,21.5,0.955358116039478
"result.1249",0,14,4,79.902518085,113.350083795,309.6996825,2804936.74459354,1497,21.5,0.950626487785599
"result.3811",2,14,14,80.19260499,112.02478407,312.2002179,2804669.15787002,1499,21,0.949728613841049
"result.4001",0,10,15,79.902518085,110.872486335,316.513075515,2803986.43815548,1496,21.5,0.947437781788419
"result.4082",1,15,15,79.5804477,112.63694136,312.81237519,2803955.73099346,1493,21,0.947334745433217
"result.3059",2,15,11,80.19260499,112.63694136,310.36374603,2803407.01167233,1499,21,0.945493545037224
"result.497",0,15,1,79.902518085,113.96948316,307.841484405,2803342.68218132,1496,21.5,0.945277690629039
