"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4083",2,15,15,129.84810219,112.2144093,118.62666126,1728488.68763287,1498,16,1
"result.3828",3,15,14,130.38245652,112.2144093,118.09230693,1727783.78363391,1500,16,0.99570612017287
"result.4068",3,14,15,130.38245652,111.68005497,118.62666126,1727337.03928133,1500,16,0.992984804126586
"result.1777",0,15,6,130.775219847,113.95351107,115.581418371,1722428.44654141,1500,16.5,0.963084410063562
"result.2017",0,14,7,130.775219847,113.410875303,116.124054138,1722274.41761706,1500,16.5,0.96214615224117
"result.2257",0,13,8,130.775219847,112.868239536,116.666689905,1722043.37423054,1500,16.5,0.960738765507582
"result.2497",0,12,9,130.775219847,112.325603769,117.209325672,1721735.31638184,1500,16.5,0.958862249862799
"result.4082",1,15,15,129.31374786,112.2144093,118.62666126,1721375.56546155,1491,16,0.956670849017147
"result.2737",0,11,10,130.775219847,111.782968002,117.751961439,1721350.24407096,1500,16.5,0.95651660530682
"result.2977",0,10,11,130.775219847,111.240332235,118.294597206,1720888.15729791,1500,16.5,0.953701831839644
"result.3827",2,15,14,129.84810219,112.2144093,118.09230693,1720702.70255345,1494,16,0.952572145545796
"result.3217",0,9,12,130.775219847,110.697696468,118.837232973,1720349.05606269,1499,16.5,0.950417929461272
"result.4067",2,14,15,129.84810219,111.68005497,118.62666126,1720257.78912034,1494,16,0.949861982434127
"result.3572",3,15,13,130.38245652,112.2144093,117.5579526,1719965.75746362,1497,16,0.948083089362889
"result.3457",0,8,13,130.775219847,110.155060701,119.37986874,1719732.94036529,1499,16.5,0.946664898171705
"result.3812",3,14,14,130.38245652,111.68005497,118.09230693,1719556.24180709,1497,16,0.945588549653794
"result.3317",4,15,12,130.91681085,112.2144093,117.02359827,1719164.73019208,1500,16,0.943203680468423
"result.4052",3,13,15,130.38245652,111.14570064,118.62666126,1719072.26875845,1497,16,0.942640457270319
"result.3697",0,7,14,130.775219847,109.612424934,119.922504507,1719039.81020571,1499,16.5,0.942442737970941
"result.3557",4,14,13,130.91681085,111.68005497,117.5579526,1718790.91746536,1500,16,0.940926622984339
"result.3797",4,13,14,130.91681085,111.14570064,118.09230693,1718342.34219329,1499,16,0.938194154003438
"result.3937",0,6,15,130.775219847,109.069789167,120.465140274,1718269.66558397,1499,16.5,0.937751448858982
"result.4037",4,12,15,130.91681085,110.61134631,118.62666126,1717819.00437588,1499,16,0.935006273525721
"result.1521",0,15,5,130.775219847,113.95351107,115.038782604,1714341.92801305,1497,16.5,0.91382587438799
"result.4081",0,15,15,128.77939353,112.2144093,118.62666126,1714262.44329022,1485,16,0.913341698034295
"result.1761",0,14,6,130.775219847,113.410875303,115.581418371,1714226.40631978,1497,16.5,0.913122181021197
"result.2001",0,13,7,130.775219847,112.868239536,116.124054138,1714033.87016435,1497,16.5,0.911949358743206
"result.2241",0,12,8,130.775219847,112.325603769,116.666689905,1713764.31954673,1497,16.5,0.910307407554022
"result.3826",1,15,14,129.31374786,112.2144093,118.09230693,1713621.62147298,1488,16,0.909438170918723
"result.2481",0,11,9,130.775219847,111.782968002,117.209325672,1713417.75446695,1496,16.5,0.90819632745364
"result.1266",1,15,4,131.317855614,113.95351107,114.496146837,1713335.30744935,1499,16.5,0.907694106461571
"result.1506",1,14,5,131.317855614,113.410875303,115.038782604,1713257.97342509,1499,16.5,0.907223030957383
"result.4066",1,14,15,129.31374786,111.68005497,118.62666126,1713178.53895935,1488,16,0.90673916074167
"result.1746",1,13,6,131.317855614,112.868239536,115.581418371,1713103.30537657,1499,16.5,0.906280879949005
"result.2721",0,10,10,130.775219847,111.240332235,117.751961439,1712994.17492499,1496,16.5,0.905616118442062
"result.3571",2,15,13,129.84810219,112.2144093,117.5579526,1712916.71747402,1491,16,0.905144291091593
"result.1986",1,12,7,131.317855614,112.325603769,116.124054138,1712871.3033038,1499,16.5,0.90486765343644
"result.2226",1,11,8,131.317855614,111.782968002,116.666689905,1712561.96720676,1499,16.5,0.902983351419687
"result.3811",2,14,14,129.84810219,111.68005497,118.09230693,1712508.88016033,1491,16,0.902659974905896
"result.2961",0,9,11,130.775219847,110.697696468,118.294597206,1712493.58092085,1496,16.5,0.902566780519289
"result.2466",1,10,9,131.317855614,111.240332235,117.209325672,1712175.29708547,1499,16.5,0.900627973898744
"result.3316",3,15,12,130.38245652,112.2144093,117.02359827,1712147.73129334,1494,16,0.900460058552906
"result.4051",2,13,15,129.84810219,111.14570064,118.62666126,1712026.8906078,1490,16,0.899723964868256
"result.3201",0,8,12,130.775219847,110.155060701,118.837232973,1711915.97245454,1496,16.5,0.899048313685319
"result.3556",3,14,13,130.38245652,111.68005497,117.5579526,1711775.44433285,1493,16,0.898192295181003
"result.2706",1,9,10,131.317855614,110.697696468,117.751961439,1711711.29293992,1499,16.5,0.897801520873614
"result.3796",3,13,14,130.38245652,111.14570064,118.09230693,1711328.69998026,1493,16,0.895470979134718
"result.3061",4,15,11,130.91681085,112.2144093,116.48924394,1711314.66293093,1496,16,0.895385473302662
"result.3441",0,7,13,130.775219847,109.612424934,119.37986874,1711261.34952605,1495,16.5,0.895060717940154
"result.2946",1,8,11,131.317855614,110.155060701,118.294597206,1711169.95477011,1499,16.5,0.894503992344295
"result.3301",4,14,12,130.91681085,111.68005497,117.02359827,1710978.23147688,1496,16,0.893336121566987
"result.4036",3,12,15,130.38245652,110.61134631,118.62666126,1710807.49823557,1493,16,0.892296110414052
"result.3541",4,13,13,130.91681085,111.14570064,117.5579526,1710567.03747748,1496,16,0.890831358334495
"result.3186",1,7,12,131.317855614,109.612424934,118.837232973,1710551.28257604,1498,16.5,0.890735388310787
"result.3681",0,6,14,130.775219847,109.069789167,119.922504507,1710529.71213539,1495,16.5,0.890603993283792
