"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4082",1,15,15,126.10762188,99.38990538,142.13825178,1781535.91766374,1498,16,1
"result.3571",2,15,13,126.64197621,99.38990538,141.06954312,1775633.03326725,1499,16,0.96552283104987
"result.3826",1,15,14,126.10762188,99.38990538,141.60389745,1774838.41421387,1496,16,0.960881673691199
"result.4081",0,15,15,125.57326755,99.38990538,142.13825178,1773987.03665669,1492,16,0.955909005092622
"result.3811",2,14,14,126.64197621,98.85555105,141.60389745,1772776.34115198,1498,16,0.948837656467228
"result.4066",1,14,15,126.10762188,98.85555105,142.13825178,1771957.76756877,1494,16,0.944056587106768
"result.3796",3,13,14,127.17633054,98.32119672,141.60389745,1770633.40247982,1500,16,0.936321324842315
"result.4051",2,13,15,126.64197621,98.32119672,142.13825178,1769847.32771734,1497,16,0.931730072401479
"result.3060",3,15,11,127.17633054,99.38990538,140.00083446,1769616.63186313,1500,16,0.930382639619929
"result.3315",2,15,12,126.64197621,99.38990538,140.53518879,1768907.15056548,1496,16,0.926238749121115
"result.3570",1,15,13,126.10762188,99.38990538,141.06954312,1768140.91076401,1493,16,0.921763347382397
"result.4036",3,12,15,127.17633054,97.78684239,142.13825178,1767655.71710239,1499,16,0.918929460976756
"result.3825",0,15,14,125.57326755,99.38990538,141.60389745,1767317.91245873,1489,16,0.916956434403773
"result.3300",3,14,12,127.17633054,98.85555105,140.53518879,1766820.51266726,1498,16,0.914051255258367
"result.3555",2,14,13,126.64197621,98.85555105,141.06954312,1766086.6191099,1495,16,0.909764779280025
"result.1729",0,12,6,127.519405245,99.302345361,139.457392119,1765945.61219627,1500,16.5,0.908941195611811
"result.3810",1,14,14,126.10762188,98.85555105,141.60389745,1765296.27220197,1492,16,0.905148574380272
"result.3441",0,7,13,127.519405245,96.589166526,143.255842488,1764481.21894765,1500,16.5,0.900388066319293
"result.4065",0,14,15,125.57326755,98.85555105,142.13825178,1764449.47194348,1488,16,0.900202640559106
"result.993",0,14,3,127.519405245,100.387616895,137.829484818,1764406.12185798,1499,16.5,0.899949444304292
"result.2705",0,9,10,127.519405245,97.67443806,141.627935187,1764030.63640962,1499,16.5,0.897756334229288
"result.3540",3,13,13,127.17633054,98.32119672,141.06954312,1763951.76699876,1497,16,0.897295679095208
"result.2549",4,15,9,127.71068487,99.38990538,138.9321258,1763486.71345139,1500,16,0.894579425710178
"result.3795",2,13,14,126.64197621,98.32119672,141.60389745,1763193.76633494,1494,16,0.892868399955829
"result.1969",0,11,7,127.519405245,98.759709594,140.000027886,1763129.47133355,1499,16.5,0.892492870049277
"result.2804",3,15,10,127.17633054,99.38990538,139.46648013,1762862.36990946,1497,16,0.890932802071223
"result.4050",1,13,15,126.10762188,98.32119672,142.13825178,1762379.61747381,1490,16,0.888113174213535
"result.3059",2,15,11,126.64197621,99.38990538,140.00083446,1762181.26786371,1493,16,0.886954667192362
