"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,102.7390013,85.35240108,120.12560152,1053383.85575882,1040,40,1
"result.3840",15,15,14,102.7390013,85.35240108,119.33530151,1046453.69881304,1036,40,0.979009217106591
"result.4095",14,15,15,101.94870129,85.35240108,120.12560152,1045280.90302221,1032,40,0.975456930770784
"result.4080",15,14,15,102.7390013,84.56210107,120.12560152,1043630.30153883,1035,40,0.970457416668536
"result.3584",15,15,13,102.7390013,85.35240108,118.5450015,1039523.54186725,1033,40,0.958018434213183
"result.3839",14,15,14,101.94870129,85.35240108,119.33530151,1038404.05497601,1028,40,0.954627615438093
"result.4094",13,15,15,101.15840128,85.35240108,120.12560152,1037177.9502856,1024,40,0.950913861541567
"result.3824",15,14,14,102.7390013,84.56210107,119.33530151,1036764.31271291,1032,40,0.949660992875992
"result.4079",14,14,15,101.94870129,84.56210107,120.12560152,1035602.37614238,1027,40,0.946141598080331
"result.4064",15,13,15,102.7390013,83.77180106,120.12560152,1033876.74731884,1030,40,0.940914833337071
"result.3328",15,15,12,102.7390013,85.35240108,117.75470149,1032593.38492147,1029,40,0.937027651319773
"result.3583",14,15,13,101.94870129,85.35240108,118.5450015,1031527.20692981,1025,40,0.933798300105403
"result.3838",13,15,14,101.15840128,85.35240108,119.33530151,1030354.41113899,1020,40,0.930246013769595
"result.3568",15,14,13,102.7390013,84.56210107,118.5450015,1029898.323887,1028,40,0.928864569083448
"result.4093",12,15,15,100.36810127,85.35240108,120.12560152,1029074.997549,1016,40,0.92637079231235
"result.3823",14,14,14,101.94870129,84.56210107,119.33530151,1028789.20261512,1024,40,0.925505146778498
"result.4078",13,14,15,101.15840128,84.56210107,120.12560152,1027574.45074592,1019,40,0.921825779492125
"result.3808",15,13,14,102.7390013,83.77180106,119.33530151,1027074.92661279,1027,40,0.920312768645392
"result.4063",14,13,15,101.94870129,83.77180106,120.12560152,1025923.84926254,1022,40,0.916826265389877
"result.3072",15,15,11,102.7390013,85.35240108,116.96440148,1025663.22797569,1026,40,0.916036868426364
"result.3327",14,15,12,101.94870129,85.35240108,117.75470149,1024650.35888361,1022,40,0.912968984772712
"result.4048",15,12,15,102.7390013,82.98150105,120.12560152,1024123.19309885,1025,40,0.911372250005607
"result.3582",13,15,13,101.15840128,85.35240108,118.5450015,1023530.87199237,1017,40,0.909578165997623
"result.3312",15,14,12,102.7390013,84.56210107,117.75470149,1023032.33506109,1025,40,0.908068145290904
"result.3837",12,15,14,100.36810127,85.35240108,119.33530151,1022304.76730197,1012,40,0.905864412101097
"result.3567",14,14,13,101.94870129,84.56210107,118.5450015,1021976.02908787,1020,40,0.904868695476666
"result.4092",11,15,15,99.57780126,85.35240108,120.12560152,1020972.04481239,1008,40,0.901827723083134
"result.3822",13,14,14,101.15840128,84.56210107,119.33530151,1020814.09251733,1016,40,0.901349300681005
"result.3552",15,13,13,102.7390013,83.77180106,118.5450015,1020273.10590675,1023,40,0.899710703953713
"result.4077",12,14,15,100.36810127,84.56210107,120.12560152,1019546.52534947,1011,40,0.89750996090392
"result.3807",14,13,14,101.94870129,83.77180106,119.33530151,1019174.35025423,1019,40,0.896382678118903
"result.2816",15,15,10,102.7390013,85.35240108,116.17410147,1018733.07102991,1023,40,0.895046085532955
"result.4062",13,13,15,101.15840128,83.77180106,120.12560152,1017970.95120624,1014,40,0.892737697442683
"result.3071",14,15,11,101.94870129,85.35240108,116.96440148,1017773.51083742,1018,40,0.892139669440022
"result.3792",15,12,14,102.7390013,82.98150105,119.33530151,1017385.54051267,1022,40,0.890964544414792
"result.3326",13,15,12,101.15840128,85.35240108,117.75470149,1016707.33284576,1014,40,0.888910318225651
"result.4047",14,12,15,101.94870129,82.98150105,120.12560152,1016245.3223827,1017,40,0.887510932699424
