"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3569",0,15,13,118.495340075,113.14393762,141.429922025,1896155.11777875,1498,35.5,1
"result.4081",0,15,15,118.0423952,112.71144832,142.41243808,1894758.94133204,1495,35,0.992176205270803
"result.4066",1,14,15,118.80395904,111.94988448,142.41243808,1894098.17099505,1500,35,0.988473427235866
"result.3809",0,14,14,118.495340075,112.379451555,142.19440809,1893523.4927066,1497,35.5,0.98525308572766
"result.3537",0,13,13,118.94656135,112.03998682,141.96847645,1891981.39842605,1500,36,0.976611606971546
"result.4049",0,13,15,118.495340075,111.61496549,142.958894155,1890753.3610517,1496,35.5,0.969730018072564
"result.3777",0,12,14,118.94656135,111.27258965,142.73587362,1889179.50076085,1499,36,0.960910531196819
"result.3058",1,15,11,119.25982614,113.14393762,139.900949895,1887757.15091013,1500,35.5,0.952940067799164
"result.3827",2,15,14,119.104969346,112.277295944,141.105250308,1886970.01834774,1499,34.5,0.948529190071452
"result.2801",0,15,10,118.94656135,113.57478116,139.66628494,1886797.88774543,1498,36,0.9475646167883
"result.3570",1,15,13,118.80395904,112.71144832,140.8893104,1886587.65039995,1497,35,0.946386503635545
"result.4017",0,11,15,118.94656135,110.50519248,143.50327079,1886237.50821239,1497,36,0.944424401633355
"result.3313",0,15,12,118.495340075,113.14393762,140.66543596,1885905.63065563,1494,35.5,0.942564649676147
"result.3298",1,14,12,119.25982614,112.379451555,140.66543596,1885247.9477853,1499,35.5,0.938879172968355
"result.4082",1,15,15,118.346338968,112.277295944,141.863880686,1885031.48329705,1493,34.5,0.937666164593762
"result.2529",0,14,9,119.39607623,113.233698102,139.423805146,1884962.33696686,1500,36.5,0.937278687283908
"result.3825",0,15,14,118.0423952,112.71144832,141.65087424,1884626.54057625,1491,35,0.935396975243083
"result.3041",0,14,11,118.94656135,112.80738399,140.43368211,1884346.22728838,1497,36,0.933826175485414
"result.3745",0,10,14,119.39607623,110.152509038,143.275291476,1884324.73554495,1499,36.5,0.933705741575081
"result.4067",2,14,15,119.104969346,111.518665566,141.863880686,1884296.67372715,1498,34.5,0.933548490747151
"result.3810",1,14,14,118.80395904,111.94988448,141.65087424,1883969.30377047,1496,35,0.931713998160204
"result.3553",0,14,13,118.495340075,112.379451555,141.429922025,1883343.25887484,1493,35.5,0.928205812095182
"result.3795",2,13,14,119.56552288,111.18832064,141.65087424,1883147.75776325,1500,35,0.927110276806604
"result.3538",1,13,13,119.25982614,111.61496549,141.429922025,1882599.34448687,1498,35.5,0.924037117313613
"result.2769",0,13,10,119.39607623,112.463400836,140.194102412,1882482.77588166,1499,36.5,0.923383898416245
"result.4065",0,14,15,118.0423952,111.94988448,142.41243808,1881956.51605277,1490,35,0.920434880843886
"result.3281",0,13,12,118.94656135,112.03998682,141.20107928,1881754.47194807,1496,36,0.919302680393791
"result.4050",1,13,15,118.80395904,111.18832064,142.41243808,1881213.14942365,1494,35,0.916269255554581
"result.3985",0,9,15,119.39607623,109.382211772,144.045588742,1881207.57303785,1498,36.5,0.916238006998591
"result.3266",1,12,12,119.71395852,111.27258965,141.20107928,1880922.94102808,1500,36,0.914643006292905
"result.3793",0,13,14,118.495340075,111.61496549,142.19440809,1880642.38051132,1492,35.5,0.913070821131465
"result.4035",2,12,15,119.56552288,110.4267568,142.41243808,1880304.59021028,1499,35,0.911177935756542
"result.3009",0,12,11,119.39607623,111.69310357,140.964399678,1879861.5255916,1498,36.5,0.908695121613288
"result.3778",1,12,14,119.25982614,110.850479425,142.19440809,1879811.34101485,1497,35.5,0.908413900834935
"result.3521",0,12,13,118.94656135,111.27258965,141.96847645,1879022.6217245,1495,36,0.903994131513432
"result.3713",0,8,14,119.8439075,109.0192965,143.812689,1878955.70778178,1500,37,0.903619163898414
"result.3316",3,15,12,119.863599724,112.277295944,139.587989552,1878569.69979472,1500,34.5,0.901456079668124
"result.3059",2,15,11,119.56552288,112.71144832,139.36618272,1878154.87815804,1498,35,0.899131531547957
"result.2290",1,15,8,119.71395852,113.57478116,138.1314906,1878102.96660375,1499,36,0.898840633255114
"result.3506",1,11,13,119.71395852,110.50519248,141.96847645,1878102.96660375,1499,36,0.898840633255114
"result.4033",0,12,15,118.495340075,110.850479425,142.958894155,1877802.99556504,1491,35.5,0.897159676784991
"result.2737",0,11,10,119.8439075,111.338856,140.719943,1877666.10194254,1500,37,0.896392561994632
"result.2802",1,15,10,119.25982614,113.14393762,139.13646383,1877441.53806362,1496,35.5,0.89513416682806
"result.3249",0,11,12,119.39607623,110.922806304,141.734696944,1877098.58609666,1497,36.5,0.893212356875036
"result.3828",3,15,14,119.39831058,111.84145548,140.55750486,1876960.05916242,1497,34,0.892436089448015
"result.4018",1,11,15,119.25982614,110.08599336,142.958894155,1876883.93736922,1496,35.5,0.892009523532325
"result.3571",2,15,13,119.104969346,112.277295944,140.34661993,1876825.0182491,1495,34.5,0.891679356738202
"result.2033",0,15,7,119.39607623,114.003995368,137.883210614,1876815.20768693,1496,36.5,0.891624381004446
"result.1521",0,15,5,119.8439075,114.431602,136.8540105,1876806.36471637,1499,37,0.89157482739211
"result.4085",4,15,15,119.683924833,111.403904876,140.760339269,1876793.71937882,1498,33.5,0.891503966344764
"result.2787",2,14,10,120.024312205,112.379451555,139.13646383,1876709.68715222,1500,35.5,0.891033072502408
"result.2545",0,15,9,118.94656135,113.57478116,138.89888777,1876430.8663842,1493,36,0.88947063642181
"result.3314",1,15,12,118.80395904,112.71144832,140.12774656,1876389.87931671,1493,35,0.889240955994742
"result.3761",0,11,14,118.94656135,110.50519248,142.73587362,1876150.67661768,1493,36,0.887900528844337
"result.3556",3,14,13,119.863599724,111.518665566,140.34661993,1876017.29531131,1499,34.5,0.887153096122498
"result.4003",2,10,15,120.024312205,109.321507295,142.958894155,1875797.77768324,1500,35.5,0.885922978779174
"result.2530",1,14,9,119.71395852,112.80738399,138.89888777,1875776.48770368,1498,36,0.885803675498938
"result.3953",0,7,15,119.8439075,108.24611,144.5858755,1875660.04841482,1499,37,0.885151181255415
"result.3299",2,14,12,119.56552288,111.94988448,140.12774656,1875658.43835544,1497,35,0.885142158918634
"result.3057",0,15,11,118.495340075,113.14393762,139.900949895,1875656.1435325,1490,35.5,0.885129299352292
"result.3746",1,10,14,119.71395852,109.73779531,142.73587362,1875141.9934582,1498,36,0.882248141565435
"result.4083",2,15,15,118.64262507,111.84145548,141.31319037,1875107.87998331,1491,34,0.882056978889915
"result.3042",1,14,11,119.25982614,112.379451555,139.900949895,1875002.0350256,1495,35.5,0.881463852409218
"result.3826",1,15,14,118.346338968,112.277295944,141.105250308,1874951.10103342,1489,34.5,0.881178432109768
"result.2977",0,10,11,119.8439075,110.5656695,141.4931295,1874871.9559575,1498,37,0.880734924536436
"result.1761",0,14,6,119.8439075,113.6584155,137.627197,1874657.02165096,1498,37,0.879530490885806
"result.2273",0,14,8,119.39607623,113.233698102,138.65350788,1874548.18040903,1496,36.5,0.878920574039726
"result.4068",3,14,15,119.39831058,111.08576997,141.31319037,1874300.8960446,1495,34,0.877534859424945
"result.3811",2,14,14,119.104969346,111.518665566,141.105250308,1874220.22092647,1494,34.5,0.877082777909396
"result.3489",0,10,13,119.39607623,110.152509038,142.50499421,1874193.95739686,1495,36.5,0.876935604201488
"result.3027",2,13,11,120.024312205,111.61496549,139.900949895,1874184.39939197,1499,35.5,0.876882043730376
"result.2785",0,14,10,118.94656135,112.80738399,139.66628494,1874049.25336878,1493,36,0.876124722013291
"result.3554",1,14,13,118.80395904,111.94988448,140.8893104,1873840.4365459,1492,35,0.874954569084541
"result.2258",1,13,8,120.166373496,112.463400836,138.65350788,1873807.74004811,1500,36.5,0.874771346764959
"result.4053",4,13,15,120.15399609,110.33008446,141.31319037,1873332.51531815,1500,34,0.872108316066983
"result.3796",3,13,14,119.863599724,110.760035188,141.105250308,1873326.92301798,1498,34.5,0.872076978331162
"result.2770",1,13,10,119.71395852,112.03998682,139.66628494,1873309.01008239,1497,36,0.871976599090871
"result.3297",0,14,12,118.495340075,112.379451555,140.66543596,1873163.02504309,1489,35.5,0.871158538462706
"result.4001",0,10,15,118.94656135,109.73779531,143.50327079,1873138.63662759,1492,36,0.871021872386506
"result.3474",1,9,13,120.166373496,109.382211772,142.50499421,1873094.72340425,1500,36.5,0.870775794574442
"result.3539",2,13,13,119.56552288,111.18832064,140.8893104,1873023.30745269,1496,35,0.870375598921015
"result.3282",1,13,12,119.25982614,111.61496549,140.66543596,1872423.13181397,1494,35.5,0.867012377166442
"result.2001",0,13,7,119.8439075,112.885229,138.4003835,1872364.38904786,1497,37,0.866683198612414
"result.2705",0,9,10,120.29006911,110.201224604,141.243823084,1872344.06856556,1500,37.5,0.866569328132317
"result.1489",0,13,5,120.29006911,113.305484452,137.363498274,1872199.1727237,1500,37.5,0.865757371071642
"result.2513",0,13,9,119.39607623,112.463400836,139.423805146,1872139.46392627,1495,36.5,0.865422779139711
"result.3524",3,12,13,120.32708672,110.4267568,140.8893104,1872042.75254084,1500,35,0.864880834724784
"result.3986",1,9,15,119.71395852,108.97039814,143.50327079,1872040.02159144,1497,36,0.864865531223866
"result.3217",0,9,12,119.8439075,109.792483,142.266316,1871934.52043478,1497,37,0.864274331311154
"result.3025",0,13,11,118.94656135,112.03998682,140.43368211,1871527.5454701,1492,36,0.861993753816037
"result.3267",2,12,12,120.024312205,110.850479425,140.66543596,1871518.81786728,1498,35.5,0.86194484669323
"result.4051",2,13,15,119.104969346,110.760035188,141.863880686,1871478.32900792,1492,34.5,0.861717958089597
"result.2498",1,12,9,120.166373496,111.69310357,139.423805146,1871312.18179462,1499,36.5,0.86078691409815
"result.3794",1,13,14,118.80395904,111.18832064,141.65087424,1871153.18605775,1490,35,0.85989594504406
"result.3729",0,9,14,119.39607623,109.382211772,143.275291476,1871147.63949219,1494,36.5,0.859864863592646
"result.3010",1,12,11,119.71395852,111.27258965,140.43368211,1870700.53373988,1496,36,0.857359404030916
"result.4036",3,12,15,119.863599724,110.00140481,141.863880686,1870498.58291473,1497,34.5,0.856227726294116
"result.3779",2,12,14,119.56552288,110.4267568,141.65087424,1870249.4854498,1495,35,0.8548318515551
"result.3714",1,8,14,120.166373496,108.611914506,143.275291476,1869957.45017129,1499,36.5,0.853195364936168
"result.2241",0,12,8,119.8439075,112.1120425,139.17357,1869928.46690706,1496,37,0.853032950571935
"result.1729",0,12,6,120.29006911,112.52941949,138.139563236,1869880.83925388,1499,37.5,0.852766058100838
"result.2995",2,11,11,120.48135569,110.50519248,140.43368211,1869708.11966363,1500,36,0.85179818428877
"result.3522",1,12,13,119.25982614,110.850479425,141.429922025,1869704.82842875,1493,35.5,0.851779741099732
"result.3921",0,5,15,120.29006911,107.096964756,145.124147894,1869591.04757015,1499,37.5,0.851142143979487
"result.2753",0,12,10,119.39607623,111.69310357,140.194102412,1869589.05823864,1494,36.5,0.851130996304401
"result.2548",3,15,9,120.32708672,112.71144832,137.84305504,1869460.6246063,1499,35,0.850411289008042
"result.2945",0,8,11,120.29006911,109.425159642,142.019888046,1869373.70380735,1499,37.5,0.849924208388474
"result.3764",3,11,14,120.32708672,109.66519296,141.65087424,1869181.47564041,1499,35,0.848847013795421
"result.1779",2,15,6,120.48135569,113.57478116,136.59669626,1869140.50942694,1500,36,0.8486174502286
"result.3265",0,12,12,118.94656135,111.27258965,141.20107928,1868865.74268816,1490,36,0.847077731830045
"result.3457",0,8,13,119.8439075,109.0192965,143.0395025,1868853.79537436,1496,37,0.847010782318783
"result.2291",2,15,8,120.024312205,113.14393762,137.6074917,1868712.94257812,1497,35.5,0.846221481390972
"result.3507",2,11,13,120.024312205,110.08599336,141.429922025,1868712.94257812,1497,35.5,0.846221481390972
"result.2738",1,11,10,120.166373496,110.922806304,140.194102412,1868674.02021236,1498,36.5,0.846003370993238
"result.3317",4,15,12,120.15399609,111.84145548,139.04613384,1868529.45048509,1498,34,0.845193241390453
"result.3574",5,15,13,120.43665392,111.403904876,139.254881095,1868398.55021737,1500,33.5,0.844459711737347
"result.3060",3,15,11,119.863599724,112.277295944,138.829359174,1868360.08186106,1496,34.5,0.844244145485619
"result.4034",1,12,15,118.80395904,110.4267568,142.41243808,1868328.12785226,1489,35,0.844065083873296
"result.3969",0,8,15,119.39607623,108.611914506,144.045588742,1867959.63238265,1493,36.5,0.842000135048509
"result.3250",1,11,12,119.71395852,110.50519248,141.20107928,1867951.05867616,1495,36,0.84195209031907
"result.2803",2,15,10,119.56552288,112.71144832,138.60461888,1867891.73674734,1494,35,0.841619666294073
"result.1522",1,15,5,120.166373496,114.003995368,136.342616082,1867818.40023973,1498,36.5,0.841208708364618
"result.2034",1,15,7,119.71395852,113.57478116,137.36409343,1867669.06123373,1495,36,0.840371853015292
"result.1010",1,15,3,120.617094,114.431602,135.3076375,1867571.12289984,1500,37,0.839823033113408
"result.3442",1,7,13,120.617094,108.24611,143.0395025,1867571.12289984,1500,37,0.839823033113408
"result.3045",4,14,11,120.622230102,111.518665566,138.829359174,1867481.19198334,1500,34.5,0.839319084610259
"result.1969",0,11,7,120.29006911,111.753354528,138.915628198,1867417.60994219,1498,37.5,0.83896278806936
"result.2481",0,11,9,119.8439075,111.338856,139.9467565,1867349.25522857,1495,37,0.83857974676437
"result.4019",2,11,15,119.56552288,109.66519296,142.41243808,1867336.97234676,1494,35,0.83851091682089
"result.2546",1,15,9,119.25982614,113.14393762,138.371977765,1867125.92521712,1492,35.5,0.837328265856955
"result.2788",3,14,10,120.32708672,111.94988448,138.60461888,1867087.85839619,1498,35,0.837114949700766
"result.2019",2,14,7,120.48135569,112.80738399,137.36409343,1866941.01975976,1499,36,0.836292105745438
"result.2993",0,11,11,119.39607623,110.922806304,140.964399678,1866896.96334614,1492,36.5,0.836045225533796
"result.3235",2,10,12,120.48135569,109.73779531,141.20107928,1866870.06848017,1499,36,0.835894513987918
