"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3761",0,11,14,122.701748503,120.497525476,124.171230521,1835903.56347812,1500,30.5,1
"result.4001",0,10,15,122.701748503,119.762784467,124.90597153,1835506.12440391,1500,30.5,0.997749383071981
"result.3313",0,15,12,122.1939,122.9256,122.1939,1835445.05887656,1497,30,0.997403581366786
"result.3553",0,14,13,122.1939,122.1939,122.9256,1835445.05887656,1497,30,0.997403581366786
"result.3793",0,13,14,122.1939,121.4622,123.6573,1835314.21734114,1497,30,0.996662652269442
"result.4033",0,12,15,122.1939,120.7305,124.389,1835052.5342703,1497,30,0.995180794074756
"result.3827",2,15,14,122.621592288,121.896020736,122.621592288,1832835.25929836,1499,29.5,0.982624815285279
"result.4082",1,15,15,121.896020736,121.896020736,123.34716384,1832771.08664126,1494,29.5,0.982261418534063
"result.4067",2,14,15,122.621592288,121.170449184,123.34716384,1832706.15002396,1499,29.5,0.981893695631048
"result.2753",0,12,10,123.20750316,121.7319642,121.7319642,1825771.46736469,1499,31,0.942623993188375
"result.2513",0,13,9,123.20750316,122.46973368,120.99419472,1825704.40505184,1499,31,0.942244232902264
"result.2993",0,11,11,123.20750316,120.99419472,122.46973368,1825704.40505184,1499,31,0.942244232902264
"result.2273",0,14,8,123.20750316,123.20750316,120.25642524,1825503.21811329,1499,31,0.941104952043933
"result.3233",0,10,12,123.20750316,120.25642524,123.20750316,1825503.21811329,1499,31,0.941104952043933
"result.3025",0,13,11,122.701748503,121.967007494,121.967007494,1825305.18816579,1496,30.5,0.939983548586143
"result.2785",0,14,10,122.701748503,122.701748503,121.232266485,1825238.94832009,1496,30.5,0.939608445764807
"result.3265",0,12,12,122.701748503,121.232266485,122.701748503,1825238.94832009,1496,30.5,0.939608445764807
"result.2770",1,13,10,123.436489512,121.967007494,121.232266485,1825173.50176595,1500,30.5,0.939237835192826
"result.3010",1,12,11,123.436489512,121.232266485,121.967007494,1825173.50176595,1500,30.5,0.939237835192826
"result.2033",0,15,7,123.20750316,123.94527264,119.51865576,1825167.90654903,1499,31,0.939206150613381
"result.3473",0,9,13,123.20750316,119.51865576,123.94527264,1825167.90654903,1499,31,0.939206150613381
"result.2530",1,14,9,123.436489512,122.701748503,120.497525476,1825040.22878298,1500,30.5,0.938483137300797
"result.2545",0,15,9,122.701748503,123.436489512,120.497525476,1825040.22878298,1496,30.5,0.938483137300797
"result.3250",1,11,12,123.436489512,120.497525476,122.701748503,1825040.22878298,1500,30.5,0.938483137300797
"result.3505",0,11,13,122.701748503,120.497525476,123.436489512,1825040.22878298,1496,30.5,0.938483137300797
"result.2290",1,15,8,123.436489512,123.436489512,119.762784467,1824773.68281705,1500,30.5,0.936973741516736
"result.3490",1,10,13,123.436489512,119.762784467,123.436489512,1824773.68281705,1500,30.5,0.936973741516736
"result.3745",0,10,14,122.701748503,119.762784467,124.171230521,1824709.02955447,1496,30.5,0.936607623194113
"result.3713",0,8,14,123.20750316,118.78088628,124.68304212,1824698.47035907,1499,31,0.93654782861061
"result.3297",0,14,12,122.1939,122.1939,122.1939,1824519.79066896,1493,30,0.935536001738618
"result.3042",1,14,11,122.9256,122.1939,121.4622,1824454.36990125,1497,30,0.935165537189946
"result.3057",0,15,11,122.1939,122.9256,121.4622,1824454.36990125,1493,30,0.935165537189946
"result.3282",1,13,12,122.9256,121.4622,122.1939,1824454.36990125,1497,30,0.935165537189946
"result.3537",0,13,13,122.1939,121.4622,122.9256,1824454.36990125,1493,30,0.935165537189946
"result.3730",1,9,14,123.436489512,119.028043458,124.171230521,1824373.86386814,1500,30.5,0.934709647840644
"result.2802",1,15,10,122.9256,122.9256,120.7305,1824322.74488358,1497,30,0.934420171391421
"result.3522",1,12,13,122.9256,120.7305,122.9256,1824322.74488358,1497,30,0.934420171391421
"result.3777",0,12,14,122.1939,120.7305,123.6573,1824258.10759812,1493,30,0.934054143543931
"result.3985",0,9,15,122.701748503,119.028043458,124.90597153,1824245.35063456,1496,30.5,0.933981903444757
"result.3953",0,7,15,123.20750316,118.0431168,125.4208116,1824094.90954342,1499,31,0.933129986035615
"result.3762",1,11,14,122.9256,119.9988,123.6573,1824059.49484824,1497,30,0.932929439794371
"result.4017",0,11,15,122.1939,119.9988,124.389,1823931.00375957,1492,30,0.932201820800572
"result.3970",1,8,15,123.436489512,118.293302449,124.90597153,1823840.77193626,1500,30.5,0.931690856272521
"result.4002",1,10,15,122.9256,119.2671,124.389,1823664.61979524,1497,30,0.930693342398796
"result.3571",2,15,13,122.621592288,121.896020736,121.896020736,1821990.08024926,1494,29.5,0.921210764329948
"result.3826",1,15,14,121.896020736,121.896020736,122.621592288,1821990.08024926,1490,29.5,0.921210764329948
"result.3811",2,14,14,122.621592288,121.170449184,122.621592288,1821925.52561206,1494,29.5,0.920845204502834
"result.3316",3,15,12,123.34716384,121.896020736,121.170449184,1821861.73493506,1499,29.5,0.920483970827519
"result.3556",3,14,13,123.34716384,121.170449184,121.896020736,1821861.73493506,1499,29.5,0.920483970827519
"result.4066",1,14,15,121.896020736,121.170449184,123.34716384,1821861.73493506,1490,29.5,0.920483970827519
"result.4081",0,15,15,121.170449184,121.896020736,123.34716384,1821861.73493506,1485,29.5,0.920483970827519
"result.3796",3,13,14,123.34716384,120.444877632,122.621592288,1821731.86170047,1499,29.5,0.919748525021489
"result.4051",2,13,15,122.621592288,120.444877632,123.34716384,1821731.86170047,1494,29.5,0.919748525021489
"result.4036",3,12,15,123.34716384,119.71930608,123.34716384,1821472.11523127,1498,29.5,0.918277633409428
"result.4085",4,15,15,123.01724439,120.85904712,122.2978453,1818293.4147756,1495,29,0.900277296958334
"result.3830",5,15,14,123.73664348,120.85904712,121.57844621,1818168.31718945,1499,29,0.899568894681545
"result.4070",5,14,15,123.73664348,120.13964803,122.2978453,1818040.24108933,1499,29,0.898843625683879
"result.2225",0,11,8,123.711190858,121.488834136,120.748048562,1814786.2186972,1498,31.5,0.88041675637213
"result.2465",0,10,9,123.711190858,120.748048562,121.488834136,1814786.2186972,1498,31.5,0.88041675637213
"result.2497",0,12,9,123.20750316,121.7319642,120.99419472,1814706.1857443,1495,31,0.879963545980169
"result.2737",0,11,10,123.20750316,120.99419472,121.7319642,1814706.1857443,1495,31,0.879963545980169
"result.1985",0,12,7,123.711190858,122.22961971,120.007262988,1814650.44238277,1498,31.5,0.879647882621378
