"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4049",0,13,15,121.579721835,130.736353605,116.492704185,1851638.66116133,1500,14.5,1
"result.3809",0,14,14,121.579721835,131.24505537,115.98400242,1850726.26041416,1500,14.5,0.995325537598996
"result.3569",0,15,13,121.579721835,131.753757135,115.475300655,1849750.93547752,1499,14.5,0.990328698480682
"result.4018",1,11,15,122.0884236,129.718950075,116.492704185,1844916.17249359,1500,14.5,0.9655589710818
"result.4033",0,12,15,121.579721835,130.22765184,116.492704185,1844433.8414681,1497,14.5,0.963087865867937
"result.3778",1,12,14,122.0884236,130.22765184,115.98400242,1844063.14164065,1500,14.5,0.961188675834576
"result.3793",0,13,14,121.579721835,130.736353605,115.98400242,1843552.90281565,1497,14.5,0.958574591825589
"result.3538",1,13,13,122.0884236,130.736353605,115.475300655,1843146.92331712,1500,14.5,0.956494655013485
"result.3553",0,14,13,121.579721835,131.24505537,115.475300655,1842609.03997374,1496,14.5,0.953738941065931
"result.3298",1,14,12,122.0884236,131.24505537,114.96659889,1842167.51752301,1499,14.5,0.951476908618525
"result.3313",0,15,12,121.579721835,131.753757135,114.96659889,1841602.25294237,1496,14.5,0.948580913588962
"result.3058",1,15,11,122.0884236,131.753757135,114.457897125,1841124.92425831,1499,14.5,0.946135436649697
"result.4002",1,10,15,122.0884236,129.21024831,116.492704185,1837681.20711126,1497,14.5,0.928492392873872
"result.3747",2,10,14,122.597125365,129.21024831,115.98400242,1837279.96667303,1500,14.5,0.926436735479807
"result.4017",0,11,15,121.579721835,129.718950075,116.492704185,1837229.02177486,1494,14.5,0.926175731735876
"result.3762",1,11,14,122.0884236,129.718950075,115.98400242,1836859.76999362,1497,14.5,0.924283960413582
"result.3507",2,11,13,122.597125365,129.718950075,115.475300655,1836423.38152487,1500,14.5,0.922048230669054
"result.3777",0,12,14,121.579721835,130.22765184,115.98400242,1836379.54521715,1494,14.5,0.921823646052183
"result.3522",1,12,13,122.0884236,130.22765184,115.475300655,1835975.14540538,1497,14.5,0.919751802379426
"result.3267",2,12,12,122.597125365,130.22765184,114.96659889,1835503.34562499,1500,14.5,0.917334651427875
"result.3537",0,13,13,121.579721835,130.736353605,115.475300655,1835467.14446997,1493,14.5,0.91714918365118
"result.3282",1,13,12,122.0884236,130.736353605,114.96659889,1835027.33334656,1496,14.5,0.9148959187714
"result.3027",2,13,11,122.597125365,130.736353605,114.457897125,1834519.8589734,1499,14.5,0.91229599775627
"result.3297",0,14,12,121.579721835,131.24505537,114.96659889,1834491.81953333,1493,14.5,0.912152344532865
"result.3042",1,14,11,122.0884236,131.24505537,114.457897125,1834016.33381716,1496,14.5,0.909716309589506
"result.2787",2,14,10,122.597125365,131.24505537,113.94919536,1833472.9215701,1499,14.5,0.906932269654238
"result.3057",0,15,11,121.579721835,131.753757135,114.457897125,1833453.57040723,1493,14.5,0.906833128697241
"result.2802",1,15,10,122.0884236,131.753757135,113.94919536,1832942.14681716,1495,14.5,0.904212974833744
"result.2547",2,15,9,122.597125365,131.753757135,113.440493595,1832362.53341508,1498,14.5,0.90124346712178
"result.3971",2,8,15,122.597125365,128.19284478,116.492704185,1830807.98999805,1498,14.5,0.89327914357634
"result.3986",1,9,15,122.0884236,128.701546545,116.492704185,1830446.24172893,1494,14.5,0.891425814665944
"result.3731",2,9,14,122.597125365,128.701546545,115.98400242,1830046.58097746,1497,14.5,0.889378250411227
"result.4001",0,10,15,121.579721835,129.21024831,116.492704185,1830024.20208163,1491,14.5,0.889263597603814
"result.3746",1,10,14,122.0884236,129.21024831,115.98400242,1829656.39834658,1494,14.5,0.88737924499259
"result.3476",3,9,13,123.10582713,128.701546545,115.475300655,1829580.31010075,1500,14.5,0.88698942544739
"result.3491",2,10,13,122.597125365,129.21024831,115.475300655,1829221.72120516,1497,14.5,0.885152282815687
"result.3761",0,11,14,121.579721835,129.718950075,115.98400242,1829206.18761864,1491,14.5,0.885072700278777
"result.3506",1,11,13,122.0884236,129.718950075,115.475300655,1828803.36749364,1494,14.5,0.883008949745366
"result.3236",3,10,12,123.10582713,129.21024831,114.96659889,1828720.17065737,1500,14.5,0.882582711073107
"result.3251",2,11,12,122.597125365,129.718950075,114.96659889,1828333.41068115,1497,14.5,0.88060124078972
"result.3521",0,12,13,121.579721835,130.22765184,115.475300655,1828325.24896619,1490,14.5,0.880559426236429
"result.3266",1,12,12,122.0884236,130.22765184,114.96659889,1827887.14917012,1493,14.5,0.878314928924275
"result.2996",3,11,11,123.10582713,129.718950075,114.457897125,1827796.31718115,1500,14.5,0.877849573411839
"result.3011",2,12,11,122.597125365,130.22765184,114.457897125,1827381.64940541,1496,14.5,0.875725124333328
"result.3281",0,13,12,121.579721835,130.736353605,114.96659889,1827381.38612429,1490,14.5,0.87572377547677
"result.3026",1,13,11,122.0884236,130.736353605,114.457897125,1826907.743376,1493,14.5,0.873297182529315
"result.2756",3,12,10,123.10582713,130.22765184,113.94919536,1826808.74967208,1499,14.5,0.872790012463588
"result.3041",0,14,11,121.579721835,131.24505537,114.457897125,1826374.59909292,1490,14.5,0.870565747999801
"result.2771",2,13,10,122.597125365,130.736353605,113.94919536,1826366.43737797,1496,14.5,0.870523933446509
"result.2786",1,14,10,122.0884236,131.24505537,113.94919536,1825865.1501113,1493,14.5,0.867955710560487
"result.2516",3,13,9,123.10582713,130.736353605,113.440493595,1825757.46813017,1499,14.5,0.867404028228353
"result.2801",0,15,10,121.579721835,131.753757135,113.94919536,1825304.88787209,1489,14.5,0.865085343805521
"result.2531",2,14,9,122.597125365,131.24505537,113.440493595,1825287.7745988,1495,14.5,0.864997668129265
"result.2546",1,15,9,122.0884236,131.753757135,113.440493595,1824759.36937601,1492,14.5,0.862290513017791
"result.2276",3,14,8,123.10582713,131.24505537,112.93179183,1824642.47255542,1498,14.5,0.861691620706135
"result.2291",2,15,8,122.597125365,131.753757135,112.93179183,1824145.66106792,1495,14.5,0.859146328381594
"result.3940",3,6,15,123.10582713,127.17544125,116.492704185,1823814.19012847,1498,14.5,0.857448117975343
"result.3955",2,7,15,122.597125365,127.684143015,116.492704185,1823542.87892663,1495,14.5,0.856058121292545
"result.2036",3,15,7,123.10582713,131.753757135,112.423090065,1823463.76294783,1498,14.5,0.855652789896932
"result.3970",1,8,15,122.0884236,128.19284478,116.492704185,1823211.2763466,1491,14.5,0.854359236458016
"result.3700",3,7,14,123.10582713,127.684143015,115.98400242,1823113.33576719,1498,14.5,0.853857461818519
"result.3985",0,9,15,121.579721835,128.701546545,116.492704185,1822819.3823884,1488,14.5,0.852351463471753
"result.3715",2,8,14,122.597125365,128.19284478,115.98400242,1822813.1952819,1494,14.5,0.852319765342645
"result.4073",8,14,15,123.46503468,128.96347752,114.46758276,1822607.82283786,1500,14,0.851267589781818
"result.3730",1,9,14,122.0884236,128.701546545,115.98400242,1822453.02669955,1491,14.5,0.850474529571595
"result.3460",3,8,13,123.10582713,128.19284478,115.475300655,1822348.76737308,1497,14.5,0.849940382374712
"result.4088",7,15,15,122.96517624,129.46333596,114.46758276,1822264.61451043,1496,14,0.849509245734794
"result.3745",0,10,14,121.579721835,129.21024831,115.98400242,1822032.83002014,1488,14.5,0.848321754505371
"result.3475",2,9,13,122.597125365,128.701546545,115.475300655,1822020.06088546,1494,14.5,0.848256334962318
"result.449",0,12,1,123.65715405,132.4528512,111.23969925,1821966.40372042,1500,15,0.84798143558143
"result.3205",4,8,12,123.614528895,128.19284478,114.96659889,1821817.99262014,1500,14.5,0.847221087554218
"result.3833",8,15,14,123.46503468,129.46333596,113.96772432,1821682.35933485,1499,14,0.84652620354148
"result.3490",1,10,13,122.0884236,129.21024831,115.475300655,1821631.5895819,1491,14.5,0.846266097111306
"result.1873",0,5,7,123.65715405,128.83109355,114.34406295,1821602.27526037,1500,15,0.846115912344098
"result.3220",3,9,12,123.10582713,128.701546545,114.96659889,1821520.48494612,1497,14.5,0.845696879643922
"result.3505",0,11,13,121.579721835,129.718950075,115.475300655,1821183.35346242,1488,14.5,0.843969668821678
"result.3235",2,10,12,122.597125365,129.21024831,114.96659889,1821163.4757373,1494,14.5,0.843867830151565
"result.2965",4,9,11,123.614528895,128.701546545,114.457897125,1820954.29888154,1500,14.5,0.842796163616405
"result.3250",1,11,12,122.0884236,129.718950075,114.96659889,1820746.96499367,1490,14.5,0.84173393907715
"result.1633",0,6,6,123.65715405,129.3484875,113.826669,1820642.30022934,1500,15,0.841197714718406
"result.2980",3,10,11,123.10582713,129.21024831,114.457897125,1820628.48848632,1497,14.5,0.841126953626146
"result.209",0,13,0,123.65715405,132.97024515,110.7223053,1820576.09505479,1500,15,0.840858528675254
"result.3265",0,12,12,121.579721835,130.22765184,114.96659889,1820270.95271524,1487,14.5,0.839295206420675
"result.2995",2,11,11,122.597125365,129.718950075,114.457897125,1820243.43983742,1493,14.5,0.839154250910386
"result.2725",4,10,10,123.614528895,129.21024831,113.94919536,1820026.62782897,1499,14.5,0.83804346753505
"result.3010",1,12,11,122.0884236,130.22765184,114.457897125,1819799.15293485,1490,14.5,0.836878055469124
"result.2740",3,11,10,123.10582713,129.718950075,113.94919536,1819672.77799368,1496,14.5,0.836230604321387
"result.1393",0,7,5,123.65715405,129.86588145,113.30927505,1819616.12002376,1500,15,0.835940331049563
"result.3025",0,13,11,121.579721835,130.736353605,114.457897125,1819295.6277786,1487,14.5,0.834298367302361
"result.2755",2,12,10,122.597125365,130.22765184,113.94919536,1819259.95318583,1493,14.5,0.834115597238781
"result.2485",4,11,9,123.614528895,129.718950075,113.440493595,1819034.97946243,1499,14.5,0.832962999310153
"result.2770",1,13,10,122.0884236,130.736353605,113.94919536,1818788.15340544,1490,14.5,0.831698446287229
"result.2500",3,12,9,123.10582713,130.22765184,113.440493595,1818653.35346819,1496,14.5,0.831007831729644
"result.1153",0,8,4,123.65715405,130.3832754,112.7918811,1818523.73464362,1499,15,0.830343761337567
"result.2785",0,14,10,121.579721835,131.24505537,113.94919536,1818257.3786525,1486,14.5,0.828979151466736
"result.2515",2,13,9,122.597125365,130.736353605,113.440493595,1818213.01578253,1493,14.5,0.828751869136749
"result.2245",4,12,8,123.614528895,130.22765184,112.93179183,1817979.35378192,1499,14.5,0.827554758941715
"result.2530",1,14,9,122.0884236,131.24505537,113.440493595,1817713.96640545,1489,14.5,0.826195111531468
"result.2260",3,13,8,123.10582713,130.736353605,112.93179183,1817570.21490986,1495,14.5,0.825458635850917
"result.913",0,9,3,123.65715405,130.90066935,112.27448715,1817365.14408893,1499,15,0.824408005582421
"result.2817",0,0,11,123.65715405,126.2441238,116.41363875,1817332.04150165,1499,15,0.824238412560846
"result.2545",0,15,9,121.579721835,131.753757135,113.440493595,1817156.20533694,1486,14.5,0.823337558913801
"result.2275",2,14,8,122.597125365,131.24505537,112.93179183,1817102.62762751,1492,14.5,0.823063066604291
"result.2005",4,13,7,123.614528895,130.736353605,112.423090065,1816859.75078744,1498,14.5,0.821818746429734
"result.3909",4,4,15,123.614528895,126.15803772,116.492704185,1816699.80750251,1498,14.5,0.820999316070881
"result.2577",0,1,10,123.65715405,126.76151775,115.8962448,1816669.98975611,1498,15,0.820846552129334
"result.2290",1,15,8,122.0884236,131.753757135,112.93179183,1816576.59193486,1489,14.5,0.820368051201837
