"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,109.85170139,86.14270109,106.69050135,1009603.92197633,1053,40,1
"result.4095",14,15,15,109.06140138,86.14270109,106.69050135,1002340.58440816,1045,40,0.977244786713368
"result.3840",15,15,14,109.85170139,86.14270109,105.90020134,1002125.37440614,1049,40,0.976570558171542
"result.4080",15,14,15,109.85170139,85.35240108,106.69050135,1000341.5006738,1048,40,0.970981883973928
"result.4094",13,15,15,108.27110137,86.14270109,106.69050135,995077.246839981,1037,40,0.954489573426736
"result.3839",14,15,14,109.06140138,86.14270109,105.90020134,994915.839338466,1041,40,0.953983902020366
"result.3584",15,15,13,109.85170139,86.14270109,105.10990133,994646.826835941,1045,40,0.953141116343083
"result.4079",14,14,15,109.06140138,85.35240108,106.69050135,993144.799230099,1040,40,0.948435434111944
"result.3824",15,14,14,109.85170139,85.35240108,105.90020134,992931.563631768,1044,40,0.94776739115307
"result.4064",15,13,15,109.85170139,84.56210107,106.69050135,991079.07937126,1043,40,0.941963767947855
"result.4093",12,15,15,107.48080136,86.14270109,106.69050135,987813.909271806,1030,40,0.931734360140103
"result.3838",13,15,14,108.27110137,86.14270109,105.90020134,987706.304270796,1034,40,0.93139724586919
"result.3583",14,15,13,109.06140138,86.14270109,105.10990133,987491.094268776,1037,40,0.930723017327364
"result.3328",15,15,12,109.85170139,86.14270109,104.31960132,987168.279265746,1041,40,0.929711674514625
"result.4078",13,14,15,108.27110137,85.35240108,106.69050135,985948.097786403,1033,40,0.925888984249959
"result.3823",14,14,14,109.06140138,85.35240108,105.90020134,985788.171087654,1036,40,0.925387952030804
"result.3568",15,14,13,109.85170139,85.35240108,105.10990133,985521.626589739,1040,40,0.924552898332212
"result.4063",14,13,15,109.06140138,84.56210107,106.69050135,983949.014052043,1035,40,0.919626081510519
"result.3808",15,13,14,109.85170139,84.56210107,105.90020134,983737.752857399,1039,40,0.918964224134598
"result.4048",15,12,15,109.85170139,83.77180106,106.69050135,981816.658068725,1038,40,0.912945651921783
"result.4092",11,15,15,106.69050135,86.14270109,106.69050135,980550.571703631,1022,40,0.908979146853471
"result.3837",12,15,14,107.48080136,86.14270109,105.90020134,980496.769203126,1026,40,0.908810589718015
"result.3582",13,15,13,108.27110137,86.14270109,105.10990133,980335.361701611,1030,40,0.908304918311645
"result.3327",14,15,12,109.06140138,86.14270109,104.31960132,980066.349199086,1033,40,0.907462132634362
"result.3072",15,15,11,109.85170139,86.14270109,103.52930131,979689.731695551,1037,40,0.906282232686167
"result.4077",12,14,15,107.48080136,85.35240108,106.69050135,978751.396342707,1025,40,0.903342534387975
"result.3822",13,14,14,108.27110137,85.35240108,105.90020134,978644.778543541,1029,40,0.903008512908538
"result.3567",14,14,13,109.06140138,85.35240108,105.10990133,978431.542945209,1033,40,0.902340469949665
"result.3312",15,14,12,109.85170139,85.35240108,104.31960132,978111.689547711,1036,40,0.901338405511354
"result.4062",13,13,15,108.27110137,84.56210107,106.69050135,976818.948732825,1028,40,0.897288395073183
"result.3807",14,13,14,109.06140138,84.56210107,105.90020134,976660.502836842,1032,40,0.896792002041242
"result.3552",15,13,13,109.85170139,84.56210107,105.10990133,976396.426343538,1035,40,0.895964680321341
"result.4047",14,12,15,109.06140138,83.77180106,106.69050135,974753.228873986,1031,40,0.890816728909095
"result.3792",15,12,14,109.85170139,83.77180106,105.90020134,974543.942083031,1034,40,0.890161057116126
"result.3836",11,15,14,106.69050135,86.14270109,105.90020134,973287.234135456,1019,40,0.886223933566839
"result.4091",10,15,15,105.90020134,86.14270109,106.69050135,973287.234135456,1015,40,0.886223933566839
"result.3581",12,15,13,107.48080136,86.14270109,105.10990133,973179.629134446,1022,40,0.885886819295926
"result.3326",13,15,12,108.27110137,86.14270109,104.31960132,972964.419132426,1026,40,0.8852125907541
"result.3071",14,15,11,109.06140138,86.14270109,103.52930131,972641.604129396,1029,40,0.884201247941361
"result.4032",15,11,15,109.85170139,82.98150105,106.69050135,972554.23676619,1033,40,0.883927535895711
"result.2816",15,15,10,109.85170139,86.14270109,102.7390013,972211.184125356,1033,40,0.882852790857708
"result.4076",11,14,15,106.69050135,85.35240108,106.69050135,971554.69489901,1018,40,0.880796084525991
"result.3821",12,14,14,107.48080136,85.35240108,105.90020134,971501.385999427,1021,40,0.880629073786272
"result.3566",13,14,13,108.27110137,85.35240108,105.10990133,971341.459300678,1025,40,0.880128041567118
"result.3311",14,14,12,109.06140138,85.35240108,104.31960132,971074.914802764,1029,40,0.879292987868525
"result.3056",15,14,11,109.85170139,85.35240108,103.52930131,970701.752505683,1032,40,0.878123912690497
"result.4061",12,13,15,107.48080136,84.56210107,106.69050135,969688.883413607,1020,40,0.874950708635847
"result.3806",13,13,14,108.27110137,84.56210107,105.90020134,969583.252816286,1024,40,0.874619779947887
"result.3551",14,13,13,109.06140138,84.56210107,105.10990133,969371.991621642,1028,40,0.873957922571965
"result.3296",15,13,12,109.85170139,84.56210107,104.31960132,969055.099829677,1031,40,0.872965136508084
"result.4046",13,12,15,108.27110137,83.77180106,106.69050135,967689.799679247,1023,40,0.868687805896407
"result.3791",14,12,14,109.06140138,83.77180106,105.90020134,967532.834586031,1027,40,0.868196052051681
"result.3536",15,12,13,109.85170139,83.77180106,105.10990133,967271.226097337,1030,40,0.86737646231047
"result.3835",10,15,14,105.90020134,86.14270109,105.90020134,966077.699067786,1011,40,0.863637277415663
"result.3580",11,15,13,106.69050135,86.14270109,105.10990133,966023.896567281,1015,40,0.863468720280207
"result.4090",9,15,15,105.10990133,86.14270109,106.69050135,966023.896567281,1007,40,0.863468720280207
"result.3325",12,15,12,107.48080136,86.14270109,104.31960132,965862.489065766,1018,40,0.862963048873837
"result.3070",13,15,11,108.27110137,86.14270109,103.52930131,965593.476563241,1022,40,0.862120263196555
"result.4031",14,11,15,109.06140138,82.98150105,106.69050135,965557.44369593,1026,40,0.862007376307671
"result.3776",15,11,14,109.85170139,82.98150105,105.90020134,965350.131308663,1029,40,0.861357890097655
"result.2815",14,15,10,109.06140138,86.14270109,102.7390013,965216.859059706,1026,40,0.860940363248359
"result.2560",15,15,9,109.85170139,86.14270109,101.94870129,964732.636555161,1029,40,0.85942334902925
