"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,134.46788946,105.541657425,118.050298305,1675365.57476791,1500,38.5,1
"result.4065",0,14,15,134.46788946,104.75986737,118.83208836,1673968.40946151,1500,38.5,0.995003344862752
"result.3793",0,13,14,134.95755884,104.35671701,118.48018247,1668642.6367851,1500,39,0.975956887524166
"result.4081",0,15,15,133.976433,105.15592125,118.397778,1668037.05970916,1494,38,0.973791173994344
"result.4033",0,12,15,134.95755884,103.57208004,119.26481944,1667063.97771529,1499,39,0.970311159767434
"result.3826",1,15,14,134.75536575,105.15592125,117.61884525,1666697.21965967,1498,38,0.968999530059519
"result.4066",1,14,15,134.75536575,104.3769885,118.397778,1665307.28329793,1498,38,0.964028727656585
"result.3569",0,15,13,134.46788946,105.541657425,117.26850825,1664270.43851117,1495,38.5,0.960320679792442
"result.3521",0,12,13,135.445455416,103.946512296,118.1210367,1663035.84393537,1500,39.5,0.955905423200161
"result.3809",0,14,14,134.46788946,104.75986737,118.050298305,1662955.45939926,1495,38.5,0.955617945545621
"result.3314",1,15,12,135.249679515,105.541657425,116.486718195,1662786.78656986,1499,38.5,0.955014724183292
"result.3554",1,14,13,135.249679515,104.75986737,117.26850825,1661546.82625176,1499,38.5,0.950580278191104
"result.4049",0,13,15,134.46788946,103.978077315,118.83208836,1661476.10789836,1494,38.5,0.950327369517946
"result.3761",0,11,14,135.445455416,103.159038718,118.908510278,1661440.00145886,1500,39.5,0.950198242759945
"result.3794",1,13,14,135.249679515,103.978077315,118.050298305,1660141.53789125,1498,38.5,0.94555457273329
"result.3057",0,15,11,134.95755884,105.92599095,116.12627156,1660084.64288036,1496,39,0.945351100211357
"result.4084",3,15,15,135.3076375,104.3801775,117.524348,1659847.51567501,1498,37,0.944503066794434
"result.4001",0,10,15,135.445455416,102.37156514,119.695983856,1659676.17556378,1499,39.5,0.943890306483916
"result.4082",1,15,15,134.259238426,104.76876987,117.961874224,1659272.39607496,1492,37.5,0.942446277743817
"result.3297",0,14,12,134.95755884,105.14135398,116.91090853,1658921.42040787,1496,39,0.941191090285344
"result.4034",1,12,15,135.249679515,103.19628726,118.83208836,1658570.92148833,1497,38.5,0.939937607809852
"result.2802",1,15,10,135.74219581,105.92599095,115.34163459,1658454.2957688,1500,39,0.939520521515222
"result.3827",2,15,14,135.035303388,104.76876987,117.185809262,1657884.20042872,1496,37.5,0.937481700627911
"result.3537",0,13,13,134.95755884,104.35671701,117.6955455,1657592.02329646,1495,39,0.936436793227044
"result.3042",1,14,11,135.74219581,105.14135398,116.12627156,1657367.88076023,1499,39,0.935635196630005
"result.3249",0,11,12,135.93160172,103.52930131,117.75470149,1657150.58041671,1500,40,0.934858069633796
"result.4067",2,14,15,135.035303388,103.992704908,117.961874224,1656501.61365377,1495,37.5,0.932537182409442
"result.3572",3,15,13,135.81136835,104.76876987,116.4097443,1656369.80517827,1499,37.5,0.932065798319649
"result.3282",1,13,12,135.74219581,104.35671701,116.91090853,1656114.32498111,1499,39,0.931152129454754
"result.3777",0,12,14,134.95755884,103.57208004,118.48018247,1656096.45154611,1495,39,0.931088209036456
"result.3570",1,15,13,134.75536575,105.15592125,116.8399125,1655659.48972815,1493,38,0.929525510977395
"result.3489",0,10,13,135.93160172,102.7390013,118.5450015,1655537.4926034,1500,40,0.929089215030664
"result.4019",2,11,15,136.03146957,102.414497205,118.83208836,1655520.47575779,1500,38.5,0.929028358016353
"result.2545",0,15,9,135.445455416,106.30893303,114.971142388,1655476.5900993,1497,39.5,0.928871410588609
"result.3812",3,14,14,135.81136835,103.992704908,117.185809262,1655061.06854208,1499,37.5,0.927385388917448
"result.3522",1,12,13,135.74219581,103.57208004,117.6955455,1654693.62843145,1498,39,0.92607131998947
"result.2785",0,14,10,135.445455416,105.521459452,115.758615966,1654468.68958782,1496,39.5,0.925266875573736
"result.4017",0,11,15,134.95755884,102.78744307,119.26481944,1654434.70515684,1494,39,0.92514533771358
"result.3810",1,14,14,134.75536575,104.3769885,117.61884525,1654351.31432886,1493,38,0.92484710871581
"result.3315",2,15,12,135.5342985,105.15592125,116.06097975,1654128.2439573,1497,38,0.924049346480453
"result.3729",0,9,14,135.93160172,101.94870129,119.33530151,1653754.60607291,1499,40,0.922713112574572
"result.2290",1,15,8,136.232928994,106.30893303,114.18366881,1653696.6495158,1500,39.5,0.922505843665541
"result.4052",3,13,15,135.81136835,103.216639946,117.961874224,1653588.73982636,1498,37.5,0.922119928339971
"result.3025",0,13,11,135.445455416,104.733985874,116.546089544,1653292.80565777,1496,39.5,0.92106158472305
"result.3313",0,15,12,134.46788946,105.541657425,116.486718195,1653175.30225443,1490,38.5,0.920641359584885
"result.3762",1,11,14,135.74219581,102.78744307,118.48018247,1653105.79111124,1497,39,0.920392768234153
"result.3555",2,14,13,135.5342985,104.3769885,116.8399125,1652894.74041968,1496,38,0.919637991746805
"result.4050",1,13,15,134.75536575,103.59805575,118.397778,1652879.61700466,1492,38,0.919583906171527
"result.2530",1,14,9,136.232928994,105.521459452,114.971142388,1652767.36915081,1500,39.5,0.919182476352893
"result.3060",3,15,11,136.31323125,105.15592125,115.282047,1652469.39437222,1500,38,0.918116834942099
"result.3265",0,12,12,135.445455416,103.946512296,117.333563122,1651948.93830913,1495,39.5,0.916255538036552
"result.3553",0,14,13,134.46788946,104.75986737,117.26850825,1651942.50933701,1490,38.5,0.916232546228489
"result.3969",0,8,15,135.93160172,101.15840128,120.12560152,1651801.92082522,1498,40,0.915729762265518
"result.2770",1,13,10,136.232928994,104.733985874,115.758615966,1651669.12871946,1500,39.5,0.915254860437947
"result.3058",1,15,11,135.249679515,105.541657425,115.70492814,1651627.14370698,1494,38.5,0.915104710253597
"result.3795",2,13,14,135.5342985,103.59805575,117.61884525,1651496.7697437,1496,38,0.914638456382004
"result.4002",1,10,15,135.74219581,102.0028061,119.26481944,1651350.81302048,1497,39,0.914116474188803
"result.3300",3,14,12,136.31323125,104.3769885,116.06097975,1651311.5079097,1500,38,0.913975908084843
"result.4085",4,15,15,135.572318816,103.99013091,117.085184432,1650688.37795597,1495,36.5,0.91174742053925
"result.3298",1,14,12,135.249679515,104.75986737,116.486718195,1650469.84741008,1494,38.5,0.910965893994221
"result.2033",0,15,7,135.93160172,106.69050135,113.80320144,1650443.5310877,1497,40,0.910871779441828
"result.3505",0,11,13,135.445455416,103.159038718,118.1210367,1650437.08754192,1495,39.5,0.910848735514242
"result.3010",1,12,11,136.232928994,103.946512296,116.546089544,1650401.92822175,1499,39.5,0.9107229959207
"result.4083",2,15,15,134.534451,104.3801775,117.524348,1650362.6727283,1490,37,0.91058260726223
"result.3540",3,13,13,136.31323125,103.59805575,116.8399125,1649988.20909538,1499,38,0.90924342024798
"result.3747",2,10,14,136.52683278,102.0028061,118.48018247,1649969.24480149,1500,39,0.909175598612226
"result.2803",2,15,10,136.03146957,105.541657425,114.923138085,1649949.97194724,1498,38.5,0.909106673478036
"result.4035",2,12,15,135.5342985,102.819123,118.397778,1649934.33192937,1495,38,0.909050740386051
"result.2273",0,14,8,135.93160172,105.90020134,114.59350145,1649594.53750175,1497,40,0.907835540177022
"result.3538",1,13,13,135.249679515,103.978077315,117.26850825,1649147.22307078,1493,38.5,0.906235818269221
"result.3830",5,15,14,136.342616082,103.99013091,116.314887166,1649145.79387071,1499,36.5,0.906230707048781
"result.3250",1,11,12,136.232928994,103.159038718,117.333563122,1648965.76765767,1498,39.5,0.905586882801154
"result.3828",3,15,14,135.3076375,104.3801775,116.7511615,1648927.46622978,1493,37,0.905449906148805
"result.3043",2,14,11,136.03146957,104.75986737,115.70492814,1648869.12792429,1497,38.5,0.905241272000452
"result.2801",0,15,10,134.95755884,105.92599095,115.34163459,1648867.85475279,1491,39,0.905236718781948
"result.3745",0,10,14,135.445455416,102.37156514,118.908510278,1648757.25335612,1494,39.5,0.904841177156119
"result.2513",0,13,9,135.93160172,105.10990133,115.38380146,1648575.74519861,1496,40,0.904192053059254
"result.3780",3,12,14,136.31323125,102.819123,117.61884525,1648499.49792928,1499,38,0.903919371431508
"result.3987",2,9,15,136.52683278,101.21816913,119.26481944,1648120.06887762,1500,39,0.902562426686654
"result.3041",0,14,11,134.95755884,105.14135398,116.12627156,1647787.71959977,1491,39,0.901373852422078
"result.4070",5,14,15,136.342616082,103.219833644,117.085184432,1647770.49445958,1498,36.5,0.901312250487945
"result.2018",1,14,7,136.72190173,105.90020134,113.80320144,1647742.54684217,1500,40,0.901212301966817
