"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3313",0,15,12,134.874595522,111.286661776,111.286661776,1670384.24756481,1500,20.5,1
"result.3553",0,14,13,134.874595522,110.681842962,111.89148059,1670334.9096558,1500,20.5,0.99969373719436
"result.3793",0,13,14,134.874595522,110.077024148,112.496299404,1670186.89592876,1500,20.5,0.998774948777436
"result.4033",0,12,15,134.874595522,109.472205334,113.101118218,1669940.20638369,1500,20.5,0.997243634749232
"result.3057",0,15,11,134.874595522,111.286661776,110.681842962,1661306.07230631,1496,20.5,0.943647643762076
"result.3297",0,14,12,134.874595522,110.681842962,111.286661776,1661306.07230631,1496,20.5,0.943647643762076
"result.3537",0,13,13,134.874595522,110.077024148,111.89148059,1661207.39648828,1496,20.5,0.943035118150794
"result.3777",0,12,14,134.874595522,109.472205334,112.496299404,1661010.04485223,1496,20.5,0.94181006692823
"result.4017",0,11,15,134.874595522,108.86738652,113.101118218,1660714.01739815,1496,20.5,0.939972490094385
"result.3042",1,14,11,135.479414336,110.681842962,110.681842962,1659686.54991178,1499,20.5,0.933594532832519
"result.2802",1,15,10,135.479414336,111.286661776,110.077024148,1659636.99075654,1499,20.5,0.933286896651068
"result.3282",1,13,12,135.479414336,110.077024148,111.286661776,1659636.99075654,1499,20.5,0.933286896651068
"result.3522",1,12,13,135.479414336,109.472205334,111.89148059,1659488.31329081,1499,20.5,0.932363988106716
"result.3762",1,11,14,135.479414336,108.86738652,112.496299404,1659240.5175146,1499,20.5,0.930825807199461
"result.4002",1,10,15,135.479414336,108.262567706,113.101118218,1658893.6034279,1499,20.5,0.928672353929304
"result.4084",3,15,15,135.01240226,109.92160184,111.71380187,1657919.90341708,1496,20,0.922628155804004
"result.3829",4,15,14,135.60980227,109.92160184,111.11640186,1656350.72079116,1498,20,0.912887526677525
"result.4069",4,14,15,135.60980227,109.32420183,111.71380187,1656205.52875743,1498,20,0.911986253792317
"result.3041",0,14,11,134.874595522,110.681842962,110.681842962,1652277.23495682,1492,20.5,0.887601550329793
"result.2801",0,15,10,134.874595522,111.286661776,110.077024148,1652227.8970478,1492,20.5,0.887295287524152
"result.3281",0,13,12,134.874595522,110.077024148,111.286661776,1652227.8970478,1492,20.5,0.887295287524152
"result.3521",0,12,13,134.874595522,109.472205334,111.89148059,1652079.88332076,1492,20.5,0.88637649910723
"result.3761",0,11,14,134.874595522,108.86738652,112.496299404,1651833.1937757,1492,20.5,0.884845185079026
"result.4001",0,10,15,134.874595522,108.262567706,113.101118218,1651487.8284126,1492,20.5,0.882701345439539
"result.2786",1,14,10,135.479414336,110.681842962,110.077024148,1650617.22450243,1495,20.5,0.877297111626997
"result.3026",1,13,11,135.479414336,110.077024148,110.681842962,1650617.22450243,1495,20.5,0.877297111626997
"result.4083",2,15,15,134.41500225,109.92160184,111.71380187,1650583.9746409,1489,20,0.877090714637712
"result.2546",1,15,9,135.479414336,111.286661776,109.472205334,1650518.10619194,1495,20.5,0.876681839264095
"result.3266",1,12,12,135.479414336,109.472205334,111.286661776,1650518.10619194,1495,20.5,0.876681839264095
"result.3506",1,11,13,135.479414336,108.86738652,111.89148059,1650319.86957097,1495,20.5,0.875451294538292
"result.3746",1,10,14,135.479414336,108.262567706,112.496299404,1650022.51463952,1495,20.5,0.873605477449585
"result.3986",1,9,15,135.479414336,107.657748892,113.101118218,1649626.04139758,1494,20.5,0.871144387997977
"result.3828",3,15,14,135.01240226,109.92160184,111.11640186,1649054.02158063,1492,20,0.867593601239394
"result.2771",2,13,10,136.08423315,110.077024148,110.077024148,1648926.01832978,1497,20.5,0.866799026934983
"result.4068",3,14,15,135.01240226,109.32420183,111.71380187,1648909.46915938,1492,20,0.86669629871932
"result.2531",2,14,9,136.08423315,110.681842962,109.472205334,1648876.23792831,1497,20.5,0.866490017377723
"result.3011",2,12,11,136.08423315,109.472205334,110.681842962,1648876.23792831,1497,20.5,0.866490017377723
"result.2291",2,15,8,136.08423315,111.286661776,108.86738652,1648726.8967239,1497,20.5,0.865562988705939
"result.3251",2,11,12,136.08423315,108.86738652,111.286661776,1648726.8967239,1497,20.5,0.865562988705939
"result.3491",2,10,13,136.08423315,108.262567706,111.89148059,1648477.99471654,1497,20.5,0.864017940919635
"result.1969",0,11,7,136.51107567,110.1883122,109.57615491,1648236.30664936,1500,21,0.862517673335821
"result.2209",0,10,8,136.51107567,109.57615491,110.1883122,1648236.30664936,1500,21,0.862517673335821
"result.1729",0,12,6,136.51107567,110.80046949,108.96399762,1648133.99527092,1499,21,0.861882580150153
"result.2449",0,9,9,136.51107567,108.96399762,110.80046949,1648133.99527092,1499,21,0.861882580150153
"result.3731",2,9,14,136.08423315,107.657748892,112.496299404,1648129.53190624,1497,20.5,0.861854874018808
"result.1489",0,13,5,136.51107567,111.41262678,108.35184033,1647929.37251404,1499,21,0.860612393778817
"result.2689",0,8,10,136.51107567,108.35184033,111.41262678,1647929.37251404,1499,21,0.860612393778817
"result.3971",2,8,15,136.08423315,107.052930078,113.101118218,1647681.508293,1497,20.5,0.859073788003459
"result.1249",0,14,4,136.51107567,112.02478407,107.73968304,1647622.43837872,1499,21,0.858707114221813
"result.2929",0,7,11,136.51107567,107.73968304,112.02478407,1647622.43837872,1499,21,0.858707114221813
"result.3573",4,15,13,135.60980227,109.92160184,110.51900185,1647445.60938906,1494,20,0.857609456384754
"result.3813",4,14,14,135.60980227,109.32420183,111.11640186,1647348.81469991,1494,20,0.857008607794615
"result.1009",0,15,3,136.51107567,112.63694136,107.12752575,1647213.19286497,1499,21,0.856166741479139
"result.3169",0,6,12,136.51107567,107.12752575,112.63694136,1647213.19286497,1499,21,0.856166741479139
"result.4053",4,13,15,135.60980227,108.72680182,111.71380187,1647155.2253216,1494,20,0.855806910614337
"result.2516",3,13,9,136.689051964,110.077024148,109.472205334,1647154.27852987,1500,20.5,0.855801033448113
"result.2756",3,12,10,136.689051964,109.472205334,110.077024148,1647154.27852987,1500,20.5,0.855801033448113
"result.2276",3,14,8,136.689051964,110.681842962,108.86738652,1647054.27523447,1500,20.5,0.85518026758197
"result.2996",3,11,11,136.689051964,108.86738652,110.681842962,1647054.27523447,1500,20.5,0.85518026758197
"result.2036",3,15,7,136.689051964,111.286661776,108.262567706,1646854.26864367,1500,20.5,0.853938735849687
"result.3236",3,10,12,136.689051964,108.262567706,111.286661776,1646854.26864367,1500,20.5,0.853938735849687
"result.3409",0,5,13,136.51107567,106.51536846,113.24909865,1646701.63597277,1499,21,0.852991275550799
"result.3476",3,9,13,136.689051964,107.657748892,111.89148059,1646554.25875747,1500,20.5,0.85207643825126
"result.3716",3,8,14,136.689051964,107.052930078,112.496299404,1646154.24557587,1500,20.5,0.849593374786692
"result.3649",0,4,14,136.51107567,105.90321117,113.86125594,1646087.76770214,1499,21,0.84918071643679
"result.3318",5,15,12,136.20720228,109.92160184,109.92160184,1645758.73806619,1497,20,0.847138280073788
"result.3558",5,14,13,136.20720228,109.32420183,110.51900185,1645710.12751746,1497,20,0.846836532323675
"result.3956",3,7,15,136.689051964,106.448111264,113.101118218,1645654.22909887,1499,20.5,0.846489545455981
"result.3798",5,13,14,136.20720228,108.72680182,111.11640186,1645564.29587124,1497,20,0.845931289073332
"result.3889",0,3,15,136.51107567,105.29105388,114.47341323,1645371.58805307,1498,21,0.844735064137113
"result.4038",5,12,15,136.20720228,108.12940181,111.71380187,1645321.24312755,1497,20,0.844422550322764
"result.3063",6,15,11,136.80460229,109.92160184,109.32420183,1643993.40761203,1499,20,0.836180072306498
"result.3303",6,14,12,136.80460229,109.32420183,109.92160184,1643993.40761203,1499,20,0.836180072306498
"result.3543",6,13,13,136.80460229,108.72680182,110.51900185,1643895.76010623,1499,20,0.835573929896182
"result.3783",6,12,14,136.80460229,108.12940181,111.11640186,1643700.46509464,1499,20,0.834361645075549
"result.4023",6,11,15,136.80460229,107.5320018,111.71380187,1643407.52257725,1499,20,0.8325432178446
"result.2785",0,14,10,134.874595522,110.681842962,110.077024148,1643248.39760733,1488,20.5,0.831555456897511
"result.3025",0,13,11,134.874595522,110.077024148,110.681842962,1643248.39760733,1488,20.5,0.831555456897511
"result.4082",1,15,15,133.81760224,109.92160184,111.71380187,1643248.04586472,1482,20,0.831553273471421
"result.2545",0,15,9,134.874595522,111.286661776,109.472205334,1643149.7217893,1488,20.5,0.830942931286229
