"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,114.59350145,80.61060102,113.01290143,1043951.14213817,1093,40,1
"result.4095",14,15,15,113.80320144,80.61060102,113.01290143,1036751.47908894,1086,40,0.978141437755699
"result.3840",15,15,14,114.59350145,80.61060102,112.22260142,1036650.78450084,1089,40,0.977835723598436
"result.4080",15,14,15,114.59350145,79.82030101,113.01290143,1033716.32701917,1088,40,0.968926553672316
"result.4094",13,15,15,113.01290143,80.61060102,113.01290143,1029551.81603971,1078,40,0.956282875511397
"result.3839",14,15,14,113.80320144,80.61060102,112.22260142,1029501.46874566,1082,40,0.956130018432765
"result.3584",15,15,13,114.59350145,80.61060102,111.43230141,1029350.42686351,1086,40,0.955671447196871
"result.4079",14,14,15,113.80320144,79.82030101,113.01290143,1026587.24890179,1080,40,0.947282291057861
"result.3824",15,14,14,114.59350145,79.82030101,112.22260142,1026487.54151554,1084,40,0.946979574098218
"result.4064",15,13,15,114.59350145,79.030001,113.01290143,1023481.51190017,1082,40,0.937853107344633
"result.3838",13,15,14,113.01290143,80.61060102,112.22260142,1022352.15299048,1074,40,0.934424313267095
"result.4093",12,15,15,112.22260142,80.61060102,113.01290143,1022352.15299048,1071,40,0.934424313267095
"result.3583",14,15,13,113.80320144,80.61060102,111.43230141,1022251.45840238,1078,40,0.934118599109832
"result.3328",15,15,12,114.59350145,80.61060102,110.6420014,1022050.06922618,1082,40,0.933507170795307
"result.4078",13,14,15,113.01290143,79.82030101,113.01290143,1019458.17078442,1073,40,0.925638028443405
"result.3823",14,14,14,113.80320144,79.82030101,112.22260142,1019408.31709129,1077,40,0.925486669963584
"result.3568",15,14,13,114.59350145,79.82030101,111.43230141,1019258.75601191,1080,40,0.92503259452412
"result.4063",14,13,15,113.80320144,79.030001,113.01290143,1016423.01871465,1075,40,0.916423144360023
"result.3808",15,13,14,114.59350145,79.030001,112.22260142,1016324.29853024,1079,40,0.916123424598001
"result.3837",12,15,14,112.22260142,80.61060102,112.22260142,1015202.83723531,1067,40,0.912718608101425
"result.3582",13,15,13,113.01290143,80.61060102,111.43230141,1015152.48994125,1071,40,0.912565751022794
"result.4092",11,15,15,111.43230141,80.61060102,113.01290143,1015152.48994125,1063,40,0.912565751022794
"result.3327",14,15,12,113.80320144,80.61060102,110.6420014,1015001.4480591,1074,40,0.912107179786899
"result.3072",15,15,11,114.59350145,80.61060102,109.85170139,1014749.71158885,1078,40,0.911342894393742
"result.4048",15,12,15,114.59350145,78.23970099,113.01290143,1013246.69678116,1077,40,0.906779661016949
"result.3822",13,14,14,113.01290143,79.82030101,112.22260142,1012329.09266705,1069,40,0.90399376582895
"result.4077",12,14,15,112.22260142,79.82030101,113.01290143,1012329.09266705,1065,40,0.90399376582895
"result.3567",14,14,13,113.80320144,79.82030101,111.43230141,1012229.38528079,1073,40,0.903691048869307
"result.3312",15,14,12,114.59350145,79.82030101,110.6420014,1012029.97050828,1076,40,0.903085614950022
"result.4062",13,13,15,113.01290143,79.030001,113.01290143,1009364.52552913,1068,40,0.894993181375414
