"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,118.80395904,111.94988448,142.41243808,1894098.17099505,1500,35,1
"result.3057",0,15,11,119.25982614,113.14393762,139.900949895,1887757.15091013,1500,35.5,0.96408358779987
"result.3826",1,15,14,119.104969346,112.277295944,141.105250308,1886970.01834774,1499,34.5,0.959625160419395
"result.3569",0,15,13,118.80395904,112.71144832,140.8893104,1886587.65039995,1497,35,0.957459375633839
"result.3297",0,14,12,119.25982614,112.379451555,140.66543596,1885247.9477853,1499,35.5,0.949871115276814
"result.4081",0,15,15,118.346338968,112.277295944,141.863880686,1885031.48329705,1493,34.5,0.948645030564454
"result.4066",1,14,15,119.104969346,111.518665566,141.863880686,1884296.67372715,1498,34.5,0.9444829678289
"result.3809",0,14,14,118.80395904,111.94988448,141.65087424,1883969.30377047,1496,35,0.942628699249306
"result.3794",1,13,14,119.56552288,111.18832064,141.65087424,1883147.75776325,1500,35,0.937975349371568
"result.3537",0,13,13,119.25982614,111.61496549,141.429922025,1882599.34448687,1498,35.5,0.934869060946922
"result.4049",0,13,15,118.80395904,111.18832064,142.41243808,1881213.14942365,1494,35,0.927017460949797
"result.3265",0,12,12,119.71395852,111.27258965,141.20107928,1880922.94102808,1500,36,0.925373680576975
"result.4034",1,12,15,119.56552288,110.4267568,142.41243808,1880304.59021028,1499,35,0.921871256273181
"result.3777",0,12,14,119.25982614,110.850479425,142.19440809,1879811.34101485,1497,35.5,0.919077424810192
"result.3315",2,15,12,119.863599724,112.277295944,139.587989552,1878569.69979472,1500,34.5,0.912044597714652
"result.3058",1,15,11,119.56552288,112.71144832,139.36618272,1878154.87815804,1498,35,0.909694990759766
"result.2289",0,15,8,119.71395852,113.57478116,138.1314906,1878102.96660375,1499,36,0.909400956557549
"result.3505",0,11,13,119.71395852,110.50519248,141.96847645,1878102.96660375,1499,36,0.909400956557549
"result.2801",0,15,10,119.25982614,113.14393762,139.13646383,1877441.53806362,1496,35.5,0.905654534093972
"result.3827",2,15,14,119.39831058,111.84145548,140.55750486,1876960.05916242,1497,34,0.902927371200686
"result.4017",0,11,15,119.25982614,110.08599336,142.958894155,1876883.93736922,1496,35.5,0.902496206866626
"result.3570",1,15,13,119.104969346,112.277295944,140.34661993,1876825.0182491,1495,34.5,0.902162480845206
"result.4084",3,15,15,119.683924833,111.403904876,140.760339269,1876793.71937882,1498,33.5,0.901985199727784
"result.2786",1,14,10,120.024312205,112.379451555,139.13646383,1876709.68715222,1500,35.5,0.901509229608081
"result.3313",0,15,12,118.80395904,112.71144832,140.12774656,1876389.87931671,1493,35,0.899697793925658
"result.3555",2,14,13,119.863599724,111.518665566,140.34661993,1876017.29531131,1499,34.5,0.897587426738981
"result.4002",1,10,15,120.024312205,109.321507295,142.958894155,1875797.77768324,1500,35.5,0.896344048621692
"result.2529",0,14,9,119.71395852,112.80738399,138.89888777,1875776.48770368,1498,36,0.896223459241523
"result.3298",1,14,12,119.56552288,111.94988448,140.12774656,1875658.43835544,1497,35,0.895554811453865
"result.3745",0,10,14,119.71395852,109.73779531,142.73587362,1875141.9934582,1498,36,0.892629596337153
"result.4082",1,15,15,118.64262507,111.84145548,141.31319037,1875107.87998331,1491,34,0.89243637291105
"result.3041",0,14,11,119.25982614,112.379451555,139.900949895,1875002.0350256,1495,35.5,0.891836852474333
"result.3825",0,15,14,118.346338968,112.277295944,141.105250308,1874951.10103342,1489,34.5,0.891548355318764
"result.4067",2,14,15,119.39831058,111.08576997,141.31319037,1874300.8960446,1495,34,0.887865504597532
"result.3810",1,14,14,119.104969346,111.518665566,141.105250308,1874220.22092647,1494,34.5,0.887408549603185
"result.3026",1,13,11,120.024312205,111.61496549,139.900949895,1874184.39939197,1499,35.5,0.887205651491928
"result.3553",0,14,13,118.80395904,111.94988448,140.8893104,1873840.4365459,1492,35,0.885257398498613
"result.2257",0,13,8,120.166373496,112.463400836,138.65350788,1873807.74004811,1500,36.5,0.88507220102619
"result.4052",3,13,15,120.15399609,110.33008446,141.31319037,1873332.51531815,1500,34,0.882380462621311
"result.3795",2,13,14,119.863599724,110.760035188,141.105250308,1873326.92301798,1498,34.5,0.882348787061922
"result.2769",0,13,10,119.71395852,112.03998682,139.66628494,1873309.01008239,1497,36,0.882247325724526
"result.3473",0,9,13,120.166373496,109.382211772,142.50499421,1873094.72340425,1500,36.5,0.881033576429003
"result.3538",1,13,13,119.56552288,111.18832064,140.8893104,1873023.30745269,1496,35,0.88062906663097
"result.3281",0,13,12,119.25982614,111.61496549,140.66543596,1872423.13181397,1494,35.5,0.877229589047859
"result.3523",2,12,13,120.32708672,110.4267568,140.8893104,1872042.75254084,1500,35,0.875075068389799
"result.3985",0,9,15,119.71395852,108.97039814,143.50327079,1872040.02159144,1497,36,0.875059599915785
"result.3266",1,12,12,120.024312205,110.850479425,140.66543596,1871518.81786728,1498,35.5,0.872107430147099
"result.4050",1,13,15,119.104969346,110.760035188,141.863880686,1871478.32900792,1492,34.5,0.871878095664214
"result.2497",0,12,9,120.166373496,111.69310357,139.423805146,1871312.18179462,1499,36.5,0.870937014936037
"result.3793",0,13,14,118.80395904,111.18832064,141.65087424,1871153.18605775,1490,35,0.870036441156593
"result.3009",0,12,11,119.71395852,111.27258965,140.43368211,1870700.53373988,1496,36,0.867472556006558
"result.4035",2,12,15,119.863599724,110.00140481,141.863880686,1870498.58291473,1497,34.5,0.866328678683475
"result.3778",1,12,14,119.56552288,110.4267568,141.65087424,1870249.4854498,1495,35,0.864917756291079
"result.3713",0,8,14,120.166373496,108.611914506,143.275291476,1869957.45017129,1499,36.5,0.863263628201383
"result.2994",1,11,11,120.48135569,110.50519248,140.43368211,1869708.11966363,1500,36,0.861851385822798
"result.3521",0,12,13,119.25982614,110.850479425,141.429922025,1869704.82842875,1493,35.5,0.861832743814548
"result.2547",2,15,9,120.32708672,112.71144832,137.84305504,1869460.6246063,1499,35,0.860449539688047
"result.3763",2,11,14,120.32708672,109.66519296,141.65087424,1869181.47564041,1499,35,0.85886840145002
"result.1778",1,15,6,120.48135569,113.57478116,136.59669626,1869140.50942694,1500,36,0.858636363167607
"result.2290",1,15,8,120.024312205,113.14393762,137.6074917,1868712.94257812,1497,35.5,0.856214565573596
"result.3506",1,11,13,120.024312205,110.08599336,141.429922025,1868712.94257812,1497,35.5,0.856214565573596
"result.2737",0,11,10,120.166373496,110.922806304,140.194102412,1868674.02021236,1498,36.5,0.855994103926448
"result.3316",3,15,12,120.15399609,111.84145548,139.04613384,1868529.45048509,1498,34,0.855175241054757
"result.3573",4,15,13,120.43665392,111.403904876,139.254881095,1868398.55021737,1500,33.5,0.85443380388699
"result.3059",2,15,11,119.863599724,112.277295944,138.829359174,1868360.08186106,1496,34.5,0.854215913811966
"result.4033",0,12,15,118.80395904,110.4267568,142.41243808,1868328.12785226,1489,35,0.854034921899596
"result.3249",0,11,12,119.71395852,110.50519248,141.20107928,1867951.05867616,1495,36,0.851899150087618
"result.2802",1,15,10,119.56552288,112.71144832,138.60461888,1867891.73674734,1494,35,0.851563142502174
"result.1521",0,15,5,120.166373496,114.003995368,136.342616082,1867818.40023973,1498,36.5,0.851147754409823
"result.2033",0,15,7,119.71395852,113.57478116,137.36409343,1867669.06123373,1495,36,0.850301877685676
"result.1009",0,15,3,120.617094,114.431602,135.3076375,1867571.12289984,1500,37,0.849747141456617
"result.3441",0,7,13,120.617094,108.24611,143.0395025,1867571.12289984,1500,37,0.849747141456617
"result.3044",3,14,11,120.622230102,111.518665566,138.829359174,1867481.19198334,1500,34.5,0.849237760343949
"result.4018",1,11,15,119.56552288,109.66519296,142.41243808,1867336.97234676,1494,35,0.848420880434196
"result.2545",0,15,9,119.25982614,113.14393762,138.371977765,1867125.92521712,1492,35.5,0.847225480388072
"result.2787",2,14,10,120.32708672,111.94988448,138.60461888,1867087.85839619,1498,35,0.847009864664817
"result.2018",1,14,7,120.48135569,112.80738399,137.36409343,1866941.01975976,1499,36,0.846178150378737
"result.3234",1,10,12,120.48135569,109.73779531,141.20107928,1866870.06848017,1499,36,0.845776272546838
"result.3571",2,15,13,119.39831058,111.84145548,139.80181935,1866868.87604865,1492,34,0.845769518450255
"result.3761",0,11,14,119.25982614,110.08599336,142.19440809,1866847.12486992,1492,35.5,0.8456463167744
"result.3828",3,15,14,119.683924833,111.403904876,140.007610182,1866757.38932867,1494,33.5,0.845138042294055
"result.3314",1,15,12,119.104969346,112.277295944,139.587989552,1866680.01815045,1491,34.5,0.844699801271017
"result.3953",0,7,15,120.166373496,107.84161724,144.045588742,1866677.57360957,1497,36.5,0.844685955054325
"result.2530",1,14,9,120.024312205,112.379451555,138.371977765,1866398.09546457,1496,35.5,0.843102952300455
"result.2465",0,10,9,120.617094,110.5656695,139.9467565,1866345.30401608,1500,37,0.842803934256184
"result.4085",4,15,15,119.9617664,110.96463392,140.20531448,1866344.93548698,1496,33,0.842801846856546
"result.4003",2,10,15,120.32708672,108.90362912,142.41243808,1866180.62425702,1498,35,0.841871165391229
"result.3556",3,14,13,120.15399609,111.08576997,139.80181935,1865990.68764476,1497,34,0.84079533822672
"result.2977",0,10,11,120.166373496,110.152509038,140.964399678,1865893.25530133,1497,36.5,0.84024346799742
"result.3299",2,14,12,119.863599724,111.518665566,139.587989552,1865876.6612826,1495,34.5,0.840149477186988
"result.3813",4,14,14,120.43665392,110.651175789,140.007610182,1865805.44777368,1499,33.5,0.839746114051997
"result.3746",1,10,14,120.024312205,109.321507295,142.19440809,1865766.77352451,1496,35.5,0.839527057771418
"result.1761",0,14,6,120.166373496,113.233698102,137.112913348,1865679.35030817,1497,36.5,0.839031880618265
"result.1249",0,14,4,120.617094,113.6584155,136.080824,1865552.1270913,1500,37,0.838311270773551
"result.3042",1,14,11,119.56552288,111.94988448,139.36618272,1865464.64249481,1493,35,0.837815745954769
"result.2273",0,14,8,119.71395852,112.80738399,138.1314906,1865413.08169427,1494,36,0.837523698470135
"result.4070",5,14,15,120.71152744,110.21487288,140.20531448,1865320.33733828,1500,33,0.836998381648181
"result.3489",0,10,13,119.71395852,109.73779531,141.96847645,1865060.58489122,1494,36,0.835527107967707
"result.4083",2,15,15,118.931195746,111.403904876,140.760339269,1864989.98529468,1489,33.5,0.835127222117045
"result.3284",3,13,12,120.622230102,110.760035188,139.587989552,1864912.63304117,1499,34.5,0.834689088286153
"result.2785",0,14,10,119.25982614,112.379451555,139.13646383,1864756.1222659,1491,35.5,0.833802589671853
"result.2258",1,13,8,120.48135569,112.03998682,138.1314906,1864599.6275334,1498,36,0.83291618192607
"result.3027",2,13,11,120.32708672,111.18832064,139.36618272,1864575.51770312,1497,35,0.832779620522573
"result.3731",2,9,14,120.78879827,108.55702123,142.19440809,1864520.2142798,1500,35.5,0.832466374306437
"result.3811",2,14,14,119.39831058,111.08576997,140.55750486,1864277.89660051,1491,34,0.831093853554874
"result.3681",0,6,14,120.617094,107.4729235,143.812689,1864254.20121438,1499,37,0.830959639620152
"result.3554",1,14,13,119.104969346,111.518665566,140.34661993,1864143.76812579,1490,34.5,0.83033413137747
"result.4068",3,14,15,119.683924833,110.651175789,140.760339269,1864112.68073437,1493,33.5,0.830158048105436
"result.2770",1,13,10,120.024312205,111.61496549,139.13646383,1863942.95458655,1495,35.5,0.82919669579864
"result.3474",1,9,13,120.48135569,108.97039814,141.96847645,1863890.11473754,1498,36,0.82889740360708
"result.4001",0,10,15,119.25982614,109.321507295,142.958894155,1863850.02113749,1490,35.5,0.828670307927415
"result.2705",0,9,10,120.617094,109.792483,140.719943,1863533.13128276,1499,37,0.826875400090484
"result.2001",0,13,7,120.166373496,112.463400836,137.883210614,1863397.69704784,1496,36.5,0.826108281907267
"result.1489",0,13,5,120.617094,112.885229,136.8540105,1863388.91729643,1499,37,0.826058552184552
"result.3796",3,13,14,120.15399609,110.33008446,140.55750486,1863314.69438062,1496,34,0.825638143353926
"result.3539",2,13,13,119.863599724,110.760035188,140.34661993,1863255.27289422,1494,34.5,0.825301571860622
"result.4053",4,13,15,120.43665392,109.898446702,140.760339269,1863075.86625401,1497,33.5,0.824285387909898
"result.2513",0,13,9,119.71395852,112.03998682,138.89888777,1863016.10343358,1493,36,0.823946883053625
"result.3217",0,9,12,120.166373496,109.382211772,141.734696944,1862969.88706153,1496,36.5,0.823685107148957
"result.2755",2,12,10,120.78879827,110.850479425,139.13646383,1862967.15337134,1500,35.5,0.823669623150785
"result.3282",1,13,12,119.56552288,111.18832064,140.12774656,1862898.85714214,1492,35,0.823282783890372
"result.3986",1,9,15,120.024312205,108.55702123,142.958894155,1862680.31070643,1495,35.5,0.822044906740563
"result.1986",1,12,7,120.936670762,111.69310357,137.883210614,1862497.74206595,1500,36.5,0.821010812784281
"result.3025",0,13,11,119.25982614,111.61496549,139.900949895,1862246.91914107,1490,35.5,0.819590117148796
"result.3524",3,12,13,120.622230102,110.00140481,140.34661993,1862205.2330751,1498,34.5,0.819354001522529
"result.3781",4,12,14,120.9096816,109.57439895,140.55750486,1862190.95845742,1500,34,0.819273148119486
"result.2498",1,12,9,120.48135569,111.27258965,138.89888777,1862116.33274787,1497,36,0.818850457809605
