"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3297",0,14,12,125.1207,106.8282,134.6328,1799558.43798797,1500,30,1
"result.3537",0,13,13,125.1207,106.0965,135.3645,1796945.91643193,1499,30,0.985248282481874
"result.3826",1,15,14,124.798306944,106.659018144,134.956308672,1796385.19006824,1497,29.5,0.982082116482955
"result.4081",0,15,15,124.072735392,106.659018144,135.681880224,1795542.92394386,1492,29.5,0.9773262238806
"result.3811",2,14,14,125.523878496,105.933446592,134.956308672,1794537.93429614,1500,29.5,0.971651505768675
"result.3777",0,12,14,125.1207,105.3648,136.0962,1794199.41941148,1498,30,0.969740066629485
"result.4066",1,14,15,124.798306944,105.933446592,135.681880224,1793757.16696815,1496,29.5,0.967242868816651
"result.2529",0,14,9,125.640712539,107.272187314,132.988122629,1792381.20833139,1500,30.5,0.959473458042203
"result.2801",0,15,10,125.1207,107.5599,133.1694,1792189.78744529,1497,30,0.958392591615541
"result.4051",2,13,15,125.523878496,105.20787504,135.681880224,1791828.54943437,1499,29.5,0.956352845347585
"result.3745",0,10,14,125.640712539,104.333223278,136.661827674,1791431.63832774,1500,30.5,0.954111669380504
"result.4017",0,11,15,125.1207,104.6331,136.8279,1791318.94692661,1497,30,0.953475352442833
"result.2769",0,13,10,125.640712539,106.537446305,133.722863638,1789939.45689342,1499,30.5,0.945686001483548
"result.3041",0,14,11,125.1207,106.8282,133.9011,1789778.22908587,1496,30,0.944775621598811
"result.4002",1,10,15,125.8524,103.9014,136.8279,1789194.53481109,1500,30,0.94147976628287
"result.3985",0,9,15,125.640712539,103.598482269,137.396568683,1788379.44903027,1498,30.5,0.936877348682186
"result.3026",1,13,11,125.8524,106.0965,133.9011,1787914.32481781,1500,30,0.934251004422136
"result.3315",2,15,12,125.523878496,106.659018144,133.505165568,1787401.0180749,1497,29.5,0.931352595391173
"result.3009",0,12,11,125.640712539,105.802705296,134.457604647,1787362.05259778,1498,30.5,0.93113257511608
"result.3281",0,13,12,125.1207,106.0965,134.6328,1787232.69526203,1495,30,0.930402153247815
"result.3570",1,15,13,124.798306944,106.659018144,134.23073712,1786727.2051754,1493,29.5,0.927547881309288
"result.3825",0,15,14,124.072735392,106.659018144,134.956308672,1785941.09012598,1488,29.5,0.923109048213758
"result.3266",1,12,12,125.8524,105.3648,134.6328,1785286.52535793,1498,30,0.919413019550102
"result.3953",0,7,15,126.15858108,102.54995772,137.96289276,1784902.81045776,1500,31,0.917246356541399
"result.3555",2,14,13,125.523878496,105.933446592,134.23073712,1784889.88088594,1496,29.5,0.917173349147236
"result.2033",0,15,7,125.640712539,108.006928323,131.518640611,1784716.8218733,1497,30.5,0.916196163844203
"result.3249",0,11,12,125.640712539,105.067964287,135.192345656,1784648.99544447,1497,30.5,0.915813178939797
"result.1761",0,14,6,126.15858108,107.71434408,131.32296744,1784559.46747879,1500,31,0.91530765535601
"result.3521",0,12,13,125.1207,105.3648,135.3645,1784553.18597378,1494,30,0.915272186562558
"result.2977",0,10,11,126.15858108,104.76326616,135.01181484,1784422.1302872,1500,31,0.914532174881856
"result.3810",1,14,14,124.798306944,105.933446592,134.956308672,1784164.88265281,1492,29.5,0.913079614834642
"result.4065",0,14,15,124.072735392,105.933446592,135.681880224,1783328.34622996,1487,29.5,0.908356075243188
"result.3540",3,13,13,126.249450048,105.20787504,134.23073712,1782911.22395884,1500,29.5,0.906000776049641
"result.2290",1,15,8,125.8524,107.5599,131.706,1782860.86431804,1497,30,0.905716418129764
"result.3234",1,10,12,126.375453548,104.333223278,135.192345656,1782532.49354827,1500,30.5,0.903862258180053
"result.3506",1,11,13,125.8524,104.6331,135.3645,1782523.96695139,1497,30,0.903814112376939
"result.2273",0,14,8,125.640712539,107.272187314,132.25338162,1782478.54972183,1496,30.5,0.90355766199877
"result.2545",0,15,9,125.1207,107.5599,132.4377,1782342.59081098,1493,30,0.902789964047221
"result.2001",0,13,7,126.15858108,106.9765746,132.06073692,1782293.40381761,1499,31,0.902512227532446
"result.3795",2,13,14,125.523878496,105.20787504,134.956308672,1782246.57858178,1495,29.5,0.902247826785198
"result.3489",0,10,13,125.640712539,104.333223278,135.927086665,1781800.2854335,1496,30.5,0.899727812954701
"result.3761",0,11,14,125.1207,104.6331,136.0962,1781739.70122112,1493,30,0.899385721543038
"result.3217",0,9,12,126.15858108,104.02549668,135.74958432,1781538.04926388,1499,31,0.898247084924593
"result.4050",1,13,15,124.798306944,105.20787504,135.681880224,1781471.15897521,1491,29.5,0.897869385976682
"result.3829",4,15,14,125.89484075,105.75166623,133.80823074,1781467.81285097,1497,29,0.897850491939414
"result.4084",3,15,15,125.17544166,105.75166623,134.52762983,1780811.05052365,1493,29,0.894142054660977
"result.2258",1,13,8,126.375453548,106.537446305,132.25338162,1780622.24745904,1500,30.5,0.893075969878157
"result.2530",1,14,9,125.8524,106.8282,132.4377,1780569.96222482,1496,30,0.892780739010555
"result.3780",3,12,14,126.249450048,104.482303488,134.956308672,1780186.1779129,1499,29.5,0.890613684065424
"result.2513",0,13,9,125.640712539,106.537446305,132.988122629,1780104.62471268,1495,30.5,0.890153190344523
"result.2785",0,14,10,125.1207,106.8282,133.1694,1779998.02018376,1492,30,0.88955124319762
"result.2241",0,12,8,126.15858108,106.23880512,132.7985064,1779890.00296484,1498,31,0.888941319234727
"result.3746",1,10,14,125.8524,103.9014,136.0962,1779626.64959819,1496,30,0.887454282902646
"result.3474",1,9,13,126.375453548,103.598482269,135.927086665,1779598.90133981,1499,30.5,0.887297601144997
"result.4035",2,12,15,125.523878496,104.482303488,135.681880224,1779471.11116241,1494,29.5,0.886576028305058
"result.4069",4,14,15,125.89484075,105.03226714,134.52762983,1778861.61313939,1496,29,0.883134470993237
"result.3729",0,9,14,125.640712539,103.598482269,136.661827674,1778815.92256486,1494,30.5,0.882876477160789
"result.4001",0,10,15,125.1207,103.9014,136.8279,1778792.24100405,1491,30,0.882742758189255
"result.2515",2,13,9,126.5841,106.0965,132.4377,1778655.52335177,1500,30,0.881970775970957
"result.3457",0,8,13,126.15858108,103.2877272,136.4873538,1778516.63104897,1497,31,0.881186514493174
"result.2804",3,15,10,126.249450048,106.659018144,132.054022464,1778192.24178173,1498,29.5,0.879354836272096
"result.2498",1,12,9,126.375453548,105.802705296,132.988122629,1778166.21677289,1499,30.5,0.879207884918574
"result.2770",1,13,10,125.8524,106.0965,133.1694,1778144.30118493,1495,30,0.879084137590217
"result.753",0,15,2,126.674333154,108.895479378,128.896689876,1778034.74120459,1500,31.5,0.878465502357307
"result.3185",0,7,12,126.674333154,102.969194786,136.304545616,1777895.71276286,1500,31.5,0.877680472165096
"result.3059",2,15,11,125.523878496,106.659018144,132.779594016,1777686.8821071,1493,29.5,0.876501300710682
"result.2753",0,12,10,125.640712539,105.802705296,133.722863638,1777595.04684588,1494,30.5,0.875982748881462
"result.3025",0,13,11,125.1207,106.0965,133.9011,1777519.47409213,1491,30,0.875556024013757
"result.3731",2,9,14,126.5841,103.1697,136.0962,1777367.87027713,1499,30,0.874699986424986
"result.2481",0,11,9,126.15858108,105.50103564,133.53627588,1777349.26492048,1497,31,0.874594930462854
"result.4020",3,11,15,126.249450048,103.756731936,135.681880224,1777328.20279155,1497,29.5,0.87447600222832
"result.3314",1,15,12,124.798306944,106.659018144,133.505165568,1777069.22028256,1489,29.5,0.873013646135622
"result.2209",0,10,8,126.674333154,105.191551508,133.34140332,1776783.48522907,1500,31.5,0.871400230627415
"result.4054",5,13,15,126.61423984,104.31286805,134.52762983,1776772.93022768,1499,29,0.871340631349231
"result.3986",1,9,15,125.8524,103.1697,136.8279,1776594.57329833,1495,30,0.870333531127223
"result.1265",0,15,4,126.15858108,108.45211356,129.84742848,1776593.91036675,1497,31,0.870329787854999
"result.3714",1,8,14,126.375453548,102.86374126,136.661827674,1776528.86298212,1498,30.5,0.86996249494552
"result.3569",0,15,13,124.072735392,106.659018144,134.23073712,1776339.2563081,1484,29.5,0.868891872546916
"result.2755",2,12,10,126.5841,105.3648,133.1694,1776147.98841696,1499,30,0.867811870013013
"result.993",0,14,3,126.674333154,108.154693804,129.63747545,1776088.34302045,1499,31.5,0.867475079666364
"result.3044",3,14,11,126.249450048,105.933446592,132.779594016,1775799.51842432,1497,29.5,0.8658442189201
"result.3969",0,8,15,125.640712539,102.86374126,137.396568683,1775695.90683856,1493,30.5,0.865259171558065
"result.3010",1,12,11,125.8524,105.3648,133.9011,1775583.88119838,1494,30,0.864626613868749
"result.2738",1,11,10,126.375453548,105.067964287,133.722863638,1775573.73993751,1497,30.5,0.864569350794571
"result.3697",0,7,14,126.15858108,102.54995772,137.22512328,1775357.87564247,1496,31,0.8633504635876
"result.3299",2,14,12,125.523878496,105.933446592,133.505165568,1775241.82747575,1492,29.5,0.862695192525797
"result.2466",1,10,9,126.89635056,104.76326616,133.53627588,1775241.42012914,1500,31,0.862692892425305
"result.1522",1,15,5,126.375453548,108.006928323,130.049158593,1775096.1784152,1497,30.5,0.861872778719097
"result.2993",0,11,11,125.640712539,105.067964287,134.457604647,1774949.8161214,1493,30.5,0.861046337609586
"result.3265",0,12,12,125.1207,105.3648,134.6328,1774906.95253608,1490,30,0.86080430649563
"result.1250",1,14,4,126.89635056,107.71434408,129.84742848,1774826.99912997,1500,31,0.86035284608224
"result.4088",7,15,15,126.943369288,104.835254412,133.361854252,1774798.28242025,1500,28.5,0.860190695921666
