"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,57.69190073,75.07850095,103.52930131,448429.033681516,508,40,1
"result.3840",15,15,14,57.69190073,75.07850095,102.7390013,445005.911287,506,40,0.981269159610528
"result.4080",15,14,15,57.69190073,74.28820094,103.52930131,443708.728063816,505,40,0.974171156936623
"result.4095",14,15,15,56.90160072,75.07850095,103.52930131,442286.170206426,501,40,0.966387122040811
"result.3584",15,15,13,57.69190073,75.07850095,101.94870129,441582.788892485,504,40,0.962538319221056
"result.3824",15,14,14,57.69190073,74.28820094,102.7390013,440321.638536611,504,40,0.955637483288093
"result.4064",15,13,15,57.69190073,73.49790093,103.52930131,438988.422446115,503,40,0.948342313873246
"result.3839",14,15,14,56.90160072,75.07850095,102.7390013,438909.939899507,499,40,0.947912868505989
"result.3328",15,15,12,57.69190073,75.07850095,101.15840128,438159.666497969,502,40,0.943807478831584
"result.4079",14,14,15,56.90160072,74.28820094,103.52930131,437630.526309517,499,40,0.940912098745425
"result.3568",15,14,13,57.69190073,74.28820094,101.94870129,436934.549009406,502,40,0.937103809639563
"result.4094",13,15,15,56.11130071,75.07850095,103.52930131,436143.306731337,494,40,0.932774244081622
"result.3808",15,13,14,57.69190073,73.49790093,102.7390013,435637.365786221,501,40,0.930005806965658
"result.3583",14,15,13,56.90160072,75.07850095,101.94870129,435533.709592588,497,40,0.929438614971168
"result.3072",15,15,11,57.69190073,75.07850095,100.36810127,434736.544103454,500,40,0.925076638442113
"result.3823",14,14,14,56.90160072,74.28820094,102.7390013,434289.835268986,497,40,0.922632311037286
"result.4048",15,12,15,57.69190073,72.70760092,103.52930131,434268.116828415,500,40,0.922513470809869
"result.3312",15,14,12,57.69190073,74.28820094,101.15840128,433547.459482201,500,40,0.918570135991033
"result.4063",14,13,15,56.90160072,73.49790093,103.52930131,432974.882412607,496,40,0.91543707545004
"result.3838",13,15,14,56.11130071,75.07850095,102.7390013,432813.968512014,492,40,0.91455657740145
"result.3552",15,13,13,57.69190073,73.49790093,101.94870129,432286.309126327,499,40,0.911669300058069
"result.3327",14,15,12,56.90160072,75.07850095,101.15840128,432157.479285669,495,40,0.910964361436346
"result.4078",13,14,15,56.11130071,74.28820094,103.52930131,431552.324555218,492,40,0.907653040554228
"result.2816",15,15,10,57.69190073,75.07850095,99.57780126,431313.421708939,498,40,0.906345798052641
"result.3792",15,12,14,57.69190073,72.70760092,102.7390013,430953.093035832,498,40,0.904374130643223
"result.3567",14,14,13,56.90160072,74.28820094,101.94870129,430949.144228455,495,40,0.904352523329147
"result.3056",15,14,11,57.69190073,74.28820094,100.36810127,430160.369954997,498,40,0.900036462342503
"result.4093",12,15,15,55.3210007,75.07850095,103.52930131,430000.443256248,487,40,0.899161366122432
"result.3807",14,13,14,56.90160072,73.49790093,102.7390013,429669.730638465,494,40,0.897351753568583
"result.4032",15,11,15,57.69190073,71.91730091,103.52930131,429547.811210715,497,40,0.896684627746492
"result.3582",13,15,13,56.11130071,75.07850095,101.94870129,429484.630292691,490,40,0.896338910721279
"result.3296",15,13,12,57.69190073,73.49790093,101.15840128,428935.252466433,497,40,0.893332793150481
"result.3071",14,15,11,56.90160072,75.07850095,100.36810127,428781.248978749,493,40,0.892490107901525
"result.4047",14,12,15,56.90160072,72.70760092,103.52930131,428319.238515697,493,40,0.889962052154654
"result.3822",13,14,14,56.11130071,74.28820094,102.7390013,428258.032001361,490,40,0.889627138786479
"result.2560",15,15,9,57.69190073,75.07850095,98.78750125,427890.299314423,496,40,0.887614957663169
"result.3536",15,12,13,57.69190073,72.70760092,101.94870129,427638.069243248,496,40,0.886234790476576
"result.3311",14,14,12,56.90160072,74.28820094,101.15840128,427608.453187925,493,40,0.886072735621008
"result.4062",13,13,15,56.11130071,73.49790093,103.52930131,426961.342379098,489,40,0.882531837026834
"result.2800",15,14,10,57.69190073,74.28820094,99.57780126,426773.280427792,496,40,0.881502788693973
"result.3837",12,15,14,55.3210007,75.07850095,102.7390013,426717.997124521,485,40,0.881200286296911
"result.3551",14,13,13,56.90160072,73.49790093,101.94870129,426364.578864323,492,40,0.879266431687126
"result.3776",15,11,14,57.69190073,71.91730091,102.7390013,426268.820285442,495,40,0.878742454320787
"result.3326",13,15,12,56.11130071,75.07850095,101.15840128,426155.292073368,489,40,0.878121244041108
"result.3040",15,13,11,57.69190073,73.49790093,100.36810127,425584.195806539,495,40,0.874996286242893
"result.4077",12,14,15,55.3210007,74.28820094,103.52930131,425474.122800919,485,40,0.87439398236303
"result.2815",14,15,10,56.90160072,75.07850095,99.57780126,425405.01867183,491,40,0.874015854366703
"result.3791",14,12,14,56.90160072,72.70760092,102.7390013,425049.626007944,491,40,0.87207119609988
"result.3566",13,14,13,56.11130071,74.28820094,101.94870129,424963.739447505,488,40,0.871601237018731
"result.4016",15,10,15,57.69190073,71.1270009,103.52930131,424827.505593015,495,40,0.870855784683115
"result.2304",15,15,8,57.69190073,75.07850095,97.99720124,424467.176919908,494,40,0.868884117273697
"result.3280",15,12,12,57.69190073,72.70760092,101.15840128,424323.045450665,494,40,0.86809545030993
"result.3055",14,14,11,56.90160072,74.28820094,100.36810127,424267.762147394,491,40,0.867792947912869
"result.4092",11,15,15,54.53070069,75.07850095,103.52930131,423857.579781159,480,40,0.865548488163243
"result.3806",13,13,14,56.11130071,73.49790093,102.7390013,423702.095490708,487,40,0.864697700171508
"result.4031",14,11,15,56.90160072,71.91730091,103.52930131,423663.594618787,490,40,0.864487028859269
"result.3581",12,15,13,55.3210007,75.07850095,101.94870129,423435.550992794,483,40,0.86323920647139
"result.2544",15,14,9,57.69190073,74.28820094,98.78750125,423386.190900587,494,40,0.862969115045443
"result.3295",14,13,12,56.90160072,73.49790093,101.15840128,423059.427090181,490,40,0.861181109805669
"result.3520",15,11,13,57.69190073,71.91730091,101.94870129,422989.82936017,493,40,0.860800280895083
"result.3070",13,15,11,56.11130071,75.07850095,100.36810127,422825.953854044,487,40,0.859903577360936
"result.4046",13,12,15,56.11130071,72.70760092,103.52930131,422370.360202979,486,40,0.857410633499439
"result.2784",15,13,10,57.69190073,73.49790093,99.57780126,422233.139146645,493,40,0.856659779335305
"result.3821",12,14,14,55.3210007,74.28820094,102.7390013,422226.228733736,483,40,0.856621966535672
"result.2559",14,15,9,56.90160072,75.07850095,98.78750125,422028.788364911,490,40,0.855541600831882
"result.3535",14,12,13,56.90160072,72.70760092,101.94870129,421780.01350019,489,40,0.854180340045105
"result.3310",13,14,12,56.11130071,74.28820094,101.15840128,421669.446893648,486,40,0.853575335250982
"result.3760",15,10,14,57.69190073,71.1270009,102.7390013,421584.547535053,493,40,0.853110777998352
"result.2048",15,15,7,57.69190073,75.07850095,97.20690123,421044.054525393,492,40,0.850153276884225
"result.3024",15,12,11,57.69190073,72.70760092,100.36810127,421008.021658082,492,40,0.849956110143283
"result.4061",12,13,15,55.3210007,73.49790093,103.52930131,420947.80234559,482,40,0.849626598603627
"result.2799",14,14,10,56.90160072,74.28820094,99.57780126,420927.071106863,489,40,0.849513160204729
"result.3836",11,15,14,54.53070069,75.07850095,102.7390013,420622.025737028,478,40,0.847843995192373
"result.3550",13,13,13,56.11130071,73.49790093,101.94870129,420442.848602318,485,40,0.846863563316182
"result.3775",14,11,14,56.90160072,71.91730091,102.7390013,420429.521377423,489,40,0.846790638631177
"result.3325",12,15,12,55.3210007,75.07850095,101.15840128,420153.104861067,482,40,0.845278126645869
"result.4000",15,9,15,57.69190073,70.33670089,103.52930131,420107.199975315,492,40,0.845026941619738
"result.2288",15,14,8,57.69190073,74.28820094,97.99720124,419999.101373383,492,40,0.844435441396913
"result.3039",14,13,11,56.90160072,73.49790093,100.36810127,419754.275316039,488,40,0.843095787924212
"result.3264",15,11,12,57.69190073,71.91730091,101.15840128,419710.838434897,492,40,0.842858107469378
"result.2814",13,15,10,56.11130071,75.07850095,99.57780126,419496.615634721,485,40,0.841685910680765
"result.4076",11,14,15,54.53070069,74.28820094,103.52930131,419395.92104662,478,40,0.841134924171832
"result.3790",13,12,14,56.11130071,72.70760092,102.7390013,419146.158980056,484,40,0.839768261556537
"result.4015",14,10,15,56.90160072,71.1270009,103.52930131,419007.950721878,488,40,0.839012005563883
"result.3565",12,14,13,55.3210007,74.28820094,101.94870129,418978.334666554,481,40,0.838849950708315
"result.2528",15,13,9,57.69190073,73.49790093,98.78750125,418882.082486751,491,40,0.838323272427717
"result.2303",14,15,8,56.90160072,75.07850095,97.99720124,418652.558057991,488,40,0.83706734729706
"result.3279",14,12,12,56.90160072,72.70760092,101.15840128,418510.400992437,487,40,0.836289483990331
"result.3054",13,14,11,56.11130071,74.28820094,100.36810127,418375.154339791,484,40,0.835549433483234
"result.3504",15,10,13,57.69190073,71.1270009,101.94870129,418341.589477091,491,40,0.835365771313589
