"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,112.22260142,113.01290143,158.060002,2004612.06468722,1499,40,1
"result.4065",0,14,15,112.22260142,112.22260142,158.85030201,2000546.7674931,1498,40,0.987896494156928
"result.3826",1,15,14,112.608721654,112.608721654,157.4947156,1997147.05030739,1499,39.5,0.977774602728792
"result.3569",0,15,13,112.22260142,113.01290143,157.26970199,1994589.00436379,1496,40,0.970158597662771
"result.4066",1,14,15,112.608721654,111.821248076,158.282189178,1993096.89195362,1498,39.5,0.965716169369697
"result.4081",0,15,15,111.821248076,112.608721654,158.282189178,1993096.89195362,1492,39.5,0.965716169369697
"result.3809",0,14,14,112.22260142,112.22260142,158.060002,1990593.7985006,1494,40,0.958263772954925
"result.3794",1,13,14,113.01290143,111.43230141,158.060002,1990495.07831619,1499,40,0.957969855863058
"result.3827",2,15,14,112.98772368,112.20308671,156.927394,1989458.23533955,1499,39,0.954882889664321
"result.3058",1,15,11,113.01290143,113.01290143,155.68910197,1988448.11529239,1499,40,0.951875484963202
"result.3570",1,15,13,112.608721654,112.608721654,156.707242022,1987161.31505586,1495,39.5,0.948044327377919
"result.4049",0,13,15,112.22260142,111.43230141,158.85030201,1986458.40997554,1493,40,0.945951585976628
"result.4034",1,12,15,113.01290143,110.6420014,158.85030201,1986259.98240487,1498,40,0.945360812621975
"result.4082",1,15,15,112.20308671,112.20308671,157.71203097,1985520.76591544,1492,39,0.943159962186706
"result.4067",2,14,15,112.98772368,111.41844974,157.71203097,1985423.66968746,1497,39,0.942870880058992
"result.3298",1,14,12,113.01290143,112.22260142,156.47940198,1984565.94404035,1497,40,0.940317195325543
"result.3313",0,15,12,112.22260142,113.01290143,156.47940198,1984565.94404035,1492,40,0.940317195325543
"result.3810",1,14,14,112.608721654,111.821248076,157.4947156,1983180.98701853,1494,39.5,0.936193798042257
"result.3795",2,13,14,113.396195232,111.033774498,157.4947156,1982985.65746204,1499,39.5,0.935612248326361
"result.3828",3,15,14,113.359557975,111.795977865,156.358011,1981547.37539645,1498,38.5,0.931330087747764
"result.3059",2,15,11,113.396195232,112.608721654,155.132294866,1980946.41689231,1498,39.5,0.929540869292411
"result.3553",0,14,13,112.22260142,112.22260142,157.26970199,1980640.8295081,1490,40,0.928631051752921
"result.3538",1,13,13,113.01290143,111.43230141,157.26970199,1980542.6029246,1496,40,0.928338604246514
"result.3571",2,15,13,112.98772368,112.20308671,156.14275703,1979510.94416285,1495,39,0.92526707287877
"result.3556",3,14,13,113.77236065,111.41844974,156.14275703,1979318.68397014,1500,39,0.924694661501505
"result.4050",1,13,15,112.608721654,111.033774498,158.282189178,1979060.99834832,1492,39.5,0.923927460659728
"result.4035",2,12,15,113.396195232,110.24630092,158.282189178,1978766.53904191,1497,39.5,0.923050774463016
"result.2802",1,15,10,113.01290143,113.01290143,154.89880196,1978354.47003709,1495,40,0.921823931905288
"result.2787",2,14,10,113.80320144,112.22260142,154.89880196,1978257.72425637,1500,40,0.921535893155259
"result.4083",2,15,15,112.57776792,111.795977865,157.139801055,1977720.93908534,1492,38.5,0.919937736330839
"result.4068",3,14,15,113.359557975,111.01418781,157.139801055,1977528.85274704,1497,38.5,0.919365842565903
