"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,59.27250075,72.70760092,120.12560152,517688.647060957,553,40,1
"result.3840",15,15,14,59.27250075,72.70760092,119.33530151,514282.800698714,552,40,0.983407877651133
"result.4080",15,14,15,59.27250075,71.91730091,120.12560152,512061.596549425,550,40,0.972586928293176
"result.3584",15,15,13,59.27250075,72.70760092,118.5450015,510876.954336471,550,40,0.966815755302265
"result.4095",14,15,15,58.48220074,72.70760092,120.12560152,510786.131766811,546,40,0.966373298706295
"result.3824",15,14,14,59.27250075,71.91730091,119.33530151,508692.770256337,549,40,0.956175155100274
"result.3328",15,15,12,59.27250075,72.70760092,117.75470149,507471.107974228,548,40,0.950223632953398
"result.3839",14,15,14,58.48220074,72.70760092,119.33530151,507425.696689398,544,40,0.950002404655413
"result.4064",15,13,15,59.27250075,71.1270009,120.12560152,506434.546037893,547,40,0.945173856586351
"result.3568",15,14,13,59.27250075,71.91730091,118.5450015,505323.943963248,547,40,0.939763381907373
"result.4079",14,14,15,58.48220074,71.91730091,120.12560152,505234.108595433,543,40,0.939325734622228
"result.3072",15,15,11,59.27250075,72.70760092,116.96440148,504065.261611985,546,40,0.93363151060453
"result.3583",14,15,13,58.48220074,72.70760092,118.5450015,504065.261611985,542,40,0.93363151060453
"result.4094",13,15,15,57.69190073,72.70760092,120.12560152,503883.616472665,539,40,0.932746597412591
"result.3808",15,13,14,59.27250075,71.1270009,119.33530151,503102.739813959,546,40,0.928942432549416
"result.3312",15,14,12,59.27250075,71.91730091,117.75470149,501955.11767016,545,40,0.923351608714471
"result.3823",14,14,14,58.48220074,71.91730091,119.33530151,501910.199986252,541,40,0.923132785071899
"result.4048",15,12,15,59.27250075,70.33670089,120.12560152,500807.495526361,544,40,0.917760784879527
"result.3327",14,15,12,58.48220074,72.70760092,117.75470149,500704.826534571,541,40,0.917260616553648
"result.2816",15,15,10,59.27250075,72.70760092,116.17410147,500659.415249741,544,40,0.917039388255663
"result.3838",13,15,14,57.69190073,72.70760092,119.33530151,500568.592680082,537,40,0.916596931659693
"result.3552",15,13,13,59.27250075,71.1270009,118.5450015,499770.933590026,544,40,0.91271100851248
