"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,143.381141442,84.966602336,128.96716426,1571156.46216972,1500,34.5,1
"result.4081",0,15,15,142.82456139,85.39246263,128.4665367,1566795.99809088,1495,34,0.971837298198767
"result.3569",0,15,13,143.381141442,85.725232714,127.449903504,1566535.41375157,1498,34.5,0.970154275724714
"result.3826",1,15,14,143.5802469,85.39246263,127.71085119,1565820.71268902,1499,34,0.965538273267676
"result.4083",2,15,15,143.771255617,85.058386831,127.96394479,1564864.82025841,1499,33.5,0.959364500708068
"result.3809",0,14,14,143.381141442,84.966602336,128.208533882,1561914.36533342,1496,34.5,0.940308551449428
"result.3297",0,14,12,143.93556576,85.29515008,127.18116128,1561403.83984947,1499,35,0.937011247147306
"result.4066",1,14,15,143.5802469,84.63677712,128.4665367,1561147.11051992,1497,34,0.935353122823561
"result.4033",0,12,15,143.93556576,83.7720224,129.4658528,1561069.92114976,1498,35,0.934854583866566
"result.3554",1,14,13,144.13977182,84.966602336,127.449903504,1560887.46568495,1499,34.5,0.933676168277143
"result.3811",2,14,14,144.33593241,84.63677712,127.71085119,1560132.12323444,1500,34,0.92879767740855
"result.3825",0,15,14,142.82456139,85.39246263,127.71085119,1557579.55104328,1491,34,0.912311512599967
"result.3313",0,15,12,143.381141442,85.725232714,126.691273126,1557210.79819353,1494,34.5,0.909929867812085
"result.4049",0,13,15,143.381141442,84.207971958,128.96716426,1557128.27947177,1494,34.5,0.909396908450025
"result.3537",0,13,13,143.93556576,84.53358624,127.94272512,1556728.97805352,1496,35,0.906817961216934
"result.4082",1,15,15,143.01852653,85.058386831,127.96394479,1556671.81072826,1492,33.5,0.906448737596522
"result.3570",1,15,13,143.5802469,85.39246263,126.95516568,1556555.50137133,1494,34,0.905697536422323
"result.2801",0,15,10,143.93556576,86.05671392,125.6580336,1556478.53902873,1496,35,0.90520046375638
"result.3794",1,13,14,144.13977182,84.207971958,128.208533882,1556159.01194642,1497,34.5,0.903136750863939
"result.3058",1,15,11,144.13977182,85.725232714,125.932642748,1556076.05661768,1497,34.5,0.902600971611076
"result.3025",0,13,11,144.487866285,84.857953215,126.90468679,1555971.33387595,1499,35.5,0.901924604303911
"result.3827",2,15,14,143.771255617,85.058386831,127.211215703,1555659.73308042,1495,33.5,0.899912084506273
"result.3282",1,13,12,144.6971296,84.53358624,127.18116128,1555650.36765048,1500,35,0.899851596492636
"result.3761",0,11,14,144.487866285,83.328981085,129.198144985,1555549.1121963,1499,35.5,0.899197623174555
