"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,131.46482956,113.07337672,115.11687148,1711232.11747614,1499,26,1
"result.4065",0,14,15,131.46482956,112.3922118,115.7980364,1710988.12629948,1499,26,0.998586551735503
"result.3569",0,15,13,131.46482956,113.07337672,114.43570656,1701106.48364492,1495,26,0.941341897023337
"result.3809",0,14,14,131.46482956,112.3922118,115.11687148,1700923.49026243,1495,26,0.940281810824964
"result.4049",0,13,15,131.46482956,111.71104688,115.7980364,1700618.50129161,1495,26,0.938515000494341
"result.3314",1,15,12,132.14599448,113.07337672,113.75454164,1699742.40862103,1498,26,0.933439769161195
"result.3554",1,14,13,132.14599448,112.3922118,114.43570656,1699619.7809312,1498,26,0.932729383245878
"result.3794",1,13,14,132.14599448,111.71104688,115.11687148,1699374.52555156,1498,26,0.931308611415243
"result.4034",1,12,15,132.14599448,111.02988196,115.7980364,1699006.64248209,1498,26,0.92917745366929
"result.4084",3,15,15,132.217197252,111.979871142,114.67818129,1697886.70185107,1498,25.5,0.922689603727497
"result.3729",0,9,14,132.722365064,110.02890368,116.218029512,1697166.32290044,1500,26.5,0.918516426682722
"result.3969",0,8,15,132.722365064,109.341223032,116.90571016,1696538.67263309,1500,26.5,0.914880429704268
"result.3313",0,15,12,131.46482956,113.07337672,113.75454164,1690980.8498137,1490,26,0.882683794046673
"result.3553",0,14,13,131.46482956,112.3922118,114.43570656,1690858.85422537,1490,26,0.881977069914424
"result.3793",0,13,14,131.46482956,111.71104688,115.11687148,1690614.86304872,1490,26,0.880563621649927
"result.4033",0,12,15,131.46482956,111.02988196,115.7980364,1690248.87628373,1490,26,0.878443449253179
"result.3058",1,15,11,132.14599448,113.07337672,113.07337672,1689564.31036581,1494,26,0.874477738189835
"result.3298",1,14,12,132.14599448,112.3922118,113.75454164,1689502.9965209,1494,26,0.874122545232176
"result.3538",1,13,13,132.14599448,111.71104688,114.43570656,1689319.05498617,1494,26,0.873056966359199
"result.4083",2,15,15,131.542619715,111.979871142,114.67818129,1689224.01459673,1490,25.5,0.872506394509214
"result.3778",1,12,14,132.14599448,111.02988196,115.11687148,1689012.48576161,1493,26,0.871281001570906
"result.4018",1,11,15,132.14599448,110.34871704,115.7980364,1688583.28884724,1493,26,0.868794650867294
"result.2513",0,13,9,132.722365064,112.779626272,112.779626272,1688128.15905067,1496,26.5,0.866158070192989
"result.2273",0,14,8,132.722365064,113.46730692,112.091945624,1688065.39402394,1496,26.5,0.865794470495143
"result.2753",0,12,10,132.722365064,112.091945624,113.46730692,1688065.39402394,1496,26.5,0.865794470495143
"result.2803",2,15,10,132.8271594,113.07337672,112.3922118,1688042.84206993,1497,26,0.865663826343601
"result.3043",2,14,11,132.8271594,112.3922118,113.07337672,1688042.84206993,1497,26,0.865663826343601
"result.3283",2,13,12,132.8271594,111.71104688,113.75454164,1687919.58227861,1497,26,0.864949778645214
"result.3828",3,15,14,132.217197252,111.979871142,114.003603753,1687899.13301665,1493,25.5,0.864831315452299
"result.2033",0,15,7,132.722365064,114.154987568,111.404264976,1687877.09894374,1496,26.5,0.864703671401608
"result.2993",0,11,11,132.722365064,111.404264976,114.154987568,1687877.09894374,1496,26.5,0.864703671401608
"result.3523",2,12,13,132.8271594,111.02988196,114.43570656,1687673.06269598,1497,26,0.863521683248441
"result.4068",3,14,15,132.217197252,111.305293605,114.67818129,1687658.46870739,1493,25.5,0.863437139831211
"result.3233",0,10,12,132.722365064,110.716584328,114.842668216,1687563.27381006,1496,26.5,0.862885672912381
"result.3763",2,11,14,132.8271594,110.34871704,115.11687148,1687303.28332203,1497,26,0.861379540153283
"result.3473",0,9,13,132.722365064,110.02890368,115.530348864,1687123.91862292,1496,26.5,0.860340475027464
"result.4003",2,10,15,132.8271594,109.66755212,115.7980364,1686810.24415677,1496,26,0.858523349359738
"result.3713",0,8,14,132.722365064,109.341223032,116.218029512,1686559.03338231,1496,26.5,0.857068077746855
"result.2258",1,13,8,133.410045712,112.779626272,112.091945624,1686528.13868003,1499,26.5,0.85688910380232
"result.2498",1,12,9,133.410045712,112.091945624,112.779626272,1686528.13868003,1499,26.5,0.85688910380232
"result.2788",3,14,10,133.50832432,112.3922118,112.3922118,1686478.39087246,1500,26,0.856600913248698
"result.3573",4,15,13,132.891774789,111.979871142,113.329026216,1686472.33746888,1497,25.5,0.856565845698699
"result.2548",3,15,9,133.50832432,113.07337672,111.71104688,1686416.44492605,1500,26,0.85624205850797
"result.3028",3,13,11,133.50832432,111.71104688,113.07337672,1686416.44492605,1500,26,0.85624205850797
"result.2018",1,14,7,133.410045712,113.46730692,111.404264976,1686401.95821178,1499,26.5,0.856158136534113
"result.2738",1,11,10,133.410045712,111.404264976,113.46730692,1686401.95821178,1499,26.5,0.856158136534113
"result.3813",4,14,14,132.891774789,111.305293605,114.003603753,1686290.91832758,1496,25.5,0.85551487912719
"result.3268",3,12,12,133.50832432,111.02988196,113.75454164,1686230.60708684,1500,26,0.855165494285788
"result.1778",1,15,6,133.410045712,114.154987568,110.716584328,1686149.59727527,1499,26.5,0.854696201997698
"result.2978",1,10,11,133.410045712,110.716584328,114.154987568,1686149.59727527,1499,26.5,0.854696201997698
"result.4053",4,13,15,132.891774789,110.630716068,114.67818129,1685988.55309209,1496,25.5,0.853763268174673
"result.3508",3,11,13,133.50832432,110.34871704,114.43570656,1685920.87735481,1500,26,0.853371220582151
"result.3953",0,7,15,132.722365064,108.653542384,116.90571016,1685868.61808823,1495,26.5,0.853068481070556
"result.3218",1,9,12,133.410045712,110.02890368,114.842668216,1685771.05587051,1499,26.5,0.852503300193076
"result.3748",3,10,14,133.50832432,109.66755212,115.11687148,1685487.25572998,1500,26,0.850859237397058
"result.3458",1,8,13,133.410045712,109.341223032,115.530348864,1685266.33399749,1499,26.5,0.849579431120247
"result.3318",5,15,12,133.566352326,111.979871142,112.654448679,1684943.6279534,1500,25.5,0.847709985248414
"result.3988",3,9,15,133.50832432,108.9863872,115.7980364,1684929.74221234,1499,26,0.847629544730511
"result.3558",5,14,13,133.566352326,111.305293605,113.329026216,1684822.06791964,1500,25.5,0.847005784296946
"result.3698",1,7,14,133.410045712,108.653542384,116.218029512,1684635.43165623,1499,26.5,0.84592459477921
"result.3798",5,13,14,133.566352326,110.630716068,114.003603753,1684578.94785212,1500,25.5,0.845597382394009
"result.4038",5,12,15,133.566352326,109.956138531,114.67818129,1684214.26775084,1499,25.5,0.843484779539604
"result.3938",1,6,15,133.410045712,107.965861736,116.90571016,1683878.3488467,1498,26.5,0.841538791169967
"result.4088",7,15,15,133.5868,110.877044,113.54878,1681851.54360056,1498,25,0.829797447089816
"result.3153",0,5,12,133.96972445,108.2864094,115.92198955,1681691.94433109,1500,27,0.828872883695631
"result.3393",0,4,13,133.96972445,107.59226575,116.6161332,1680917.32805089,1500,27,0.824385508160507
"result.3057",0,15,11,131.46482956,113.07337672,113.07337672,1680855.21598248,1486,26,0.82402569107001
"result.3297",0,14,12,131.46482956,112.3922118,113.75454164,1680794.21818832,1486,26,0.823672329003886
"result.3537",0,13,13,131.46482956,111.71104688,114.43570656,1680611.22480583,1486,26,0.822612242805512
"result.4082",1,15,15,130.868042178,111.979871142,114.67818129,1680561.32734238,1483,25.5,0.82232318529093
"result.3777",0,12,14,131.46482956,111.02988196,115.11687148,1680306.23583501,1486,26,0.820845432474889
"result.3633",0,3,14,133.96972445,106.8981221,117.31027685,1680013.60905731,1500,27,0.819150236702864
"result.4017",0,11,15,131.46482956,110.34871704,115.7980364,1679879.25127586,1486,26,0.818371898012019
"result.2802",1,15,10,132.14599448,113.07337672,112.3922118,1679386.21211059,1489,26,0.815515707218474
"result.3042",1,14,11,132.14599448,112.3922118,113.07337672,1679386.21211059,1489,26,0.815515707218474
"result.3827",2,15,14,131.542619715,111.979871142,114.003603753,1679287.40274616,1486,25.5,0.814943301582359
"result.3282",1,13,12,132.14599448,111.71104688,113.75454164,1679263.58442077,1489,26,0.814805321303156
"result.4067",2,14,15,131.542619715,111.305293605,114.67818129,1679047.96631602,1486,25.5,0.813556239102193
"result.3522",1,12,13,132.14599448,111.02988196,114.43570656,1679018.32904113,1489,26,0.813384549472521
"result.3873",0,2,15,133.96972445,106.20397845,118.0044205,1678980.78735037,1499,27,0.8131670693227
"result.3762",1,11,14,132.14599448,110.34871704,115.11687148,1678650.44597166,1489,26,0.811253391726568
"result.4002",1,10,15,132.14599448,109.66755212,115.7980364,1678159.93521238,1489,26,0.808411848065297
"result.3572",3,15,13,132.217197252,111.979871142,113.329026216,1677911.56418223,1489,25.5,0.806973027177102
"result.2787",2,14,10,132.8271594,112.3922118,112.3922118,1677873.90928637,1492,26,0.806754891226734
"result.2257",0,13,8,132.722365064,112.779626272,112.091945624,1677834.69466622,1492,26.5,0.806527719746348
"result.2497",0,12,9,132.722365064,112.091945624,112.779626272,1677834.69466622,1492,26.5,0.806527719746348
"result.2547",2,15,9,132.8271594,113.07337672,111.71104688,1677812.27939072,1492,26,0.806397867377541
"result.3027",2,13,11,132.8271594,111.71104688,113.07337672,1677812.27939072,1492,26,0.806397867377541
"result.3812",3,14,14,132.217197252,111.305293605,114.003603753,1677731.06595028,1489,25.5,0.805927395461285
"result.2017",0,14,7,132.722365064,113.46730692,111.404264976,1677709.16461275,1492,26.5,0.805800520350658
"result.2737",0,11,10,132.722365064,111.404264976,113.46730692,1677709.16461275,1492,26.5,0.805800520350658
"result.3267",2,12,12,132.8271594,111.02988196,113.75454164,1677627.38970374,1492,26,0.805326795829962
"result.1777",0,15,6,132.722365064,114.154987568,110.716584328,1677458.10450581,1492,26.5,0.804346121559276
"result.2977",0,10,11,132.722365064,110.716584328,114.154987568,1677458.10450581,1492,26.5,0.804346121559276
"result.4052",3,13,15,132.217197252,110.630716068,114.67818129,1677430.23556371,1489,25.5,0.804184675934924
"result.3507",2,11,13,132.8271594,110.34871704,114.43570656,1677319.24022545,1492,26,0.803541676583997
"result.3217",0,9,12,132.722365064,110.02890368,114.842668216,1677081.5143454,1491,26.5,0.802164523372204
"result.3747",2,10,14,132.8271594,109.66755212,115.11687148,1676887.83095585,1492,26,0.801042509639645
"result.3457",0,8,13,132.722365064,109.341223032,115.530348864,1676579.39413153,1491,26.5,0.79925572578944
"result.3317",4,15,12,132.891774789,111.979871142,112.654448679,1676433.81165061,1492,25.5,0.798412362075159
"result.3987",2,9,15,132.8271594,108.9863872,115.7980364,1676333.16189493,1492,26,0.797829294996907
"result.3557",4,14,13,132.891774789,111.305293605,113.329026216,1676312.86555641,1492,25.5,0.797711717694153
"result.2532",3,14,9,133.50832432,112.3922118,111.71104688,1676257.30971565,1495,26,0.797389881028668
"result.2772",3,13,10,133.50832432,111.71104688,112.3922118,1676257.30971565,1495,26,0.797389881028668
