"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,67.96580086,72.70760092,106.69050135,527225.016875238,598,40,1
"result.3840",15,15,14,67.96580086,72.70760092,105.90020134,523319.646379866,596,40,0.980799844690351
"result.4080",15,14,15,67.96580086,71.91730091,106.69050135,521494.310170072,595,40,0.971825859056494
"result.4095",14,15,15,67.17550085,72.70760092,106.69050135,521094.4934232,591,40,0.969860221316249
"result.3584",15,15,13,67.96580086,72.70760092,105.10990133,519414.275884494,594,40,0.961599689380703
"result.3824",15,14,14,67.96580086,71.91730091,105.90020134,517631.389353998,593,40,0.952834401087167
"result.3839",14,15,14,67.17550085,72.70760092,105.90020134,517234.534212658,589,40,0.95088332362648
"result.4064",15,13,15,67.96580086,71.1270009,106.69050135,515763.603464907,592,40,0.943651718112988
"result.3328",15,15,12,67.96580086,72.70760092,104.31960132,515508.905389122,591,40,0.942399534071054
"result.4079",14,14,15,67.17550085,71.91730091,106.69050135,515430.422842513,588,40,0.942013686662784
"result.4094",13,15,15,66.38520084,72.70760092,106.69050135,514963.969971163,584,40,0.939720442632498
"result.3568",15,14,13,67.96580086,71.91730091,105.10990133,513768.468537923,590,40,0.933842943117841
"result.3583",14,15,13,67.17550085,72.70760092,105.10990133,513374.575002116,587,40,0.931906425936711
"result.3808",15,13,14,67.96580086,71.1270009,105.90020134,511943.13232813,589,40,0.924868957483984
"result.3823",14,14,14,67.17550085,71.91730091,105.90020134,511612.419710346,586,40,0.923243059600077
"result.3072",15,15,11,67.96580086,72.70760092,103.52930131,511603.534893749,589,40,0.923199378761405
"result.3838",13,15,14,66.38520084,72.70760092,105.90020134,511149.42204545,582,40,0.920966802562609
"result.4048",15,12,15,67.96580086,70.33670089,106.69050135,510032.896759741,588,40,0.915477577169482
"result.3312",15,14,12,67.96580086,71.91730091,104.31960132,509905.547721848,588,40,0.914851485148515
"result.4063",14,13,15,67.17550085,71.1270009,106.69050135,509766.352261826,585,40,0.914167152009319
