"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,100.36810127,105.90020134,134.3510017,1428017.08358712,1197,40,1
"result.3840",15,15,14,100.36810127,105.90020134,133.56070169,1419616.98309543,1193,40,0.979427479993231
"result.4080",15,14,15,100.36810127,105.10990133,134.3510017,1417360.23967975,1192,40,0.97390053431977
"result.4095",14,15,15,99.57780126,105.90020134,134.3510017,1416772.8545825,1187,40,0.972461981093301
"result.3584",15,15,13,100.36810127,105.90020134,132.77040168,1411216.88260374,1190,40,0.958854959986461
"result.3824",15,14,14,100.36810127,105.10990133,133.56070169,1409022.82650517,1189,40,0.953481540581707
"result.3839",14,15,14,99.57780126,105.90020134,133.56070169,1408438.89661437,1184,40,0.952051449433041
"result.4064",15,13,15,100.36810127,104.31960132,134.3510017,1406703.39577239,1188,40,0.94780106863954
"result.4079",14,14,15,99.57780126,105.10990133,134.3510017,1406199.92283188,1183,40,0.946568023016852
"result.4094",13,15,15,98.78750125,105.90020134,134.3510017,1405528.62557787,1178,40,0.944923962186601
"result.3328",15,15,12,100.36810127,105.90020134,131.98010167,1402816.78211205,1186,40,0.938282439979691
"result.3568",15,14,13,100.36810127,105.10990133,132.77040168,1400685.41333058,1185,40,0.933062546843645
"result.3583",14,15,13,99.57780126,105.90020134,132.77040168,1400104.93864623,1180,40,0.931640917772781
"result.3808",15,13,14,100.36810127,104.31960132,133.56070169,1398428.6699149,1184,40,0.927535601170185
"result.3823",14,14,14,99.57780126,105.10990133,133.56070169,1397928.15857993,1179,40,0.926309808757042
"result.3838",13,15,14,98.78750125,105.90020134,133.56070169,1397260.8101333,1174,40,0.924675418872851
"result.4048",15,12,15,100.36810127,103.52930131,134.3510017,1396046.55186502,1183,40,0.921701602959309
"result.4063",14,13,15,99.57780126,104.31960132,134.3510017,1395626.99108127,1178,40,0.920674064940403
"result.4078",13,14,15,98.78750125,105.10990133,134.3510017,1395039.60598401,1173,40,0.919235511713933
"result.3072",15,15,11,100.36810127,105.90020134,131.18980166,1394416.68162037,1183,40,0.917709919972921
"result.4093",12,15,15,97.99720124,105.90020134,134.3510017,1394284.39657325,1168,40,0.917385943279902
"result.3312",15,14,12,100.36810127,105.10990133,131.98010167,1392348.00015599,1182,40,0.912643553105582
"result.3327",14,15,12,99.57780126,105.90020134,131.98010167,1391770.9806781,1177,40,0.911230386112522
"result.3552",15,13,13,100.36810127,104.31960132,132.77040168,1390153.94405742,1181,40,0.907270133700829
"result.3567",14,14,13,99.57780126,105.10990133,132.77040168,1389656.39432798,1176,40,0.906051594497232
"result.3582",13,15,13,98.78750125,105.90020134,132.77040168,1388992.99468872,1171,40,0.904426875559101
"result.3792",15,12,14,100.36810127,103.52930131,133.56070169,1387834.51332464,1180,40,0.901589661758662
"result.3807",14,13,14,99.57780126,104.31960132,133.56070169,1387417.42054549,1175,40,0.900568168081043
"result.3822",13,14,14,98.78750125,105.10990133,133.56070169,1386833.49065469,1170,40,0.899138076932376
"result.3837",12,15,14,97.99720124,105.90020134,133.56070169,1386082.72365223,1165,40,0.897299388312662
"result.2816",15,15,10,100.36810127,105.90020134,130.39950165,1386016.58112868,1179,40,0.897137399966151
"result.4032",15,11,15,100.36810127,102.7390013,134.3510017,1385389.70795765,1179,40,0.895602137279079
"result.4047",14,12,15,99.57780126,103.52930131,134.3510017,1385054.05933065,1174,40,0.894780106863954
"result.4062",13,13,15,98.78750125,104.31960132,134.3510017,1384550.58639015,1169,40,0.893547061241266
"result.3056",15,14,11,100.36810127,105.10990133,131.18980166,1384010.58698141,1178,40,0.89222455936752
"result.4077",12,14,15,97.99720124,105.10990133,134.3510017,1383879.28913614,1164,40,0.891903000411015
"result.3071",14,15,11,99.57780126,105.90020134,131.18980166,1383437.02270997,1173,40,0.890819854452262
"result.4092",11,15,15,97.20690123,105.90020134,134.3510017,1383040.16756863,1159,40,0.889847924373202
"result.3296",15,13,12,100.36810127,104.31960132,131.98010167,1381879.21819993,1177,40,0.887004666231474
"result.3311",14,14,12,99.57780126,105.10990133,131.98010167,1381384.63007603,1172,40,0.885793380237422
"result.3326",13,15,12,98.78750125,105.90020134,131.98010167,1380725.17924415,1167,40,0.884178332245352
"result.3536",15,12,13,100.36810127,103.52930131,132.77040168,1379622.47478426,1176,40,0.881477720558014
"result.3551",14,13,13,99.57780126,104.31960132,132.77040168,1379207.85000972,1171,40,0.880462271221682
"result.3566",13,14,13,98.78750125,105.10990133,132.77040168,1378627.37532537,1167,40,0.879040642150818
"result.3581",12,15,13,97.99720124,105.90020134,132.77040168,1377881.05073121,1162,40,0.877212833345422
"result.2560",15,15,9,100.36810127,105.90020134,129.60920164,1377616.48063699,1175,40,0.876564879959382
"result.3776",15,11,14,100.36810127,102.7390013,133.56070169,1377240.35673437,1175,40,0.875643722347138
"result.3791",14,12,14,99.57780126,103.52930131,133.56070169,1376906.68251106,1170,40,0.874826527405044
"result.3806",13,13,14,98.78750125,104.31960132,133.56070169,1376406.17117609,1166,40,0.873600734991901
"result.3821",12,14,14,97.99720124,105.10990133,133.56070169,1375738.82272946,1161,40,0.87196634510771
"result.2800",15,14,10,100.36810127,105.10990133,130.39950165,1375673.17380682,1175,40,0.871805565629458
"result.2815",14,15,10,99.57780126,105.90020134,130.39950165,1375103.06474184,1170,40,0.870409322792002
"result.3836",11,15,14,97.20690123,105.90020134,133.56070169,1374904.63717117,1156,40,0.869923357752472
"result.4016",15,10,15,100.36810127,101.94870129,134.3510017,1374732.86405029,1174,40,0.869502671598849
"result.4031",14,11,15,99.57780126,102.7390013,134.3510017,1374481.12758004,1169,40,0.868886148787505
"result.4046",13,12,15,98.78750125,103.52930131,134.3510017,1374061.56679628,1165,40,0.867858610768599
"result.3040",15,13,11,100.36810127,104.31960132,131.18980166,1373604.49234245,1174,40,0.866739198762119
"result.4061",12,13,15,97.99720124,104.31960132,134.3510017,1373474.18169902,1160,40,0.866420057542129
"result.3055",14,14,11,99.57780126,105.10990133,131.18980166,1373112.86582407,1169,40,0.865535165977612
"result.4076",11,14,15,97.20690123,105.10990133,134.3510017,1372718.97228827,1155,40,0.864570489108097
"result.3070",13,15,11,98.78750125,105.90020134,131.18980166,1372457.36379957,1164,40,0.863929788931602
"result.4091",10,15,15,96.41660122,105.90020134,134.3510017,1371795.93856401,1150,40,0.862309905466502
"result.3280",15,12,12,100.36810127,103.52930131,131.98010167,1371410.43624387,1173,40,0.861365779357365
"result.3295",14,13,12,99.57780126,104.31960132,131.98010167,1370998.27947395,1168,40,0.860356374362322
"result.3310",13,14,12,98.78750125,105.10990133,131.98010167,1370421.25999606,1163,40,0.858943207369261
"result.3325",12,15,12,97.99720124,105.90020134,131.98010167,1369679.37781019,1158,40,0.857126278378182
"result.2304",15,15,8,100.36810127,105.90020134,128.81890163,1369216.3801453,1172,40,0.855992359952612
"result.3520",15,11,13,100.36810127,102.7390013,132.77040168,1369091.00551109,1172,40,0.855685307415198
"result.3535",14,12,13,99.57780126,103.52930131,132.77040168,1368759.30569147,1167,40,0.854872947946133
"result.3550",13,13,13,98.78750125,104.31960132,132.77040168,1368261.75596203,1162,40,0.853654408742536
"result.3565",12,14,13,97.99720124,105.10990133,132.77040168,1367598.35632277,1157,40,0.852029689804405
"result.2544",15,14,9,100.36810127,105.10990133,129.60920164,1367335.76063223,1171,40,0.851386571891395
"result.2559",14,15,9,99.57780126,105.90020134,129.60920164,1366769.1067737,1166,40,0.849998791131743
"result.3580",11,15,13,97.20690123,105.90020134,132.77040168,1366769.1067737,1152,40,0.849998791131743
"result.3760",15,10,14,100.36810127,101.94870129,133.56070169,1366646.20014411,1171,40,0.849697782935616
"result.3775",14,11,14,99.57780126,102.7390013,133.56070169,1366395.94447662,1166,40,0.849084886729044
"result.3790",13,12,14,98.78750125,103.52930131,133.56070169,1365978.85169748,1161,40,0.848063393051425
"result.3805",12,13,14,97.99720124,104.31960132,133.56070169,1365394.92180668,1156,40,0.846633301902759
"result.2784",15,13,10,100.36810127,104.31960132,130.39950165,1365329.76648496,1170,40,0.846473731292764
"result.2799",14,14,10,99.57780126,105.10990133,130.39950165,1364841.10157212,1165,40,0.845276951717802
"result.3820",11,14,14,97.20690123,105.10990133,133.56070169,1364644.15480422,1151,40,0.844794613283044
"result.2814",13,15,10,98.78750125,105.90020134,130.39950165,1364189.548355,1160,40,0.843681245617853
"result.4000",15,9,15,100.36810127,101.15840128,134.3510017,1364076.02014292,1170,40,0.843403205918619
"result.4015",14,10,15,99.57780126,101.94870129,134.3510017,1363908.19582942,1165,40,0.842992190711056
"result.3835",10,15,14,96.41660122,105.90020134,133.56070169,1363726.5506901,1146,40,0.842547327192283
"result.4030",13,11,15,98.78750125,102.7390013,134.3510017,1363572.54720242,1160,40,0.842170160295931
"result.3024",15,12,11,100.36810127,103.52930131,131.18980166,1363198.39770349,1169,40,0.841253838156718
"result.4045",12,12,15,97.99720124,103.52930131,134.3510017,1363069.07426191,1155,40,0.840937114673243
"result.3039",14,13,11,99.57780126,104.31960132,131.18980166,1362788.70893818,1164,40,0.840250477502962
"result.4060",11,13,15,97.20690123,104.31960132,134.3510017,1362397.7770079,1150,40,0.839293053842992
"result.3054",13,14,11,98.78750125,105.10990133,131.18980166,1362215.14466674,1160,40,0.838845772587704
"result.4075",10,14,15,96.41660122,105.10990133,134.3510017,1361558.65544039,1145,40,0.837237977805179
"result.3069",12,15,11,97.99720124,105.90020134,131.18980166,1361477.70488918,1155,40,0.837039723410943
"result.3264",15,11,12,100.36810127,102.7390013,131.98010167,1360941.65428781,1168,40,0.835726892483257
"result.2048",15,15,7,100.36810127,105.90020134,128.02860162,1360816.27965361,1168,40,0.835419839945843
"result.3279",14,12,12,99.57780126,103.52930131,131.98010167,1360611.92887187,1163,40,0.834919368487222
"result.4090",9,15,15,95.62630121,105.90020134,134.3510017,1360551.70955938,1140,40,0.834771886559803
"result.3294",13,13,12,98.78750125,104.31960132,131.98010167,1360117.34074797,1159,40,0.83370808249317
"result.3309",12,14,12,97.99720124,105.10990133,131.98010167,1359457.88991609,1154,40,0.8320930345011
"result.2288",15,14,8,100.36810127,105.10990133,128.81890163,1358998.34745765,1167,40,0.830967578153333
"result.3324",11,15,12,97.20690123,105.90020134,131.98010167,1358633.57637624,1149,40,0.830074224511013
"result.3504",15,10,13,100.36810127,101.94870129,132.77040168,1358559.53623793,1167,40,0.829892894272382
"result.2303",14,15,8,99.57780126,105.90020134,128.81890163,1358435.14880557,1163,40,0.829588259471483
"result.3519",14,11,13,99.57780126,102.7390013,132.77040168,1358310.76137321,1163,40,0.829283624670583
"result.3534",13,12,13,98.78750125,103.52930131,132.77040168,1357896.13659868,1158,40,0.828268175334252
"result.3549",12,13,13,97.99720124,104.31960132,132.77040168,1357315.66191433,1153,40,0.826846546263388
"result.2528",15,13,9,100.36810127,104.31960132,129.60920164,1357055.04062748,1167,40,0.826208263823409
"result.2543",14,14,9,99.57780126,105.10990133,129.60920164,1356569.33732017,1162,40,0.825018737457992
"result.3564",11,14,13,97.20690123,105.10990133,132.77040168,1356569.33732017,1148,40,0.825018737457992
"result.3744",15,9,14,100.36810127,101.15840128,133.56070169,1356052.04355385,1166,40,0.823751843524093
"result.2558",13,15,9,98.78750125,105.90020134,129.60920164,1355921.73291042,1157,40,0.823432702304103
"result.3759",14,10,14,99.57780126,101.94870129,133.56070169,1355885.20644219,1161,40,0.823343246053045
"result.3579",10,15,13,96.41660122,105.90020134,132.77040168,1355657.16281619,1143,40,0.822784748918063
"result.3774",13,11,14,98.78750125,102.7390013,133.56070169,1355551.53221887,1157,40,0.82252605111095
"result.3789",12,12,14,97.99720124,103.52930131,133.56070169,1355051.0208839,1152,40,0.821300258697807
"result.2768",15,12,10,100.36810127,103.52930131,130.39950165,1354986.35916311,1166,40,0.82114189695607
