"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4033",0,12,15,121.47513875,129.1107189,118.0044205,1850750.94409748,1499,27,1
"result.3793",0,13,14,121.47513875,129.80486255,117.31027685,1849755.91670818,1498,27,0.994600772735214
"result.4083",2,15,15,121.719474696,129.971642472,116.90571016,1849457.69269055,1500,26.5,0.992982546680019
"result.3553",0,14,13,121.47513875,130.4990062,116.6161332,1848643.82727308,1498,27,0.988566342262805
"result.3313",0,15,12,121.47513875,131.19314985,115.92198955,1847414.67579218,1498,27,0.981896708582775
"result.4002",1,10,15,122.1692824,127.7224316,118.0044205,1841312.39857612,1499,27,0.948784472802597
"result.4017",0,11,15,121.47513875,128.41657525,118.0044205,1840800.67020448,1495,27,0.946007727352136
"result.3762",1,11,14,122.1692824,128.41657525,117.31027685,1840429.4162878,1499,27,0.943993225750821
"result.4052",3,13,15,122.407155344,128.596281176,116.90571016,1840225.05482012,1500,26.5,0.942884317574004
"result.3777",0,12,14,121.47513875,129.1107189,117.31027685,1839864.17383808,1494,27,0.940926101691161
"result.4067",2,14,15,121.719474696,129.283961824,116.90571016,1839672.20225303,1496,26.5,0.939884423615559
"result.3522",1,12,13,122.1692824,129.1107189,116.6161332,1839428.70302771,1499,27,0.938563145758807
"result.3812",3,14,14,122.407155344,129.283961824,116.218029512,1839183.09033485,1500,26.5,0.937230399784089
"result.4082",1,15,15,121.031794048,129.971642472,116.90571016,1839008.77917252,1491,26.5,0.936284550865427
"result.3537",0,13,13,121.47513875,129.80486255,116.6161332,1838810.61542588,1494,27,0.935209272822562
"result.3827",2,15,14,121.719474696,129.971642472,116.218029512,1838578.52979237,1495,26.5,0.933949927508356
"result.3282",1,13,12,122.1692824,129.80486255,115.92198955,1838310.25879583,1498,27,0.932494232826556
"result.3572",3,15,13,122.407155344,129.971642472,115.530348864,1838025.35201789,1499,26.5,0.930948268906407
"result.3297",0,14,12,121.47513875,130.4990062,115.92198955,1837639.99496788,1494,27,0.928857240746343
"result.2977",0,10,11,122.594267775,128.899115832,116.289419718,1837639.45088663,1500,27.5,0.928854288447382
"result.3042",1,14,11,122.1692824,130.4990062,115.2278459,1837074.08359219,1498,27,0.925786486954068
"result.2737",0,11,10,122.594267775,129.599654505,115.588881045,1836496.34096105,1500,27.5,0.922651534288855
"result.3057",0,15,11,121.47513875,131.19314985,115.2278459,1836352.31246408,1493,27,0.921870005462503
