"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,111.43230141,106.69050135,120.12560152,1428145.41982686,1261,40,1
"result.3840",15,15,14,111.43230141,106.69050135,119.33530151,1418749.72627537,1257,40,0.976839684625493
"result.4095",14,15,15,110.6420014,106.69050135,120.12560152,1418016.7289061,1252,40,0.97503285151117
"result.4080",15,14,15,111.43230141,105.90020134,120.12560152,1417566.56486518,1256,40,0.973923200467221
"result.3584",15,15,13,111.43230141,106.69050135,118.5450015,1409354.03272387,1253,40,0.953679369250985
"result.3839",14,15,14,110.6420014,106.69050135,119.33530151,1408687.67147909,1248,40,0.95203679369251
"result.3824",15,14,14,111.43230141,105.90020134,119.33530151,1408240.4690437,1252,40,0.950934442984377
"result.4094",13,15,15,109.85170139,106.69050135,120.12560152,1407888.03798534,1243,40,0.950065703022339
"result.4079",14,14,15,110.6420014,105.90020134,120.12560152,1407512.90128457,1247,40,0.949140993819049
"result.4064",15,13,15,111.43230141,105.10990133,120.12560152,1406987.7099035,1252,40,0.947846400934443
"result.3328",15,15,12,111.43230141,106.69050135,117.75470149,1399958.33917238,1249,40,0.930519053876478
"result.3583",14,15,13,110.6420014,106.69050135,118.5450015,1399358.61405207,1244,40,0.92904073587385
"result.3568",15,14,13,111.43230141,105.90020134,118.5450015,1398914.37322221,1248,40,0.927945685501533
"result.3838",13,15,14,109.85170139,106.69050135,119.33530151,1398625.61668281,1239,40,0.927233902759527
"result.3823",14,14,14,110.6420014,105.90020134,119.33530151,1398252.94798665,1243,40,0.926315277169417
"result.4093",12,15,15,109.06140138,106.69050135,120.12560152,1397759.34706458,1234,40,0.925098554533509
"result.3808",15,13,14,111.43230141,105.10990133,119.33530151,1397731.21181203,1248,40,0.925029201343262
"result.4078",13,14,15,109.85170139,105.90020134,120.12560152,1397459.23770397,1239,40,0.924358787170876
"result.4063",14,13,15,110.6420014,105.10990133,120.12560152,1397009.07366305,1243,40,0.923249136126929
"result.4048",15,12,15,111.43230141,104.31960132,120.12560152,1396408.85494182,1247,40,0.921769601401665
"result.3072",15,15,11,111.43230141,106.69050135,116.96440148,1390562.64562089,1244,40,0.907358738501971
"result.3327",14,15,12,110.6420014,106.69050135,117.75470149,1390029.55662506,1240,40,0.906044678055191
"result.3312",15,14,12,111.43230141,105.90020134,117.75470149,1389588.27740073,1244,40,0.904956928018689
"result.3582",13,15,13,109.85170139,106.69050135,118.5450015,1389363.19538027,1235,40,0.904402102496715
"result.3567",14,14,13,110.6420014,105.90020134,118.5450015,1388992.99468872,1239,40,0.903489560519784
"result.3837",12,15,14,109.06140138,106.69050135,119.33530151,1388563.56188653,1230,40,0.902431011826544
"result.3552",15,13,13,111.43230141,105.10990133,118.5450015,1388474.71372056,1243,40,0.90221200175208
"result.3822",13,14,14,109.85170139,105.90020134,119.33530151,1388265.4269296,1234,40,0.901696111354456
"result.3807",14,13,14,110.6420014,105.10990133,119.33530151,1387818.22449421,1239,40,0.900593760646323
"result.4092",11,15,15,108.27110137,106.69050135,120.12560152,1387630.65614383,1225,40,0.900131406044678
"result.4077",12,14,15,109.06140138,105.90020134,120.12560152,1387405.57412337,1230,40,0.899576580522704
"result.3792",15,12,14,111.43230141,104.31960132,119.33530151,1387221.95458036,1243,40,0.899123959702146
"result.4062",13,13,15,109.85170139,105.10990133,120.12560152,1387030.4374226,1234,40,0.898651871319414
"result.4047",14,12,15,110.6420014,104.31960132,120.12560152,1386505.24604152,1238,40,0.897357278434808
"result.4032",15,11,15,111.43230141,103.52930131,120.12560152,1385829.99998014,1242,40,0.895692801868886
"result.2816",15,15,10,111.43230141,106.69050135,116.17410147,1381166.9520694,1240,40,0.884198423127464
"result.3071",14,15,11,110.6420014,106.69050135,116.96440148,1380700.49919804,1235,40,0.883048620236531
"result.3056",15,14,11,111.43230141,105.90020134,116.96440148,1380262.18157925,1240,40,0.881968170535845
"result.3326",13,15,12,109.85170139,106.69050135,117.75470149,1380100.77407774,1231,40,0.881570302233903
"result.3311",14,14,12,110.6420014,105.90020134,117.75470149,1379733.0413908,1235,40,0.880663843870151
"result.3581",12,15,13,109.06140138,106.69050135,118.5450015,1379367.77670847,1226,40,0.879763469119579
