"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,104.31960132,82.98150105,103.52930131,896211.450155127,966,40,1
"result.4095",14,15,15,103.52930131,82.98150105,103.52930131,889421.969472134,959,40,0.97685044935878
"result.3840",15,15,14,104.31960132,82.98150105,102.7390013,889370.141375317,963,40,0.976673735231748
"result.4080",15,14,15,104.31960132,82.19120104,103.52930131,887676.103010793,962,40,0.970897707765324
"result.3839",14,15,14,103.52930131,82.98150105,102.7390013,882632.48878914,955,40,0.95370089871756
"result.4094",13,15,15,102.7390013,82.98150105,103.52930131,882632.48878914,952,40,0.95370089871756
"result.3584",15,15,13,104.31960132,82.98150105,101.94870129,882528.832595507,959,40,0.953347470463496
"result.4079",14,14,15,103.52930131,82.19120104,103.52930131,880951.28404859,955,40,0.947968629034972
"result.3824",15,14,14,104.31960132,82.19120104,102.7390013,880899.949552695,958,40,0.947793597899626
"result.4064",15,13,15,104.31960132,81.40090103,103.52930131,879140.755866458,957,40,0.941795415530647
"result.3838",13,15,14,102.7390013,82.98150105,102.7390013,875894.836202964,948,40,0.930728062203372
"result.3583",14,15,13,103.52930131,82.98150105,101.94870129,875843.008106147,952,40,0.93055134807634
"result.4093",12,15,15,101.94870129,82.98150105,103.52930131,875843.008106147,944,40,0.93055134807634
"result.3328",15,15,12,104.31960132,82.98150105,101.15840128,875687.523815697,955,40,0.930021205695243
"result.3823",14,14,14,103.52930131,82.19120104,102.7390013,874226.465086387,951,40,0.925039550304621
"result.4078",13,14,15,102.7390013,82.19120104,103.52930131,874226.465086387,947,40,0.925039550304621
"result.3568",15,14,13,104.31960132,82.19120104,101.94870129,874123.796094597,954,40,0.924689488033929
"result.4063",14,13,15,103.52930131,81.40090103,103.52930131,872480.598625046,950,40,0.919086808711165
"result.3808",15,13,14,104.31960132,81.40090103,102.7390013,872429.757730073,953,40,0.918913460567505
"result.4048",15,12,15,104.31960132,80.61060102,103.52930131,870605.408722123,953,40,0.912693123295971
"result.3582",13,15,13,102.7390013,82.98150105,101.94870129,869157.183616787,944,40,0.907755225689185
"result.3837",12,15,14,101.94870129,82.98150105,102.7390013,869157.183616787,941,40,0.907755225689185
"result.3327",14,15,12,103.52930131,82.98150105,101.15840128,869053.527423154,948,40,0.907401797435121
"result.4092",11,15,15,101.15840128,82.98150105,103.52930131,869053.527423154,937,40,0.907401797435121
"result.3072",15,15,11,104.31960132,82.98150105,100.36810127,868846.215035887,952,40,0.906694940926992
"result.3822",13,14,14,102.7390013,82.19120104,102.7390013,867552.980620078,944,40,0.902285502709616
"result.3567",14,14,13,103.52930131,82.19120104,101.94870129,867501.646124184,947,40,0.90211047157427
"result.4077",12,14,15,101.94870129,82.19120104,103.52930131,867501.646124184,940,40,0.90211047157427
"result.3312",15,14,12,104.31960132,82.19120104,101.15840128,867347.6426365,951,40,0.901585378168231
"result.3807",14,13,14,103.52930131,81.40090103,102.7390013,865820.441383633,946,40,0.896378201891682
"result.4062",13,13,15,102.7390013,81.40090103,103.52930131,865820.441383633,943,40,0.896378201891682
"result.3552",15,13,13,104.31960132,81.40090103,101.94870129,865718.759593688,950,40,0.896031505604362
"result.4047",14,12,15,103.52930131,80.61060102,103.52930131,864009.913201501,945,40,0.890204988387357
"result.3792",15,12,14,104.31960132,80.61060102,102.7390013,863959.565907451,949,40,0.890033323235383
"result.3581",12,15,13,101.94870129,82.98150105,101.94870129,862471.359127427,937,40,0.88495910330203
"result.3326",13,15,12,102.7390013,82.98150105,101.15840128,862419.53103061,941,40,0.884782389174997
"result.3836",11,15,14,101.15840128,82.98150105,102.7390013,862419.53103061,934,40,0.884782389174997
"result.3071",14,15,11,103.52930131,82.98150105,100.36810127,862264.04674016,944,40,0.884252246793901
"result.4091",10,15,15,100.36810127,82.98150105,103.52930131,862264.04674016,930,40,0.884252246793901
"result.4032",15,11,15,104.31960132,79.82030101,103.52930131,862070.061577789,948,40,0.883590831061295
"result.2816",15,15,10,104.31960132,82.98150105,99.57780126,862004.906256077,948,40,0.88336867615874
"result.3566",13,14,13,102.7390013,82.19120104,101.94870129,860879.49615377,940,40,0.879531455114612
"result.3821",12,14,14,101.94870129,82.19120104,102.7390013,860879.49615377,936,40,0.879531455114612
"result.3311",14,14,12,103.52930131,82.19120104,101.15840128,860776.827161981,944,40,0.879181392843919
"result.4076",11,14,15,101.15840128,82.19120104,103.52930131,860776.827161981,933,40,0.879181392843919
"result.3056",15,14,11,104.31960132,82.19120104,100.36810127,860571.489178402,947,40,0.878481268302534
"result.3806",13,13,14,102.7390013,81.40090103,102.7390013,859211.125037193,939,40,0.87384294321586
"result.3551",14,13,13,103.52930131,81.40090103,101.94870129,859160.28414222,943,40,0.8736695950722
"result.4061",12,13,15,101.94870129,81.40090103,103.52930131,859160.28414222,935,40,0.8736695950722
"result.3296",15,13,12,104.31960132,81.40090103,101.15840128,859007.761457302,946,40,0.873149550641219
"result.3791",14,12,14,103.52930131,80.61060102,102.7390013,857414.417680879,942,40,0.867716853478744
"result.4046",13,12,15,102.7390013,80.61060102,103.52930131,857414.417680879,938,40,0.867716853478744
"result.3536",15,12,13,104.31960132,80.61060102,101.94870129,857313.723092778,945,40,0.867373523174795
"result.3325",12,15,12,101.94870129,82.98150105,101.15840128,855785.534638067,934,40,0.862162980914874
"result.3580",11,15,13,101.15840128,82.98150105,101.94870129,855785.534638067,930,40,0.862162980914874
"result.3070",13,15,11,102.7390013,82.98150105,100.36810127,855681.878444434,937,40,0.86180955266081
"result.3835",10,15,14,100.36810127,82.98150105,102.7390013,855681.878444434,926,40,0.86180955266081
"result.4031",14,11,15,103.52930131,79.82030101,103.52930131,855539.227777957,941,40,0.861323168063549
"result.3776",15,11,14,104.31960132,79.82030101,102.7390013,855489.374084829,944,40,0.861153185903262
"result.2815",14,15,10,103.52930131,82.98150105,99.57780126,855474.566057167,941,40,0.861102696152681
"result.4090",9,15,15,99.57780126,82.98150105,103.52930131,855474.566057167,922,40,0.861102696152681
"result.2560",15,15,9,104.31960132,82.98150105,98.78750125,855163.597476266,944,40,0.860042411390487
"result.3565",12,14,13,101.94870129,82.19120104,101.94870129,854257.346183356,933,40,0.856952438654953
"result.3310",13,14,12,102.7390013,82.19120104,101.15840128,854206.011687462,936,40,0.856777407519607
