"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4081",0,15,15,134.32082124,119.0184492,104.28283168,1667133.74001114,1496,18,1
"result.4066",1,14,15,134.88757576,118.45169468,104.28283168,1666195.83073406,1499,18,0.994184937498237
"result.3826",1,15,14,134.88757576,119.0184492,103.71607716,1665069.32013496,1498,18,0.98720054177601
"result.3571",2,15,13,135.45433028,119.0184492,103.14932264,1662928.44026336,1500,18,0.973927029543724
"result.4065",0,14,15,134.32082124,118.45169468,104.28283168,1659195.00791585,1492,18,0.950779649538644
"result.4050",1,13,15,134.88757576,117.88494016,104.28283168,1658223.60187887,1495,18,0.944756906233246
"result.3825",0,15,14,134.32082124,119.0184492,103.71607716,1658073.23055456,1492,18,0.943824600016931
"result.4035",2,12,15,135.45433028,117.31818564,104.28283168,1657185.20232211,1498,18,0.938318801320579
"result.3810",1,14,14,134.88757576,118.45169468,103.71607716,1657140.41861051,1495,18,0.93804114111572
"result.3795",2,13,14,135.45433028,117.88494016,103.71607716,1656140.97724188,1497,18,0.93184457800728
"result.4020",3,11,15,136.0210848,116.75143112,104.28283168,1656079.80924555,1500,18,0.931465334800643
"result.3570",1,15,13,134.88757576,119.0184492,103.14932264,1655970.58068067,1494,18,0.930788114788793
"result.3780",3,12,14,136.0210848,117.31818564,103.71607716,1655074.90644867,1500,18,0.925234910691611
"result.3555",2,14,13,135.45433028,118.45169468,103.14932264,1655009.73340496,1497,18,0.92483083608454
"result.3921",0,5,15,136.172889261,114.9138306,105.720724152,1654333.57296405,1500,18.5,0.920638623339421
"result.3540",3,13,13,136.0210848,117.88494016,103.14932264,1653982.6207999,1499,18,0.918462710573097
"result.3315",2,15,12,135.45433028,119.0184492,102.58256812,1653791.47081136,1496,18,0.917277575552358
"result.2017",0,14,7,136.172889261,120.084952977,101.124170928,1653614.29749754,1500,18.5,0.91617909628715
"result.3681",0,6,14,136.172889261,115.488399753,105.146154999,1653569.34278089,1500,18.5,0.915900375846383
"result.3300",3,14,12,136.0210848,118.45169468,102.58256812,1652802.95229922,1499,18,0.911148734445103
"result.3441",0,7,13,136.172889261,116.062968906,104.571585846,1652715.20316441,1500,18.5,0.91060468747181
"result.1777",0,15,6,136.172889261,120.65952213,100.549601775,1652085.83713122,1499,18.5,0.906702601301073
"result.3201",0,8,12,136.172889261,116.637538059,103.997016693,1651771.15411462,1499,18.5,0.904751558215703
"result.3060",3,15,11,136.0210848,119.0184492,102.0158136,1651535.90094665,1498,18,0.903292982307627
"result.4049",0,13,15,134.32082124,117.88494016,104.28283168,1651256.27582056,1489,18,0.901559299077288
"result.2961",0,9,11,136.172889261,117.212107212,103.42244754,1650737.19563152,1499,18.5,0.898340988078063
"result.4034",1,12,15,134.88757576,117.31818564,104.28283168,1650251.37302369,1491,18,0.895328874968256
"result.3809",0,14,14,134.32082124,118.45169468,103.71607716,1650177.64374239,1488,18,0.894871751460256
"result.2721",0,10,10,136.172889261,117.786676365,102.847878387,1649613.3277151,1498,18.5,0.89137297705889
"result.3794",1,13,14,134.88757576,117.88494016,103.71607716,1649211.51708605,1491,18,0.88888174045543
"result.2805",4,15,10,136.58783932,119.0184492,101.44905908,1649203.87108651,1500,18,0.888834335054602
