"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,94.04570119,84.56210107,134.3510017,1068453.49190944,1002,40,1
"result.3840",15,15,14,94.04570119,84.56210107,133.56070169,1062168.47136879,999,40,0.981318133133794
"result.4095",14,15,15,93.25540118,84.56210107,134.3510017,1059474.89113709,993,40,0.973311618762563
"result.4080",15,14,15,94.04570119,83.77180106,134.3510017,1058467.94525608,997,40,0.970318529277991
"result.3584",15,15,13,94.04570119,84.56210107,132.77040168,1055883.45082815,996,40,0.962636266267588
"result.3839",14,15,14,93.25540118,84.56210107,133.56070169,1053242.68589511,991,40,0.954786742374224
"result.3824",15,14,14,94.04570119,83.77180106,133.56070169,1052241.66322516,994,40,0.951811259298385
"result.4094",13,15,15,92.46510117,84.56210107,134.3510017,1050496.29036474,985,40,0.946623237525126
"result.3328",15,15,12,94.04570119,84.56210107,131.98010167,1049598.43028751,993,40,0.943954399401382
"result.4079",14,14,15,93.25540118,83.77180106,134.3510017,1049573.25664048,989,40,0.943879572164268
"result.4064",15,13,15,94.04570119,82.98150105,134.3510017,1048482.39860272,993,40,0.940637058555981
"result.3583",14,15,13,93.25540118,84.56210107,132.77040168,1047010.48065312,988,40,0.936261865985885
"result.3568",15,14,13,94.04570119,83.77180106,132.77040168,1046015.38119424,991,40,0.933303989318778
"result.3838",13,15,14,92.46510117,84.56210107,133.56070169,1044316.90042142,982,40,0.928255351614654
"result.3823",14,14,14,93.25540118,83.77180106,133.56070169,1043399.2963073,986,40,0.925527825461801
"result.3072",15,15,11,94.04570119,84.56210107,131.18980166,1043313.40974686,990,40,0.925272532535176
"result.3808",15,13,14,94.04570119,82.98150105,133.56070169,1042314.85508153,990,40,0.922304385462975
"result.4093",12,15,15,91.67480116,84.56210107,134.3510017,1041517.68959239,977,40,0.919934856287689
"result.3327",14,15,12,93.25540118,84.56210107,131.98010167,1040778.27541114,985,40,0.917736989597547
"result.4078",13,14,15,92.46510117,83.77180106,134.3510017,1040678.56802488,980,40,0.917440615050545
"result.3312",15,14,12,94.04570119,83.77180106,131.98010167,1039789.09916332,988,40,0.914796719339173
"result.4063",14,13,15,93.25540118,82.98150105,134.3510017,1039671.62214387,984,40,0.914447525565972
"result.4048",15,12,15,94.04570119,82.19120104,134.3510017,1038496.85194936,988,40,0.910955587833972
"result.3582",13,15,13,92.46510117,84.56210107,132.77040168,1038137.5104781,979,40,0.909887465704183
"result.3567",14,14,13,93.25540118,83.77180106,132.77040168,1037225.33597412,983,40,0.907176078759335
"result.2816",15,15,10,94.04570119,84.56210107,130.39950165,1037028.38920622,987,40,0.90659066566897
"result.3552",15,13,13,94.04570119,82.98150105,132.77040168,1036147.31156033,987,40,0.903971712369969
"result.3837",12,15,14,91.67480116,84.56210107,133.56070169,1035391.11494773,974,40,0.901723960855084
"result.3822",13,14,14,92.46510117,83.77180106,133.56070169,1034556.92938944,978,40,0.899244391625218
"result.3071",14,15,11,93.25540118,84.56210107,131.18980166,1034546.07016916,982,40,0.899212113209208
"result.3056",15,14,11,94.04570119,83.77180106,131.18980166,1033562.81713241,985,40,0.896289449359567
"result.3807",14,13,14,93.25540118,82.98150105,133.56070169,1033555.9067195,981,40,0.896268908549378
"result.4092",11,15,15,90.88450115,84.56210107,134.3510017,1032539.08882004,968,40,0.893246475050251
"result.3792",15,12,14,94.04570119,82.19120104,133.56070169,1032388.04693789,985,40,0.892797511627566
"result.3326",13,15,12,92.46510117,84.56210107,131.98010167,1031958.12053478,976,40,0.891519579793711
"result.4077",12,14,15,91.67480116,83.77180106,134.3510017,1031783.87940929,972,40,0.891001657936822
"result.3311",14,14,12,93.25540118,83.77180106,131.98010167,1031051.37564094,980,40,0.888824332056869
"result.4062",13,13,15,92.46510117,82.98150105,134.3510017,1030860.84568503,976,40,0.888257992575964
"result.2560",15,15,9,94.04570119,84.56210107,129.60920164,1030743.36866558,984,40,0.887908798802764
"result.3296",15,13,12,94.04570119,82.98150105,131.98010167,1029979.76803914,984,40,0.885639039276963
"result.4047",14,12,15,93.25540118,82.19120104,134.3510017,1029769.98764726,979,40,0.885015478967677
"result.3581",12,15,13,91.67480116,84.56210107,132.77040168,1029264.54030307,971,40,0.883513065422481
"result.4032",15,11,15,94.04570119,81.40090103,134.3510017,1028511.305296,983,40,0.881274117111962
"result.3566",13,14,13,92.46510117,83.77180106,132.77040168,1028435.290754,975,40,0.881048168199891
"result.2815",14,15,10,93.25540118,84.56210107,130.39950165,1028313.86492718,979,40,0.880687236820869
"result.3551",14,13,13,93.25540118,82.98150105,132.77040168,1027440.19129512,978,40,0.878090291532784
"result.2800",15,14,10,94.04570119,83.77180106,130.39950165,1027336.53510149,982,40,0.877782179379961
"result.3836",11,15,14,90.88450115,84.56210107,133.56070169,1026465.32947404,965,40,0.875192570095515
"result.3536",15,12,13,94.04570119,82.19120104,132.77040168,1026279.24192643,982,40,0.87463943542116
"result.3070",13,15,11,92.46510117,84.56210107,131.18980166,1025778.73059145,973,40,0.87315169388324
"result.3821",12,14,14,91.67480116,83.77180106,133.56070169,1025714.56247158,969,40,0.872960957788635
"result.3055",14,14,11,93.25540118,83.77180106,131.18980166,1024877.41530776,977,40,0.870472585354402
"result.3806",13,13,14,92.46510117,82.98150105,133.56070169,1024796.95835747,973,40,0.870233431635782
"result.2304",15,15,8,94.04570119,84.56210107,128.81890163,1024458.34812493,981,40,0.869226931936558
"result.3040",15,13,11,94.04570119,82.98150105,131.18980166,1023812.22451795,981,40,0.867306366183957
"result.3791",14,12,14,93.25540118,82.19120104,133.56070169,1023712.51713169,977,40,0.867009991636956
"result.4091",10,15,15,90.09420114,84.56210107,134.3510017,1023560.4880477,960,40,0.866558093812814
"result.3325",12,15,12,91.67480116,84.56210107,131.98010167,1023137.96565841,968,40,0.865302169989876
"result.4076",11,14,15,90.88450115,83.77180106,134.3510017,1022889.19079369,964,40,0.864562700823099
"result.3776",15,11,14,94.04570119,81.40090103,133.56070169,1022461.23879426,980,40,0.863290637792156
"result.3310",13,14,12,92.46510117,83.77180106,131.98010167,1022313.65211856,972,40,0.862851944774565
"result.2559",14,15,9,93.25540118,84.56210107,129.60920164,1022081.65968519,976,40,0.862162360432531
"result.4061",12,13,15,91.67480116,82.98150105,134.3510017,1022050.06922618,967,40,0.862068459585956
"result.3295",14,13,12,93.25540118,82.98150105,131.98010167,1021324.47587075,975,40,0.85991167451619
"result.2544",15,14,9,94.04570119,83.77180106,129.60920164,1021110.25307057,979,40,0.859274909400355
"result.4046",13,12,15,92.46510117,82.19120104,134.3510017,1021043.12334517,971,40,0.859075370101383
"result.3580",11,15,13,90.88450115,84.56210107,132.77040168,1020391.57012804,963,40,0.857138665140778
"result.3280",15,12,12,94.04570119,82.19120104,131.98010167,1020170.43691496,979,40,0.856481359214754
"result.4031",14,11,15,93.25540118,81.40090103,134.3510017,1019868.35315066,975,40,0.855583432369382
"result.3565",12,14,13,91.67480116,83.77180106,132.77040168,1019645.24553388,966,40,0.854920257640448
"result.2814",13,15,10,92.46510117,84.56210107,130.39950165,1019599.34064813,970,40,0.854783807972769
"result.3550",13,13,13,92.46510117,82.98150105,132.77040168,1018733.07102991,970,40,0.8522088706956
"result.2799",14,14,10,93.25540118,83.77180106,130.39950165,1018703.45497458,974,40,0.852120838651936
"result.4016",15,10,15,94.04570119,80.61060102,134.3510017,1018525.75864264,978,40,0.851592646389952
"result.2048",15,15,7,94.04570119,84.56210107,128.02860162,1018173.32758429,978,40,0.850545065070352
"result.3535",14,12,13,93.25540118,82.19120104,132.77040168,1017655.04661612,974,40,0.849004504306234
"result.2784",15,13,10,94.04570119,82.98150105,130.39950165,1017644.68099676,978,40,0.848973693090952
"result.3835",10,15,14,90.09420114,84.56210107,133.56070169,1017539.54400036,957,40,0.848661179335945
"result.3069",12,15,11,91.67480116,84.56210107,131.18980166,1017011.39101375,965,40,0.847091274557272
"result.3820",11,14,14,90.88450115,83.77180106,133.56070169,1016872.19555373,961,40,0.846677523952052
"result.3520",15,11,13,94.04570119,81.40090103,132.77040168,1016411.17229252,977,40,0.84530715847235
"result.3054",13,14,11,92.46510117,83.77180106,131.18980166,1016192.01348312,969,40,0.844655721349238
"result.3805",12,13,14,91.67480116,82.98150105,133.56070169,1016038.00999544,965,40,0.844197954722185
"result.2303",14,15,8,93.25540118,84.56210107,128.81890163,1015849.45444321,973,40,0.843637484044192
"result.3039",14,13,11,93.25540118,82.98150105,131.18980166,1015208.76044637,973,40,0.841733057499596
"result.3790",13,12,14,92.46510117,82.19120104,133.56070169,1015036.98732549,968,40,0.841222471646346
"result.2288",15,14,8,94.04570119,83.77180106,128.81890163,1014883.97103965,976,40,0.840767639420749
"result.4090",9,15,15,89.30390113,84.56210107,134.3510017,1014581.88727535,951,40,0.839869712575377
"result.3324",11,15,12,90.88450115,84.56210107,131.98010167,1014317.81078204,960,40,0.839084760186041
"result.3024",15,12,11,94.04570119,82.19120104,131.18980166,1014061.63190349,976,40,0.838323283008348
"result.4075",10,14,15,90.09420114,83.77180106,134.3510017,1013994.50217809,955,40,0.838123743709377
"result.3775",14,11,14,93.25540118,81.40090103,133.56070169,1013869.12754389,972,40,0.837751074724533
"result.3309",12,14,12,91.67480116,83.77180106,131.98010167,1013575.92859618,963,40,0.83687955749226
"result.2558",13,15,9,92.46510117,84.56210107,129.60920164,1013419.95070481,968,40,0.836415922062297
"result.4060",11,13,15,90.88450115,82.98150105,134.3510017,1013239.29276733,959,40,0.835878926595948
"result.3294",13,13,12,92.46510117,82.98150105,131.98010167,1012669.18370235,967,40,0.834184309755418
