"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4065",0,14,15,136.97746407,85.02049494,141.228488817,1644731.69854911,1500,12.5,1
"result.3569",0,15,13,136.97746407,85.492831023,140.283816651,1642806.42733007,1500,12.5,0.988887391850248
"result.3809",0,14,14,136.97746407,85.02049494,140.756152734,1639230.92363757,1498,12.5,0.968249691000706
"result.3058",1,15,11,137.449800153,85.492831023,139.339144485,1637370.46039881,1500,12.5,0.957511152583416
"result.3313",0,15,12,136.97746407,85.492831023,139.811480568,1637275.09255791,1497,12.5,0.956960692245402
"result.3794",1,13,14,137.449800153,84.548158857,140.756152734,1635745.202708,1499,12.5,0.948130213585405
"result.4049",0,13,15,136.97746407,84.548158857,141.228488817,1635594.30022383,1496,12.5,0.947259208940061
"result.3298",1,14,12,137.449800153,85.02049494,139.811480568,1633843.95786214,1498,12.5,0.937156284946225
"result.3553",0,14,13,136.97746407,85.02049494,140.283816651,1633730.14872604,1495,12.5,0.936499382001411
"result.3779",2,12,14,137.922136236,84.075822774,140.756152734,1632196.67599591,1500,12.5,0.927648223063524
"result.4034",1,12,15,137.449800153,84.075822774,141.228488817,1632065.37397407,1497,12.5,0.926890351703119
"result.2547",2,15,9,137.922136236,85.492831023,138.394472319,1631858.19919484,1500,12.5,0.925694545046173
"result.2802",1,15,10,137.449800153,85.492831023,138.866808402,1631820.05205848,1497,12.5,0.925474360910967
"result.3057",0,15,11,136.97746407,85.492831023,139.339144485,1631743.75778576,1495,12.5,0.925033992640555
"result.3283",2,13,12,137.922136236,84.548158857,139.811480568,1630350.43889916,1499,12.5,0.916991797514335
"result.3538",1,13,13,137.449800153,84.548158857,140.283816651,1630256.12484656,1496,12.5,0.916447419610995
"result.3793",0,13,14,136.97746407,84.548158857,140.756152734,1630124.08517292,1494,12.5,0.915685290546319
"result.4019",2,11,15,137.922136236,83.603486691,141.228488817,1628473.43118414,1498,12.5,0.906157764872661
"result.2787",2,14,10,137.922136236,85.02049494,138.866808402,1628381.1193293,1498,12.5,0.905624943595201
"result.3042",1,14,11,137.449800153,85.02049494,139.339144485,1628324.21476125,1496,12.5,0.905296492122794
"result.3297",0,14,12,136.97746407,85.02049494,139.811480568,1628229.3738145,1493,12.5,0.904749073002117
"result.3268",3,12,12,138.394472319,84.075822774,139.811480568,1626794.53566899,1500,12.5,0.896467229949734
"result.3523",2,12,13,137.922136236,84.075822774,140.283816651,1626719.50594223,1497,12.5,0.896034160600931
"result.3778",1,12,14,137.449800153,84.075822774,140.756152734,1626606.96135209,1495,12.5,0.895384556577728
"result.4033",0,12,15,136.97746407,84.075822774,141.228488817,1626456.90189856,1492,12.5,0.894518417880122
"result.2291",2,15,8,137.922136236,85.492831023,137.922136236,1626288.71728632,1497,12.5,0.893547661306121
"result.2036",3,15,7,138.394472319,85.492831023,137.449800153,1626269.64371814,1500,12.5,0.893437569238517
"result.2546",1,15,9,137.449800153,85.492831023,138.394472319,1626269.64371814,1495,12.5,0.893437569238517
"result.2801",0,15,10,136.97746407,85.492831023,138.866808402,1626212.4230136,1492,12.5,0.893107293035709
"result.2772",3,13,10,138.394472319,84.548158857,138.866808402,1624880.22384825,1499,12.5,0.885417879120593
"result.3027",2,13,11,137.922136236,84.548158857,139.339144485,1624842.49822721,1497,12.5,0.885200127959256
"result.4004",3,10,15,138.394472319,83.131150608,141.228488817,1624818.47185403,1499,12.5,0.885061448448685
"result.3282",1,13,12,137.449800153,84.548158857,139.811480568,1624767.04698512,1494,12.5,0.884764625636584
"result.3537",0,13,13,136.97746407,84.548158857,140.283816651,1624653.870122,1491,12.5,0.884111372152575
"result.3508",3,11,13,138.394472319,83.603486691,140.283816651,1623120.29201304,1498,12.5,0.875259604971221
"result.3763",2,11,14,137.922136236,83.603486691,140.756152734,1623027.03174874,1496,12.5,0.874721309502555
"result.4018",1,11,15,137.449800153,83.603486691,141.228488817,1622896.46737871,1493,12.5,0.873967695846422
"result.2276",3,14,8,138.394472319,85.02049494,137.922136236,1622842.40803906,1498,12.5,0.873655666947635
"result.2531",2,14,9,137.922136236,85.02049494,138.394472319,1622842.40803906,1496,12.5,0.873655666947635
"result.2786",1,14,10,137.449800153,85.02049494,138.866808402,1622804.47166036,1493,12.5,0.873436699299364
"result.3041",0,14,11,136.97746407,85.02049494,139.339144485,1622728.59890296,1490,12.5,0.872998764002823
"result.2757",4,12,10,138.866808402,84.075822774,138.866808402,1621317.36561532,1500,12.5,0.864853167487141
"result.3012",3,12,11,138.394472319,84.075822774,139.339144485,1621298.60818362,1497,12.5,0.864744900149941
"result.3267",2,12,12,137.922136236,84.075822774,139.811480568,1621242.33588855,1495,12.5,0.864420098138339
"result.3522",1,12,13,137.449800153,84.075822774,140.283816651,1621148.5487301,1492,12.5,0.863878761452336
"result.3989",4,9,15,138.866808402,82.658814525,141.228488817,1621100.49598375,1500,12.5,0.863601402431193
"result.3777",0,12,14,136.97746407,84.075822774,140.756152734,1621017.24670826,1490,12.5,0.863120890091931
"result.2035",2,15,7,137.922136236,85.492831023,137.449800153,1620719.23537781,1495,12.5,0.861400777566069
"result.2290",1,15,8,137.449800153,85.492831023,137.922136236,1620719.23537781,1492,12.5,0.861400777566069
"result.1780",3,15,6,138.394472319,85.492831023,136.97746407,1620681.08824145,1497,12.5,0.861180593430863
"result.2545",0,15,9,136.97746407,85.492831023,138.394472319,1620681.08824145,1489,12.5,0.861180593430863
"result.1525",4,15,5,138.866808402,85.492831023,136.505127987,1620604.79396873,1500,12.5,0.860740225160451
"result.3493",4,10,13,138.866808402,83.131150608,140.283816651,1619458.483059,1499,12.5,0.854123752721862
"result.3748",3,10,14,138.394472319,83.131150608,140.756152734,1619384.29636288,1497,12.5,0.8536955493208
"result.2516",3,13,9,138.394472319,84.548158857,138.394472319,1619353.42036577,1497,12.5,0.853517333984846
"result.2261",4,13,8,138.866808402,84.548158857,137.922136236,1619334.55755525,1499,12.5,0.853408458404177
"result.2771",2,13,10,137.922136236,84.548158857,138.866808402,1619334.55755525,1494,12.5,0.853408458404177
"result.3026",1,13,11,137.449800153,84.548158857,139.339144485,1619277.96912369,1491,12.5,0.853081831662174
"result.4003",2,10,15,137.922136236,83.131150608,141.228488817,1619273.01631869,1494,12.5,0.853053244219204
"result.3281",0,13,12,136.97746407,84.548158857,139.811480568,1619183.65507109,1489,12.5,0.852537453758833
"result.2997",4,11,11,138.866808402,83.603486691,139.339144485,1617692.54463051,1498,12.5,0.843930808694848
"result.3252",3,11,12,138.394472319,83.603486691,139.811480568,1617655.24052478,1496,12.5,0.843715490507382
"result.3507",2,11,13,137.922136236,83.603486691,140.283816651,1617580.63231334,1493,12.5,0.843284854132448
"result.3762",1,11,14,137.449800153,83.603486691,140.756152734,1617468.71999618,1491,12.5,0.842638899570049
"result.4017",0,11,15,136.97746407,83.603486691,141.228488817,1617319.50357329,1488,12.5,0.841777626820184
