"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.3825",0,15,14,119.10728466,124.3427697,127.61494785,1889993.92498735,1500,24,1
"result.4065",0,14,15,119.10728466,123.68833407,128.26938348,1889687.85309667,1500,24,0.998433917124158
"result.3314",1,15,12,119.76172029,124.3427697,126.30607659,1880887.4453826,1500,24,0.95340473201821
"result.3554",1,14,13,119.76172029,123.68833407,126.96051222,1880682.27631302,1500,24,0.952354940200337
"result.3794",1,13,14,119.76172029,123.03389844,127.61494785,1880374.52270864,1500,24,0.950780252473529
"result.3569",0,15,13,119.10728466,124.3427697,126.96051222,1880301.64844896,1496,24,0.950407375598329
"result.3809",0,14,14,119.10728466,123.68833407,127.61494785,1880046.58854005,1496,24,0.949102306535127
"result.4034",1,12,15,119.76172029,122.37946281,128.26938348,1879964.18456948,1500,24,0.948680668837784
"result.4049",0,13,15,119.10728466,123.03389844,128.26938348,1879689.50466758,1496,24,0.947275209846644
"result.3058",1,15,11,119.76172029,124.3427697,125.65164096,1871141.91457751,1496,24,0.903539620669277
"result.3298",1,14,12,119.76172029,123.68833407,126.30607659,1870988.03777532,1496,24,0.902752276805872
"result.3523",2,12,13,120.41615592,122.37946281,126.96051222,1870949.07807495,1500,24,0.902552931091823
"result.4084",3,15,15,119.80163881,123.03952094,126.924979496,1870916.8759158,1497,23.5,0.90238816179566
"result.3538",1,13,13,119.76172029,123.03389844,126.96051222,1870731.57643834,1496,24,0.901440037033531
"result.3313",0,15,12,119.10728466,124.3427697,126.30607659,1870609.37191056,1492,24,0.900814751196657
"result.3763",2,11,14,120.41615592,121.72502718,127.61494785,1870536.49765087,1500,24,0.900441874321456
"result.3553",0,14,13,119.10728466,123.68833407,126.96051222,1870405.32398344,1492,24,0.899770695946095
"result.3778",1,12,14,119.76172029,122.37946281,127.61494785,1870372.53056658,1496,24,0.899602901352254
"result.3793",0,13,14,119.10728466,123.03389844,127.61494785,1870099.25209275,1492,24,0.898204613070253
"result.4003",2,10,15,120.41615592,121.07059155,128.26938348,1870020.77212078,1500,24,0.897803053358498
"result.4018",1,11,15,119.76172029,121.72502718,128.26938348,1869910.90016002,1496,24,0.897240869762042
"result.4033",0,12,15,119.10728466,122.37946281,128.26938348,1869691.1562385,1492,24,0.89611650256913
"result.2017",0,14,7,120.341094692,124.969598334,124.308383528,1869471.07825032,1499,24.5,0.894990426052023
"result.2257",0,13,8,120.341094692,124.308383528,124.969598334,1869471.07825032,1499,24.5,0.894990426052023
"result.1777",0,15,6,120.341094692,125.63081314,123.647168722,1869365.85078897,1499,24.5,0.894452007039055
"result.2497",0,12,9,120.341094692,123.647168722,125.63081314,1869365.85078897,1499,24.5,0.894452007039055
"result.2737",0,11,10,120.341094692,122.985953916,126.292027946,1869155.39586628,1499,24.5,0.893375169013121
"result.2977",0,10,11,120.341094692,122.32473911,126.953242752,1868839.71348225,1499,24.5,0.891759911974219
"result.3217",0,9,12,120.341094692,121.663524304,127.614457558,1868418.80363687,1499,24.5,0.889606235922349
"result.3457",0,8,13,120.341094692,121.002309498,128.275672364,1867892.66633014,1499,24.5,0.886914140857513
"result.3697",0,7,14,120.341094692,120.341094692,128.93688717,1867261.30156208,1499,24.5,0.883683626779709
"result.3937",0,6,15,120.341094692,119.679879886,129.598101976,1866524.70933266,1498,24.5,0.879914693688937
"result.3573",4,15,13,120.449215236,123.03952094,125.629826644,1861835.7570476,1497,23.5,0.855922657495015
"result.2547",2,15,9,120.41615592,124.3427697,124.3427697,1861769.16363928,1497,24,0.855581917951175
"result.2787",2,14,10,120.41615592,123.68833407,124.99720533,1861717.59108627,1497,24,0.85531803585488
"result.3813",4,14,14,120.449215236,122.391944514,126.27740307,1861583.2020073,1497,23.5,0.854630405132586
"result.3027",2,13,11,120.41615592,123.03389844,125.65164096,1861562.87342724,1497,24,0.854526389565993
"result.2802",1,15,10,119.76172029,124.3427697,124.99720533,1861396.38377241,1493,24,0.853674509320342
"result.3828",3,15,14,119.80163881,123.03952094,126.27740307,1861371.38165093,1493,23.5,0.85354658057055
"result.3267",2,12,12,120.41615592,122.37946281,126.30607659,1861305.01066219,1497,24,0.853206979084514
"result.3042",1,14,11,119.76172029,123.68833407,125.65164096,1861293.79923762,1493,24,0.853149613411406
"result.4053",4,13,15,120.449215236,121.744368088,126.924979496,1861229.62495089,1497,23.5,0.852821251825186
"result.3282",1,13,12,119.76172029,123.03389844,126.30607659,1861088.63016804,1492,24,0.852099821593534
"result.4068",3,14,15,119.80163881,122.391944514,126.924979496,1861069.94498993,1493,23.5,0.852004214847651
"result.3507",2,11,13,120.41615592,121.72502718,126.96051222,1860944.00279112,1496,24,0.851359804410443
"result.3057",0,15,11,119.10728466,124.3427697,125.65164096,1860917.09537216,1488,24,0.851222126794985
"result.4083",2,15,15,119.154062384,123.03952094,126.924979496,1860803.81172166,1489,23.5,0.850642486551759
"result.3522",1,12,13,119.76172029,122.37946281,126.96051222,1860780.87656367,1492,24,0.850525133866726
"result.3297",0,14,12,119.10728466,123.68833407,126.30607659,1860764.05942682,1488,24,0.850439085357064
"result.3537",0,13,13,119.10728466,123.03389844,126.96051222,1860508.99951792,1488,24,0.849134016293861
"result.3732",3,9,14,121.07059155,120.41615592,127.61494785,1860479.84981404,1500,24,0.848984865543782
"result.3747",2,10,14,120.41615592,121.07059155,127.61494785,1860479.84981404,1496,24,0.848984865543782
"result.3762",1,11,14,119.76172029,121.72502718,127.61494785,1860370.53842451,1492,24,0.848425550230981
"result.3777",0,12,14,119.10728466,122.37946281,127.61494785,1860151.91564545,1488,24,0.847306919605379
"result.3987",2,9,15,120.41615592,120.41615592,128.26938348,1859912.55173094,1496,24,0.846082162484528
"result.3972",3,8,15,121.07059155,119.76172029,128.26938348,1859857.61575056,1500,24,0.8458010706863
"result.4002",1,10,15,119.76172029,121.07059155,128.26938348,1859857.61575056,1492,24,0.8458010706863
"result.1746",1,13,6,121.002309498,124.308383528,123.647168722,1859851.43813024,1500,24.5,0.845769461558887
"result.1986",1,12,7,121.002309498,123.647168722,124.308383528,1859851.43813024,1500,24.5,0.845769461558887
"result.1506",1,14,5,121.002309498,124.969598334,122.985953916,1859745.63249603,1500,24.5,0.845228084199694
"result.2226",1,11,8,121.002309498,122.985953916,124.969598334,1859745.63249603,1500,24.5,0.845228084199694
"result.4017",0,11,15,119.10728466,121.72502718,128.26938348,1859692.80780942,1488,24,0.844957795291615
"result.2001",0,13,7,120.341094692,124.308383528,124.308383528,1859579.69688391,1495,24.5,0.844379038833092
"result.1266",1,15,4,121.002309498,125.63081314,122.32473911,1859534.02122761,1500,24.5,0.844145329481309
"result.2466",1,10,9,121.002309498,122.32473911,125.63081314,1859534.02122761,1500,24.5,0.844145329481309
"result.1761",0,14,6,120.341094692,124.969598334,123.647168722,1859527.08315324,1495,24.5,0.844109829326608
"result.2241",0,12,8,120.341094692,123.647168722,124.969598334,1859527.08315324,1495,24.5,0.844109829326608
"result.1521",0,15,5,120.341094692,125.63081314,122.985953916,1859369.24196122,1495,24.5,0.843302200807157
"result.2481",0,11,9,120.341094692,122.985953916,125.63081314,1859369.24196122,1495,24.5,0.843302200807157
"result.2706",1,9,10,121.002309498,121.663524304,126.292027946,1859216.60432499,1499,24.5,0.842521197403732
"result.2721",0,10,10,120.341094692,122.32473911,126.292027946,1859106.17330786,1495,24.5,0.841956153274739
"result.2946",1,8,11,121.002309498,121.002309498,126.953242752,1858793.38178815,1499,24.5,0.840355687966962
"result.2961",0,9,11,120.341094692,121.663524304,126.953242752,1858737.87719315,1495,24.5,0.840071686729353
"result.3186",1,7,12,121.002309498,120.341094692,127.614457558,1858264.3536171,1499,24.5,0.837648801170999
"result.3201",0,8,12,120.341094692,121.002309498,127.614457558,1858264.3536171,1495,24.5,0.837648801170999
"result.3441",0,7,13,120.341094692,120.341094692,128.275672364,1857685.60257971,1495,24.5,0.83468749659968
"result.3426",1,6,13,121.002309498,119.679879886,128.275672364,1857629.51981185,1499,24.5,0.834400537015845
"result.3681",0,6,14,120.341094692,119.679879886,128.93688717,1857001.62408097,1494,24.5,0.831187773015391
"result.3666",1,5,14,121.002309498,119.01866508,128.93688717,1856888.88037238,1498,24.5,0.830610895501498
"result.3921",0,5,15,120.341094692,119.01866508,129.598101976,1856212.41812088,1494,24.5,0.827149630418136
"result.3906",1,4,15,121.002309498,118.357450274,129.598101976,1856042.43529871,1498,24.5,0.826279876627959
"result.3105",0,2,12,121.563988,118.224318,128.911262,1852689.39860575,1500,25,0.809123340837811
"result.3062",5,15,11,121.096791662,123.03952094,124.334673792,1852548.2491142,1497,23.5,0.808401119005718
"result.3302",5,14,12,121.096791662,122.391944514,124.982250218,1852395.90139635,1497,23.5,0.807621599032253
"result.3317",4,15,12,120.449215236,123.03952094,124.982250218,1852238.66551642,1493,23.5,0.806817067722742
"result.2276",3,14,8,121.07059155,123.68833407,123.68833407,1852235.24847289,1497,24,0.806799583682151
"result.2036",3,15,7,121.07059155,124.3427697,123.03389844,1852183.39563427,1497,24,0.806534267444027
"result.2516",3,13,9,121.07059155,123.03389844,124.3427697,1852183.39563427,1497,24,0.806534267444027
"result.3542",5,13,13,121.096791662,121.744368088,125.629826644,1852141.98853326,1497,23.5,0.806322399076478
"result.3557",4,14,13,120.449215236,122.391944514,125.629826644,1852036.62148419,1493,23.5,0.805783265832798
"result.2756",3,12,10,121.07059155,122.37946281,124.99720533,1852027.8371184,1497,24,0.805738318729657
"result.2291",2,15,8,120.41615592,124.3427697,123.68833407,1851970.37856749,1493,24,0.80544431965498
"result.2531",2,14,9,120.41615592,123.68833407,124.3427697,1851970.37856749,1493,24,0.80544431965498
"result.2771",2,13,10,120.41615592,123.03389844,124.99720533,1851867.23346147,1493,24,0.804916555462389
"result.3572",3,15,13,119.80163881,123.03952094,125.629826644,1851825.88738605,1489,23.5,0.804704999345438
"result.3782",5,12,14,121.096791662,121.096791662,126.27740307,1851786.51052493,1497,23.5,0.804503519138394
"result.2996",3,11,11,121.07059155,121.72502718,125.65164096,1851768.57292528,1497,24,0.80441173753904
"result.3345",0,1,13,121.563988,117.556384,129.579196,1851767.41974751,1500,25,0.804405837056137
"result.3797",4,13,14,120.449215236,121.744368088,126.27740307,1851733.55543583,1493,23.5,0.804232562997885
"result.3011",2,12,11,120.41615592,122.37946281,125.65164096,1851660.94324943,1493,24,0.803861027077205
"result.2546",1,15,9,119.76172029,124.3427697,124.3427697,1851650.85296732,1489,24,0.803809397971408
"result.2786",1,14,10,119.76172029,123.68833407,124.99720533,1851599.56069993,1489,24,0.80354695001694
"result.3812",3,14,14,119.80163881,122.391944514,126.27740307,1851574.69016855,1489,23.5,0.803419694576358
"result.3026",1,13,11,119.76172029,123.03389844,125.65164096,1851445.68389774,1489,24,0.802759606153536
"result.3236",3,10,12,121.07059155,121.07059155,126.30607659,1851405.60305491,1497,24,0.802554523872176
"result.3251",2,11,12,120.41615592,121.72502718,126.30607659,1851351.50793138,1493,24,0.802277734499431
"result.4022",5,11,15,121.096791662,120.449215236,126.924979496,1851329.46737136,1497,23.5,0.802164959217999
"result.4037",4,12,15,120.449215236,121.096791662,126.924979496,1851329.46737136,1493,23.5,0.802164959217999
"result.3827",2,15,14,119.154062384,123.03952094,126.27740307,1851309.91472308,1485,23.5,0.802064913873811
"result.2801",0,15,10,119.10728466,124.3427697,124.99720533,1851224.81883377,1484,24,0.801629502393313
"result.4052",3,13,15,119.80163881,121.744368088,126.924979496,1851223.01406406,1489,23.5,0.801620267899642
"result.3266",1,12,12,119.76172029,122.37946281,126.30607659,1851189.22256077,1488,24,0.801447366381196
"result.3041",0,14,11,119.10728466,123.68833407,125.65164096,1851122.7948702,1484,24,0.801107474768033
"result.4067",2,14,15,119.154062384,122.391944514,126.924979496,1851010.10744944,1485,23.5,0.800530885262929
"result.3476",3,9,13,121.07059155,120.41615592,126.96051222,1850938.9275073,1496,24,0.800166677729064
"result.3491",2,10,13,120.41615592,121.07059155,126.96051222,1850938.9275073,1492,24,0.800166677729064
"result.3281",0,13,12,119.10728466,123.03389844,126.30607659,1850918.74694308,1484,24,0.800063419517471
"result.3461",4,8,13,121.72502718,119.76172029,126.96051222,1850830.176689,1500,24,0.799610230699919
