"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,75.07850095,111.43230141,94.04570119,786802.337774982,768,40,1
"result.4080",15,14,15,75.07850095,110.6420014,94.04570119,781222.179351046,765,40,0.979282919633121
"result.3840",15,15,14,75.07850095,111.43230141,93.25540118,780190.553423932,765,40,0.975452871161934
"result.4095",14,15,15,74.28820094,111.43230141,94.04570119,778520.207903666,760,40,0.969251491244949
"result.4064",15,13,15,75.07850095,109.85170139,94.04570119,775642.02092711,763,40,0.958565839266243
"result.3824",15,14,14,75.07850095,110.6420014,93.25540118,774657.287087592,762,40,0.954909883907382
"result.3584",15,15,13,75.07850095,111.43230141,92.46510117,773578.769072881,762,40,0.950905742323868
"result.4079",14,14,15,74.28820094,110.6420014,94.04570119,772998.787989456,757,40,0.948752485408248
"result.3839",14,15,14,74.28820094,111.43230141,93.25540118,771978.021282627,757,40,0.944962753236757
"result.4094",13,15,15,73.49790093,111.43230141,94.04570119,770238.078032351,752,40,0.938502982489898
"result.4048",15,12,15,75.07850095,109.06140138,94.04570119,770061.862503174,760,40,0.937848758899365
"result.3808",15,13,14,75.07850095,109.85170139,93.25540118,769124.020751252,759,40,0.93436689665283
"result.3568",15,14,13,75.07850095,110.6420014,92.46510117,768092.394824137,759,40,0.930536848181643
"result.4063",14,13,15,74.28820094,109.85170139,94.04570119,767477.368075245,755,40,0.928253479571547
"result.3328",15,15,12,75.07850095,111.43230141,91.67480116,766966.984721831,758,40,0.926358613485802
"result.3823",14,14,14,74.28820094,110.6420014,93.25540118,766502.999855091,754,40,0.924636007953306
"result.3583",14,15,13,74.28820094,111.43230141,92.46510117,765435.834661588,754,40,0.920674015228566
"result.4078",13,14,15,73.49790093,110.6420014,94.04570119,764775.396627866,749,40,0.918222051183375
"result.4032",15,11,15,75.07850095,108.27110137,94.04570119,764481.704079238,757,40,0.917131678532487
"result.3838",13,15,14,73.49790093,111.43230141,93.25540118,763765.489141322,749,40,0.914472635311581
"result.3792",15,12,14,75.07850095,109.06140138,93.25540118,763590.754414912,757,40,0.913823909398279
"result.3552",15,13,13,75.07850095,109.85170139,92.46510117,762606.020575394,756,40,0.910167954039418
"result.4047",14,12,15,74.28820094,109.06140138,94.04570119,761955.948161035,752,40,0.907754473734847
"result.4093",12,15,15,72.70760092,111.43230141,94.04570119,761955.948161035,744,40,0.907754473734847
"result.3312",15,14,12,75.07850095,110.6420014,91.67480116,761527.502560683,756,40,0.906163812455904
"result.3807",14,13,14,74.28820094,109.85170139,93.25540118,761027.978427554,751,40,0.904309262669855
"result.3072",15,15,11,75.07850095,111.43230141,90.88450115,760355.200370781,755,40,0.901811484647736
"result.3567",14,14,13,74.28820094,110.6420014,92.46510117,760007.211720725,751,40,0.900519530498364
"result.4062",13,13,15,73.49790093,109.85170139,94.04570119,759312.715223381,747,40,0.897941119876852
"result.4016",15,10,15,75.07850095,107.48080136,94.04570119,758901.545655302,754,40,0.896414598165608
"result.3327",14,15,12,74.28820094,111.43230141,91.67480116,758893.648040549,750,40,0.896385277220374
"result.3822",13,14,14,73.49790093,110.6420014,93.25540118,758348.71262259,746,40,0.89436213199923
"result.3776",15,11,14,75.07850095,108.27110137,93.25540118,758057.488078572,754,40,0.893280922143727
"result.3582",13,15,13,73.49790093,111.43230141,92.46510117,757292.900250294,746,40,0.890442288133263
"result.3536",15,12,13,75.07850095,109.06140138,92.46510117,757119.64632665,753,40,0.889799059897193
"result.4077",12,14,15,72.70760092,110.6420014,94.04570119,756552.005266276,741,40,0.887691616958501
"result.4031",14,11,15,74.28820094,108.27110137,94.04570119,756434.528246825,749,40,0.887255467898146
"result.3296",15,13,12,75.07850095,109.85170139,91.67480116,756088.020399536,753,40,0.885969011426006
"result.3791",14,12,14,74.28820094,109.06140138,93.25540118,755552.957000018,749,40,0.883982517386404
"result.3837",12,15,14,72.70760092,111.43230141,93.25540118,755552.957000018,741,40,0.883982517386404
"result.3056",15,14,11,75.07850095,110.6420014,90.88450115,754962.610297229,752,40,0.881790776730165
"result.3551",14,13,13,74.28820094,109.85170139,92.46510117,754578.588779863,748,40,0.880365045768163
"result.4046",13,12,15,73.49790093,109.06140138,94.04570119,753850.033818896,744,40,0.877660188570329
"result.2816",15,15,10,75.07850095,111.43230141,90.09420114,753743.416019731,752,40,0.87726435580967
"result.4092",11,15,15,71.91730091,111.43230141,94.04570119,753673.818289719,736,40,0.877005964979796
"result.3311",14,14,12,74.28820094,110.6420014,91.67480116,753511.42358636,748,40,0.876403053043422
"result.4000",15,9,15,75.07850095,106.69050135,94.04570119,753321.387231366,752,40,0.87569751779873
"result.3806",13,13,14,73.49790093,109.85170139,93.25540118,752931.936103857,743,40,0.87425162868688
"result.3760",15,10,14,75.07850095,107.48080136,93.25540118,752524.221742232,751,40,0.872737934889176
"result.3071",14,15,11,74.28820094,111.43230141,90.88450115,752351.461419509,747,40,0.872096539212183
"result.3566",13,14,13,73.49790093,110.6420014,92.46510117,751922.028617313,743,40,0.870502212815085
"result.3520",15,11,13,75.07850095,108.27110137,92.46510117,751633.272077906,751,40,0.869430165754968
"result.4061",12,13,15,72.70760092,109.85170139,94.04570119,751148.062371517,739,40,0.867628760182156
"result.4015",14,10,15,74.28820094,107.48080136,94.04570119,750913.108332614,746,40,0.866756462061445
"result.3326",13,15,12,73.49790093,111.43230141,91.67480116,750820.311359266,742,40,0.866411940954946
"result.3280",15,12,12,75.07850095,109.06140138,91.67480116,750648.538238388,750,40,0.865774210396107
"result.3821",12,14,14,72.70760092,110.6420014,93.25540118,750194.425390089,738,40,0.864088256045154
"result.3775",14,11,14,74.28820094,108.27110137,93.25540118,750077.935572482,746,40,0.863655772102953
"result.3040",15,13,11,75.07850095,109.85170139,90.88450115,749570.020223678,750,40,0.861770068812593
"result.3535",14,12,13,74.28820094,109.06140138,92.46510117,749149.965839001,746,40,0.860210561037961
"result.3581",12,15,13,72.70760092,111.43230141,92.46510117,749149.965839001,738,40,0.860210561037961
"result.2800",15,14,10,75.07850095,110.6420014,90.09420114,748397.718033775,749,40,0.857417741004426
"result.4030",13,11,15,73.49790093,108.27110137,94.04570119,748387.352414412,741,40,0.857379257263806
"result.4076",11,14,15,71.91730091,110.6420014,94.04570119,748328.613904686,733,40,0.857161182733628
"result.3295",14,13,12,74.28820094,109.85170139,91.67480116,748129.199132172,745,40,0.856420828866471
"result.3984",15,8,15,75.07850095,105.90020134,94.04570119,747741.22880743,749,40,0.854980437431852
"result.3790",13,12,14,73.49790093,109.06140138,93.25540118,747515.159585124,741,40,0.854141125374529
"result.3836",11,15,14,71.91730091,111.43230141,93.25540118,747340.424858713,733,40,0.853492399461228
"result.2560",15,15,9,75.07850095,111.43230141,89.30390113,747131.63166868,748,40,0.852717226971604
"result.3055",14,14,11,74.28820094,110.6420014,90.88450115,747015.635451995,744,40,0.85228657558848
"result.3744",15,9,14,75.07850095,106.69050135,93.25540118,746990.955405892,748,40,0.852194947634624
"result.3550",13,13,13,73.49790093,109.85170139,92.46510117,746551.156984333,740,40,0.850562137496908
"result.3504",15,10,13,75.07850095,107.48080136,92.46510117,746146.897829162,748,40,0.849061271612743
"result.2815",14,15,10,74.28820094,111.43230141,90.09420114,745809.27479847,744,40,0.847807801203991
"result.4045",12,12,15,72.70760092,109.06140138,94.04570119,745744.119476758,736,40,0.847565903405811
"result.3310",13,14,12,73.49790093,110.6420014,91.67480116,745495.344612037,740,40,0.846642293630941
"result.3999",14,9,15,74.28820094,106.69050135,94.04570119,745391.688418404,744,40,0.846257456224745
"result.4091",10,15,15,71.1270009,111.43230141,94.04570119,745391.688418404,728,40,0.846257456224745
"result.3264",15,11,12,75.07850095,108.27110137,91.67480116,745209.05607724,747,40,0.845579409366209
"result.3805",12,13,14,72.70760092,109.85170139,93.25540118,744835.89378016,735,40,0.844193994703904
"result.3759",14,10,14,74.28820094,107.48080136,93.25540118,744602.914144945,743,40,0.843329026819502
"result.3070",13,15,11,73.49790093,111.43230141,90.88450115,744347.722468238,739,40,0.842381593776629
"result.3024",15,12,11,75.07850095,109.06140138,90.88450115,744177.430150126,747,40,0.841749360895022
"result.3565",12,14,13,72.70760092,110.6420014,92.46510117,743836.845513902,735,40,0.840484895131807
"result.3519",14,11,13,74.28820094,108.27110137,92.46510117,743721.342898138,743,40,0.84005607630776
"result.2784",15,13,10,75.07850095,109.85170139,90.09420114,743052.020047819,746,40,0.837571126199181
"result.4060",11,13,15,71.91730091,109.85170139,94.04570119,742983.409519652,730,40,0.837316400487461
"result.4014",13,10,15,73.49790093,107.48080136,94.04570119,742924.671009927,738,40,0.837098325957283
"result.3279",14,12,12,74.28820094,109.06140138,91.67480116,742746.974677984,742,40,0.836438604689518
"result.3325",12,15,12,72.70760092,111.43230141,91.67480116,742746.974677984,734,40,0.836438604689518
"result.3968",15,7,15,75.07850095,105.10990133,94.04570119,742161.070383493,746,40,0.834263357064973
"result.3774",13,11,14,73.49790093,108.27110137,93.25540118,742098.383066391,738,40,0.834030622062179
"result.3820",11,14,14,71.91730091,110.6420014,93.25540118,742040.138157588,730,40,0.833814380091078
"result.2544",15,14,9,75.07850095,110.6420014,89.30390113,741832.825770321,746,40,0.833044705278686
"result.3039",14,13,11,74.28820094,109.85170139,90.88450115,741679.809484481,742,40,0.832476611964778
"result.3728",15,8,14,75.07850095,105.90020134,93.25540118,741457.689069552,746,40,0.831651960380073
"result.3534",13,12,13,73.49790093,109.06140138,92.46510117,741180.285351352,738,40,0.830622062178729
"result.3580",11,15,13,71.91730091,111.43230141,92.46510117,741007.031427707,730,40,0.829978833942659
"result.3488",15,9,13,75.07850095,106.69050135,92.46510117,740660.523580418,745,40,0.828692377470518
"result.2304",15,15,8,75.07850095,111.43230141,88.51360112,740519.84731763,745,40,0.828170098133538
"result.2799",14,14,10,74.28820094,110.6420014,90.09420114,740519.84731763,741,40,0.828170098133538
"result.4029",12,11,15,72.70760092,108.27110137,94.04570119,740340.176581999,733,40,0.827503046629466
"result.3294",13,13,12,73.49790093,109.85170139,91.67480116,740170.377864808,737,40,0.826872646306935
"result.4075",10,14,15,71.1270009,110.6420014,94.04570119,740105.222543096,725,40,0.826630748508755
"result.3983",14,8,15,74.28820094,105.90020134,94.04570119,739870.268504193,741,40,0.825758450388044
"result.3248",15,10,12,75.07850095,107.48080136,91.67480116,739769.573916092,745,40,0.825384608336311
"result.3789",12,12,14,72.70760092,109.06140138,93.25540118,739477.36217023,733,40,0.824299733362654
"result.2559",14,15,9,74.28820094,111.43230141,89.30390113,739267.088177431,741,40,0.823519063195799
"result.3743",14,9,14,74.28820094,106.69050135,93.25540118,739127.892717409,741,40,0.823002281536051
"result.3835",10,15,14,71.1270009,111.43230141,93.25540118,739127.892717409,725,40,0.823002281536051
"result.3054",13,14,11,73.49790093,110.6420014,90.88450115,739068.660606761,737,40,0.822782374446796
"result.3008",15,11,11,75.07850095,108.27110137,90.88450115,738784.840076574,744,40,0.82172865297745
"result.3549",12,13,13,72.70760092,109.85170139,92.46510117,738523.725188802,732,40,0.820759229225652
"result.3503",14,10,13,74.28820094,107.48080136,92.46510117,738292.719957276,740,40,0.819901591577558
"result.2814",13,15,10,73.49790093,111.43230141,90.09420114,737875.13357721,736,40,0.818351246598312
"result.2768",15,12,10,75.07850095,109.06140138,90.09420114,737706.322061864,744,40,0.817724511393936
"result.4044",11,12,15,71.91730091,109.06140138,94.04570119,737638.205134619,728,40,0.817471618241293
"result.3309",12,14,12,72.70760092,110.6420014,91.67480116,737479.265637714,732,40,0.816881534218459
"result.3998",13,9,15,73.49790093,106.69050135,94.04570119,737461.989605442,736,40,0.81681739465076
"result.3263",14,11,12,74.28820094,108.27110137,91.67480116,737364.750223795,740,40,0.816456380512567
"result.4090",9,15,15,70.33670089,111.43230141,94.04570119,737109.558547088,720,40,0.815508947469694
"result.3804",11,13,14,71.91730091,109.85170139,93.25540118,736739.851456462,727,40,0.814136360720928
"result.3758",13,10,14,73.49790093,107.48080136,93.25540118,736681.606547659,735,40,0.813920118749828
