"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,132.77040168,69.54640088,12.64480016,116758.33650876,393,40,1
"result.4095",14,15,15,131.98010167,69.54640088,12.64480016,116063.346410493,391,40,0.993752634498059
"result.4080",15,14,15,132.77040168,68.75610087,12.64480016,115431.537230251,391,40,0.988073211314476
"result.4094",13,15,15,131.18980166,69.54640088,12.64480016,115368.356312227,389,40,0.987505268996118
"result.4079",14,14,15,131.98010167,68.75610087,12.64480016,114744.444746738,389,40,0.981896838602329
"result.4093",12,15,15,130.39950165,69.54640088,12.64480016,114673.36621396,386,40,0.981257903494176
"result.4064",15,13,15,132.77040168,67.96580086,12.64480016,114104.737951742,389,40,0.976146422628952
"result.4078",13,14,15,131.18980166,68.75610087,12.64480016,114057.352263224,386,40,0.975720465890183
"result.4092",11,15,15,129.60920164,69.54640088,12.64480016,113978.376115694,384,40,0.975010537992235
"result.4063",14,13,15,131.98010167,67.96580086,12.64480016,113425.543082982,386,40,0.9700410427066
"result.4077",12,14,15,130.39950165,68.75610087,12.64480016,113370.259779711,384,40,0.969544093178037
"result.4091",10,15,15,128.81890163,69.54640088,12.64480016,113283.386017427,382,40,0.968763172490294
"result.4048",15,12,15,132.77040168,67.17550085,12.64480016,112777.938673234,386,40,0.964219633943428
"result.4062",13,13,15,131.18980166,67.96580086,12.64480016,112746.348214222,384,40,0.963935662784248
"result.4076",11,14,15,129.60920164,68.75610087,12.64480016,112683.167296197,382,40,0.96336772046589
"result.4090",9,15,15,128.02860162,69.54640088,12.64480016,112588.395919161,379,40,0.962515806988353
"result.4047",14,12,15,131.98010167,67.17550085,12.64480016,112106.641419226,384,40,0.958185246810871
"result.4061",12,13,15,130.39950165,67.96580086,12.64480016,112067.153345461,382,40,0.957830282861897
"result.4075",10,14,15,128.81890163,68.75610087,12.64480016,111996.074812684,379,40,0.957191347753744
"result.4089",8,15,15,127.23830161,69.54640088,12.64480016,111893.405820895,377,40,0.956268441486412
"result.4032",15,11,15,132.77040168,66.38520084,12.64480016,111451.139394725,384,40,0.952292845257903
"result.4046",13,12,15,131.18980166,67.17550085,12.64480016,111435.344165219,382,40,0.952150859678314
"result.4060",11,13,15,129.60920164,67.96580086,12.64480016,111387.958476701,379,40,0.951724902939545
"result.4074",9,14,15,128.02860162,68.75610087,12.64480016,111308.982329171,377,40,0.951014975041597
"result.4088",7,15,15,126.4480016,69.54640088,12.64480016,111198.415722628,374,40,0.95002107598447
"result.4031",14,11,15,131.98010167,66.38520084,12.64480016,110787.739755471,382,40,0.946329450915141
"result.4045",12,12,15,130.39950165,67.17550085,12.64480016,110764.046911212,380,40,0.946116472545757
"result.4059",10,13,15,128.81890163,67.96580086,12.64480016,110708.76360794,377,40,0.945619523017194
"result.4073",8,14,15,127.23830161,68.75610087,12.64480016,110621.889845657,375,40,0.944838602329451
"result.4087",6,15,15,125.65770159,69.54640088,12.64480016,110503.425624362,372,40,0.943773710482529
"result.4016",15,10,15,132.77040168,65.59490083,12.64480016,110124.340116216,382,40,0.940366056572379
"result.4030",13,11,15,131.18980166,66.38520084,12.64480016,110124.340116216,380,40,0.940366056572379
"result.4044",11,12,15,129.60920164,67.17550085,12.64480016,110092.749657204,377,40,0.9400820854132
"result.4058",9,13,15,128.02860162,67.96580086,12.64480016,110029.56873918,375,40,0.939514143094842
"result.4072",7,14,15,126.4480016,68.75610087,12.64480016,109934.797362144,372,40,0.938662229617304
"result.4086",5,15,15,124.86740158,69.54640088,12.64480016,109808.435526095,370,40,0.937526344980588
"result.4015",14,10,15,131.98010167,65.59490083,12.64480016,109468.838091715,380,40,0.934473655019412
