"","IV.Attack","IV.Defense","IV.HP","Attack","Defense","HP","StatProduct","CP","Level","Gain"
"result.4096",15,15,15,84.56210107,45.04710057,139.88310177,532853.548189536,671,40,1
"result.3840",15,15,14,84.56210107,45.04710057,139.09280176,529843.076165867,669,40,0.986552898766412
"result.4095",14,15,15,83.77180106,45.04710057,139.88310177,527873.60848683,664,40,0.977755729735093
"result.3584",15,15,13,84.56210107,45.04710057,138.30250175,526832.604142197,667,40,0.973105797532824
"result.3839",14,15,14,83.77180106,45.04710057,139.09280176,524891.271715718,663,40,0.964434302344809
"result.3328",15,15,12,84.56210107,45.04710057,137.51220174,523822.132118527,665,40,0.959658696299236
"result.4080",15,14,15,84.56210107,44.25680056,139.88310177,523505.240326562,665,40,0.958243211958858
"result.4094",13,15,15,82.98150105,45.04710057,139.88310177,522893.668784124,658,40,0.955511459470186
"result.3583",14,15,13,83.77180106,45.04710057,138.30250175,521908.934944606,661,40,0.951112874954526
"result.3072",15,15,11,84.56210107,45.04710057,136.72190173,520811.660094857,663,40,0.946211595065648
"result.3824",15,14,14,84.56210107,44.25680056,139.09280176,520547.583601553,663,40,0.945032024782
"result.3838",13,15,14,82.98150105,45.04710057,139.09280176,519939.46726557,656,40,0.942315705923207
"result.3327",14,15,12,83.77180106,45.04710057,137.51220174,518926.598173494,659,40,0.937791447564242
"result.4079",14,14,15,83.77180106,44.25680056,139.88310177,518612.667987061,659,40,0.936389192049476
"result.4093",12,15,15,82.19120104,45.04710057,139.88310177,517913.729081418,652,40,0.933267189205278
"result.2816",15,15,10,84.56210107,45.04710057,135.93160172,517801.188071188,661,40,0.93276449383206
"result.3568",15,14,13,84.56210107,44.25680056,138.30250175,517589.926876544,661,40,0.931820837605142
"result.3582",13,15,13,82.98150105,45.04710057,138.30250175,516985.265747016,654,40,0.929119952376228
"result.3071",14,15,11,83.77180106,45.04710057,136.72190173,515944.261402382,657,40,0.924470020173959
"result.3823",14,14,14,83.77180106,44.25680056,139.09280176,515682.652913688,657,40,0.923301473911654
"result.3837",12,15,14,82.19120104,45.04710057,139.09280176,514987.662815422,650,40,0.920197109501604
"result.2560",15,15,9,84.56210107,45.04710057,135.14130171,514790.716047518,659,40,0.919317392598472
"result.3312",15,14,12,84.56210107,44.25680056,137.51220174,514632.270151535,659,40,0.918609650428283
"result.4064",15,13,15,84.56210107,43.46650055,139.88310177,514156.932463588,659,40,0.916486423917717
"result.3326",13,15,12,82.98150105,45.04710057,137.51220174,514031.064228461,653,40,0.915924198829249
"result.4078",13,14,15,82.98150105,44.25680056,139.88310177,513720.095647561,652,40,0.914535172140093
"result.2815",14,15,10,83.77180106,45.04710057,135.93160172,512961.92463127,655,40,0.911148592783676
"result.4092",11,15,15,81.40090103,45.04710057,139.88310177,512933.789378712,646,40,0.911022918940371
"result.3567",14,14,13,83.77180106,44.25680056,138.30250175,512752.637840315,655,40,0.910213755773831
"result.3581",12,15,13,82.19120104,45.04710057,138.30250175,512061.596549425,648,40,0.90712702979793
"result.2304",15,15,8,84.56210107,45.04710057,134.3510017,511780.244023848,657,40,0.905870291364884
"result.3056",15,14,11,84.56210107,44.25680056,136.72190173,511674.613426527,657,40,0.905398463251425
"result.3808",15,13,14,84.56210107,43.46650055,139.09280176,511252.09103724,657,40,0.903511150797588
"result.3070",13,15,11,82.98150105,45.04710057,136.72190173,511076.862709907,651,40,0.90272844528227
"result.3822",13,14,14,82.98150105,44.25680056,139.09280176,510817.722225823,651,40,0.901570923041307
"result.3836",11,15,14,81.40090103,45.04710057,139.09280176,510035.858365273,644,40,0.898078513080001
"result.2559",14,15,9,83.77180106,45.04710057,135.14130171,509979.587860158,653,40,0.897827165393392
"result.3311",14,14,12,83.77180106,44.25680056,137.51220174,509822.622766942,653,40,0.897126037636009
"result.4063",14,13,15,83.77180106,43.46650055,139.88310177,509351.727487292,653,40,0.895022654363859
"result.3325",12,15,12,82.19120104,45.04710057,137.51220174,509135.530283428,646,40,0.894056950094256
"result.4077",12,14,15,82.19120104,44.25680056,139.88310177,508827.52330806,646,40,0.892681152230711
"result.2048",15,15,7,84.56210107,45.04710057,133.56070169,508769.772000179,655,40,0.892423190131296
"result.2800",15,14,10,84.56210107,44.25680056,135.93160172,508716.956701518,655,40,0.892187276074567
"result.3552",15,13,13,84.56210107,43.46650055,138.30250175,508347.249610892,655,40,0.890535877677459
"result.2814",13,15,10,82.98150105,45.04710057,135.93160172,508122.661191352,649,40,0.889532691735291
"result.4091",10,15,15,80.61060102,45.04710057,139.88310177,507953.849676006,639,40,0.888778648675464
"result.3566",13,14,13,82.98150105,44.25680056,138.30250175,507915.348804085,649,40,0.888606673942521
"result.3580",11,15,13,81.40090103,45.04710057,138.30250175,507137.927351834,642,40,0.885134107219632
"result.2303",14,15,8,83.77180106,45.04710057,134.3510017,506997.251089046,651,40,0.884505738003109
"result.3055",14,14,11,83.77180106,44.25680056,136.72190173,506892.607693568,651,40,0.884038319498187
"result.3807",14,13,14,83.77180106,43.46650055,139.09280176,506474.034111658,651,40,0.882168645478498
"result.3069",12,15,11,82.19120104,45.04710057,136.72190173,506209.464017432,645,40,0.880986870390581
"result.3821",12,14,14,82.19120104,44.25680056,139.09280176,505952.791537958,644,40,0.879840372170961
